18,9934LX,Veldoven,Delfzijl
13,9934NR,Brander,Delfzijl
52,9934JD,Jachtlaan,Delfzijl
4,9934PS,Redgerlaan,Delfzijl
5,9934PR,Collatorlaan,Delfzijl
3,9934PR,Collatorlaan,Delfzijl
8,9934PR,Collatorlaan,Delfzijl
6,9934PR,Collatorlaan,Delfzijl
4,9934PR,Collatorlaan,Delfzijl
2,9934PR,Collatorlaan,Delfzijl
2,9934PP,Tuikwerderrak,Delfzijl
9,9934PP,Tuikwerderrak,Delfzijl
7,9934PP,Tuikwerderrak,Delfzijl
3,9934PP,Tuikwerderrak,Delfzijl
1,9934PP,Tuikwerderrak,Delfzijl
5,9934PP,Tuikwerderrak,Delfzijl
1,9934PS,Redgerlaan,Delfzijl
2,9934PS,Redgerlaan,Delfzijl
25,9934PV,Vlotterspad,Delfzijl
61,9932HD,Eilandweg,Delfzijl
27,9932JG,Hooiven,Delfzijl
10,9934PR,Collatorlaan,Delfzijl
1,9934NA,Zigzagoven,Delfzijl
3,9934NA,Zigzagoven,Delfzijl
5,9934NA,Zigzagoven,Delfzijl
7,9934NA,Zigzagoven,Delfzijl
9,9934NA,Zigzagoven,Delfzijl
11,9934NA,Zigzagoven,Delfzijl
13,9934NA,Zigzagoven,Delfzijl
15,9934NA,Zigzagoven,Delfzijl
17,9934NA,Zigzagoven,Delfzijl
19,9934NA,Zigzagoven,Delfzijl
21,9934NA,Zigzagoven,Delfzijl
23,9934NA,Zigzagoven,Delfzijl
25,9934NA,Zigzagoven,Delfzijl
27,9934NA,Zigzagoven,Delfzijl
29,9934NA,Zigzagoven,Delfzijl
31,9934NA,Zigzagoven,Delfzijl
33,9934NA,Zigzagoven,Delfzijl
35,9934NA,Zigzagoven,Delfzijl
37,9934NA,Zigzagoven,Delfzijl
39,9934NA,Zigzagoven,Delfzijl
41,9934NA,Zigzagoven,Delfzijl
43,9934NA,Zigzagoven,Delfzijl
45,9934NA,Zigzagoven,Delfzijl
47,9934NA,Zigzagoven,Delfzijl
49,9934NA,Zigzagoven,Delfzijl
51,9934NA,Zigzagoven,Delfzijl
53,9934NA,Zigzagoven,Delfzijl
55,9934NA,Zigzagoven,Delfzijl
57,9934NA,Zigzagoven,Delfzijl
59,9934NA,Zigzagoven,Delfzijl
61,9934NA,Zigzagoven,Delfzijl
63,9934NA,Zigzagoven,Delfzijl
65,9934NA,Zigzagoven,Delfzijl
67,9934NA,Zigzagoven,Delfzijl
69,9934NA,Zigzagoven,Delfzijl
71,9934NA,Zigzagoven,Delfzijl
11,9934NR,Brander,Delfzijl
16,9934LR,Trasraamsteen,Delfzijl
3,9934LS,Bleeksteen,Delfzijl
13,9934LM,Gevelsteen,Delfzijl
30,9932GS,Hoefsmederij,Delfzijl
7,9932GB,Wagenmakerij,Delfzijl
6,9932GG,Pellerij,Delfzijl
7,9934PV,Vlotterspad,Delfzijl
13,9934RM,Hogelandsterweg,Delfzijl
1,9934ND,Vlamoven,Delfzijl
3,9934ND,Vlamoven,Delfzijl
5,9934ND,Vlamoven,Delfzijl
7,9934ND,Vlamoven,Delfzijl
15,9934ND,Vlamoven,Delfzijl
17,9934ND,Vlamoven,Delfzijl
19,9934ND,Vlamoven,Delfzijl
21,9934ND,Vlamoven,Delfzijl
29,9934NE,Vlamoven,Delfzijl
31,9934NE,Vlamoven,Delfzijl
33,9934NE,Vlamoven,Delfzijl
35,9934NE,Vlamoven,Delfzijl
43,9934NE,Vlamoven,Delfzijl
45,9934NE,Vlamoven,Delfzijl
47,9934NE,Vlamoven,Delfzijl
49,9934NE,Vlamoven,Delfzijl
9,9934ND,Vlamoven,Delfzijl
11,9934ND,Vlamoven,Delfzijl
13,9934ND,Vlamoven,Delfzijl
23,9934ND,Vlamoven,Delfzijl
25,9934ND,Vlamoven,Delfzijl
27,9934NE,Vlamoven,Delfzijl
37,9934NE,Vlamoven,Delfzijl
39,9934NE,Vlamoven,Delfzijl
41,9934NE,Vlamoven,Delfzijl
51,9934NE,Vlamoven,Delfzijl
53,9934NE,Vlamoven,Delfzijl
55,9934NE,Vlamoven,Delfzijl
3,9934RW,Sluis,Delfzijl
6,9934EM,Burgemeester Boeremalaan,Delfzijl
8,9934EM,Burgemeester Boeremalaan,Delfzijl
2,9934EM,Burgemeester Boeremalaan,Delfzijl
4,9934EM,Burgemeester Boeremalaan,Delfzijl
14,9934EK,Prins Bernhardlaan,Delfzijl
16,9934EK,Prins Bernhardlaan,Delfzijl
18,9934EK,Prins Bernhardlaan,Delfzijl
20,9934EK,Prins Bernhardlaan,Delfzijl
22,9934EK,Prins Bernhardlaan,Delfzijl
24,9934EK,Prins Bernhardlaan,Delfzijl
21,9931TC,Wierdeweg,Delfzijl
1,9931TE,Torenpad,Delfzijl
2,9931TG,Bakkerspad,Delfzijl
4,9931TG,Bakkerspad,Delfzijl
6,9931TG,Bakkerspad,Delfzijl
8,9931TG,Bakkerspad,Delfzijl
3,9931TE,Torenpad,Delfzijl
5,9931TE,Torenpad,Delfzijl
12,9931TG,Bakkerspad,Delfzijl
2,9931TJ,Weempad,Delfzijl
4,9931TJ,Weempad,Delfzijl
3,9931TC,Wierdeweg,Delfzijl
5,9931TC,Wierdeweg,Delfzijl
1,9931TJ,Weempad,Delfzijl
28,9931TD,Wierdeweg,Delfzijl
26,9931TD,Wierdeweg,Delfzijl
24,9931TD,Wierdeweg,Delfzijl
22,9931TD,Wierdeweg,Delfzijl
