24,9718AS,Westerkade,Groningen
40,9723TM,Gotenburgweg,Groningen
2,9712JX,Waagstraat,Groningen
19,9723HC,Wismarweg,Groningen
86,9742BN,Zonnelaan,Groningen
13,9712CD,Guldenstraat,Groningen
1,9718CP,Astraat,Groningen
249,9742BG,Zonnelaan,Groningen
2,9723HG,Rostockweg,Groningen
72,9734CC,Eemswaard,Groningen
70,9734CC,Eemswaard,Groningen
68,9734CC,Eemswaard,Groningen
7,9745DH,De Held,Groningen
24,9734CD,Ruischerwaard,Groningen
1,9745DG,Niek Engelschmanstraat,Groningen
64,9734CC,Eemswaard,Groningen
27,9734CD,Ruischerwaard,Groningen
87,9734CC,Eemswaard,Groningen
57,9734CB,Eemswaard,Groningen
5,9735BA,Zilvermeer,Groningen
33,9745DG,Niek Engelschmanstraat,Groningen
65,9734CC,Eemswaard,Groningen
5,9745DG,Niek Engelschmanstraat,Groningen
738,9728HW,Henri Dunantlaan,Groningen
71,9734CH,Ruischerwaard,Groningen
42,9734CR,De Waard,Groningen
99,9715PG,Sint Eustatiusstraat,Groningen
782,9728HW,Henri Dunantlaan,Groningen
150,9722WS,Bloemersmaborg,Groningen
778,9728HW,Henri Dunantlaan,Groningen
766,9728HW,Henri Dunantlaan,Groningen
266,9733CT,Kajuit,Groningen
40,9712NL,Nieuwe Ebbingestraat,Groningen
51,9723HJ,Oostendeweg,Groningen
6,9726AD,Cascadeplein,Groningen
4,9726AD,Cascadeplein,Groningen
740,9728HW,Henri Dunantlaan,Groningen
702,9728HW,Henri Dunantlaan,Groningen
11,9746AR,Oscar Wildestraat,Groningen
86,9746AH,James Baldwinstraat,Groningen
1002,9728NG,Hoornsedijk,Groningen
89,9734CC,Eemswaard,Groningen
48,9734CE,Ruischerwaard,Groningen
32,9734CE,Ruischerwaard,Groningen
65,9734BW,Mooiland,Groningen
69,9734CH,Ruischerwaard,Groningen
39,9746AR,Oscar Wildestraat,Groningen
71,9734CC,Eemswaard,Groningen
14,9712JG,Martinikerkhof,Groningen
8,9735BA,Zilvermeer,Groningen
35,9723GD,Lintdal,Groningen
26,9734BL,Zonland,Groningen
3,9745DH,De Held,Groningen
3,9712ET,Rodeweeshuisstraat,Groningen
10,9734CR,De Waard,Groningen
33,9723GD,Lintdal,Groningen
112,9722WS,Bloemersmaborg,Groningen
102,9722WS,Bloemersmaborg,Groningen
762,9728HW,Henri Dunantlaan,Groningen
101,9715PG,Sint Eustatiusstraat,Groningen
710,9728HW,Henri Dunantlaan,Groningen
109,9713GR,Linnaeusplein,Groningen
124,9722WS,Bloemersmaborg,Groningen
21,9734BL,Zonland,Groningen
1015,9721RV,Julianaweg,Groningen
726,9728HW,Henri Dunantlaan,Groningen
6,9734BL,Zonland,Groningen
105,9715PG,Sint Eustatiusstraat,Groningen
754,9728HW,Henri Dunantlaan,Groningen
5,9746AR,Oscar Wildestraat,Groningen
9,9735BA,Zilvermeer,Groningen
9,9745DH,De Held,Groningen
10,9735BA,Zilvermeer,Groningen
1,9745DC,Jacob Schorerstraat,Groningen
56,9723GE,Lintdal,Groningen
66,9734CC,Eemswaard,Groningen
84,9734CC,Eemswaard,Groningen
11,9745DH,De Held,Groningen
117,9713GR,Linnaeusplein,Groningen
52,9734CR,De Waard,Groningen
18,9726CH,Kleine Badstraat,Groningen
9,9734BS,Mooiland,Groningen
152,9722WS,Bloemersmaborg,Groningen
2,9726AD,Cascadeplein,Groningen
54,9734CR,De Waard,Groningen
1034,9731CX,Beijumerweg,Groningen
223,9723DG,Barkmolenstraat,Groningen
73,9734CH,Ruischerwaard,Groningen
98,9734CJ,Ruischerwaard,Groningen
30,9734CA,Eemswaard,Groningen
6,9734CR,De Waard,Groningen
27,9745DH,De Held,Groningen
15,9745DC,Jacob Schorerstraat,Groningen
41,9734AB,Woldweg,Groningen
7,9735BA,Zilvermeer,Groningen
11,9745DC,Jacob Schorerstraat,Groningen
13,9745DC,Jacob Schorerstraat,Groningen
49,9718MR,Van Goghstraat,Groningen
23,9745DH,De Held,Groningen
