24,9363XC,Boereveld,Marum
1,9365TH,Boersree,Niebert
3,9365TH,Boersree,Niebert
5,9365TH,Boersree,Niebert
7,9365TH,Boersree,Niebert
7,9367TS,Bremerweg,De Wilp
28,9367TS,Bremerweg,De Wilp
30,9367TS,Bremerweg,De Wilp
32,9367TS,Bremerweg,De Wilp
1,9363AW,Buurlandt,Marum
2,9363AW,Buurlandt,Marum
3,9363AW,Buurlandt,Marum
4,9363AW,Buurlandt,Marum
5,9363AW,Buurlandt,Marum
6,9363AW,Buurlandt,Marum
7,9363AW,Buurlandt,Marum
9,9363AW,Buurlandt,Marum
10,9363AW,Buurlandt,Marum
11,9363AW,Buurlandt,Marum
12,9363AW,Buurlandt,Marum
13,9363AW,Buurlandt,Marum
14,9363AW,Buurlandt,Marum
15,9363AW,Buurlandt,Marum
16,9363AW,Buurlandt,Marum
17,9363AW,Buurlandt,Marum
18,9363AW,Buurlandt,Marum
19,9363AW,Buurlandt,Marum
21,9363AW,Buurlandt,Marum
23,9363AW,Buurlandt,Marum
25,9363AW,Buurlandt,Marum
27,9363AW,Buurlandt,Marum
29,9363AW,Buurlandt,Marum
1,9365TC,Carolieweg,Niebert
2,9365TD,Carolieweg,Niebert
3,9365TC,Carolieweg,Niebert
4,9365TD,Carolieweg,Niebert
5,9365TC,Carolieweg,Niebert
6,9365TD,Carolieweg,Niebert
7,9365TC,Carolieweg,Niebert
8,9365TD,Carolieweg,Niebert
9,9365TC,Carolieweg,Niebert
10,9365TD,Carolieweg,Niebert
11,9365TC,Carolieweg,Niebert
12,9365TD,Carolieweg,Niebert
13,9365TC,Carolieweg,Niebert
14,9365TD,Carolieweg,Niebert
15,9365TC,Carolieweg,Niebert
16,9365TD,Carolieweg,Niebert
17,9365TC,Carolieweg,Niebert
18,9365TD,Carolieweg,Niebert
19,9365TC,Carolieweg,Niebert
20,9365TD,Carolieweg,Niebert
21,9365TC,Carolieweg,Niebert
22,9365TD,Carolieweg,Niebert
23,9365TC,Carolieweg,Niebert
24,9365TD,Carolieweg,Niebert
25,9365TC,Carolieweg,Niebert
26,9365TD,Carolieweg,Niebert
27,9365TC,Carolieweg,Niebert
28,9365TD,Carolieweg,Niebert
29,9365TC,Carolieweg,Niebert
1,9364PJ,Coenderslaan,Nuis
3,9364PJ,Coenderslaan,Nuis
5,9364PJ,Coenderslaan,Nuis
7,9364PJ,Coenderslaan,Nuis
8,9364PK,Coenderslaan,Nuis
9,9364PJ,Coenderslaan,Nuis
10,9364PK,Coenderslaan,Nuis
11,9364PJ,Coenderslaan,Nuis
12,9364PK,Coenderslaan,Nuis
13,9364PJ,Coenderslaan,Nuis
14,9364PK,Coenderslaan,Nuis
15,9364PJ,Coenderslaan,Nuis
16,9364PK,Coenderslaan,Nuis
17,9364PJ,Coenderslaan,Nuis
18,9364PK,Coenderslaan,Nuis
19,9364PJ,Coenderslaan,Nuis
20,9364PK,Coenderslaan,Nuis
21,9364PJ,Coenderslaan,Nuis
22,9364PK,Coenderslaan,Nuis
23,9364PJ,Coenderslaan,Nuis
24,9364PK,Coenderslaan,Nuis
25,9364PJ,Coenderslaan,Nuis
1,9363KK,Cohnsheem,Marum
