9356VC,15,,Holmerpad,Tolbert
9351PS,12,,Diligencelaan,Leek
9356AH,11,,Meester Boonstraplantsoen,Tolbert
9351TA,12,,Diepswal,Leek
9351TA,13,,Diepswal,Leek
9351TA,10,,Diepswal,Leek
9828PW,1,,Lageland,Oostwold
9828PW,3,,Lageland,Oostwold
9828PW,5,,Lageland,Oostwold
9828PW,7,,Lageland,Oostwold
9351VD,14,,Kamerlingh-Onnesstraat,Leek
9351VE,2,,Lelystraat,Leek
9351VA,18,,Zernikelaan,Leek
9811TD,51,,Hoendiep,Enumatil
9351VJ,2,,Lorentzpark,Leek
9351VJ,4,,Lorentzpark,Leek
9351BZ,1,,Nieuwe Streek,Leek
9351BH,34,,Tolberterstraat,Leek
9351BA,3,,Tolberterstraat,Leek
9351BH,32,,Tolberterstraat,Leek
9351XN,42,,Watersingel,Leek
9351XN,43,,Watersingel,Leek
9351XN,44,,Watersingel,Leek
9351XN,45,,Watersingel,Leek
9351XN,46,,Watersingel,Leek
9351XN,47,,Watersingel,Leek
9351XN,48,,Watersingel,Leek
9351XN,49,,Watersingel,Leek
9351XN,50,,Watersingel,Leek
9351XN,51,,Watersingel,Leek
9351XN,52,,Watersingel,Leek
9351XN,53,,Watersingel,Leek
9351XN,54,,Watersingel,Leek
9351XN,55,,Watersingel,Leek
9351XN,56,,Watersingel,Leek
9351XN,57,,Watersingel,Leek
9351XN,58,,Watersingel,Leek
9351XN,59,,Watersingel,Leek
9351XN,60,,Watersingel,Leek
9351XN,61,,Watersingel,Leek
9351XN,62,,Watersingel,Leek
9351XN,63,,Watersingel,Leek
9351XN,64,,Watersingel,Leek
9351XN,65,,Watersingel,Leek
9351XN,66,,Watersingel,Leek
9351XN,67,,Watersingel,Leek
9351XN,68,,Watersingel,Leek
9351XN,69,,Watersingel,Leek
9351XN,70,,Watersingel,Leek
9351XN,71,,Watersingel,Leek
9351XN,72,,Watersingel,Leek
9351XN,74,,Watersingel,Leek
9351XN,76,,Watersingel,Leek
9351XN,78,,Watersingel,Leek
9351XN,80,,Watersingel,Leek
9351XN,82,,Watersingel,Leek
9351XN,84,,Watersingel,Leek
9351XN,86,,Watersingel,Leek
9351XN,88,,Watersingel,Leek
9351XA,2,,Weegbree,Leek
9351XA,4,,Weegbree,Leek
9351XA,6,,Weegbree,Leek
9351XA,10,,Weegbree,Leek
9351XA,12,,Weegbree,Leek
9351XA,14,,Weegbree,Leek
9351XA,16,,Weegbree,Leek
9351XA,18,,Weegbree,Leek
9351XA,20,,Weegbree,Leek
9351XA,24,,Weegbree,Leek
9351XA,26,,Weegbree,Leek
9351XA,28,,Weegbree,Leek
9351XE,1,,Wilg,Leek
9351XE,2,,Wilg,Leek
9351XE,3,,Wilg,Leek
9351XE,4,,Wilg,Leek
9351XE,5,,Wilg,Leek
9351XE,7,,Wilg,Leek
9351XE,8,,Wilg,Leek
9351XE,9,,Wilg,Leek
9351XE,10,,Wilg,Leek
9351XE,11,,Wilg,Leek
9351XE,12,,Wilg,Leek
9351XE,13,,Wilg,Leek
9351XE,14,,Wilg,Leek
9351XE,15,,Wilg,Leek
9351XE,16,,Wilg,Leek
9351XE,17,,Wilg,Leek
9351XE,18,,Wilg,Leek
9351XE,19,,Wilg,Leek
9351XE,20,,Wilg,Leek
9351XE,21,,Wilg,Leek
9351XE,22,,Wilg,Leek
9351XE,24,,Wilg,Leek
9351XE,26,,Wilg,Leek
9351XE,28,,Wilg,Leek
9351XE,30,,Wilg,Leek
9351XE,32,,Wilg,Leek
9351XE,34,,Wilg,Leek
9351XE,36,,Wilg,Leek
9351XE,38,,Wilg,Leek
9351XE,40,,Wilg,Leek
