9356EJ,11,,de Staal,Tolbert
9356EA,1,,Spant,Tolbert
9356EB,2,,Spant,Tolbert
9356EB,4,,Spant,Tolbert
9356EB,6,,Spant,Tolbert
9356EB,8,,Spant,Tolbert
9356EB,10,,Spant,Tolbert
9356EA,11,,Spant,Tolbert
9356EB,12,,Spant,Tolbert
9356EA,13,,Spant,Tolbert
9356EB,14,,Spant,Tolbert
9356EA,15,,Spant,Tolbert
9356EB,16,,Spant,Tolbert
9356EA,17,,Spant,Tolbert
9356EB,18,,Spant,Tolbert
9356EA,19,,Spant,Tolbert
9356EB,20,,Spant,Tolbert
9356EA,21,,Spant,Tolbert
9356EB,22,,Spant,Tolbert
9356EA,23,,Spant,Tolbert
9356EB,24,,Spant,Tolbert
9356EA,25,,Spant,Tolbert
9356EB,26,,Spant,Tolbert
9356EA,27,,Spant,Tolbert
9356EB,28,,Spant,Tolbert
9356EB,30,,Spant,Tolbert
9356EB,32,,Spant,Tolbert
9356EB,34,,Spant,Tolbert
9351AW,2,,Synagogeplein,Leek
9351AW,4,,Synagogeplein,Leek
9351AW,6,,Synagogeplein,Leek
9356EG,1,,'t Emmerrik,Tolbert
9356EH,2,,'t Emmerrik,Tolbert
9356EG,3,,'t Emmerrik,Tolbert
9356EH,4,,'t Emmerrik,Tolbert
9356EG,5,,'t Emmerrik,Tolbert
9356EH,6,,'t Emmerrik,Tolbert
9356EG,7,,'t Emmerrik,Tolbert
9356EH,8,,'t Emmerrik,Tolbert
9356EG,9,,'t Emmerrik,Tolbert
9356EH,10,,'t Emmerrik,Tolbert
9356EG,11,,'t Emmerrik,Tolbert
9356TH,10,,Noorderweg,Tolbert
9356TH,12,,Noorderweg,Tolbert
9356TH,14,,Noorderweg,Tolbert
9356TH,16,,Noorderweg,Tolbert
9356TH,20,,Noorderweg,Tolbert
9356TG,21,,Noorderweg,Tolbert
9356TH,22,,Noorderweg,Tolbert
9356TG,23,,Noorderweg,Tolbert
9356TH,24,,Noorderweg,Tolbert
9356TG,25,,Noorderweg,Tolbert
9356TH,26,,Noorderweg,Tolbert
9356TG,27,,Noorderweg,Tolbert
9356TH,28,,Noorderweg,Tolbert
9356TG,29,,Noorderweg,Tolbert
9356TG,31,,Noorderweg,Tolbert
9356TH,32,,Noorderweg,Tolbert
9356TG,33,,Noorderweg,Tolbert
9356TH,34,,Noorderweg,Tolbert
9356TH,36,,Noorderweg,Tolbert
9356TH,38,,Noorderweg,Tolbert
9351TE,1,,Oostindie,Leek
