9354VP,22,,Bremerweg,Zevenhuizen
9354VK,1,,Gravelandsewijk,Zevenhuizen
9354VK,2,,Gravelandsewijk,Zevenhuizen
9354VK,3,,Gravelandsewijk,Zevenhuizen
9354VK,4,,Gravelandsewijk,Zevenhuizen
9354VK,5,,Gravelandsewijk,Zevenhuizen
9354VK,6,,Gravelandsewijk,Zevenhuizen
9354VK,7,,Gravelandsewijk,Zevenhuizen
9354VK,8,,Gravelandsewijk,Zevenhuizen
9354VG,15,,Oudewijk,Zevenhuizen
9354VG,17,,Oudewijk,Zevenhuizen
9354VG,19,,Oudewijk,Zevenhuizen
9354VG,21,,Oudewijk,Zevenhuizen
9354VG,23,,Oudewijk,Zevenhuizen
9354VG,25,,Oudewijk,Zevenhuizen
9354VH,27,,Oudewijk,Zevenhuizen
9354VH,31,,Oudewijk,Zevenhuizen
9354VH,33,,Oudewijk,Zevenhuizen
9354VH,35,,Oudewijk,Zevenhuizen
9351ND,2,,Molenwieck,Leek
9351ND,4,,Molenwieck,Leek
9351ND,5,,Molenwieck,Leek
9351ND,6,,Molenwieck,Leek
9351ND,8,,Molenwieck,Leek
9351ND,9,,Molenwieck,Leek
9351ND,10,,Molenwieck,Leek
9351BR,20,,Pulvertorenstraat,Leek
9351BR,22,,Pulvertorenstraat,Leek
9351AN,58,,de Dam,Leek
9811PD,1,,Hoendiep,Enumatil
9811PE,2,,Hoendiep,Enumatil
9811PD,3,,Hoendiep,Enumatil
9811PE,4,,Hoendiep,Enumatil
9811PD,5,,Hoendiep,Enumatil
9811PE,6,,Hoendiep,Enumatil
9811PD,7,,Hoendiep,Enumatil
9811PE,8,,Hoendiep,Enumatil
9811PD,9,,Hoendiep,Enumatil
9811PE,10,,Hoendiep,Enumatil
9811PE,12,,Hoendiep,Enumatil
9811PD,15,,Hoendiep,Enumatil
9811PD,17,,Hoendiep,Enumatil
9811PD,19,,Hoendiep,Enumatil
9811PD,21,,Hoendiep,Enumatil
9811PD,25,,Hoendiep,Enumatil
9811TD,29,,Hoendiep,Enumatil
9811TD,31,,Hoendiep,Enumatil
9811TD,33,,Hoendiep,Enumatil
9811TD,35,,Hoendiep,Enumatil
9811TD,37,,Hoendiep,Enumatil
9811TD,39,,Hoendiep,Enumatil
9811TD,41,,Hoendiep,Enumatil
9811TD,43,,Hoendiep,Enumatil
9811TD,45,,Hoendiep,Enumatil
9811TD,47,,Hoendiep,Enumatil
9811TD,49,,Hoendiep,Enumatil
9811TD,53,,Hoendiep,Enumatil
9811TD,55,,Hoendiep,Enumatil
9811TD,59,,Hoendiep,Enumatil
9811TB,11,,Westerdijk,Enumatil
9811TB,12,,Westerdijk,Enumatil
9811TB,13,,Westerdijk,Enumatil
9811TB,14,,Westerdijk,Enumatil
9811TB,15,,Westerdijk,Enumatil
9811PG,17,,Westerdijk,Enumatil
9811TB,18,,Westerdijk,Enumatil
9811TB,20,,Westerdijk,Enumatil
9811PG,22,,Westerdijk,Enumatil
9811PG,24,,Westerdijk,Enumatil
9811PG,25,,Westerdijk,Enumatil
9811PG,27,,Westerdijk,Enumatil
9811PG,28,,Westerdijk,Enumatil
9351CX,1,,Goldbergplantsoen,Leek
9351CX,2,,Goldbergplantsoen,Leek
9351CX,3,,Goldbergplantsoen,Leek
9351CX,4,,Goldbergplantsoen,Leek
9351CX,5,,Goldbergplantsoen,Leek
9351CX,6,,Goldbergplantsoen,Leek
9351CX,7,,Goldbergplantsoen,Leek
9354VT,17,,Haspelwijk,Zevenhuizen
9351BT,1,,Hessel J. Smitstraat,Leek
9351BT,2,,Hessel J. Smitstraat,Leek
9351BT,3,,Hessel J. Smitstraat,Leek
9351BT,4,,Hessel J. Smitstraat,Leek
9351BT,6,,Hessel J. Smitstraat,Leek
9351BT,8,,Hessel J. Smitstraat,Leek
9351BT,10,,Hessel J. Smitstraat,Leek
9351BT,12,,Hessel J. Smitstraat,Leek
9351BT,14,,Hessel J. Smitstraat,Leek
9351BT,16,,Hessel J. Smitstraat,Leek
9811PE,24,,Hoendiep ZZ,Enumatil
9828TC,28,,Hoendiep ZZ,Oostwold
9828TC,32,,Hoendiep ZZ,Oostwold
9828TC,34,,Hoendiep ZZ,Oostwold
9828TC,36,,Hoendiep ZZ,Oostwold
9828TC,38,,Hoendiep ZZ,Oostwold
9828TC,40,,Hoendiep ZZ,Oostwold
9828TC,42,,Hoendiep ZZ,Oostwold
9828TC,44,,Hoendiep ZZ,Oostwold
9828TC,46,,Hoendiep ZZ,Oostwold
9828TC,48,,Hoendiep ZZ,Oostwold
9828TC,50,,Hoendiep ZZ,Oostwold
9356VC,1,,Holmerpad,Tolbert
9356VC,2,,Holmerpad,Tolbert
9356VC,4,,Holmerpad,Tolbert
9356VC,5,,Holmerpad,Tolbert
9356VC,6,,Holmerpad,Tolbert
9356VC,7,,Holmerpad,Tolbert
9356VC,8,,Holmerpad,Tolbert
9356VC,9,,Holmerpad,Tolbert
9356VC,10,,Holmerpad,Tolbert
9356VC,11,,Holmerpad,Tolbert
9356VC,14,,Holmerpad,Tolbert
9354AK,1,,Hoofddiep,Zevenhuizen
9354AP,2,,Hoofddiep,Zevenhuizen
9354AK,3,,Hoofddiep,Zevenhuizen
9354AP,4,,Hoofddiep,Zevenhuizen
9354AK,5,,Hoofddiep,Zevenhuizen
9354AP,6,,Hoofddiep,Zevenhuizen
9354AK,7,,Hoofddiep,Zevenhuizen
9354AP,8,,Hoofddiep,Zevenhuizen
9354AP,10,,Hoofddiep,Zevenhuizen
9354AP,12,,Hoofddiep,Zevenhuizen
9354AP,14,,Hoofddiep,Zevenhuizen
9354AK,15,,Hoofddiep,Zevenhuizen
9354AK,17,,Hoofddiep,Zevenhuizen
9354AP,18,,Hoofddiep,Zevenhuizen
9354AK,19,,Hoofddiep,Zevenhuizen
9354AP,20,,Hoofddiep,Zevenhuizen
9354AK,21,,Hoofddiep,Zevenhuizen
9354AK,23,,Hoofddiep,Zevenhuizen
9354AP,24,,Hoofddiep,Zevenhuizen
9351ND,11,,Molenwieck,Leek
9351ND,13,,Molenwieck,Leek
9351EM,3,,Euroweg,Leek
9351EN,4,,Euroweg,Leek
9351EM,17,,Euroweg,Leek
9351ED,29,,Benckemastraat,Leek
9351EA,17,,De Hulstlaan,Leek
9351ET,54,II,Euroweg,Leek
9351ET,54,I,Euroweg,Leek
9351ET,54,III,Euroweg,Leek
9356BK,1,,Meester J. Tuintjerstraat,Tolbert
9356BK,3,,Meester J. Tuintjerstraat,Tolbert
9356BK,5,,Meester J. Tuintjerstraat,Tolbert
9356BK,7,,Meester J. Tuintjerstraat,Tolbert
9356BK,9,,Meester J. Tuintjerstraat,Tolbert
9356BK,11,,Meester J. Tuintjerstraat,Tolbert
9356BK,13,,Meester J. Tuintjerstraat,Tolbert
9356BK,15,,Meester J. Tuintjerstraat,Tolbert
9356BK,17,,Meester J. Tuintjerstraat,Tolbert
9356BK,19,,Meester J. Tuintjerstraat,Tolbert
9351PX,2,,de Karos,Leek
9351PX,4,,de Karos,Leek
9351PX,6,,de Karos,Leek
9356AS,5,,Feithsweg,Tolbert
9356AS,6,,Feithsweg,Tolbert
9356AS,7,,Feithsweg,Tolbert
9356AS,9,,Feithsweg,Tolbert
9356AS,11,,Feithsweg,Tolbert
9356AS,13,,Feithsweg,Tolbert
9356AS,15,,Feithsweg,Tolbert
9356AS,17,,Feithsweg,Tolbert
9356AS,19,,Feithsweg,Tolbert
9356AS,21,,Feithsweg,Tolbert
9356AS,23,,Feithsweg,Tolbert
9356AS,4,,Feithsweg,Tolbert
9351CK,11,,Goldbergsingel,Leek
9354BC,3,,Bosplantsoen,Zevenhuizen
9354BD,4,,Bosplantsoen,Zevenhuizen
9354BC,39,,Bosplantsoen,Zevenhuizen
9354XL,3,,de Haspel-boven,Zevenhuizen
9354TS,7,I,Oostindischewijk,Zevenhuizen
9351CC,83,,Van Panhuyslaan,Leek
9351CC,85,,Van Panhuyslaan,Leek
9351AK,63,,Kerkweg,Leek
9351AR,47,,Boveneind,Leek
9351CX,8,,Goldbergplantsoen,Leek
9351CX,9,,Goldbergplantsoen,Leek
9351CX,10,,Goldbergplantsoen,Leek
9351CX,11,,Goldbergplantsoen,Leek
9351CX,12,,Goldbergplantsoen,Leek
9351CX,13,,Goldbergplantsoen,Leek
9351CX,14,,Goldbergplantsoen,Leek
9351CX,15,,Goldbergplantsoen,Leek
9351CX,16,,Goldbergplantsoen,Leek
9351CX,17,,Goldbergplantsoen,Leek
9351CX,19,,Goldbergplantsoen,Leek
9351CX,21,,Goldbergplantsoen,Leek
9351CX,23,,Goldbergplantsoen,Leek
9351CX,25,,Goldbergplantsoen,Leek
9351CX,27,,Goldbergplantsoen,Leek
9351CX,29,,Goldbergplantsoen,Leek
9351CX,31,,Goldbergplantsoen,Leek
9351AX,1,,de Wiecken,Leek
9351AX,3,,de Wiecken,Leek
9351AX,5,,de Wiecken,Leek
9351AX,7,,de Wiecken,Leek
9351AX,9,,de Wiecken,Leek
9351AX,11,,de Wiecken,Leek
9356BK,2,,Meester J. Tuintjerstraat,Tolbert
9356BK,4,,Meester J. Tuintjerstraat,Tolbert
9356BK,6,,Meester J. Tuintjerstraat,Tolbert
9356BK,8,,Meester J. Tuintjerstraat,Tolbert
9356BK,10,,Meester J. Tuintjerstraat,Tolbert
9356BK,12,,Meester J. Tuintjerstraat,Tolbert
9351NV,1,,De Schelp,Leek
9351NV,2,,De Schelp,Leek
9351NV,3,,De Schelp,Leek
9351NV,4,,De Schelp,Leek
9351NV,5,,De Schelp,Leek
9351NV,6,,De Schelp,Leek
9351NV,7,,De Schelp,Leek
9351NV,8,,De Schelp,Leek
9351NV,9,,De Schelp,Leek
9351NV,10,,De Schelp,Leek
9351NV,11,,De Schelp,Leek
9351NV,12,,De Schelp,Leek
9351NV,13,,De Schelp,Leek
9351NV,14,,De Schelp,Leek
9351NV,15,,De Schelp,Leek
9351NV,16,,De Schelp,Leek
9351NV,17,,De Schelp,Leek
9351NV,18,,De Schelp,Leek
9351NV,19,,De Schelp,Leek
9351NV,21,,De Schelp,Leek
9351NV,22,,De Schelp,Leek
9351NV,23,,De Schelp,Leek
9351NV,24,,De Schelp,Leek
9351NV,25,,De Schelp,Leek
9351NV,26,,De Schelp,Leek
9351NV,27,,De Schelp,Leek
9351NV,28,,De Schelp,Leek
9351NV,30,,De Schelp,Leek
9354AK,25,,Hoofddiep,Zevenhuizen
9354AK,27,,Hoofddiep,Zevenhuizen
9354AK,29,,Hoofddiep,Zevenhuizen
9354AL,31,,Hoofddiep,Zevenhuizen
9354AP,32,,Hoofddiep,Zevenhuizen
9354AL,33,,Hoofddiep,Zevenhuizen
9354AP,34,,Hoofddiep,Zevenhuizen
9354AL,35,,Hoofddiep,Zevenhuizen
9354AR,36,,Hoofddiep,Zevenhuizen
9354AL,37,,Hoofddiep,Zevenhuizen
9354AR,38,,Hoofddiep,Zevenhuizen
9354AL,41,,Hoofddiep,Zevenhuizen
9354AM,45,,Hoofddiep,Zevenhuizen
9354AR,46,,Hoofddiep,Zevenhuizen
9354AM,47,,Hoofddiep,Zevenhuizen
9354AM,49,,Hoofddiep,Zevenhuizen
9354AM,51,,Hoofddiep,Zevenhuizen
9354AR,52,,Hoofddiep,Zevenhuizen
9354AM,53,,Hoofddiep,Zevenhuizen
9354AR,54,,Hoofddiep,Zevenhuizen
9354AM,55,,Hoofddiep,Zevenhuizen
9354AM,57,,Hoofddiep,Zevenhuizen
9354AM,59,,Hoofddiep,Zevenhuizen
9354AR,60,,Hoofddiep,Zevenhuizen
9354AM,61,,Hoofddiep,Zevenhuizen
9354AR,64,,Hoofddiep,Zevenhuizen
9354AS,68,,Hoofddiep,Zevenhuizen
9354AS,70,,Hoofddiep,Zevenhuizen
9354AN,71,,Hoofddiep,Zevenhuizen
9354AS,72,,Hoofddiep,Zevenhuizen
9354AN,73,I,Hoofddiep,Zevenhuizen
9354AS,74,,Hoofddiep,Zevenhuizen
9354AN,75,,Hoofddiep,Zevenhuizen
9354AS,76,,Hoofddiep,Zevenhuizen
9354AN,77,,Hoofddiep,Zevenhuizen
9354AS,78,,Hoofddiep,Zevenhuizen
9354AS,80,,Hoofddiep,Zevenhuizen
9354AS,84,,Hoofddiep,Zevenhuizen
9354AS,86,,Hoofddiep,Zevenhuizen
9354AN,87,,Hoofddiep,Zevenhuizen
9827PA,143,,Hoofdstraat,Lettelbert
9827PA,145,,Hoofdstraat,Lettelbert
