16,9285TV,Beatrixstraat,Buitenpost
50,9285PL,de Schepperstraat,Buitenpost
51,9285PJ,de Schepperstraat,Buitenpost
52,9285PL,de Schepperstraat,Buitenpost
53,9285PJ,de Schepperstraat,Buitenpost
54,9285PL,de Schepperstraat,Buitenpost
55,9285PJ,de Schepperstraat,Buitenpost
56,9285PL,de Schepperstraat,Buitenpost
57,9285PJ,de Schepperstraat,Buitenpost
58,9285PL,de Schepperstraat,Buitenpost
59,9285PJ,de Schepperstraat,Buitenpost
60,9285PL,de Schepperstraat,Buitenpost
61,9285PJ,de Schepperstraat,Buitenpost
62,9285PL,de Schepperstraat,Buitenpost
63,9285PJ,de Schepperstraat,Buitenpost
64,9285PL,de Schepperstraat,Buitenpost
65,9285PJ,de Schepperstraat,Buitenpost
66,9285PL,de Schepperstraat,Buitenpost
68,9285PL,de Schepperstraat,Buitenpost
70,9285PL,de Schepperstraat,Buitenpost
72,9285PL,de Schepperstraat,Buitenpost
16,9281PX,Bouwe Harkemastrjitte,Harkema
29,9281PB,Kammingastrjitte,Harkema
31,9281PB,Kammingastrjitte,Harkema
33,9281PB,Kammingastrjitte,Harkema
7,9281LZ,Nijebuorren,Harkema
13,9281LZ,Nijebuorren,Harkema
15,9281LZ,Nijebuorren,Harkema
3,9288AK,Klaproas-strjitte,Kootstertille
5,9288AK,Klaproas-strjitte,Kootstertille
7,9288AK,Klaproas-strjitte,Kootstertille
43,9281LC,Reitsmastrjitte,Harkema
21,9288AB,Swanneblom-strjitte,Kootstertille
23,9288AB,Swanneblom-strjitte,Kootstertille
25,9288AB,Swanneblom-strjitte,Kootstertille
76,9288BR,Casimirstrjitte,Kootstertille
78,9288BR,Casimirstrjitte,Kootstertille
80,9288BR,Casimirstrjitte,Kootstertille
82,9288BR,Casimirstrjitte,Kootstertille
84,9288BR,Casimirstrjitte,Kootstertille
4,9288BV,Frisostrjitte,Kootstertille
17,9288BV,Frisostrjitte,Kootstertille
19,9288BV,Frisostrjitte,Kootstertille
21,9288BV,Frisostrjitte,Kootstertille
23,9288BV,Frisostrjitte,Kootstertille
25,9288BV,Frisostrjitte,Kootstertille
27,9288BV,Frisostrjitte,Kootstertille
26,9289JK,Bindert Japiksstrjitte,Drogeham
28,9289JK,Bindert Japiksstrjitte,Drogeham
30,9289JK,Bindert Japiksstrjitte,Drogeham
32,9289JK,Bindert Japiksstrjitte,Drogeham
32,9289HG,De Buorren,Drogeham
31,9289HJ,De Sânnen,Drogeham
37,9289HJ,De Sânnen,Drogeham
39,9289HJ,De Sânnen,Drogeham
24,9281LV,De Braek,Harkema
39,9231GZ,Verkerckstraat,Surhuisterveen
40,9231HB,Verkerckstraat,Surhuisterveen
41,9231GZ,Verkerckstraat,Surhuisterveen
42,9231HB,Verkerckstraat,Surhuisterveen
43,9231GZ,Verkerckstraat,Surhuisterveen
44,9231HB,Verkerckstraat,Surhuisterveen
45,9231GZ,Verkerckstraat,Surhuisterveen
51,9231GZ,Verkerckstraat,Surhuisterveen
53,9231GZ,Verkerckstraat,Surhuisterveen
55,9231GZ,Verkerckstraat,Surhuisterveen
16,9283TB,It Noard,Surhuizum
6,9283TV,It Súd,Surhuizum
35,9283TT,It Súd,Surhuizum
29,9286EJ,Mounewei,Twijzel
31,9286EJ,Mounewei,Twijzel
29,9286EM,Piterpôlle,Twijzel
34,9286GB,Tsjerkebuorren,Twijzel
55,9286ES,Wedzebuorren,Twijzel
7,9287LA,Bjirkewei,Twijzelerheide
68,9287LG,Bjirkewei,Twijzelerheide
115,9287LC,Bjirkewei,Twijzelerheide
3,9287NA,Gealewei,Twijzelerheide
5,9287NA,Gealewei,Twijzelerheide
7,9287NA,Gealewei,Twijzelerheide
8,9287NB,Gealewei,Twijzelerheide
34,9288BL,Willem Lodewijkstrjitte,Kootstertille
60,9288BM,Willem Lodewijkstrjitte,Kootstertille
62,9288BM,Willem Lodewijkstrjitte,Kootstertille
64,9288BM,Willem Lodewijkstrjitte,Kootstertille
1,9871PB,Zw.Kooistraat,Stroobos
3,9871PB,Zw.Kooistraat,Stroobos
5,9871PB,Zw.Kooistraat,Stroobos
32,9286ET,Wedzebuorren,Twijzel
123,9287LC,Bjirkewei,Twijzelerheide
7,9231BR,De Kamp,Surhuisterveen
9,9231BR,De Kamp,Surhuisterveen
11,9231BR,De Kamp,Surhuisterveen
13,9231BR,De Kamp,Surhuisterveen
15,9231BR,De Kamp,Surhuisterveen
17,9231BR,De Kamp,Surhuisterveen
19,9231BR,De Kamp,Surhuisterveen
21,9231BR,De Kamp,Surhuisterveen
23,9231BR,De Kamp,Surhuisterveen
19,9231BC,Zonneweide,Surhuisterveen
1,9283XD,De Loanekampen,Surhuizum
15,9283TW,Koartwâld,Surhuizum
23,9283TW,Koartwâld,Surhuizum
45,9231HC,De Leijen,Surhuisterveen
47,9231HC,De Leijen,Surhuisterveen
49,9231HC,De Leijen,Surhuisterveen
16,9231BL,De Omloop,Surhuisterveen
60,9281NG,Boekweitstrjitte,Harkema
62,9281NG,Boekweitstrjitte,Harkema
64,9281NG,Boekweitstrjitte,Harkema
66,9281NG,Boekweitstrjitte,Harkema
68,9281NG,Boekweitstrjitte,Harkema
70,9281NG,Boekweitstrjitte,Harkema
72,9281NG,Boekweitstrjitte,Harkema
74,9281NG,Boekweitstrjitte,Harkema
21,9285PR,Simke Kloostermanstraat,Buitenpost
23,9285PR,Simke Kloostermanstraat,Buitenpost
56,9285NT,Voorstraat,Buitenpost
10,9285PW,Waling Dykstrastraat,Buitenpost
12,9285PW,Waling Dykstrastraat,Buitenpost
15,9285WB,West,Buitenpost
27,9285WB,West,Buitenpost
56,9285WD,West,Buitenpost
74,9285WD,West,Buitenpost
10,9289HK,De Sânnen,Drogeham
22,9289HK,De Sânnen,Drogeham
11,9289HW,Dykswâl,Drogeham
49,9289JA,Dykswâl,Drogeham
14,9289LD,Hamsherne,Drogeham
10,9873PA,Verlaatsterweg,Gerkesklooster
18,9873PA,Verlaatsterweg,Gerkesklooster
70,9281KV,Betonwei,Harkema
4,9281NR,De Bosk,Harkema
1,9281LW,De Ripel,Harkema
2,9281LX,De Ripel,Harkema
3,9281LW,De Ripel,Harkema
4,9281LX,De Ripel,Harkema
5,9281LW,De Ripel,Harkema
6,9281LX,De Ripel,Harkema
7,9281LW,De Ripel,Harkema
1,9281NJ,Flaeksstrjitte,Harkema
3,9281NJ,Flaeksstrjitte,Harkema
5,9281NJ,Flaeksstrjitte,Harkema
25,9231GN,Munnikestraat,Surhuisterveen
27,9231GN,Munnikestraat,Surhuisterveen
29,9231GN,Munnikestraat,Surhuisterveen
31,9231GN,Munnikestraat,Surhuisterveen
31,9231HD,Munnikestraat,Surhuisterveen
22,9231BP,Zetveld,Surhuisterveen
24,9231BP,Zetveld,Surhuisterveen
1,9283XA,Ald Feart,Surhuizum
10,9283TX,Koartwâld,Surhuizum
21,9283TW,Koartwâld,Surhuizum
4,9286EN,Jan Ritskesstrjitte,Twijzel
125,9287LC,Bjirkewei,Twijzelerheide
127,9287LC,Bjirkewei,Twijzelerheide
19,9287LK,De Elzen,Twijzelerheide
21,9287LK,De Elzen,Twijzelerheide
23,9287LK,De Elzen,Twijzelerheide
25,9287LK,De Elzen,Twijzelerheide
1,9287LL,De Popels,Twijzelerheide
3,9287LL,De Popels,Twijzelerheide
5,9287LL,De Popels,Twijzelerheide
7,9287LL,De Popels,Twijzelerheide
9,9287LL,De Popels,Twijzelerheide
11,9287LL,De Popels,Twijzelerheide
12,9289JH,Bindert Japiksstrjitte,Drogeham
3,9873RK,Molenstraat,Gerkesklooster
2,9873TG,Oosterboeren,Gerkesklooster
4,9873PA,Verlaatsterweg,Gerkesklooster
6,9873PA,Verlaatsterweg,Gerkesklooster
23,9233KH,Zijlstrastrjitte,Boelenslaan
25,9233KH,Zijlstrastrjitte,Boelenslaan
27,9233KH,Zijlstrastrjitte,Boelenslaan
29,9233KH,Zijlstrastrjitte,Boelenslaan
31,9233KH,Zijlstrastrjitte,Boelenslaan
33,9233KH,Zijlstrastrjitte,Boelenslaan
55,9231EX,Dokter Keijserstraat,Surhuisterveen
56,9231GA,Dokter Keijserstraat,Surhuisterveen
57,9231EX,Dokter Keijserstraat,Surhuisterveen
54,9286GC,Tsjerkebuorren,Twijzel
49,9233KD,Boelenswei,Boelenslaan
22,9233LK,Spekloane,Boelenslaan
35,9233LL,Spekloane,Boelenslaan
59,9233LM,Spekloane,Boelenslaan
54,9285TH,Haersma de Withstraat,Buitenpost
5,9285PP,Halbertsmastraat,Buitenpost
34,9285PN,Halbertsmastraat,Buitenpost
36,9285PN,Halbertsmastraat,Buitenpost
38,9285PN,Halbertsmastraat,Buitenpost
40,9285PN,Halbertsmastraat,Buitenpost
42,9285PN,Halbertsmastraat,Buitenpost
44,9285PN,Halbertsmastraat,Buitenpost
46,9285PN,Halbertsmastraat,Buitenpost
48,9285PN,Halbertsmastraat,Buitenpost
50,9285PN,Halbertsmastraat,Buitenpost
52,9285PN,Halbertsmastraat,Buitenpost
54,9285PN,Halbertsmastraat,Buitenpost
4,9285PV,Harmen Sytstrastraat,Buitenpost
56,9285TM,Irenestraat,Buitenpost
23,9285WH,Jeltingalaan,Buitenpost
59,9285WJ,Jeltingalaan,Buitenpost
11,9285NA,Julianalaan,Buitenpost
53,9285SR,Kuipersweg,Buitenpost
55,9285SR,Kuipersweg,Buitenpost
6,9285RE,Mejontsmastraat,Buitenpost
4,9285TC,Oude Havenstraat,Buitenpost
64,9289HZ,Boskloane,Drogeham
6,9289HK,De Sânnen,Drogeham
5,9289HW,Dykswâl,Drogeham
7,9289HW,Dykswâl,Drogeham
9,9289HW,Dykswâl,Drogeham
7,9289LA,Lytse Wei,Drogeham
16,9289JN,Pastorykamp,Drogeham
1,9873PD,Hoogstraten,Gerkesklooster
21,9873TH,Sarabos,Gerkesklooster
15,9281LJ,De Singel,Harkema
18,9281PH,De Stûken,Harkema
46,9281PJ,De Stûken,Harkema
7,9281LN,Homear,Harkema
11,9281LN,Homear,Harkema
45,9281PB,Kammingastrjitte,Harkema
65,9281LA,Lytsewei,Harkema
3,9281NS,Nijewei,Harkema
47,9281NT,Nijewei,Harkema
65,9281NT,Nijewei,Harkema
2,9288AL,Dahlia-strjitte,Kootstertille
21,9288AD,Dahlia-strjitte,Kootstertille
23,9288AD,Dahlia-strjitte,Kootstertille
25,9288AD,Dahlia-strjitte,Kootstertille
27,9288AD,Dahlia-strjitte,Kootstertille
29,9288AD,Dahlia-strjitte,Kootstertille
31,9288AD,Dahlia-strjitte,Kootstertille
33,9288AD,Dahlia-strjitte,Kootstertille
35,9288AD,Dahlia-strjitte,Kootstertille
37,9288AD,Dahlia-strjitte,Kootstertille
39,9288AD,Dahlia-strjitte,Kootstertille
41,9288AD,Dahlia-strjitte,Kootstertille
43,9288AD,Dahlia-strjitte,Kootstertille
45,9288AD,Dahlia-strjitte,Kootstertille
47,9288AD,Dahlia-strjitte,Kootstertille
49,9288AD,Dahlia-strjitte,Kootstertille
51,9288AD,Dahlia-strjitte,Kootstertille
1,9288AL,Goudtsjeblom-strjitte,Kootstertille
24,9288AM,Goudtsjeblom-strjitte,Kootstertille
26,9288AM,Goudtsjeblom-strjitte,Kootstertille
28,9288AM,Goudtsjeblom-strjitte,Kootstertille
30,9288AM,Goudtsjeblom-strjitte,Kootstertille
32,9288AM,Goudtsjeblom-strjitte,Kootstertille
34,9288AM,Goudtsjeblom-strjitte,Kootstertille
12,9288AK,Klaproas-strjitte,Kootstertille
21,9288CC,Rykswei,Kootstertille
6,9231GM,Kloosterstraat,Surhuisterveen
8,9231GM,Kloosterstraat,Surhuisterveen
19,9231HN,Molenweg,Surhuisterveen
23,9231HN,Molenweg,Surhuisterveen
3,9231BZ,Van Voortstraat,Surhuisterveen
5,9231BZ,Van Voortstraat,Surhuisterveen
8,9231BZ,Van Voortstraat,Surhuisterveen
11,9231BZ,Van Voortstraat,Surhuisterveen
13,9288BS,Prins Willemstrjitte,Kootstertille
14,9288BT,Prins Willemstrjitte,Kootstertille
16,9288BT,Prins Willemstrjitte,Kootstertille
