17,9288XJ,Oastkern,Kootstertille
11,9281MJ,Mûzefalk,Harkema
13,9281MJ,Mûzefalk,Harkema
15,9281MJ,Mûzefalk,Harkema
31,9288AL,Goudtsjeblom-strjitte,Kootstertille
33,9288AL,Goudtsjeblom-strjitte,Kootstertille
35,9288AL,Goudtsjeblom-strjitte,Kootstertille
37,9288AL,Goudtsjeblom-strjitte,Kootstertille
39,9288AL,Goudtsjeblom-strjitte,Kootstertille
41,9288AL,Goudtsjeblom-strjitte,Kootstertille
43,9288AL,Goudtsjeblom-strjitte,Kootstertille
76,9285TB,Kerkstraat,Buitenpost
13,9285XK,Oost,Buitenpost
1,9285WV,Swaddepaad,Buitenpost
15,9285NM,Voorstraat,Buitenpost
32,9285WC,West,Buitenpost
1,9285LZ,Zwanebloem,Buitenpost
2,9285LZ,Zwanebloem,Buitenpost
7,9285LZ,Zwanebloem,Buitenpost
17,9289JR,Hearsgrêft,Drogeham
2,9289XL,Jan Gerkeswei,Drogeham
4,9289XL,Jan Gerkeswei,Drogeham
6,9289XL,Jan Gerkeswei,Drogeham
6,9289JV,Sânkop,Drogeham
21,9289JV,Sânkop,Drogeham
23,9289JV,Sânkop,Drogeham
34,9873RW,De Lauwers,Gerkesklooster
29,9231DX,Zoom,Surhuisterveen
7,9285JC,Earme Trije,Buitenpost
10,9285WP,Einsteinstraat,Buitenpost
26,9285WT,Franklinstraat,Buitenpost
5,9285XX,Newtonstraat,Buitenpost
9,9285KK,Ried,Buitenpost
12,9285KJ,Túnmelt,Buitenpost
18,9285KJ,Túnmelt,Buitenpost
11,9285KH,Berberkrûd,Buitenpost
13,9285KH,Berberkrûd,Buitenpost
30,9285WX,Egypte,Buitenpost
11,9285KG,Himellof,Buitenpost
3,9285KE,Roggeblom,Buitenpost
5,9285KE,Roggeblom,Buitenpost
7,9285KE,Roggeblom,Buitenpost
9,9285KE,Roggeblom,Buitenpost
2,9281MK,Klyster,Harkema
36,9873RW,De Lauwers,Gerkesklooster
47,9873RV,De Lauwers,Gerkesklooster
49,9873RV,De Lauwers,Gerkesklooster
51,9873RV,De Lauwers,Gerkesklooster
5,9873TG,Oosterboeren,Gerkesklooster
50,9281LM,De Singel,Harkema
7,9281RP,Dwerssingel,Harkema
3,9281LH,Fiifhuzen,Harkema
7,9288DA,Seine,Kootstertille
7,9231MH,Brandland,Surhuisterveen
9,9231MH,Brandland,Surhuisterveen
14,9231MH,Brandland,Surhuisterveen
16,9231MH,Brandland,Surhuisterveen
5,9231HW,Dalweg,Surhuisterveen
15,9231HW,Dalweg,Surhuisterveen
17,9231HW,Dalweg,Surhuisterveen
21,9231DB,Meander,Surhuisterveen
32,9231ML,Veenderij,Surhuisterveen
2,9283VK,Mûnefinne,Surhuizum
18,9286GK,Dobbe,Twijzel
31,9284TL,Siccamawei,Augustinusga
45,9284TT,Skoalikkers,Augustinusga
47,9284TT,Skoalikkers,Augustinusga
75,9233KE,Boelenswei,Boelenslaan
14,9233MA,De Wyk,Boelenslaan
16,9233MA,De Wyk,Boelenslaan
18,9233MA,De Wyk,Boelenslaan
31,9233MB,De Wyk,Boelenslaan
33,9233MB,De Wyk,Boelenslaan
35,9233MB,De Wyk,Boelenslaan
37,9233MB,De Wyk,Boelenslaan
11,9233KL,Piter Jellesstrjitte,Boelenslaan
92,9285TT,Bernhardlaan,Buitenpost
94,9285TT,Bernhardlaan,Buitenpost
1,9285LT,Gele Lis,Buitenpost
3,9285LT,Gele Lis,Buitenpost
5,9285LT,Gele Lis,Buitenpost
1,9285NV,Nijenstein,Buitenpost
10,9285LH,Poelruit,Buitenpost
14,9285LH,Poelruit,Buitenpost
15,9285LJ,Poelruit,Buitenpost
20,9285LH,Poelruit,Buitenpost
26,9285LH,Poelruit,Buitenpost
30,9285LH,Poelruit,Buitenpost
35,9285LJ,Poelruit,Buitenpost
4,9285WR,Wattstraat,Buitenpost
1,9285LP,Wollegras,Buitenpost
1,9285LS,Zegge,Buitenpost
4,9285LZ,Zwanebloem,Buitenpost
11,9289JR,Hearsgrêft,Drogeham
13,9289JR,Hearsgrêft,Drogeham
15,9289JR,Hearsgrêft,Drogeham
10,9289XL,Jan Gerkeswei,Drogeham
12,9289XL,Jan Gerkeswei,Drogeham
12,9289LA,Lytse Wei,Drogeham
63,9873RV,De Lauwers,Gerkesklooster
61,9281KV,Betonwei,Harkema
5,9281NZ,Feanterij,Harkema
17,9281SB,Ruterspet,Harkema
19,9281SB,Ruterspet,Harkema
20,9281SB,Ruterspet,Harkema
21,9281SB,Ruterspet,Harkema
22,9281SB,Ruterspet,Harkema
23,9281SB,Ruterspet,Harkema
