54,8701DS,A.H. van de Venstraat,Bolsward
13,8701CZ,Abraham Altstraat,Bolsward
23,8701CZ,Abraham Altstraat,Bolsward
5,8701CZ,Abraham Altstraat,Bolsward
14,8701DA,Abraham Altstraat,Bolsward
22,8701DA,Abraham Altstraat,Bolsward
38,8701DA,Abraham Altstraat,Bolsward
10,8701KE,Achter de Smeden,Bolsward
19,8701GK,De Diken,Bolsward
21,8701GK,De Diken,Bolsward
47,8701GL,De Diken,Bolsward
12,8701GM,De Diken,Bolsward
20,8701GM,De Diken,Bolsward
34,8701GM,De Diken,Bolsward
36,8701GM,De Diken,Bolsward
11,8701LC,De Domp,Bolsward
15,8701XR,Boudewijnstraat,Bolsward
29,8701XR,Boudewijnstraat,Bolsward
33,8701XR,Boudewijnstraat,Bolsward
39,8701XR,Boudewijnstraat,Bolsward
41,8701XR,Boudewijnstraat,Bolsward
47,8701XS,Boudewijnstraat,Bolsward
53,8701XS,Boudewijnstraat,Bolsward
57,8701XS,Boudewijnstraat,Bolsward
63,8701XS,Boudewijnstraat,Bolsward
65,8701XS,Boudewijnstraat,Bolsward
69,8701XS,Boudewijnstraat,Bolsward
81,8701XS,Boudewijnstraat,Bolsward
12,8701XT,Boudewijnstraat,Bolsward
6,8701XT,Boudewijnstraat,Bolsward
11,8701AR,Brigade Irenelaan,Bolsward
3,8701AR,Brigade Irenelaan,Bolsward
5,8701AR,Brigade Irenelaan,Bolsward
7,8701AR,Brigade Irenelaan,Bolsward
23,8701DB,Bauke de Vriesstraat,Bolsward
18,8701DC,Bauke de Vriesstraat,Bolsward
7,8702BD,Berkenburg,Bolsward
13,8701CA,Bote à Bolswertstraat,Bolsward
24,8701JP,'t Laag,Bolsward
29,8701JP,'t Laag,Bolsward
45,8702CJ,De Ielreager,Bolsward
49,8702CJ,De Ielreager,Bolsward
57,8702CJ,De Ielreager,Bolsward
12,8701HM,Broerestraat,Bolsward
15,8701HM,Broerestraat,Bolsward
2,8701HM,Broerestraat,Bolsward
3,8701HM,Broerestraat,Bolsward
26,8701XM,Brunostraat,Bolsward
2,8701XM,Brunostraat,Bolsward
44,8701XM,Brunostraat,Bolsward
21,8701AP,Burgemeester Praamsmalaan,Bolsward
22,8701AP,Burgemeester Praamsmalaan,Bolsward
13,8701CL,Burgemeester Praamsmalaan,Bolsward
7,8701CL,Burgemeester Praamsmalaan,Bolsward
43,8701EK,Claude Fonteijnestraat,Bolsward
6,8701EL,Claude Fonteijnestraat,Bolsward
46,8701EM,Claude Fonteijnestraat,Bolsward
19,8702CX,De Berchein,Bolsward
9,8702CX,De Berchein,Bolsward
10,8702CZ,De Berchein,Bolsward
32,8702CZ,De Berchein,Bolsward
10,8701LW,De Blink,Bolsward
16,8701LW,De Blink,Bolsward
2,8701GE,De Brekken,Bolsward
35,8701GR,De Bunders,Bolsward
41,8701GR,De Bunders,Bolsward
45,8701GR,De Bunders,Bolsward
46,8701GS,De Bunders,Bolsward
15,8701ZN,De Dammen,Bolsward
27,8701ZN,De Dammen,Bolsward
33,8701ZN,De Dammen,Bolsward
37,8701ZN,De Dammen,Bolsward
39,8701ZN,De Dammen,Bolsward
3,8701ZN,De Dammen,Bolsward
45,8701ZN,De Dammen,Bolsward
55,8701ZP,De Dammen,Bolsward
18,8701ZR,De Dammen,Bolsward
22,8701ZR,De Dammen,Bolsward
6,8701ZR,De Dammen,Bolsward
42,8701ZS,De Dammen,Bolsward
48,8701ZS,De Dammen,Bolsward
64,8701ZS,De Dammen,Bolsward
3,8701ZJ,De Skarren,Bolsward
51,8701ZK,De Skarren,Bolsward
8,8701ZL,De Skarren,Bolsward
32,8701ZM,De Skarren,Bolsward
36,8701ZM,De Skarren,Bolsward
10,8702CB,De Skries,Bolsward
12,8702CB,De Skries,Bolsward
22,8702CB,De Skries,Bolsward
42,8702CB,De Skries,Bolsward
14,8701ZE,De Slachten,Bolsward
17,8701ZE,De Slachten,Bolsward
1,8701ZE,De Slachten,Bolsward
16,8701LC,De Domp,Bolsward
14,8701LM,De Dracht,Bolsward
28,8701LM,De Dracht,Bolsward
15,8701LN,De Drift,Bolsward
24,8701LP,De Drift,Bolsward
4,8701GJ,De Ekers,Bolsward
5,8701GJ,De Ekers,Bolsward
6,8701GJ,De Ekers,Bolsward
9,8701GJ,De Ekers,Bolsward
21,8701GH,De Fjilden,Bolsward
7,8701GH,De Fjilden,Bolsward
9,8701GH,De Fjilden,Bolsward
11,8701LX,De Gear,Bolsward
12,8701LZ,De Gear,Bolsward
5,8701ZZ,De Greiden,Bolsward
11,8701LD,De Harst,Bolsward
18,8701LD,De Harst,Bolsward
32,8701LD,De Harst,Bolsward
8,8701LD,De Harst,Bolsward
1,8701ZX,De Hiemen,Bolsward
2,8701ZX,De Hiemen,Bolsward
12,8701LL,De Him,Bolsward
28,8701LL,De Him,Bolsward
6,8701LL,De Him,Bolsward
3,8702CS,De Hoants,Bolsward
