9151AE,2,002,Grândyk,Holwerd
9153BV,6,,Miedwei,Brantgum
9101SN,10,,Spriens,Dokkum
9101SN,12,,Spriens,Dokkum
9101SN,14,,Spriens,Dokkum
9101SN,16,,Spriens,Dokkum
9101MA,7,,Parksteeg,Dokkum
9133DN,4,,Toxopeuswei,Anjum
9101PR,2,,Havelandoweg,Dokkum
9101HX,47,01,Stationsweg,Dokkum
9101HX,47,02,Stationsweg,Dokkum
9101HX,47,03,Stationsweg,Dokkum
9101HX,47,04,Stationsweg,Dokkum
9101HX,47,05,Stationsweg,Dokkum
9101HX,47,06,Stationsweg,Dokkum
9101HX,47,07,Stationsweg,Dokkum
9101HX,47,08,Stationsweg,Dokkum
9101HX,47,09,Stationsweg,Dokkum
9101HX,47,10,Stationsweg,Dokkum
9101HX,47,11,Stationsweg,Dokkum
9101HX,47,12,Stationsweg,Dokkum
9101HX,47,13,Stationsweg,Dokkum
9101HX,47,14,Stationsweg,Dokkum
9101HX,47,15,Stationsweg,Dokkum
9101HX,47,16,Stationsweg,Dokkum
9101HX,47,17,Stationsweg,Dokkum
9101HX,47,18,Stationsweg,Dokkum
9101HX,47,19,Stationsweg,Dokkum
9101HX,47,20,Stationsweg,Dokkum
9101HX,47,21,Stationsweg,Dokkum
9101HX,47,22,Stationsweg,Dokkum
9101HX,47,23,Stationsweg,Dokkum
9101HX,47,24,Stationsweg,Dokkum
9101HX,47,25,Stationsweg,Dokkum
9101HX,47,26,Stationsweg,Dokkum
9101SN,3,,Spriens,Dokkum
9143DP,13,,Wiesterwei,Nes
9101CK,1,,Reyner Bogermanstrjitte,Dokkum
9101CJ,36,,Prof. U. Huberstraat,Dokkum
9101CJ,34,,Prof. U. Huberstraat,Dokkum
9101CJ,32,,Prof. U. Huberstraat,Dokkum
9101CJ,30,,Prof. U. Huberstraat,Dokkum
9101CJ,28,,Prof. U. Huberstraat,Dokkum
9101CJ,26,,Prof. U. Huberstraat,Dokkum
9101CJ,24,,Prof. U. Huberstraat,Dokkum
9101CJ,22,,Prof. U. Huberstraat,Dokkum
