9872PP,11,,Friese Streek,Stroobos
9283XE,2,,Hurde Eker,Surhuizum
9283XT,2,,Koaiwei,Surhuizum
9283XR,18,,Uterwei,Surhuizum
9286EG,88,,Optwizel,Twijzel
9285NG,7,,Stationsstraat,Buitenpost
9285NH,8,,Stationsstraat,Buitenpost
9285NH,10,,Stationsstraat,Buitenpost
9873PM,13,,De Flaphoek,Gerkesklooster
9873RA,8,,De Lege Finne,Gerkesklooster
9873PL,8,,De Poorthoek,Gerkesklooster
9873PJ,7,,De Voorstreek,Gerkesklooster
9873PJ,15,,De Voorstreek,Gerkesklooster
9873PJ,21,,De Voorstreek,Gerkesklooster
9873TD,3,,Dykhuzen,Gerkesklooster
9873TC,2,,Monnikeweg,Gerkesklooster
9873TH,19,,Sarabos,Gerkesklooster
9281KR,6,,Betonwei,Harkema
9281KR,13,,Betonwei,Harkema
9281KV,64,,Betonwei,Harkema
9281KP,1,,De Bulten,Harkema
9288BB,8,,Alde Hamsterwei,Kootstertille
9288BB,9,,Alde Hamsterwei,Kootstertille
9284TD,3,,Abrahamsplein,Augustinusga
9284TD,4,,Abrahamsplein,Augustinusga
9284TD,5,,Abrahamsplein,Augustinusga
9284XH,2,,Blauforlaet,Augustinusga
9281RL,20,,De Kriken,Harkema
9281KM,10,,De Rysloane,Harkema
9281PJ,66,,De Stûken,Harkema
9281NX,6,,De Wide Pet,Harkema
9281NX,12,,De Wide Pet,Harkema
9281KL,1,,Krúswei,Harkema
9281KL,3,,Krúswei,Harkema
9281KL,7,,Krúswei,Harkema
9281NT,61,,Nijewei,Harkema
9281NP,87,,Nijewei,Harkema
9286EA,3,,Optwizel,Twijzel
9286EA,9,,Optwizel,Twijzel
9286EA,15,,Optwizel,Twijzel
9286EA,17,,Optwizel,Twijzel
9286ED,18,,Optwizel,Twijzel
9286EA,19,,Optwizel,Twijzel
9286ED,20,,Optwizel,Twijzel
9286ED,24,,Optwizel,Twijzel
9286ED,28,,Optwizel,Twijzel
9286ED,32,,Optwizel,Twijzel
9285XL,44,,Oost,Buitenpost
9289KW,4,,Boskwei,Drogeham
9289HJ,3,,De Sânnen,Drogeham
9289HC,20,,Tillewei,Drogeham
9286EZ,13,,Tsjerkebuorren,Twijzel
9286GB,24,,Tsjerkebuorren,Twijzel
9286GB,26,,Tsjerkebuorren,Twijzel
9286EZ,27,,Tsjerkebuorren,Twijzel
9286GA,33,,Tsjerkebuorren,Twijzel
