13,8861HN,Patrimoniumstraat,Harlingen
6,8861HS,Petrus Feddesstraat,Harlingen
14,8861HS,Petrus Feddesstraat,Harlingen
7,8861HP,Petrus Feddesstraat,Harlingen
9,8861HP,Petrus Feddesstraat,Harlingen
13,8861HP,Petrus Feddesstraat,Harlingen
19,8861HP,Petrus Feddesstraat,Harlingen
21,8861HP,Petrus Feddesstraat,Harlingen
23,8861HP,Petrus Feddesstraat,Harlingen
25,8861HP,Petrus Feddesstraat,Harlingen
31,8861HR,Petrus Feddesstraat,Harlingen
29,8862AM,Pieter Jelles Troelstrastraat,Harlingen
35,8862AM,Pieter Jelles Troelstrastraat,Harlingen
10,8862AR,Pieter Jelles Troelstrastraat,Harlingen
20,8862AR,Pieter Jelles Troelstrastraat,Harlingen
22,8862AR,Pieter Jelles Troelstrastraat,Harlingen
24,8862AR,Pieter Jelles Troelstrastraat,Harlingen
26,8862AR,Pieter Jelles Troelstrastraat,Harlingen
6,8862WK,Nicolaas Beetsstraat,Harlingen
8,8862WK,Nicolaas Beetsstraat,Harlingen
14,8862WK,Nicolaas Beetsstraat,Harlingen
16,8862WK,Nicolaas Beetsstraat,Harlingen
18,8862WK,Nicolaas Beetsstraat,Harlingen
20,8862WK,Nicolaas Beetsstraat,Harlingen
24,8862WK,Nicolaas Beetsstraat,Harlingen
26,8862WK,Nicolaas Beetsstraat,Harlingen
28,8862WK,Nicolaas Beetsstraat,Harlingen
30,8862WK,Nicolaas Beetsstraat,Harlingen
36,8862WK,Nicolaas Beetsstraat,Harlingen
8,8861SJ,Liemendijk,Harlingen
10,8861SJ,Liemendijk,Harlingen
14,8861SJ,Liemendijk,Harlingen
22,8861SJ,Liemendijk,Harlingen
13,8862ZN,Loggerstraat,Harlingen
42,8862RC,Marnehiem,Harlingen
47,8861JG,Midlumerlaan,Harlingen
59,8861JJ,Midlumerlaan,Harlingen
79,8861JJ,Midlumerlaan,Harlingen
64,8861JN,Midlumerlaan,Harlingen
16,8862DE,Molenrak,Harlingen
13,8861DS,Moriaanstraat,Harlingen
60,8861CE,Lanen,Harlingen
78,8861CE,Lanen,Harlingen
14,8862WG,Mgr. W.H. Nolensstraat,Harlingen
51,8861JA,Nicolaas Baurstraat,Harlingen
8,8861HZ,Nicolaas Baurstraat,Harlingen
13,8862WJ,Nicolaas Beetsstraat,Harlingen
4,8862WK,Nicolaas Beetsstraat,Harlingen
38,8862WK,Nicolaas Beetsstraat,Harlingen
40,8862WK,Nicolaas Beetsstraat,Harlingen
5,8861XT,Nieuweburen,Harlingen
9,8861XT,Nieuweburen,Harlingen
2,8861TH,Nieuwstraat,Harlingen
4,8861TH,Nieuwstraat,Harlingen
6,8861TH,Nieuwstraat,Harlingen
20,8861TH,Nieuwstraat,Harlingen
32,8861TH,Nieuwstraat,Harlingen
46,8861TH,Nieuwstraat,Harlingen
56,8861TH,Nieuwstraat,Harlingen
58,8861TH,Nieuwstraat,Harlingen
14,8861SK,Noordergrachtswal,Harlingen
22,8861SK,Noordergrachtswal,Harlingen
26,8861SK,Noordergrachtswal,Harlingen
8,8861AN,Noorderhaven,Harlingen
3,8861HJ,Noorderkade,Harlingen
23,8861HJ,Noorderkade,Harlingen
7,8861HL,Noordoostersingel,Harlingen
11,8861HL,Noordoostersingel,Harlingen
17,8861HL,Noordoostersingel,Harlingen
13,8861XN,Nutstraat,Harlingen
19,8861XN,Nutstraat,Harlingen
6,8861XN,Nutstraat,Harlingen
5,8861SJ,Liemendijk,Harlingen
9,8862ZN,Loggerstraat,Harlingen
15,8862ZN,Loggerstraat,Harlingen
17,8862ZN,Loggerstraat,Harlingen
29,8862ZN,Loggerstraat,Harlingen
35,8861JG,Midlumerlaan,Harlingen
37,8861JG,Midlumerlaan,Harlingen
43,8861JG,Midlumerlaan,Harlingen
57,8861JJ,Midlumerlaan,Harlingen
75,8861JJ,Midlumerlaan,Harlingen
70,8861JP,Midlumerlaan,Harlingen
46,8861CD,Lanen,Harlingen
2,8862WG,Mgr. W.H. Nolensstraat,Harlingen
50,8862WH,Mgr. W.H. Nolensstraat,Harlingen
52,8862WH,Mgr. W.H. Nolensstraat,Harlingen
36,8861JL,Midlumerlaan,Harlingen
2,8861HX,Nicolaas Baurstraat,Harlingen
4,8861HX,Nicolaas Baurstraat,Harlingen
34,8861JA,Nicolaas Baurstraat,Harlingen
7,8862WJ,Nicolaas Beetsstraat,Harlingen
1,8861XT,Nieuweburen,Harlingen
13,8861TG,Nieuwstraat,Harlingen
26,8861TH,Nieuwstraat,Harlingen
6,8862DW,Noorderbalgen,Harlingen
16,8861SK,Noordergrachtswal,Harlingen
31,8861HJ,Noorderkade,Harlingen
13,8861HL,Noordoostersingel,Harlingen
43,8861HM,Noordoostersingel,Harlingen
3,8861XN,Nutstraat,Harlingen
7,8861XN,Nutstraat,Harlingen
11,8861XN,Nutstraat,Harlingen
17,8861XN,Nutstraat,Harlingen
41,8862VH,Jan Rudolf Thorbeckestraat,Harlingen
43,8862VH,Jan Rudolf Thorbeckestraat,Harlingen
49,8862VH,Jan Rudolf Thorbeckestraat,Harlingen
55,8862VH,Jan Rudolf Thorbeckestraat,Harlingen
12,8862VJ,Jan Rudolf Thorbeckestraat,Harlingen
28,8862VJ,Jan Rudolf Thorbeckestraat,Harlingen
36,8862VK,Jan Rudolf Thorbeckestraat,Harlingen
42,8862VK,Jan Rudolf Thorbeckestraat,Harlingen
50,8862VK,Jan Rudolf Thorbeckestraat,Harlingen
52,8862VK,Jan Rudolf Thorbeckestraat,Harlingen
62,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
74,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
76,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
80,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
88,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
94,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
102,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
104,8862VL,Jan Rudolf Thorbeckestraat,Harlingen
112,8862VM,Jan Rudolf Thorbeckestraat,Harlingen
37,8862XB,Joost van den Vondelstraat,Harlingen
41,8862XB,Joost van den Vondelstraat,Harlingen
43,8862XB,Joost van den Vondelstraat,Harlingen
55,8862XB,Joost van den Vondelstraat,Harlingen
57,8862XB,Joost van den Vondelstraat,Harlingen
67,8862XC,Joost van den Vondelstraat,Harlingen
30,8861KE,Kanaalweg,Harlingen
32,8861KE,Kanaalweg,Harlingen
48,8861KG,Kanaalweg,Harlingen
64,8862NC,Karveelstraat,Harlingen
66,8862NC,Karveelstraat,Harlingen
9,8861EL,Kerkpoortstraat,Harlingen
15,8861EL,Kerkpoortstraat,Harlingen
23,8861EL,Kerkpoortstraat,Harlingen
27,8861EL,Kerkpoortstraat,Harlingen
35,8861EL,Kerkpoortstraat,Harlingen
63,8861EL,Kerkpoortstraat,Harlingen
3,8862ZV,Klipperstraat,Harlingen
9,8862ZV,Klipperstraat,Harlingen
11,8862ZV,Klipperstraat,Harlingen
13,8862ZV,Klipperstraat,Harlingen
27,8862ZV,Klipperstraat,Harlingen
10,8862ZX,Klipperstraat,Harlingen
12,8862ZX,Klipperstraat,Harlingen
40,8861TA,Liemendijk,Harlingen
8,8861TD,Lombardstraat,Harlingen
39,8861JG,Midlumerlaan,Harlingen
61,8861JJ,Midlumerlaan,Harlingen
63,8861JJ,Midlumerlaan,Harlingen
71,8861JJ,Midlumerlaan,Harlingen
58,8861JM,Midlumerlaan,Harlingen
62,8861JN,Midlumerlaan,Harlingen
72,8861JP,Midlumerlaan,Harlingen
1,8861DS,Moriaanstraat,Harlingen
16,8861JL,Midlumerlaan,Harlingen
44,8862SK,Koningin Wilhelminastraat,Harlingen
13,8861EP,Hofstraat,Harlingen
1,8862RV,De Fortuin,Harlingen
21,8861DS,Moriaanstraat,Harlingen
17,8862TE,Prinses Margrietstraat,Harlingen
6,8862SJ,Koningin Wilhelminastraat,Harlingen
40,8862SK,Koningin Wilhelminastraat,Harlingen
42,8862SK,Koningin Wilhelminastraat,Harlingen
24,8862WG,Mgr. W.H. Nolensstraat,Harlingen
4,8861DV,Moriaanstraat,Harlingen
12,8862TH,Prinses Margrietstraat,Harlingen
20,8862TH,Prinses Margrietstraat,Harlingen
34,8862TJ,Prinses Margrietstraat,Harlingen
35,8862TG,Prinses Margrietstraat,Harlingen
36,8862TJ,Prinses Margrietstraat,Harlingen
37,8862TG,Prinses Margrietstraat,Harlingen
42,8862TJ,Prinses Margrietstraat,Harlingen
2,8862SL,Prinses Marijkestraat,Harlingen
42,8861CT,Schritsen,Harlingen
49,8861CS,Schritsen,Harlingen
3,8861BC,Voorstraat,Harlingen
7,8861BC,Voorstraat,Harlingen
25,8861BD,Voorstraat,Harlingen
133,8862AL,Achlumerdijk,Harlingen
1,8861KM,Almenumerweg,Harlingen
1,8862SE,Bolswardervaart,Harlingen
14,8862DZ,Schuitenzand,Harlingen
27,8857BH,Readyk,Wijnaldum
43,8862TK,Prinses Irenestraat,Harlingen
41,8862TK,Prinses Irenestraat,Harlingen
39,8862TK,Prinses Irenestraat,Harlingen
37,8862TK,Prinses Irenestraat,Harlingen
33,8862TK,Prinses Irenestraat,Harlingen
31,8862TK,Prinses Irenestraat,Harlingen
8,8861CV,Raamstraat,Harlingen
