9233TS,17,,Langewyk,Boelenslaan
9233LS,1,,Parksterreed,Boelenslaan
9233LX,2,,Ritmasterswyk,Boelenslaan
9233LX,4,,Ritmasterswyk,Boelenslaan
9233LX,6,,Ritmasterswyk,Boelenslaan
9231MJ,5,,Kloosterveen,Surhuisterveen
9284SL,6,,De Smidte,Augustinusga
9284SL,7,,De Smidte,Augustinusga
9284SL,8,,De Smidte,Augustinusga
9284KE,10,,It West,Augustinusga
9284KH,32,,It West,Augustinusga
9284KH,34,,It West,Augustinusga
9284SH,2,,Weinmakkerij,Augustinusga
9233KE,71,,Boelenswei,Boelenslaan
9285LT,2,,Gele Lis,Buitenpost
9285LT,4,,Gele Lis,Buitenpost
9285LT,8,,Gele Lis,Buitenpost
9285LT,10,,Gele Lis,Buitenpost
9285NJ,29,,Herbrandastraat,Buitenpost
9285NJ,31,,Herbrandastraat,Buitenpost
9285NJ,35,,Herbrandastraat,Buitenpost
9285NJ,37,,Herbrandastraat,Buitenpost
9285NJ,39,,Herbrandastraat,Buitenpost
9285NJ,41,,Herbrandastraat,Buitenpost
9285NJ,43,,Herbrandastraat,Buitenpost
9285NJ,45,,Herbrandastraat,Buitenpost
9287VN,31,,Wyldpaed (Oast),Twijzelerheide
9233KW,42,,Andrys Geartswei,Boelenslaan
9233KW,44,,Andrys Geartswei,Boelenslaan
9233KW,46,,Andrys Geartswei,Boelenslaan
9233KN,49,,Domela Nieuwenhuisstrjitte,Boelenslaan
9233KN,53,,Domela Nieuwenhuisstrjitte,Boelenslaan
9233TR,6,,Mûntsegroppe,Boelenslaan
9233LA,20,,Wildveld,Boelenslaan
9285TT,38,,Bernhardlaan,Buitenpost
9285TT,40,,Bernhardlaan,Buitenpost
9285MA,17,,De Lange Schoor,Buitenpost
9285MA,41,,De Lange Schoor,Buitenpost
9285MB,43,,De Lange Schoor,Buitenpost
9285MB,45,,De Lange Schoor,Buitenpost
9285MV,1,,De Vijzel,Buitenpost
9285MV,3,,De Vijzel,Buitenpost
9285MV,5,,De Vijzel,Buitenpost
9285MV,7,,De Vijzel,Buitenpost
9285MT,14,,Kruirad,Buitenpost
9285MT,16,,Kruirad,Buitenpost
9285MT,18,,Kruirad,Buitenpost
9285MT,20,,Kruirad,Buitenpost
9285MT,22,,Kruirad,Buitenpost
9285MT,25,,Kruirad,Buitenpost
9285MT,45,,Kruirad,Buitenpost
9285MT,47,,Kruirad,Buitenpost
9285VM,55,,Molenerf,Buitenpost
9289HD,37,,De Buorren,Drogeham
9289JM,19,,Master Hoeksmawei,Drogeham
9289JM,23,,Master Hoeksmawei,Drogeham
9873TA,1,,Izermieden,Gerkesklooster
9873RL,25,,Uithof,Gerkesklooster
9281PX,3,,Bouwe Harkemastrjitte,Harkema
9281MC,17,,De Elzen,Harkema
9281MD,18,,De Elzen,Harkema
9281MC,19,,De Elzen,Harkema
9281MD,20,,De Elzen,Harkema
9281MC,21,,De Elzen,Harkema
9231MG,6,,Verlaatsdam,Surhuisterveen
9281PW,110,,Warmoltsstrjitte,Harkema
9288XC,20,,Alde Dyk,Kootstertille
9288XC,22,,Alde Dyk,Kootstertille
9288AL,17,,Goudtsjeblom-strjitte,Kootstertille
9288AL,19,,Goudtsjeblom-strjitte,Kootstertille
9288AL,21,,Goudtsjeblom-strjitte,Kootstertille
9288AL,23,,Goudtsjeblom-strjitte,Kootstertille
9288AL,25,,Goudtsjeblom-strjitte,Kootstertille
9288AL,27,,Goudtsjeblom-strjitte,Kootstertille
9288AL,29,,Goudtsjeblom-strjitte,Kootstertille
9231DX,35,,Zoom,Surhuisterveen
9287LG,82,,Bjirkewei,Twijzelerheide
9233KR,48,,De Trije Roeden,Boelenslaan
9233LB,34,,Ds Visscherwei,Boelenslaan
9233LK,25,,Spekloane,Boelenslaan
9233LL,43,,Spekloane,Boelenslaan
9873RV,59,,De Lauwers,Gerkesklooster
9873RV,61,,De Lauwers,Gerkesklooster
9281SH,1,,Boukewyk,Harkema
9281SH,3,,Boukewyk,Harkema
9281SH,4,,Boukewyk,Harkema
9281SH,5,,Boukewyk,Harkema
9281SH,6,,Boukewyk,Harkema
9281SH,7,,Boukewyk,Harkema
9281SH,8,,Boukewyk,Harkema
9281SH,9,,Boukewyk,Harkema
9281MJ,4,,Mûzefalk,Harkema
9281MJ,6,,Mûzefalk,Harkema
9281SJ,17,,Ringwyk,Harkema
9288DC,2,,Harspit,Kootstertille
9288DC,4,,Harspit,Kootstertille
9288DC,9,,Harspit,Kootstertille
9288DC,11,,Harspit,Kootstertille
9288XJ,22,,Oastkern,Kootstertille
9231AC,6,,Blauwhuisterweg,Surhuisterveen
9231AA,21,,Blauwhuisterweg,Surhuisterveen
9231AD,48,,Blauwhuisterweg,Surhuisterveen
9231GV,12,,Taeke Schuilengalaan,Surhuisterveen
9231GV,14,,Taeke Schuilengalaan,Surhuisterveen
9231GV,16,,Taeke Schuilengalaan,Surhuisterveen
9283TR,23,,Bartemerwei,Surhuizum
9283XZ,3,,Doezumerwei,Surhuizum
9283TX,18,,Koartwâld,Surhuizum
9286EP,7,,Simke Kloostermanstrjitte,Twijzel
9286GN,17,,Tsjerkelân,Twijzel
9286GN,19,,Tsjerkelân,Twijzel
9286GN,29,,Tsjerkelân,Twijzel
9233MB,39,,De Wyk,Boelenslaan
9233LD,70,,Ds Visscherwei,Boelenslaan
9233LL,37,,Spekloane,Boelenslaan
9233LA,37,,Wildveld,Boelenslaan
9285KH,2,,Berberkrûd,Buitenpost
9285KH,3,,Berberkrûd,Buitenpost
9285KH,4,,Berberkrûd,Buitenpost
9285KH,6,,Berberkrûd,Buitenpost
9285KH,8,,Berberkrûd,Buitenpost
9285KH,10,,Berberkrûd,Buitenpost
9285KH,12,,Berberkrûd,Buitenpost
9285KH,15,,Berberkrûd,Buitenpost
9285KH,17,,Berberkrûd,Buitenpost
9285KG,1,,Himellof,Buitenpost
9285KG,3,,Himellof,Buitenpost
9285KG,5,,Himellof,Buitenpost
9285KG,7,,Himellof,Buitenpost
9285KG,9,,Himellof,Buitenpost
9285KG,10,,Himellof,Buitenpost
9285KG,12,,Himellof,Buitenpost
9285KG,14,,Himellof,Buitenpost
9285KG,16,,Himellof,Buitenpost
9231BH,3,,Vermaning,Surhuisterveen
9231BH,4,,Vermaning,Surhuisterveen
9231BH,5,,Vermaning,Surhuisterveen
9231BH,6,,Vermaning,Surhuisterveen
9231BH,9,,Vermaning,Surhuisterveen
9284SJ,1,,De Opslach,Augustinusga
9284SJ,4,,De Opslach,Augustinusga
9283VG,14,,De Treaskes,Surhuizum
9283TC,9,,Doarpsstrjitte,Surhuizum
9287KA,3,,De String,Twijzelerheide
9287MA,3,,De String,Twijzelerheide
9287MZ,4,,Oane Binnesloane,Twijzelerheide
9287MZ,6,,Oane Binnesloane,Twijzelerheide
9287NR,1,,Swâddepaed,Twijzelerheide
9287LS,22,,Tsjerkepaed,Twijzelerheide
9287LS,24,,Tsjerkepaed,Twijzelerheide
9287VN,4,,Wyldpaed (Oast),Twijzelerheide
9281SB,13,,Ruterspet,Harkema
9281SB,14,,Ruterspet,Harkema
9231DB,17,,Meander,Surhuisterveen
9231DB,19,,Meander,Surhuisterveen
9231KT,14,,Nije Jirden,Surhuisterveen
9231ML,30,,Veenderij,Surhuisterveen
9231ME,5,,Verlaatsdam,Surhuisterveen
