9164MV,156,,Wagendobbe,Buren
9164LX,6,,Duinlandsweg,Buren
9161AV,46,,Badweg,Hollum
9164MA,7,,Gladde Duuntjes,Buren
9164MA,17,,Gladde Duuntjes,Buren
9164MK,15,,Gladde Duuntjes,Buren
9164MB,37,,Sanduun,Buren
9164MM,7,,Sanduun,Buren
9164MB,47,,Sanduun,Buren
9164MM,19,,Sanduun,Buren
9164ME,116,,Hooirook,Buren
9164MS,2,,Hooirook,Buren
9164ME,128,,Hooirook,Buren
9164MS,19,,Hooirook,Buren
9163JV,30,,Achterdijken,Nes
9163JP,4,,Hoge Eggenweg,Nes
9164KD,28,,Paasduinweg,Buren
9164ME,305,,Noordhiem,Buren
9164MT,7,,Noordhiem,Buren
9164ME,304,,Noordhiem,Buren
9164MT,9,,Noordhiem,Buren
9163GA,19,,Ballumerweg,Nes
9161CZ,1,117,Oosterhiemweg,Hollum
9161CZ,1,131,Oosterhiemweg,Hollum
9161CZ,1,026,Oosterhiemweg,Hollum
9161CZ,1,080,Oosterhiemweg,Hollum
9163EA,18,,Pekmanshiëm,Nes
9163EC,9,,Molenplaat,Nes
9163EC,8,,Molenplaat,Nes
9163EC,18,,Molenplaat,Nes
9161AZ,4,,Hidde Dirks Katstraat,Hollum
9161AZ,14,,Hidde Dirks Katstraat,Hollum
9161CD,7,,Reddingbootweg,Hollum
9161CD,15,,Reddingbootweg,Hollum
9161CD,4,,Reddingbootweg,Hollum
9161CD,16,,Reddingbootweg,Hollum
9161AP,14,,Westerlaan,Hollum
9161AR,38,,Westerlaan,Hollum
9161AT,5,,Badweg,Hollum
9161AT,17,,Badweg,Hollum
9161AV,6,,Badweg,Hollum
9161BM,25,,Tussen Dijken,Hollum
9161CW,87,,De Blieke,Hollum
9161AE,1,,Zuiderlaan,Hollum
9161AL,40,,Burenlaan,Hollum
9163GL,51,032,Strandweg,Nes
9163GP,11,,Rixt van Doniastraat,Nes
9163GP,21,,Rixt van Doniastraat,Nes
9163GR,6,,Rixt van Doniastraat,Nes
9161DG,45,,Engelsmanhiem,Hollum
9161DG,57,,Engelsmanhiem,Hollum
9161DG,69,,Engelsmanhiem,Hollum
9161DG,6,,Engelsmanhiem,Hollum
9161DG,18,,Engelsmanhiem,Hollum
9161DG,28,,Engelsmanhiem,Hollum
9161DG,40,,Engelsmanhiem,Hollum
9161CW,46,,De Blieke,Hollum
9161CW,75,,De Blieke,Hollum
9161CW,56,,De Blieke,Hollum
9161DX,7,,Terpelânnen,Hollum
9161DZ,4,,Terpelânnen,Hollum
9161DP,5,,De Meer,Hollum
9161DP,17,,De Meer,Hollum
9162EM,22,,Camminghastraat,Ballum
9162EN,1,,Gerrit Kosterweg,Ballum
9162EN,13,,Gerrit Kosterweg,Ballum
9162EC,16,,Smitteweg,Ballum
9163GK,1,,Strandweg,Nes
9164KC,4,,Nieuweweg,Buren
9162SH,204,,Kemphaansduin,Ballum
9161AV,36,010,Badweg,Hollum
9161DN,1,,Blieneweg,Hollum
9161DD,6,,Blieneweg,Hollum
9161DN,6,,Blieneweg,Hollum
9161DD,8,,Blieneweg,Hollum
9161DN,8,,Blieneweg,Hollum
9161DD,10,,Blieneweg,Hollum
9161DN,10,,Blieneweg,Hollum
9161DD,12,,Blieneweg,Hollum
9161DN,12,,Blieneweg,Hollum
9162GC,3,,Abehiem,Ballum
9162GC,5,,Abehiem,Ballum
9162GC,7,,Abehiem,Ballum
9162SN,321,,Ericaveld,Ballum
9163EE,5,,Klaas Glasweg,Nes
9163EE,6,,Klaas Glasweg,Nes
9163EG,8,,Oliviershiem,Nes
9163EG,5,,Oliviershiem,Nes
9163EG,9,,Oliviershiem,Nes
9164ME,104,,Gladde Duuntjes,Buren
9164MK,49,,Gladde Duuntjes,Buren
9164MD,105,,Gladde Duuntjes,Buren
9164MK,1,,Gladde Duuntjes,Buren
9163KN,80,,Excelsiorstraat,Nes
9162GC,8,,Abehiem,Ballum
9163JP,2,,Hoge Eggenweg,Nes
9164KA,67,,Strandweg,Buren
9163HE,16,,Torenstraat,Nes
9163HV,1,,Paasduinweg,Nes
9163JT,13,,Jacobshiem,Nes
9161CM,56,,Koudenburgweg,Hollum
9162EA,6,,Jelmeraweg,Ballum
9164ME,300,,Noordhiem,Buren
9164MT,1,,Noordhiem,Buren
9164ME,306,,Noordhiem,Buren
9164MT,13,,Noordhiem,Buren
9164ME,308,,Roggelan,Buren
9164MW,10,,Roggelan,Buren
9164ME,310,,Roggelan,Buren
9164MW,6,,Roggelan,Buren
9164ME,312,,Roggelan,Buren
9164MW,2,,Roggelan,Buren
9161AS,5,,De Klonjes,Hollum
