8701GD,6,,Franekereind,Bolsward
8701PA,10,,Snekervaart,Bolsward
8701WB,17,,Workumertrekweg,Bolsward
8701MC,126,,De Marne,Bolsward
8701MC,134,,De Marne,Bolsward
8701KL,22,,Nieuwmarkt,Bolsward
8701MH,204,,De Marne,Bolsward
8701MH,211,,De Marne,Bolsward
8701DX,7,,Schoolstraat,Bolsward
8701PC,5,,Laad en Zaad,Bolsward
8701PV,67,,De Marne,Bolsward
8701PV,65,,De Marne,Bolsward
8701AL,9,,Floridus Campuslaan,Bolsward
8701AL,11,,Floridus Campuslaan,Bolsward
8701AL,13,,Floridus Campuslaan,Bolsward
8701AL,17,,Floridus Campuslaan,Bolsward
8701CG,37,,Nanne Reijnstraat,Bolsward
8701AL,23,,Floridus Campuslaan,Bolsward
8701AL,25,,Floridus Campuslaan,Bolsward
8701VG,12,,'t Houckemaland,Bolsward
8701VG,4,,'t Houckemaland,Bolsward
8701VG,6,,'t Houckemaland,Bolsward
8701VG,8,,'t Houckemaland,Bolsward
8701VG,10,,'t Houckemaland,Bolsward
8701VG,14,,'t Houckemaland,Bolsward
8701VG,16,,'t Houckemaland,Bolsward
8701VG,18,,'t Houckemaland,Bolsward
8701VG,20,,'t Houckemaland,Bolsward
8701VG,22,,'t Houckemaland,Bolsward
8701VG,24,,'t Houckemaland,Bolsward
8701VG,26,,'t Houckemaland,Bolsward
8701VG,28,,'t Houckemaland,Bolsward
8701VG,30,,'t Houckemaland,Bolsward
8701VG,32,,'t Houckemaland,Bolsward
8701VG,34,,'t Houckemaland,Bolsward
8701VG,36,,'t Houckemaland,Bolsward
8701VG,38,,'t Houckemaland,Bolsward
8701VG,40,,'t Houckemaland,Bolsward
8701VG,42,,'t Houckemaland,Bolsward
8701VC,1,,Catrijn Epessingel,Bolsward
8701VC,2,,Catrijn Epessingel,Bolsward
8701VC,3,,Catrijn Epessingel,Bolsward
8701VC,4,,Catrijn Epessingel,Bolsward
8701VC,5,,Catrijn Epessingel,Bolsward
8701VC,6,,Catrijn Epessingel,Bolsward
8701VC,7,,Catrijn Epessingel,Bolsward
8701VC,8,,Catrijn Epessingel,Bolsward
8701VC,9,,Catrijn Epessingel,Bolsward
8701VC,10,,Catrijn Epessingel,Bolsward
8701VC,11,,Catrijn Epessingel,Bolsward
8701VC,12,,Catrijn Epessingel,Bolsward
8701VC,13,,Catrijn Epessingel,Bolsward
8701VC,14,,Catrijn Epessingel,Bolsward
8701VC,15,,Catrijn Epessingel,Bolsward
8701VC,16,,Catrijn Epessingel,Bolsward
8701AL,15,,Floridus Campuslaan,Bolsward
8701AL,19,,Floridus Campuslaan,Bolsward
8701AL,21,,Floridus Campuslaan,Bolsward
8701AL,27,,Floridus Campuslaan,Bolsward
8701AL,29,,Floridus Campuslaan,Bolsward
8701AL,31,,Floridus Campuslaan,Bolsward
8701AL,33,,Floridus Campuslaan,Bolsward
8701AL,35,,Floridus Campuslaan,Bolsward
8701AL,37,,Floridus Campuslaan,Bolsward
8701AL,39,,Floridus Campuslaan,Bolsward
8701AL,41,,Floridus Campuslaan,Bolsward
8701AL,43,,Floridus Campuslaan,Bolsward
8701AL,45,,Floridus Campuslaan,Bolsward
8701AL,47,,Floridus Campuslaan,Bolsward
8701AL,49,,Floridus Campuslaan,Bolsward
8701AL,51,,Floridus Campuslaan,Bolsward
8701VC,17,,Catrijn Epessingel,Bolsward
8701VC,18,,Catrijn Epessingel,Bolsward
8701VC,19,,Catrijn Epessingel,Bolsward
8701VC,20,,Catrijn Epessingel,Bolsward
8701VC,21,,Catrijn Epessingel,Bolsward
8701VC,22,,Catrijn Epessingel,Bolsward
8701VC,23,,Catrijn Epessingel,Bolsward
8701VC,24,,Catrijn Epessingel,Bolsward
8701VC,25,,Catrijn Epessingel,Bolsward
8701VC,26,,Catrijn Epessingel,Bolsward
8701VC,27,,Catrijn Epessingel,Bolsward
8701VC,28,,Catrijn Epessingel,Bolsward
8701VC,29,,Catrijn Epessingel,Bolsward
8701VC,30,,Catrijn Epessingel,Bolsward
8701VC,31,,Catrijn Epessingel,Bolsward
8701VD,1,,Tecla Hesselsstraat,Bolsward
8701VD,2,,Tecla Hesselsstraat,Bolsward
8701VD,3,,Tecla Hesselsstraat,Bolsward
8701VD,4,,Tecla Hesselsstraat,Bolsward
8701VD,5,,Tecla Hesselsstraat,Bolsward
8701VD,6,,Tecla Hesselsstraat,Bolsward
8701VD,7,,Tecla Hesselsstraat,Bolsward
8701VD,8,,Tecla Hesselsstraat,Bolsward
8701VE,1,,Lysbet Lubbertsstraat,Bolsward
8701VE,3,,Lysbet Lubbertsstraat,Bolsward
8701VE,5,,Lysbet Lubbertsstraat,Bolsward
8701VE,7,,Lysbet Lubbertsstraat,Bolsward
8701VE,2,,Lysbet Lubbertsstraat,Bolsward
8701VE,4,,Lysbet Lubbertsstraat,Bolsward
8701VE,6,,Lysbet Lubbertsstraat,Bolsward
8701VE,8,,Lysbet Lubbertsstraat,Bolsward
8701VE,10,,Lysbet Lubbertsstraat,Bolsward
8701VE,12,,Lysbet Lubbertsstraat,Bolsward
