8851GH,21,,Sinaedawei,Tzummarum
8802CC,27,,Prins Bernhardlaan,Franeker
8851GA,4,,Skoalstrjitte,Tzummarum
8851GA,10,,Skoalstrjitte,Tzummarum
8851GA,12,,Skoalstrjitte,Tzummarum
8851GA,14,,Skoalstrjitte,Tzummarum
8851GA,1,,Skoalstrjitte,Tzummarum
8851GA,3,,Skoalstrjitte,Tzummarum
8851GA,7,,Skoalstrjitte,Tzummarum
8802CC,29,,Prins Bernhardlaan,Franeker
8851GA,11,,Skoalstrjitte,Tzummarum
8851GA,13,,Skoalstrjitte,Tzummarum
8851ET,2,,Skûtebuorren,Tzummarum
8851ET,10,,Skûtebuorren,Tzummarum
8851EM,2,,Smidssteech,Tzummarum
8802CC,31,,Prins Bernhardlaan,Franeker
8851EX,2,,Stasjonswei,Tzummarum
8802XE,81,,Schalsumerweg,Franeker
8802NN,28,,Schoener,Franeker
8802NN,38,,Schoener,Franeker
8801PP,38,,Frisia,Franeker
8801DR,1,,Saxenstate,Franeker
8801DR,2,,Saxenstate,Franeker
8801DR,3,,Saxenstate,Franeker
8801DR,4,,Saxenstate,Franeker
8801DR,5,,Saxenstate,Franeker
8801DR,6,,Saxenstate,Franeker
8801DR,8,,Saxenstate,Franeker
8802MD,13,,Binnenhof,Franeker
8801DR,9,,Saxenstate,Franeker
8801DR,10,,Saxenstate,Franeker
8801DR,12,,Saxenstate,Franeker
8801DR,13,,Saxenstate,Franeker
8801DR,14,,Saxenstate,Franeker
8801DR,15,,Saxenstate,Franeker
8801DR,16,,Saxenstate,Franeker
8801DR,17,,Saxenstate,Franeker
8801DR,18,,Saxenstate,Franeker
8802MD,15,,Binnenhof,Franeker
8801DR,19,,Saxenstate,Franeker
8801DR,21,,Saxenstate,Franeker
8801DR,22,,Saxenstate,Franeker
8801DR,23,,Saxenstate,Franeker
8801DR,24,,Saxenstate,Franeker
8801DR,25,,Saxenstate,Franeker
8801DR,26,,Saxenstate,Franeker
8801DR,27,,Saxenstate,Franeker
8801DR,28,,Saxenstate,Franeker
8802MD,17,,Binnenhof,Franeker
8801DR,29,,Saxenstate,Franeker
8801DR,30,,Saxenstate,Franeker
8801PD,24,,De Gideon,Franeker
8811HV,7,,Suderom,Ried
8806KM,56,,H S Sytstrastrjitte,Achlum
8801PD,22,,De Gideon,Franeker
8801PD,8,,De Gideon,Franeker
8801PD,26,,De Gideon,Franeker
8802MD,19,,Binnenhof,Franeker
8801PP,30,,Frisia,Franeker
8801PD,16,,De Gideon,Franeker
8801PD,5,,De Gideon,Franeker
