8861CG,1,,Spekmarkt,Harlingen
8861XV,11,2,Spinhuisstraat,Harlingen
8861XV,11,4,Spinhuisstraat,Harlingen
8861XV,11,5,Spinhuisstraat,Harlingen
8861XV,11,6,Spinhuisstraat,Harlingen
8861XV,11,,Spinhuisstraat,Harlingen
8861XV,7,,Spinhuisstraat,Harlingen
8861XT,2,,Spinstraat,Harlingen
8861GA,6,,Stationsweg,Harlingen
8861XV,4,,Steenhouwersstraat,Harlingen
8861ET,5,,Tiepelplein,Harlingen
8861GT,15,,Tjerk Hiddes de Vriesstraat,Harlingen
8861GV,35,,Tjerk Hiddes de Vriesstraat,Harlingen
8861GX,34,,Tjerk Hiddes de Vriesstraat,Harlingen
8861GZ,48,,Tjerk Hiddes de Vriesstraat,Harlingen
8861GZ,50,,Tjerk Hiddes de Vriesstraat,Harlingen
8861GZ,52,,Tjerk Hiddes de Vriesstraat,Harlingen
8862BG,10,,Vierkantsdijk,Harlingen
8862BG,12,,Vierkantsdijk,Harlingen
8862BG,14,,Vierkantsdijk,Harlingen
8862BG,16,,Vierkantsdijk,Harlingen
8862BG,18,,Vierkantsdijk,Harlingen
8862BG,20,,Vierkantsdijk,Harlingen
8862BG,22,,Vierkantsdijk,Harlingen
8862BG,24,,Vierkantsdijk,Harlingen
8862BG,26,,Vierkantsdijk,Harlingen
8862BG,28,,Vierkantsdijk,Harlingen
8862BG,2,,Vierkantsdijk,Harlingen
8862BG,30,,Vierkantsdijk,Harlingen
8862BG,4,,Vierkantsdijk,Harlingen
8862BG,6,,Vierkantsdijk,Harlingen
8862BG,8,,Vierkantsdijk,Harlingen
8862BH,32,,Vierkantsdijk,Harlingen
8862BH,34,,Vierkantsdijk,Harlingen
8862BH,36,,Vierkantsdijk,Harlingen
8862BH,38,,Vierkantsdijk,Harlingen
8862BH,40,,Vierkantsdijk,Harlingen
8862BH,42,,Vierkantsdijk,Harlingen
8862BH,44,,Vierkantsdijk,Harlingen
8862BH,46,,Vierkantsdijk,Harlingen
8862BH,48,,Vierkantsdijk,Harlingen
8862BH,50,,Vierkantsdijk,Harlingen
8862BH,52,,Vierkantsdijk,Harlingen
8862BH,56,,Vierkantsdijk,Harlingen
8862BH,58,,Vierkantsdijk,Harlingen
8862BH,60,,Vierkantsdijk,Harlingen
8862BJ,62,,Vierkantsdijk,Harlingen
8862BJ,66,,Vierkantsdijk,Harlingen
8862BJ,68,,Vierkantsdijk,Harlingen
8862BJ,70,,Vierkantsdijk,Harlingen
8862BJ,72,,Vierkantsdijk,Harlingen
8862BJ,74,,Vierkantsdijk,Harlingen
8862BK,78,,Vierkantsdijk,Harlingen
8862BK,80,,Vierkantsdijk,Harlingen
8862BK,82,,Vierkantsdijk,Harlingen
8862BK,84,,Vierkantsdijk,Harlingen
8862BK,86,,Vierkantsdijk,Harlingen
8862BK,90,12,Vierkantsdijk,Harlingen
8862VP,37,,Abraham Kuyperstraat,Harlingen
8862VP,41,,Abraham Kuyperstraat,Harlingen
8862VV,52,,Abraham Kuyperstraat,Harlingen
8862VR,63,,Abraham Kuyperstraat,Harlingen
8862VR,81,,Abraham Kuyperstraat,Harlingen
8862VR,91,,Abraham Kuyperstraat,Harlingen
8862VR,93,,Abraham Kuyperstraat,Harlingen
8862VR,95,,Abraham Kuyperstraat,Harlingen
8862VR,97,,Abraham Kuyperstraat,Harlingen
8862AJ,11,,Achlumerdijk,Harlingen
8862AJ,15,,Achlumerdijk,Harlingen
8862AJ,17,,Achlumerdijk,Harlingen
8862AJ,21,,Achlumerdijk,Harlingen
8862AJ,23,,Achlumerdijk,Harlingen
8862AK,27,,Achlumerdijk,Harlingen
8862AK,29,,Achlumerdijk,Harlingen
8862AK,31,,Achlumerdijk,Harlingen
8862AK,33,,Achlumerdijk,Harlingen
8862AJ,6,,Achlumerdijk,Harlingen
8861SV,65,,Zoutsloot,Harlingen
8861SW,103,,Zoutsloot,Harlingen
8861SW,111,,Zoutsloot,Harlingen
8861SW,117,,Zoutsloot,Harlingen
8861SX,10,,Zoutsloot,Harlingen
8861SX,12,,Zoutsloot,Harlingen
8861SX,18,,Zoutsloot,Harlingen
8861SZ,42,,Zoutsloot,Harlingen
8861TA,80,,Zoutsloot,Harlingen
8861TA,92,,Zoutsloot,Harlingen
8861TA,94,,Zoutsloot,Harlingen
8861EW,11,,Zuiderbolwerk,Harlingen
8861EW,1,,Zuiderbolwerk,Harlingen
8857BB,4,,De Utergerzen,Wijnaldum
8861CK,21,,Zuiderhaven,Harlingen
8861CK,25,,Zuiderhaven,Harlingen
8861CK,37,,Zuiderhaven,Harlingen
8861CK,41,,Zuiderhaven,Harlingen
8861CK,45,,Zuiderhaven,Harlingen
8861CK,51,,Zuiderhaven,Harlingen
8861CK,55,,Zuiderhaven,Harlingen
8861CL,63,10,Zuiderhaven,Harlingen
8861CL,63,11,Zuiderhaven,Harlingen
8861CL,63,12,Zuiderhaven,Harlingen
8861CL,63,13,Zuiderhaven,Harlingen
8861CL,63,14,Zuiderhaven,Harlingen
8861CL,63,15,Zuiderhaven,Harlingen
8861CL,63,16,Zuiderhaven,Harlingen
8861CL,63,20,Zuiderhaven,Harlingen
8861CL,63,21,Zuiderhaven,Harlingen
8861CL,63,22,Zuiderhaven,Harlingen
8861CL,63,23,Zuiderhaven,Harlingen
8861CL,63,24,Zuiderhaven,Harlingen
8861CL,63,25,Zuiderhaven,Harlingen
8861CL,63,26,Zuiderhaven,Harlingen
8861CL,63,27,Zuiderhaven,Harlingen
8861CL,63,30,Zuiderhaven,Harlingen
8861CL,63,31,Zuiderhaven,Harlingen
8861CL,63,32,Zuiderhaven,Harlingen
8861CL,63,33,Zuiderhaven,Harlingen
8861CL,63,34,Zuiderhaven,Harlingen
8861CL,63,36,Zuiderhaven,Harlingen
8861CL,63,37,Zuiderhaven,Harlingen
8861CM,65,,Zuiderhaven,Harlingen
8861CM,71,,Zuiderhaven,Harlingen
8861CM,77,,Zuiderhaven,Harlingen
8861CM,83,,Zuiderhaven,Harlingen
8861XB,10,,Zuiderhaven,Harlingen
8861XB,12,,Zuiderhaven,Harlingen
8861XB,2,,Zuiderhaven,Harlingen
8861XB,4,,Zuiderhaven,Harlingen
8861XV,18,,Zuiderhaven,Harlingen
8861XV,24,,Zuiderhaven,Harlingen
8861XV,28,,Zuiderhaven,Harlingen
8861XV,30,,Zuiderhaven,Harlingen
8861XV,32,,Zuiderhaven,Harlingen
8861XV,34,,Zuiderhaven,Harlingen
8861XV,36,,Zuiderhaven,Harlingen
8861XV,38,,Zuiderhaven,Harlingen
8861XV,40,,Zuiderhaven,Harlingen
8861XV,42,,Zuiderhaven,Harlingen
8861XV,44,,Zuiderhaven,Harlingen
8861XV,46,,Zuiderhaven,Harlingen
8861XV,48,,Zuiderhaven,Harlingen
8861XV,50,,Zuiderhaven,Harlingen
8861XV,52,,Zuiderhaven,Harlingen
8861XV,54,,Zuiderhaven,Harlingen
8861XV,56,,Zuiderhaven,Harlingen
8861XV,58,,Zuiderhaven,Harlingen
8861XV,60,,Zuiderhaven,Harlingen
8861XV,68,,Zuiderhaven,Harlingen
8861XV,70,,Zuiderhaven,Harlingen
8861XV,76,,Zuiderhaven,Harlingen
8861XW,100,,Zuiderhaven,Harlingen
8861XW,102,,Zuiderhaven,Harlingen
8861XW,104,,Zuiderhaven,Harlingen
