8936AE,148,,Tijnjedijk,Leeuwarden
8921JT,2,,Timorstraat,Leeuwarden
8921JT,4,,Timorstraat,Leeuwarden
8921JT,9,,Timorstraat,Leeuwarden
8921JT,10,,Timorstraat,Leeuwarden
8921JT,11,,Timorstraat,Leeuwarden
8921JT,19,,Timorstraat,Leeuwarden
8921JT,20,,Timorstraat,Leeuwarden
8921JT,22,,Timorstraat,Leeuwarden
8935BW,1,,Timothee,Leeuwarden
8935BX,2,,Timothee,Leeuwarden
8935BW,3,,Timothee,Leeuwarden
8935BW,5,,Timothee,Leeuwarden
8935BW,7,,Timothee,Leeuwarden
8935BX,8,,Timothee,Leeuwarden
8935BW,13,,Timothee,Leeuwarden
8935BX,16,,Timothee,Leeuwarden
8935BW,19,,Timothee,Leeuwarden
8935CA,25,,Timothee,Leeuwarden
8935BX,26,,Timothee,Leeuwarden
8935CA,27,,Timothee,Leeuwarden
8935CA,29,,Timothee,Leeuwarden
8935CA,35,,Timothee,Leeuwarden
8935CA,37,,Timothee,Leeuwarden
8935CA,47,,Timothee,Leeuwarden
8921VW,29,,Robert Kochstraat,Leeuwarden
8921VX,33,,Robert Kochstraat,Leeuwarden
8921VX,35,,Robert Kochstraat,Leeuwarden
8921VX,37,,Robert Kochstraat,Leeuwarden
8921VX,39,,Robert Kochstraat,Leeuwarden
8921VX,43,,Robert Kochstraat,Leeuwarden
8923AS,2,,Robinsonstraat,Leeuwarden
8923AK,3,,Robinsonstraat,Leeuwarden
8935JS,23,,Speenkruid,Leeuwarden
8935JS,25,,Speenkruid,Leeuwarden
8935JS,29,,Speenkruid,Leeuwarden
8935JW,30,,Speenkruid,Leeuwarden
8935JS,31,,Speenkruid,Leeuwarden
8917CT,108,,Mr. P.J. Troelstraweg,Leeuwarden
8916CP,109,,Mr. P.J. Troelstraweg,Leeuwarden
8917CT,110,,Mr. P.J. Troelstraweg,Leeuwarden
8916CR,111,,Mr. P.J. Troelstraweg,Leeuwarden
8917CV,114,,Mr. P.J. Troelstraweg,Leeuwarden
8916CR,115,,Mr. P.J. Troelstraweg,Leeuwarden
8917CV,116,,Mr. P.J. Troelstraweg,Leeuwarden
8917CV,118,,Mr. P.J. Troelstraweg,Leeuwarden
8917CV,120,,Mr. P.J. Troelstraweg,Leeuwarden
8917CV,122,,Mr. P.J. Troelstraweg,Leeuwarden
8917CV,124,,Mr. P.J. Troelstraweg,Leeuwarden
8917CV,126,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,130,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,132,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,134,,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,135,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,138,,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,139,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,140,,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,141,,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,143,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,144,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,146,,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,147,2,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,147,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,148,,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,149,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,150,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,154,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,156,,Mr. P.J. Troelstraweg,Leeuwarden
8919AC,158,,Mr. P.J. Troelstraweg,Leeuwarden
8919AA,159,,Mr. P.J. Troelstraweg,Leeuwarden
8919AD,162,,Mr. P.J. Troelstraweg,Leeuwarden
8919AD,164,,Mr. P.J. Troelstraweg,Leeuwarden
8919AB,165,,Mr. P.J. Troelstraweg,Leeuwarden
8919AB,167,,Mr. P.J. Troelstraweg,Leeuwarden
8919AD,170,,Mr. P.J. Troelstraweg,Leeuwarden
8919AB,171,,Mr. P.J. Troelstraweg,Leeuwarden
8919AD,172,,Mr. P.J. Troelstraweg,Leeuwarden
8919AD,174,,Mr. P.J. Troelstraweg,Leeuwarden
8919AD,178,,Mr. P.J. Troelstraweg,Leeuwarden
8919AD,180,,Mr. P.J. Troelstraweg,Leeuwarden
8919AB,183,,Mr. P.J. Troelstraweg,Leeuwarden
8919AE,184,,Mr. P.J. Troelstraweg,Leeuwarden
8919AE,186,,Mr. P.J. Troelstraweg,Leeuwarden
8919AE,188,,Mr. P.J. Troelstraweg,Leeuwarden
8915AZ,6,,Rameaustraat,Leeuwarden
8915AW,7,,Rameaustraat,Leeuwarden
8915AZ,8,,Rameaustraat,Leeuwarden
8915AZ,10,,Rameaustraat,Leeuwarden
8915AW,11,,Rameaustraat,Leeuwarden
8915AW,13,,Rameaustraat,Leeuwarden
8915AW,15,,Rameaustraat,Leeuwarden
8915AW,17,,Rameaustraat,Leeuwarden
8915AZ,20,,Rameaustraat,Leeuwarden
8915AZ,24,,Rameaustraat,Leeuwarden
8915AX,25,,Rameaustraat,Leeuwarden
8915AX,27,,Rameaustraat,Leeuwarden
8915AX,33,,Rameaustraat,Leeuwarden
8915BA,34,,Rameaustraat,Leeuwarden
8932EG,39,,Ruysdaelstraat,Leeuwarden
8932EK,40,,Ruysdaelstraat,Leeuwarden
8932EG,41,,Ruysdaelstraat,Leeuwarden
