9088BX,20,,Brédyk,Wirdum
8919BH,4,,Joram Jorkinsstraat,Leeuwarden
8919BH,8,,Joram Jorkinsstraat,Leeuwarden
8919BH,16,,Joram Jorkinsstraat,Leeuwarden
8919BH,18,,Joram Jorkinsstraat,Leeuwarden
8919BH,52,,Joram Jorkinsstraat,Leeuwarden
8919BH,54,,Joram Jorkinsstraat,Leeuwarden
8919BH,56,,Joram Jorkinsstraat,Leeuwarden
8919BH,58,,Joram Jorkinsstraat,Leeuwarden
8919BH,60,,Joram Jorkinsstraat,Leeuwarden
8919BH,50,,Joram Jorkinsstraat,Leeuwarden
8919BG,1,,Joram Jorkinsstraat,Leeuwarden
8919BG,7,,Joram Jorkinsstraat,Leeuwarden
8919BG,11,,Joram Jorkinsstraat,Leeuwarden
8919BG,13,,Joram Jorkinsstraat,Leeuwarden
8919BG,19,,Joram Jorkinsstraat,Leeuwarden
8919BG,23,,Joram Jorkinsstraat,Leeuwarden
8919BB,4,,Carlierstraat,Leeuwarden
8919BB,6,,Carlierstraat,Leeuwarden
8919BB,10,,Carlierstraat,Leeuwarden
8919BB,14,,Carlierstraat,Leeuwarden
8919BB,16,,Carlierstraat,Leeuwarden
8919BB,24,,Carlierstraat,Leeuwarden
8919BD,52,,Carlierstraat,Leeuwarden
8919BD,56,,Carlierstraat,Leeuwarden
8919BD,58,,Carlierstraat,Leeuwarden
8919BD,77,,Carlierstraat,Leeuwarden
8919BD,79,,Carlierstraat,Leeuwarden
8919BC,28,,Carlierstraat,Leeuwarden
8919BC,32,,Carlierstraat,Leeuwarden
8919BC,34,,Carlierstraat,Leeuwarden
8919BC,38,,Carlierstraat,Leeuwarden
8919BC,42,,Carlierstraat,Leeuwarden
8919BC,46,,Carlierstraat,Leeuwarden
8919BC,48,,Carlierstraat,Leeuwarden
8919BC,50,,Carlierstraat,Leeuwarden
8911GW,46,,Minnemastraat,Leeuwarden
8911GW,54,,Minnemastraat,Leeuwarden
8911GW,56,,Minnemastraat,Leeuwarden
8911GW,58,,Minnemastraat,Leeuwarden
8911GW,66,,Minnemastraat,Leeuwarden
8921GH,6,,M.H. Trompstraat,Leeuwarden
8921GH,10,,M.H. Trompstraat,Leeuwarden
8932EX,60,,Wijnhornsterstraat,Leeuwarden
8932EX,62,,Wijnhornsterstraat,Leeuwarden
8935RK,11,,Zevenblad,Leeuwarden
8935RK,15,,Zevenblad,Leeuwarden
9088BG,43,,George Emersonstrjitte,Wirdum
9088BG,45,,George Emersonstrjitte,Wirdum
9088BG,49,,George Emersonstrjitte,Wirdum
9088BG,51,,George Emersonstrjitte,Wirdum
9084DG,3,,Griene Daam,Goutum
9084DG,7,,Griene Daam,Goutum
9084DG,13,,Griene Daam,Goutum
9084DG,17,,Griene Daam,Goutum
9084DG,19,,Griene Daam,Goutum
9084DG,21,,Griene Daam,Goutum
9084DG,23,,Griene Daam,Goutum
9084DG,29,,Griene Daam,Goutum
9084DG,31,,Griene Daam,Goutum
9084DG,35,,Griene Daam,Goutum
9084DG,37,,Griene Daam,Goutum
9084DG,39,,Griene Daam,Goutum
9084DG,53,,Griene Daam,Goutum
9084DE,2,,Griene Daam,Goutum
9084DE,8,,Griene Daam,Goutum
9084DE,10,,Griene Daam,Goutum
