8914AC,46,,Bilderdijkstraat,Leeuwarden
8913EG,18,,Bildtsestraat,Leeuwarden
8913EG,32,,Bildtsestraat,Leeuwarden
8913EC,41,,Bildtsestraat,Leeuwarden
8913EH,46,,Bildtsestraat,Leeuwarden
8913EC,47,,Bildtsestraat,Leeuwarden
8913EJ,50,,Bildtsestraat,Leeuwarden
8913ED,51,,Bildtsestraat,Leeuwarden
8913EJ,56,,Bildtsestraat,Leeuwarden
8913ED,59,,Bildtsestraat,Leeuwarden
8913EJ,62,,Bildtsestraat,Leeuwarden
8913EJ,72,,Bildtsestraat,Leeuwarden
8918EX,44,2,de Bird,Leeuwarden
8918EX,44,4,de Bird,Leeuwarden
8918ET,55,,de Bird,Leeuwarden
8918EZ,56,,de Bird,Leeuwarden
8918ET,61,,de Bird,Leeuwarden
8918EV,67,,de Bird,Leeuwarden
8918EV,89,,de Bird,Leeuwarden
8918GA,90,,de Bird,Leeuwarden
8918EW,99,,de Bird,Leeuwarden
8918EW,105,,de Bird,Leeuwarden
8918GA,110,,de Bird,Leeuwarden
8918GA,124,,de Bird,Leeuwarden
8918GB,6,,Birdplein,Leeuwarden
8918GC,62,,Birdplein,Leeuwarden
8918GD,84,,Birdplein,Leeuwarden
8921AX,9,,Bisschopstraat,Leeuwarden
8921AX,15,,Bisschopstraat,Leeuwarden
8918EX,36,1,de Bird,Leeuwarden
8918EX,36,3,de Bird,Leeuwarden
8918EX,36,4,de Bird,Leeuwarden
8918ET,39,,de Bird,Leeuwarden
8918EX,40,4,de Bird,Leeuwarden
8918EX,42,2,de Bird,Leeuwarden
8918EX,42,3,de Bird,Leeuwarden
8931AT,52,,Bordineweg,Leeuwarden
8931AL,57,,Bordineweg,Leeuwarden
8931AM,65,,Bordineweg,Leeuwarden
8931AM,73,,Bordineweg,Leeuwarden
8931AN,95,,Bordineweg,Leeuwarden
8931AN,97,,Bordineweg,Leeuwarden
8921JH,3,,Borneostraat,Leeuwarden
8921JH,14,,Borneostraat,Leeuwarden
8932PE,4,,Borniastraat,Leeuwarden
8932PE,20,,Borniastraat,Leeuwarden
8932PE,26,,Borniastraat,Leeuwarden
8934AB,75,,Borniastraat,Leeuwarden
8934AB,79,,Borniastraat,Leeuwarden
8934AC,87,,Borniastraat,Leeuwarden
8934AC,119,,Borniastraat,Leeuwarden
8932HX,2,,Bosboomstraat,Leeuwarden
8932HX,26,,Bosboomstraat,Leeuwarden
8935PK,8,,Bostulp,Leeuwarden
8935PK,10,,Bostulp,Leeuwarden
8935PK,26,,Bostulp,Leeuwarden
8921CD,5,,Bote van Bolswertstraat,Leeuwarden
8921CD,7,,Bote van Bolswertstraat,Leeuwarden
8921BN,12,,Bote van Bolswertstraat,Leeuwarden
8921BN,44,,Bote van Bolswertstraat,Leeuwarden
8921BN,50,,Bote van Bolswertstraat,Leeuwarden
8921BN,56,,Bote van Bolswertstraat,Leeuwarden
8921BN,68,,Bote van Bolswertstraat,Leeuwarden
8917BE,13,,Bothastraat,Leeuwarden
8917BE,22,,Bothastraat,Leeuwarden
8916GB,2,,Brahmsstraat,Leeuwarden
8916GB,7,,Brahmsstraat,Leeuwarden
8918GG,12,,Brandemeer,Leeuwarden
8918GG,14,,Brandemeer,Leeuwarden
8918GG,20,,Brandemeer,Leeuwarden
8921HA,121,,Bleeklaan,Leeuwarden
8921HA,127,,Bleeklaan,Leeuwarden
8911LJ,14,,Blokhuisplein,Leeuwarden
8911LJ,20,,Blokhuisplein,Leeuwarden
8911LJ,40,,Blokhuisplein,Leeuwarden
8921GZ,91,,Bleeklaan,Leeuwarden
8913EE,95,,Bildtsestraat,Leeuwarden
8913EK,96,,Bildtsestraat,Leeuwarden
8918HT,61,,Bilgaardpassage,Leeuwarden
8918ES,3,1,de Bird,Leeuwarden
8918ES,3,5,de Bird,Leeuwarden
8918ES,7,3,de Bird,Leeuwarden
8918ES,9,6,de Bird,Leeuwarden
8918ES,11,4,de Bird,Leeuwarden
8918ES,11,7,de Bird,Leeuwarden
8918ES,13,5,de Bird,Leeuwarden
8918ES,15,3,de Bird,Leeuwarden
8918ES,17,7,de Bird,Leeuwarden
8918EX,18,4,de Bird,Leeuwarden
8918ES,19,1,de Bird,Leeuwarden
8918EX,20,2,de Bird,Leeuwarden
8918EX,22,1,de Bird,Leeuwarden
8918EX,22,4,de Bird,Leeuwarden
8918ES,25,1,de Bird,Leeuwarden
8918ES,25,4,de Bird,Leeuwarden
8918ES,25,6,de Bird,Leeuwarden
8918ES,25,7,de Bird,Leeuwarden
8918ES,27,1,de Bird,Leeuwarden
8918EX,30,2,de Bird,Leeuwarden
8918EX,30,4,de Bird,Leeuwarden
8918ET,31,,de Bird,Leeuwarden
8937BR,58,,Boeierstraat,Leeuwarden
8937BK,63,,Boeierstraat,Leeuwarden
8937BK,83,,Boeierstraat,Leeuwarden
8921TK,24,,Boerhaavestraat,Leeuwarden
8924AP,6,,Boksdoornstraat,Leeuwarden
8911DW,64,,Bollemanssteeg,Leeuwarden
8931DD,9,,Bonairestraat,Leeuwarden
8931DD,16,,Bonairestraat,Leeuwarden
8926PJ,5,,Bongastate,Leeuwarden
8926PJ,7,,Bongastate,Leeuwarden
8921LR,67,,Cambuursterpad,Leeuwarden
8921LS,69,,Cambuursterpad,Leeuwarden
8921LT,76,,Cambuursterpad,Leeuwarden
8921LT,78,,Cambuursterpad,Leeuwarden
8921LT,80,,Cambuursterpad,Leeuwarden
8921LS,83,,Cambuursterpad,Leeuwarden
8921LT,86,,Cambuursterpad,Leeuwarden
8921LS,95,,Cambuursterpad,Leeuwarden
8921LV,100,,Cambuursterpad,Leeuwarden
8921LV,106,,Cambuursterpad,Leeuwarden
8921LV,108,,Cambuursterpad,Leeuwarden
8921LV,114,,Cambuursterpad,Leeuwarden
8921LV,120,,Cambuursterpad,Leeuwarden
8921LW,148,,Cambuursterpad,Leeuwarden
8921LW,168,,Cambuursterpad,Leeuwarden
8926PK,52,,Bongastate,Leeuwarden
8926PK,54,,Bongastate,Leeuwarden
8915AA,1,,de Bontekoe,Leeuwarden
8915AA,8,,de Bontekoe,Leeuwarden
8915AA,11,,de Bontekoe,Leeuwarden
8911GG,1,,Bontepapesteeg,Leeuwarden
8933GB,5,,Boomgaardstraat,Leeuwarden
8925BX,7,,Bootsmastate,Leeuwarden
8918GH,36,,Brandemeer,Leeuwarden
8918GH,46,,Brandemeer,Leeuwarden
8918GH,62,,Brandemeer,Leeuwarden
8918CV,104,,Brandemeer,Leeuwarden
8918CV,116,,Brandemeer,Leeuwarden
8918CV,122,,Brandemeer,Leeuwarden
8918CW,144,,Brandemeer,Leeuwarden
8913HD,1,,Brederostraat,Leeuwarden
8913HG,20,,Brederostraat,Leeuwarden
8913HE,31,,Brederostraat,Leeuwarden
8913HE,39,,Brederostraat,Leeuwarden
8913HE,51,,Brederostraat,Leeuwarden
8913HE,55,,Brederostraat,Leeuwarden
8913HE,61,,Brederostraat,Leeuwarden
8911GH,45,,Breedstraat,Leeuwarden
8911GJ,50,,Breedstraat,Leeuwarden
8932BZ,15,,Breitnerstraat,Leeuwarden
8917DL,34,,Reinder Buysingweg,Leeuwarden
8917DL,50,,Reinder Buysingweg,Leeuwarden
8917DK,55,,Reinder Buysingweg,Leeuwarden
8917DK,57,,Reinder Buysingweg,Leeuwarden
8917DM,62,,Reinder Buysingweg,Leeuwarden
8917DM,70,,Reinder Buysingweg,Leeuwarden
8917DM,74,,Reinder Buysingweg,Leeuwarden
8921RG,36,,Cambuurplein,Leeuwarden
8921RG,41,1,Cambuurplein,Leeuwarden
8921LP,9,,Cambuursterpad,Leeuwarden
8921LP,27,,Cambuursterpad,Leeuwarden
8921LP,31,,Cambuursterpad,Leeuwarden
8921LR,45,,Cambuursterpad,Leeuwarden
8921LR,47,,Cambuursterpad,Leeuwarden
8921MA,13,,Brunsveldstraat,Leeuwarden
8921MA,15,,Brunsveldstraat,Leeuwarden
8921MA,29,,Brunsveldstraat,Leeuwarden
8911DJ,6,,Burmaniastraat,Leeuwarden
8934BA,1,,Buygersstraat,Leeuwarden
8934BB,8,,Buygersstraat,Leeuwarden
8934BB,12,,Buygersstraat,Leeuwarden
8934BA,29,,Buygersstraat,Leeuwarden
8917DL,4,,Reinder Buysingweg,Leeuwarden
8917DL,6,,Reinder Buysingweg,Leeuwarden
8917DL,10,,Reinder Buysingweg,Leeuwarden
8917DJ,13,,Reinder Buysingweg,Leeuwarden
8923AC,500,,Canadezenlaan,Leeuwarden
8925BE,1,,Canterstate,Leeuwarden
8925BE,21,,Canterstate,Leeuwarden
8925BE,33,,Canterstate,Leeuwarden
8925BE,37,,Canterstate,Leeuwarden
8925BD,52,,Canterstate,Leeuwarden
8925BD,56,,Canterstate,Leeuwarden
8925BG,85,,Canterstate,Leeuwarden
8925BH,96,,Canterstate,Leeuwarden
8925BH,98,,Canterstate,Leeuwarden
8925BK,117,,Canterstate,Leeuwarden
8925BH,118,,Canterstate,Leeuwarden
8925BJ,140,,Canterstate,Leeuwarden
8925BJ,150,,Canterstate,Leeuwarden
8925BJ,162,,Canterstate,Leeuwarden
8925BJ,168,,Canterstate,Leeuwarden
8932HP,2,,Carel Fabritiusstraat,Leeuwarden
8932HN,7,,Carel Fabritiusstraat,Leeuwarden
8932HN,13,,Carel Fabritiusstraat,Leeuwarden
8932HN,15,,Carel Fabritiusstraat,Leeuwarden
8932HP,18,,Carel Fabritiusstraat,Leeuwarden
8932HN,25,,Carel Fabritiusstraat,Leeuwarden
8932HN,31,,Carel Fabritiusstraat,Leeuwarden
8932HH,17,,Carel van Manderstraat,Leeuwarden
8921PJ,40,,Camminghastraat,Leeuwarden
8921PE,43,,Camminghastraat,Leeuwarden
8921PJ,58,,Camminghastraat,Leeuwarden
8921PG,75,,Camminghastraat,Leeuwarden
8921VJ,4,,Camperstraat,Leeuwarden
8921VJ,14,,Camperstraat,Leeuwarden
8921VH,17,,Camperstraat,Leeuwarden
8921VK,22,,Camperstraat,Leeuwarden
8921VK,24,,Camperstraat,Leeuwarden
8921VH,25,,Camperstraat,Leeuwarden
8921VK,44,,Camperstraat,Leeuwarden
8921VK,46,,Camperstraat,Leeuwarden
8932HH,19,,Carel van Manderstraat,Leeuwarden
8932HH,25,,Carel van Manderstraat,Leeuwarden
8932HH,31,,Carel van Manderstraat,Leeuwarden
8925CA,1,,Carolinenburg,Leeuwarden
8925CC,10,,Carolinenburg,Leeuwarden
8925CA,11,,Carolinenburg,Leeuwarden
8925CA,15,,Carolinenburg,Leeuwarden
8925CC,20,,Carolinenburg,Leeuwarden
8925CD,36,,Carolinenburg,Leeuwarden
8925CB,39,,Carolinenburg,Leeuwarden
8925CD,40,,Carolinenburg,Leeuwarden
8925CB,69,,Carolinenburg,Leeuwarden
8911JW,52,,Catharinahof,Leeuwarden
8911JW,56,,Catharinahof,Leeuwarden
8911JW,64,,Catharinahof,Leeuwarden
8911JW,68,,Catharinahof,Leeuwarden
8911JW,82,,Catharinahof,Leeuwarden
8924CA,3,,Cederstraat,Leeuwarden
8921HR,10,,Cambuurstraat,Leeuwarden
8921HP,33,,Cambuurstraat,Leeuwarden
8921HR,36,,Cambuurstraat,Leeuwarden
8921HP,39,,Cambuurstraat,Leeuwarden
8921PD,5,,Camminghastraat,Leeuwarden
8921PD,21,,Camminghastraat,Leeuwarden
8932BZ,31,,Breitnerstraat,Leeuwarden
8932CD,52,,Breitnerstraat,Leeuwarden
8925CS,7,,Britsenburg,Leeuwarden
8925CS,11,,Britsenburg,Leeuwarden
8925CS,45,,Britsenburg,Leeuwarden
8925CS,57,,Britsenburg,Leeuwarden
8925CS,59,,Britsenburg,Leeuwarden
8925CS,69,,Britsenburg,Leeuwarden
8925CS,71,,Britsenburg,Leeuwarden
8925CS,81,,Britsenburg,Leeuwarden
8925CS,85,,Britsenburg,Leeuwarden
8925CS,101,,Britsenburg,Leeuwarden
8925CS,115,,Britsenburg,Leeuwarden
8921VK,54,,Camperstraat,Leeuwarden
8921VK,56,,Camperstraat,Leeuwarden
8917AG,27,,Camstraburen,Leeuwarden
8917AG,63,,Camstraburen,Leeuwarden
8917AG,91,,Camstraburen,Leeuwarden
8923AA,20,,Canadezenlaan,Leeuwarden
8923AA,42,,Canadezenlaan,Leeuwarden
8923AA,44,,Canadezenlaan,Leeuwarden
8923AA,72,,Canadezenlaan,Leeuwarden
8923AA,76,,Canadezenlaan,Leeuwarden
8923AA,78,,Canadezenlaan,Leeuwarden
8923AA,104,,Canadezenlaan,Leeuwarden
8923AA,134,,Canadezenlaan,Leeuwarden
8923AA,148,,Canadezenlaan,Leeuwarden
8923AA,158,,Canadezenlaan,Leeuwarden
8923AA,184,,Canadezenlaan,Leeuwarden
8923AB,250,,Canadezenlaan,Leeuwarden
8923AB,264,,Canadezenlaan,Leeuwarden
8923AB,274,,Canadezenlaan,Leeuwarden
8915BK,24,,Couperinstraat,Leeuwarden
8925AL,14,,Crackstate,Leeuwarden
8925AK,23,,Crackstate,Leeuwarden
8925AK,25,,Crackstate,Leeuwarden
8925AK,27,,Crackstate,Leeuwarden
8921AN,5,,van Cronenburchstraat,Leeuwarden
8921AP,14,,van Cronenburchstraat,Leeuwarden
8921AP,20,,van Cronenburchstraat,Leeuwarden
8921AN,21,,van Cronenburchstraat,Leeuwarden
8921AN,29,,van Cronenburchstraat,Leeuwarden
8917BS,5,,Cronjéstraat,Leeuwarden
8923AB,338,,Canadezenlaan,Leeuwarden
8923AB,348,,Canadezenlaan,Leeuwarden
8923AB,366,,Canadezenlaan,Leeuwarden
8923AB,372,,Canadezenlaan,Leeuwarden
8923AB,388,,Canadezenlaan,Leeuwarden
8923AC,398,,Canadezenlaan,Leeuwarden
8923AC,410,,Canadezenlaan,Leeuwarden
8923AC,434,,Canadezenlaan,Leeuwarden
8923AC,450,,Canadezenlaan,Leeuwarden
8923AC,460,,Canadezenlaan,Leeuwarden
8923AC,472,,Canadezenlaan,Leeuwarden
8924CA,31,,Cederstraat,Leeuwarden
8924CA,41,,Cederstraat,Leeuwarden
8924CA,43,,Cederstraat,Leeuwarden
8921JJ,7,,Celebesstraat,Leeuwarden
8921JJ,10,,Celebesstraat,Leeuwarden
8921JJ,15,,Celebesstraat,Leeuwarden
8912AM,37,,Celsiusweg,Leeuwarden
8916GA,2,,Chopinstraat,Leeuwarden
8916GA,5,,Chopinstraat,Leeuwarden
8923GA,5,,Christiaan Kerkhofstraat,Leeuwarden
8923GB,10,,Christiaan Kerkhofstraat,Leeuwarden
8923GA,11,,Christiaan Kerkhofstraat,Leeuwarden
8923GB,16,,Christiaan Kerkhofstraat,Leeuwarden
8923GA,17,,Christiaan Kerkhofstraat,Leeuwarden
8911JG,4,,Ciprianussteeg,Leeuwarden
8921BX,5,,Claes Bockes Balckstraat,Leeuwarden
8921BX,13,,Claes Bockes Balckstraat,Leeuwarden
8921BX,23,1,Claes Bockes Balckstraat,Leeuwarden
8921BX,37,,Claes Bockes Balckstraat,Leeuwarden
8921SR,5,,Coopmansstraat,Leeuwarden
8921SR,15,,Coopmansstraat,Leeuwarden
8921ST,28,,Coopmansstraat,Leeuwarden
8913HJ,11,,Coornhertstraat,Leeuwarden
8932BS,13,,Cornelis Trooststraat,Leeuwarden
8932BV,14,,Cornelis Trooststraat,Leeuwarden
8932BW,22,,Cornelis Trooststraat,Leeuwarden
8932BR,31,,Cornelis Trooststraat,Leeuwarden
8932BW,32,,Cornelis Trooststraat,Leeuwarden
8932BR,48,,Cornelis Trooststraat,Leeuwarden
8931CB,2,,Coroniestraat,Leeuwarden
8931CB,4,,Coroniestraat,Leeuwarden
8931CB,14,,Coroniestraat,Leeuwarden
8915BV,28,,Corellistraat,Leeuwarden
8921AT,1,,Cornelis Frederiksstraat,Leeuwarden
8921AV,35,,Cornelis Frederiksstraat,Leeuwarden
8932CJ,1,,Cornelis Krusemanstraat,Leeuwarden
8917AC,17,,Dekamastraat,Leeuwarden
8917AC,34,,Dekamastraat,Leeuwarden
8917AC,38,,Dekamastraat,Leeuwarden
8917AC,42,,Dekamastraat,Leeuwarden
8917AC,43,,Dekamastraat,Leeuwarden
8917AC,45,,Dekamastraat,Leeuwarden
8917AC,59,,Dekamastraat,Leeuwarden
8921JR,2,,1e Delidwarsstraat,Leeuwarden
8921JS,1,,2e Delidwarsstraat,Leeuwarden
8921JS,7,,2e Delidwarsstraat,Leeuwarden
8921JN,18,,Delistraat,Leeuwarden
8921JN,22,,Delistraat,Leeuwarden
8921JN,28,,Delistraat,Leeuwarden
8921JP,40,,Delistraat,Leeuwarden
8921JP,56,,Delistraat,Leeuwarden
8916EE,29,,Diepenbrockstraat,Leeuwarden
8916EJ,32,,Diepenbrockstraat,Leeuwarden
8916EG,39,,Diepenbrockstraat,Leeuwarden
8916EK,58,,Diepenbrockstraat,Leeuwarden
8916EK,64,,Diepenbrockstraat,Leeuwarden
8916EH,69,,Diepenbrockstraat,Leeuwarden
8916EH,73,,Diepenbrockstraat,Leeuwarden
8924CJ,10,,Dennenstraat,Leeuwarden
8924CG,43,,Dennenstraat,Leeuwarden
8924CG,47,,Dennenstraat,Leeuwarden
8924CK,48,,Dennenstraat,Leeuwarden
8924CG,49,,Dennenstraat,Leeuwarden
8924CL,58,,Dennenstraat,Leeuwarden
8924CH,73,,Dennenstraat,Leeuwarden
8924CM,92,,Dennenstraat,Leeuwarden
8924CH,95,,Dennenstraat,Leeuwarden
8924CM,104,,Dennenstraat,Leeuwarden
8924CM,106,,Dennenstraat,Leeuwarden
8917GA,4,,Diaconessenpark,Leeuwarden
8917GA,12,,Diaconessenpark,Leeuwarden
8917GA,32,,Diaconessenpark,Leeuwarden
8916EJ,2,,Diepenbrockstraat,Leeuwarden
8916EE,13,,Diepenbrockstraat,Leeuwarden
8917BT,16,,Cronjéstraat,Leeuwarden
8931CV,18,,Curaçaostraat,Leeuwarden
8913HJ,25,,Coornhertstraat,Leeuwarden
8913HJ,35,,Coornhertstraat,Leeuwarden
8915BM,9,,Corellistraat,Leeuwarden
8915BV,22,,Corellistraat,Leeuwarden
8915BV,24,,Corellistraat,Leeuwarden
8915HA,19,,Douwe Kalmaleane,Leeuwarden
8915HA,23,,Douwe Kalmaleane,Leeuwarden
8915HC,59,,Douwe Kalmaleane,Leeuwarden
8915HC,63,,Douwe Kalmaleane,Leeuwarden
8915HD,83,,Douwe Kalmaleane,Leeuwarden
8915HD,95,,Douwe Kalmaleane,Leeuwarden
8925EA,11,,Douwemastins,Leeuwarden
8925EB,16,,Douwemastins,Leeuwarden
8925EA,19,,Douwemastins,Leeuwarden
8925EA,25,,Douwemastins,Leeuwarden
8925EA,43,,Douwemastins,Leeuwarden
8923AD,1,,Dragoonsplein,Leeuwarden
8922CW,22,,Dahliastraat,Leeuwarden
8922CV,41,,Dahliastraat,Leeuwarden
8922CV,43,,Dahliastraat,Leeuwarden
8922CX,46,,Dahliastraat,Leeuwarden
8922CX,48,,Dahliastraat,Leeuwarden
8935LC,10,,Daslook,Leeuwarden
8935LC,14,,Daslook,Leeuwarden
8935LD,44,,Daslook,Leeuwarden
8935LB,45,,Daslook,Leeuwarden
8935LD,46,,Daslook,Leeuwarden
8935LB,47,,Daslook,Leeuwarden
8935LD,56,,Daslook,Leeuwarden
8935LD,60,,Daslook,Leeuwarden
8935LD,64,,Daslook,Leeuwarden
8913BM,2,,Deinumerstraat,Leeuwarden
8917AC,3,,Dekamastraat,Leeuwarden
8916EH,75,,Diepenbrockstraat,Leeuwarden
8932CM,21,,Dirk Boutsstraat,Leeuwarden
8932CM,27,,Dirk Boutsstraat,Leeuwarden
8932CM,29,,Dirk Boutsstraat,Leeuwarden
8932CT,32,,Dirk Boutsstraat,Leeuwarden
8932CN,41,,Dirk Boutsstraat,Leeuwarden
8932CR,77,,Dirk Boutsstraat,Leeuwarden
8917AZ,19,,Dirk Zeperweg,Leeuwarden
8917AZ,25,,Dirk Zeperweg,Leeuwarden
8922AS,1,,Dokkumerstraat,Leeuwarden
8922AT,2,,Dokkumerstraat,Leeuwarden
8922AS,11,,Dokkumerstraat,Leeuwarden
8922AT,12,,Dokkumerstraat,Leeuwarden
8922AS,19,,Dokkumerstraat,Leeuwarden
8922AT,22,,Dokkumerstraat,Leeuwarden
8922AS,23,,Dokkumerstraat,Leeuwarden
8934AH,26,,Doniastraat,Leeuwarden
8934AH,54,,Doniastraat,Leeuwarden
8934AH,70,,Doniastraat,Leeuwarden
8934AH,72,,Doniastraat,Leeuwarden
8926ML,3,,Dotingastate,Leeuwarden
8926MP,4,,Dotingastate,Leeuwarden
8926ML,15,,Dotingastate,Leeuwarden
8926MP,26,,Dotingastate,Leeuwarden
8926MP,28,,Dotingastate,Leeuwarden
8926ML,29,,Dotingastate,Leeuwarden
8926MP,36,,Dotingastate,Leeuwarden
8926ML,39,,Dotingastate,Leeuwarden
8926MP,42,,Dotingastate,Leeuwarden
8926MR,58,,Dotingastate,Leeuwarden
8926MR,62,,Dotingastate,Leeuwarden
8926MR,76,,Dotingastate,Leeuwarden
8926MN,77,,Dotingastate,Leeuwarden
8926MN,79,,Dotingastate,Leeuwarden
8926MR,84,,Dotingastate,Leeuwarden
8926MR,92,,Dotingastate,Leeuwarden
8926MN,93,,Dotingastate,Leeuwarden
8926MS,100,,Dotingastate,Leeuwarden
8926MN,107,,Dotingastate,Leeuwarden
8918ER,94,,Dulfplein,Leeuwarden
8918ER,102,,Dulfplein,Leeuwarden
8918ER,114,,Dulfplein,Leeuwarden
8918ER,118,,Dulfplein,Leeuwarden
8912AW,14,,Edisonstraat,Leeuwarden
8911EV,8,,Eebuurt,Leeuwarden
8911EV,18,BV,Eebuurt,Leeuwarden
8911EV,18,bv,Eebuurt,Leeuwarden
8911EV,32,,Eebuurt,Leeuwarden
8915DW,7,,Eeltsje Folkertsmawei,Leeuwarden
8925HN,1,,Eelsmastate,Leeuwarden
8925HM,4,,Eelsmastate,Leeuwarden
8925HM,6,,Eelsmastate,Leeuwarden
8925HM,10,,Eelsmastate,Leeuwarden
8925HM,38,,Eelsmastate,Leeuwarden
8925HM,48,,Eelsmastate,Leeuwarden
8918CA,2,,Eeskwerd,Leeuwarden
8918DC,5,,van Eesterenplein,Leeuwarden
8918DC,17,,van Eesterenplein,Leeuwarden
8922AZ,38,,Eigen brood bovenal,Leeuwarden
8922AZ,48,,Eigen brood bovenal,Leeuwarden
8922AZ,50,,Eigen brood bovenal,Leeuwarden
8922BA,90,,Eigen brood bovenal,Leeuwarden
8924JA,3,3,Eikenstraat,Leeuwarden
8924JA,3,4,Eikenstraat,Leeuwarden
8924JA,7,4,Eikenstraat,Leeuwarden
8911KK,3,,Droevendal,Leeuwarden
8918DD,49,,van Eesterenplein,Leeuwarden
8918DD,51,,van Eesterenplein,Leeuwarden
8918DD,61,,van Eesterenplein,Leeuwarden
8922AB,8,,Eestraat,Leeuwarden
8922AB,10,,Eestraat,Leeuwarden
8922JB,37,,Eestraat,Leeuwarden
8922JB,43,,Eestraat,Leeuwarden
8922JC,55,,Eestraat,Leeuwarden
8922JC,69,,Eestraat,Leeuwarden
8922JC,91,,Eestraat,Leeuwarden
8922JD,111,,Eestraat,Leeuwarden
8911GV,86,,Eewal,Leeuwarden
8923AD,25,,Dragoonsplein,Leeuwarden
