8539SV,12,,Turfkade,Echtenerbrug
8539SR,28,,Zuster Jacobsstraat,Echtenerbrug
8539RS,18,,de Kempenaersweg,Echtenerbrug
8539RS,24,,de Kempenaersweg,Echtenerbrug
8534WB,15,,Straatweg,Eesterga
8531AV,9,,Brik,Lemmer
8531XM,5,,Hoogemieden,Lemmer
8531HX,43,,Langestreek,Lemmer
8531AA,13,,Lemsterpad,Lemmer
8531HM,6,,Nieuwedijk,Lemmer
8531JB,6,,Pottebakkerssteeg,Lemmer
8531PP,5,,Richel,Lemmer
8531DX,46,,Schans,Lemmer
8531AM,39,,Schoener,Lemmer
8531BK,35,,Schouw,Lemmer
8531DJ,21,,Sluisweg,Lemmer
8531BE,49,,Smak,Lemmer
8531BE,57,,Smak,Lemmer
8531HE,9,,Straatweg,Lemmer
8531PZ,48,,Straatweg,Lemmer
8531PZ,60,,Straatweg,Lemmer
8531PZ,68,,Straatweg,Lemmer
8531PZ,72,,Straatweg,Lemmer
8531DK,12,,Zeedijk,Lemmer
8536TJ,2,,Buren,Oosterzee
8532CE,1,,Berdinge,Lemmer
8536TJ,36,,Buren,Oosterzee
8536TD,6,,Gietersevaart,Oosterzee
8536TC,15,,Gietersevaart,Oosterzee
8536TS,57,,Herenweg,Oosterzee
8532BP,9,,Binnenbaardt,Lemmer
8536TV,90,,Herenweg,Oosterzee
8536TB,16,,Landmansweg,Oosterzee
8531CT,12,,Hoeker,Lemmer
8531CT,4,,Hoeker,Lemmer
8531CZ,64,,Barkentijn,Lemmer
8531DC,21,,Gaffelaar,Lemmer
8531DT,10,,Emmakade,Lemmer
8531EM,5,,Gerben Bootsmastraat,Lemmer
8531EN,27,,Gerben Bootsmastraat,Lemmer
8531EP,12,,Gerben Bootsmastraat,Lemmer
8531BR,56,,Botter,Lemmer
8531ER,36,,Gerben Bootsmastraat,Lemmer
8531ES,60,,Gerben Bootsmastraat,Lemmer
8531ET,68,,Gerben Bootsmastraat,Lemmer
8531HD,16,,Albert Koopmanstraat,Lemmer
8531KN,19,,Flevostraat,Lemmer
8531AV,19,,Brik,Lemmer
8531KT,3,,Abel Tasmanstraat,Lemmer
8531MN,14,,Grote Beer,Lemmer
8531NK,33,,Aldebaran,Lemmer
8531RN,53,,Heegermeerstraat,Lemmer
8531RV,136,,Het Brekkense Wiel,Lemmer
8532AC,112,,Bosruiter,Lemmer
8532AG,55,,Groenpootruiter,Lemmer
8532AG,60,,Groenpootruiter,Lemmer
8532AH,118,,Bosruiter,Lemmer
8532AH,124,,Bosruiter,Lemmer
8532AV,34,,Graspieper,Lemmer
8538RG,12,,Bandsloot,Bantega
8531CS,16,,Kotter,Lemmer
8531GN,10,16,Wiepke Hofstraat,Lemmer
8531GN,10,214,Wiepke Hofstraat,Lemmer
8531GN,10,218,Wiepke Hofstraat,Lemmer
8531GN,10,222,Wiepke Hofstraat,Lemmer
8531HM,18,,Nieuwedijk,Lemmer
8532CB,18,,Carbeel,Lemmer
8531CS,18,,Kotter,Lemmer
8532CB,36,,Carbeel,Lemmer
8532CB,8,,Carbeel,Lemmer
8532CD,11,,Cloosterhout,Lemmer
8531AC,3,,Fregat,Lemmer
8531AH,40,,Fregat,Lemmer
8531AJ,58,,Fregat,Lemmer
8531AK,76,,Fregat,Lemmer
8531AK,94,,Fregat,Lemmer
8531AP,21,,Galjoot,Lemmer
8531AR,22,,Galjoot,Lemmer
8531EK,1,,Gedempte Gracht,Lemmer
8531EN,37,,Gerben Bootsmastraat,Lemmer
8531RN,51,,Heegermeerstraat,Lemmer
8531CJ,7,,Jol,Lemmer
8531RR,20,,Heegermeerstraat,Lemmer
8531RR,28,,Heegermeerstraat,Lemmer
8531RR,32,,Heegermeerstraat,Lemmer
