8607HE,4,,Boterbloem,Sneek
8602DG,72,,Oosterom,Sneek
8602DG,70,,Oosterom,Sneek
8607GP,25,,Atalanta,Sneek
8603BA,16,,Dr. Kuyperlaan,Sneek
8607GP,26,,Atalanta,Sneek
8603AW,11,,Schaepmanstraat,Sneek
8603AK,40,,Kapelstraat,Sneek
8603AW,1,,Schaepmanstraat,Sneek
8602DG,68,,Oosterom,Sneek
8603BJ,22,,Goeman Borgesiuslaan,Sneek
8607GP,28,,Atalanta,Sneek
8606CN,14,,3e Woudstraat,Sneek
8606CA,42,,Albertine Agnesstraat,Sneek
8606CA,44,,Albertine Agnesstraat,Sneek
8602CX,33,,Vliestroom,Sneek
8607GP,41,,Atalanta,Sneek
8603VP,57,,Priorstraat,Sneek
8603AK,42,,Kapelstraat,Sneek
8606CJ,18,,2e Woudstraat,Sneek
8606CN,12,,3e Woudstraat,Sneek
8606CL,17,,3e Woudstraat,Sneek
8603BA,10,,Dr. Kuyperlaan,Sneek
8607GP,30,,Atalanta,Sneek
8606CA,46,,Albertine Agnesstraat,Sneek
8607GP,31,,Atalanta,Sneek
8603BH,35,,Goeman Borgesiuslaan,Sneek
8603BH,37,,Goeman Borgesiuslaan,Sneek
8606CC,31,,1e Woudstraat,Sneek
8606CA,21,,Albertine Agnesstraat,Sneek
8606CA,19,,Albertine Agnesstraat,Sneek
8603BJ,24,,Goeman Borgesiuslaan,Sneek
8607GP,32,,Atalanta,Sneek
8603BE,8,,Groen van Prinstererstraat,Sneek
8603BL,5,,Johan de Wittplein,Sneek
8603BL,6,,Johan de Wittplein,Sneek
8606EA,9,,Willem de Zwijgerstraat,Sneek
8606CN,10,,3e Woudstraat,Sneek
8606CL,15,,3e Woudstraat,Sneek
8606CL,13,,3e Woudstraat,Sneek
8607GP,39,,Atalanta,Sneek
8607GP,40,,Atalanta,Sneek
8607GP,33,,Atalanta,Sneek
8603AZ,13,,Dr. Kuyperlaan,Sneek
8606CA,48,,Albertine Agnesstraat,Sneek
8607GP,34,,Atalanta,Sneek
8603AW,5,,Schaepmanstraat,Sneek
8603BJ,26,,Goeman Borgesiuslaan,Sneek
8603VP,53,,Priorstraat,Sneek
