26,7884RP,Gareel,Barger-Compascuum
19,7827DK,Goudvink,Emmen
23,7827DL,Goudvink,Emmen
28,7827DL,Goudvink,Emmen
10,7827DK,Goudvink,Emmen
17,7827DK,Goudvink,Emmen
30,7827DR,Vinkenveld,Emmen
32,7827DR,Vinkenveld,Emmen
50,7827DS,Vinkenveld,Emmen
10,7827DE,Slagvink,Emmen
13,7827DE,Slagvink,Emmen
3,7827DG,Appelvink,Emmen
106,7827DT,Vinkenveld,Emmen
82,7812MG,Mantingerbrink,Emmen
32,7812ME,Mantingerbrink,Emmen
22,7812VZ,Hoenderkamp,Emmen
65,7812BL,Huizingsbrinkweg,Emmen
7,7812AV,Oude Zuidbargerstraat,Emmen
6,7812AV,Oude Zuidbargerstraat,Emmen
8,7812AV,Oude Zuidbargerstraat,Emmen
33,7815RK,Stuwwal,Emmen
8,7815RC,Walstraat,Emmen
6,7815RC,Walstraat,Emmen
14,7815RC,Walstraat,Emmen
1,7815PR,Vogelwikke,Emmen
29,7815RE,Flintstraat,Emmen
32,7815RG,Flintstraat,Emmen
17,7815PW,Kalmoes,Emmen
187,7812RD,Ruinerbrink,Emmen
170,7812RM,Ruinerbrink,Emmen
296,7812DE,Holtingerbrink,Emmen
280,7812DE,Holtingerbrink,Emmen
284,7812DE,Holtingerbrink,Emmen
288,7812DE,Holtingerbrink,Emmen
268,7812DE,Holtingerbrink,Emmen
210,7812DC,Holtingerbrink,Emmen
222,7812DC,Holtingerbrink,Emmen
32,7827BE,Pimpelmees,Emmen
34,7827BH,Zwarte Mees,Emmen
102,7885TK,Bladderswijk OZ,Nieuw-Dordrecht
84,7885TJ,Bladderswijk OZ,Nieuw-Dordrecht
83,7885TJ,Bladderswijk OZ,Nieuw-Dordrecht
74,7885TJ,Bladderswijk OZ,Nieuw-Dordrecht
61,7885TJ,Bladderswijk OZ,Nieuw-Dordrecht
25,7885TH,Bladderswijk WZ,Nieuw-Dordrecht
52,7885TJ,Bladderswijk OZ,Nieuw-Dordrecht
73,7812GB,Zuidlaarderbrink,Emmen
51,7812GB,Zuidlaarderbrink,Emmen
43,7812GA,Zuidlaarderbrink,Emmen
68,7812BL,Huizingsbrinkweg,Emmen
75,7812AA,Noordbargerstraat,Emmen
14,7811HB,Sterrenkamp,Emmen
126,7811AX,Westenesscherstraat,Emmen
3,7811AS,Esweg,Emmen
5,7811AR,Schimmerweg,Emmen
136,7812JX,Oringerbrink,Emmen
188,7812JZ,Oringerbrink,Emmen
190,7812JZ,Oringerbrink,Emmen
148,7812JX,Oringerbrink,Emmen
142,7812JX,Oringerbrink,Emmen
119,7812JT,Oringerbrink,Emmen
91,7812JS,Oringerbrink,Emmen
197,7812VK,Bruntingerbrink,Emmen
104,7812LZ,Ronerbrink,Emmen
138,7812LZ,Ronerbrink,Emmen
502,7812EM,Hesselterbrink,Emmen
202,7812EE,Hesselterbrink,Emmen
210,7812EE,Hesselterbrink,Emmen
178,7812ED,Hesselterbrink,Emmen
184,7812ED,Hesselterbrink,Emmen
