7827GT,36,,Velduil,Emmen
7827GM,100,,Ransuil,Emmen
7827GD,62,,Kerkuil,Emmen
7827GD,59,,Kerkuil,Emmen
7827GD,60,,Kerkuil,Emmen
7812EN,548,,Hesselterbrink,Emmen
7812EN,532,,Hesselterbrink,Emmen
7812EN,540,,Hesselterbrink,Emmen
7827RD,15,,Groene Specht,Emmen
7827RD,16,,Groene Specht,Emmen
7827RD,18,,Groene Specht,Emmen
7827RD,9,,Groene Specht,Emmen
7827RD,30,,Groene Specht,Emmen
7827RD,36,,Groene Specht,Emmen
7827RB,3,,Zwarte Specht,Emmen
7827RB,13,,Zwarte Specht,Emmen
7827RB,12,,Zwarte Specht,Emmen
7827RB,16,,Zwarte Specht,Emmen
7827RB,21,,Zwarte Specht,Emmen
7824SG,141,,Holtlaan,Emmen
7815GB,27,,Nijkampenweg,Emmen
7815GB,35,,Nijkampenweg,Emmen
7815GB,47,,Nijkampenweg,Emmen
7815GN,36,,Nijkampenweg,Emmen
7815GB,53,,Nijkampenweg,Emmen
7815LS,9,,Dr. L.J.F. Janssenstraat,Emmen
7815LW,32,,E. van Drielststraat,Emmen
7815LV,21,,E. van Drielststraat,Emmen
7815LW,8,,E. van Drielststraat,Emmen
7815NG,4,,Mr. J. van Lierstraat,Emmen
7815NA,25,,Van Coevordenstraat,Emmen
7815NA,45,,Van Coevordenstraat,Emmen
7822EE,28,,Burgemeester Tijmesstraat,Emmen
7822EB,2,,Parklaan,Emmen
7815SV,2,,Van Blankenheimstraat,Emmen
7815SV,18,,Van Blankenheimstraat,Emmen
7815SR,32,,Van Selbachstraat,Emmen
7824BS,22,,Havixhorst,Emmen
7824BS,26,,Havixhorst,Emmen
7824AX,3,,Batingehof,Emmen
7824AX,7,,Batingehof,Emmen
7824AZ,40,,Batingehof,Emmen
7824AZ,50,,Batingehof,Emmen
7824AZ,28,,Batingehof,Emmen
7812TA,13,,Druwerbrink,Emmen
7826HL,3,,De Traden,Emmen
7826HX,2,,De Bargies,Emmen
7826HW,67,,De Bargies,Emmen
7826HX,74,,De Bargies,Emmen
7815GN,48,,Nijkampenweg,Emmen
7815VT,8,,Mr. J. Panstraat,Emmen
7815VT,4,,Mr. J. Panstraat,Emmen
7815VK,19,,Magninstraat,Emmen
7815VK,25,,Magninstraat,Emmen
7815VL,34,,Magninstraat,Emmen
7815JM,29,,Mr. J.J. Willingestraat,Emmen
7815JN,28,,Mr. J.J. Willingestraat,Emmen
7811GA,12,,Verlengde Spoorstraat,Emmen
7822CE,20,,Heidelaan,Emmen
7822AB,39,,Oude Roswinkelerweg,Emmen
7822AB,35,,Oude Roswinkelerweg,Emmen
7822AB,37,,Oude Roswinkelerweg,Emmen
7822CB,35,,Hagedoorn,Emmen
7822CC,36,,Hagedoorn,Emmen
7822AV,7,,Wolfsbergenweg,Emmen
7824SJ,207,,Holtlaan,Emmen
7824SJ,209,,Holtlaan,Emmen
7824SJ,195,,Holtlaan,Emmen
7824SJ,227,,Holtlaan,Emmen
7824AZ,24,,Batingehof,Emmen
7824AX,2,,Batingehof,Emmen
7824AX,8,,Batingehof,Emmen
7824BA,35,,Landschaplaan,Emmen
7815KX,70,,Beentepol,Emmen
7815KX,76,,Beentepol,Emmen
7815KK,6,,Zeggeveld,Emmen
7815KJ,20,,De Buzen,Emmen
7815KJ,16,,De Buzen,Emmen
7815KG,19,,Kraaiheide,Emmen
7812VN,126,,Ekselerbrink,Emmen
7812VP,172,,Ekselerbrink,Emmen
7812TR,356,,Druwerbrink,Emmen
7812TH,46,,Druwerbrink,Emmen
7812TA,39,,Druwerbrink,Emmen
7812TB,53,,Druwerbrink,Emmen
7812TB,57,,Druwerbrink,Emmen
7812TG,2,,Druwerbrink,Emmen
7812TG,6,,Druwerbrink,Emmen
7812TG,18,,Druwerbrink,Emmen
7812TG,22,,Druwerbrink,Emmen
7815JP,23,,Mr. L. Oldenhuis Tonckensstraat,Emmen
7815JR,26,,Mr. L. Oldenhuis Tonckensstraat,Emmen
7815JP,37,,Mr. L. Oldenhuis Tonckensstraat,Emmen
7815JP,29,,Mr. L. Oldenhuis Tonckensstraat,Emmen
7815JR,38,,Mr. L. Oldenhuis Tonckensstraat,Emmen
7822GG,53,,Prinsenlaan,Emmen
7822GH,30,,Prinsenlaan,Emmen
7822GH,28,,Prinsenlaan,Emmen
7822GE,31,,Prinsenlaan,Emmen
7822GG,37,,Prinsenlaan,Emmen
