7833CC,123,,Ringlaan,Nieuw-Amsterdam
7833GD,16,,Wildbaan,Nieuw-Amsterdam
7833GD,42,,Wildbaan,Nieuw-Amsterdam
7833GD,44,,Wildbaan,Nieuw-Amsterdam
7833GD,26,,Wildbaan,Nieuw-Amsterdam
7833GB,53,,Wildbaan,Nieuw-Amsterdam
7833GA,11,,Wildbaan,Nieuw-Amsterdam
7833BA,20,,Zijtak WZ,Nieuw-Amsterdam
7833BA,22,,Zijtak WZ,Nieuw-Amsterdam
7833BA,21,,Zijtak WZ,Nieuw-Amsterdam
7885GE,28,,Stelmakershof,Nieuw-Dordrecht
7885GG,34,,Stelmakershof,Nieuw-Dordrecht
7885GG,38,,Stelmakershof,Nieuw-Dordrecht
7812PC,103,,Rolderbrink,Emmen
7812PC,105,,Rolderbrink,Emmen
7812PC,107,,Rolderbrink,Emmen
7812PB,61,,Rolderbrink,Emmen
7812PB,87,,Rolderbrink,Emmen
7812PC,101,,Rolderbrink,Emmen
7812PK,128,,Rolderbrink,Emmen
7827DM,3,,Sneeuwvink,Emmen
7827BR,92,,Kuifmees,Emmen
7827BR,97,,Kuifmees,Emmen
7827BN,7,,Kuifmees,Emmen
7827BN,6,,Kuifmees,Emmen
7827HK,77,,Slechtvalk,Emmen
7827HH,34,,Slechtvalk,Emmen
7827HX,32,,Giervalk,Emmen
7827HX,43,,Giervalk,Emmen
7827HX,20,,Giervalk,Emmen
7827RA,20,,Bonte Specht,Emmen
7827RA,21,,Bonte Specht,Emmen
7827RA,22,,Bonte Specht,Emmen
7827RG,47,,Drieteenspecht,Emmen
7827RC,50,,Witrugspecht,Emmen
7827RC,51,,Witrugspecht,Emmen
7827RC,48,,Witrugspecht,Emmen
7827RC,6,,Witrugspecht,Emmen
7827RC,42,,Witrugspecht,Emmen
7827RC,23,,Witrugspecht,Emmen
7827RC,14,,Witrugspecht,Emmen
7833AL,9,,Zijtak OZ,Nieuw-Amsterdam
7833AL,1,,Zijtak OZ,Nieuw-Amsterdam
7833EN,23,,Jagerslaan,Nieuw-Amsterdam
7833JM,7,,Margienewijk WZ,Nieuw-Amsterdam
7833HG,102,,Vaart NZ,Nieuw-Amsterdam
7891PZ,1,,Achter de Brandweer,Klazienaveen
7812PL,160,,Rolderbrink,Emmen
7827JA,14,,Bonte Kraai,Emmen
7827JA,13,,Bonte Kraai,Emmen
7827JA,6,,Bonte Kraai,Emmen
7827JA,10,,Bonte Kraai,Emmen
7827JD,60,,Zwarte Kraai,Emmen
7827JD,56,,Zwarte Kraai,Emmen
7827JD,54,,Zwarte Kraai,Emmen
7827JC,3,,Zwarte Kraai,Emmen
7827JC,2,,Zwarte Kraai,Emmen
7827JH,50,,Torenkraai,Emmen
7827SC,69,,Ganzenveld,Emmen
7827NM,35,,Tortelduif,Emmen
7827NR,16,,Holenduif,Emmen
7827NL,4,,Tortelduif,Emmen
7827NR,4,,Holenduif,Emmen
7844NK,9,,Kastanjestraat,Veenoord
7827RC,31,,Witrugspecht,Emmen
7827RA,32,,Bonte Specht,Emmen
7833AA,12,,Vaart ZZ,Nieuw-Amsterdam
7833AA,9,,Vaart ZZ,Nieuw-Amsterdam
7833AA,8,,Vaart ZZ,Nieuw-Amsterdam
7833AA,3,,Vaart ZZ,Nieuw-Amsterdam
7833EW,11,,Valkeniersweg,Nieuw-Amsterdam
7833EW,6,,Valkeniersweg,Nieuw-Amsterdam
7833EW,10,,Valkeniersweg,Nieuw-Amsterdam
7833EW,14,,Valkeniersweg,Nieuw-Amsterdam
7833GR,2,,Klaroen,Nieuw-Amsterdam
7833GR,4,,Klaroen,Nieuw-Amsterdam
7833GT,12,,Wildvang,Nieuw-Amsterdam
7833GT,4,,Wildvang,Nieuw-Amsterdam
7833GS,1,,Wildvang,Nieuw-Amsterdam
7891PZ,76,,Achter de Brandweer,Klazienaveen
7891PZ,48,,Achter de Brandweer,Klazienaveen
7891PZ,78,,Achter de Brandweer,Klazienaveen
7891PZ,56,,Achter de Brandweer,Klazienaveen
7891PZ,96,,Achter de Brandweer,Klazienaveen
7891PZ,98,,Achter de Brandweer,Klazienaveen
7891PZ,110,,Achter de Brandweer,Klazienaveen
7891AS,62,,Brugstraat,Klazienaveen
7891AS,60,,Brugstraat,Klazienaveen
7827VG,25,,Purperreiger,Emmen
7827VG,34,,Purperreiger,Emmen
7827VG,26,,Purperreiger,Emmen
7827VE,14,,Purperreiger,Emmen
7827VE,6,,Purperreiger,Emmen
7827VE,10,,Purperreiger,Emmen
7827VG,30,,Purperreiger,Emmen
7827LA,14,,Eendenveld,Emmen
7827LA,15,,Eendenveld,Emmen
7827LM,81,,Eendenveld,Emmen
7827LR,51,,Toppereend,Emmen
