7413RS,30,,Driebergenstraat,Deventer
7425CP,1,,Dudokstraat,Deventer
7425CR,2,,Dudokstraat,Deventer
7425CP,3,,Dudokstraat,Deventer
7425CR,4,,Dudokstraat,Deventer
7425CP,5,,Dudokstraat,Deventer
7425CR,6,,Dudokstraat,Deventer
7425CP,7,,Dudokstraat,Deventer
7425CR,8,,Dudokstraat,Deventer
7425CR,10,,Dudokstraat,Deventer
7425CR,12,,Dudokstraat,Deventer
7425CR,14,,Dudokstraat,Deventer
7425CR,16,,Dudokstraat,Deventer
7425CR,18,,Dudokstraat,Deventer
7425CR,20,,Dudokstraat,Deventer
7422MT,119,,Fonteinkruid,Deventer
7422MZ,120,,Fonteinkruid,Deventer
7422MT,121,,Fonteinkruid,Deventer
7422MZ,122,,Fonteinkruid,Deventer
7422MT,123,,Fonteinkruid,Deventer
7422MZ,124,,Fonteinkruid,Deventer
7422MT,125,,Fonteinkruid,Deventer
7422MZ,126,,Fonteinkruid,Deventer
7422MV,127,,Fonteinkruid,Deventer
7422MV,129,,Fonteinkruid,Deventer
7422MZ,130,,Fonteinkruid,Deventer
7422MV,131,,Fonteinkruid,Deventer
7422MV,133,,Fonteinkruid,Deventer
7422MV,135,,Fonteinkruid,Deventer
7422MV,137,,Fonteinkruid,Deventer
7422MV,139,,Fonteinkruid,Deventer
7422MV,141,,Fonteinkruid,Deventer
7416BW,1,,Fortuinhof,Deventer
7416BW,2,,Fortuinhof,Deventer
7416BW,3,,Fortuinhof,Deventer
7416BW,4,,Fortuinhof,Deventer
7416BW,5,,Fortuinhof,Deventer
7416BW,6,,Fortuinhof,Deventer
7416BW,7,,Fortuinhof,Deventer
7416BW,8,,Fortuinhof,Deventer
7416BW,9,,Fortuinhof,Deventer
7416BW,10,,Fortuinhof,Deventer
7416BW,11,,Fortuinhof,Deventer
7416BW,12,,Fortuinhof,Deventer
7416BW,13,,Fortuinhof,Deventer
7416BW,14,,Fortuinhof,Deventer
7416BW,15,,Fortuinhof,Deventer
7416BW,16,,Fortuinhof,Deventer
7416BW,17,,Fortuinhof,Deventer
7416BW,18,,Fortuinhof,Deventer
7416BW,19,,Fortuinhof,Deventer
7416BW,20,,Fortuinhof,Deventer
7416BW,21,,Fortuinhof,Deventer
7416BW,22,,Fortuinhof,Deventer
7416BW,23,,Fortuinhof,Deventer
7416BW,24,,Fortuinhof,Deventer
7416BX,25,,Fortuinhof,Deventer
7416BX,26,,Fortuinhof,Deventer
7416BX,27,,Fortuinhof,Deventer
7416BX,28,,Fortuinhof,Deventer
7416BX,29,,Fortuinhof,Deventer
7416BX,30,,Fortuinhof,Deventer
7416BX,31,,Fortuinhof,Deventer
7416BX,32,,Fortuinhof,Deventer
7416BX,33,,Fortuinhof,Deventer
7416BX,34,,Fortuinhof,Deventer
7416BX,35,,Fortuinhof,Deventer
7416BX,36,,Fortuinhof,Deventer
7416BX,37,,Fortuinhof,Deventer
7416BX,38,,Fortuinhof,Deventer
7416BX,39,,Fortuinhof,Deventer
7416BX,40,,Fortuinhof,Deventer
7416BX,41,,Fortuinhof,Deventer
7416BX,42,,Fortuinhof,Deventer
7416BX,43,,Fortuinhof,Deventer
7416BX,44,,Fortuinhof,Deventer
7416BX,45,,Fortuinhof,Deventer
7416BX,46,,Fortuinhof,Deventer
7416BX,47,,Fortuinhof,Deventer
7416BX,48,,Fortuinhof,Deventer
7416BX,49,,Fortuinhof,Deventer
7416BX,50,,Fortuinhof,Deventer
7416BX,51,,Fortuinhof,Deventer
7412TR,1,,Frans Halsstraat,Deventer
7412TT,2,,Frans Halsstraat,Deventer
7412TR,3,,Frans Halsstraat,Deventer
7412TT,4,,Frans Halsstraat,Deventer
7412TR,5,,Frans Halsstraat,Deventer
7412TT,6,,Frans Halsstraat,Deventer
7412TR,7,,Frans Halsstraat,Deventer
7412TT,8,,Frans Halsstraat,Deventer
7412TR,9,,Frans Halsstraat,Deventer
7412TT,10,,Frans Halsstraat,Deventer
7412TR,11,,Frans Halsstraat,Deventer
7412TT,12,,Frans Halsstraat,Deventer
7412TR,13,,Frans Halsstraat,Deventer
7412TT,14,,Frans Halsstraat,Deventer
7412TR,15,,Frans Halsstraat,Deventer
7412TT,16,,Frans Halsstraat,Deventer
7412TR,17,,Frans Halsstraat,Deventer
7412TT,18,,Frans Halsstraat,Deventer
7412TR,19,,Frans Halsstraat,Deventer
7412TT,20,,Frans Halsstraat,Deventer
7412TR,21,,Frans Halsstraat,Deventer
7412TT,22,,Frans Halsstraat,Deventer
7412TR,23,,Frans Halsstraat,Deventer
7412TT,24,,Frans Halsstraat,Deventer
7412TR,25,,Frans Halsstraat,Deventer
7412TT,26,1,Frans Halsstraat,Deventer
7412TT,26,,Frans Halsstraat,Deventer
7412TS,27,,Frans Halsstraat,Deventer
7412TV,28,,Frans Halsstraat,Deventer
7412TS,29,,Frans Halsstraat,Deventer
7412TV,30,,Frans Halsstraat,Deventer
7412TS,31,,Frans Halsstraat,Deventer
7412TV,32,,Frans Halsstraat,Deventer
7412TS,33,,Frans Halsstraat,Deventer
7412TV,34,,Frans Halsstraat,Deventer
7415MG,20,,Graaf Reinoldstraat,Deventer
7415MG,22,,Graaf Reinoldstraat,Deventer
7415MG,24,,Graaf Reinoldstraat,Deventer
7415MG,26,,Graaf Reinoldstraat,Deventer
7415MG,28,,Graaf Reinoldstraat,Deventer
7415MG,30,,Graaf Reinoldstraat,Deventer
7415MG,32,,Graaf Reinoldstraat,Deventer
7415MH,34,,Graaf Reinoldstraat,Deventer
7415MH,36,,Graaf Reinoldstraat,Deventer
7415MH,38,,Graaf Reinoldstraat,Deventer
7415MH,40,,Graaf Reinoldstraat,Deventer
7415MH,42,,Graaf Reinoldstraat,Deventer
7415MH,44,,Graaf Reinoldstraat,Deventer
7415MH,46,,Graaf Reinoldstraat,Deventer
7415MH,48,,Graaf Reinoldstraat,Deventer
7415MH,50,,Graaf Reinoldstraat,Deventer
7415MH,52,,Graaf Reinoldstraat,Deventer
7415MH,54,,Graaf Reinoldstraat,Deventer
7415MH,56,,Graaf Reinoldstraat,Deventer
7415MH,58,,Graaf Reinoldstraat,Deventer
7415MH,60,,Graaf Reinoldstraat,Deventer
7415MH,62,,Graaf Reinoldstraat,Deventer
7415MH,64,,Graaf Reinoldstraat,Deventer
7411RT,1,,Graaf van Burenstraat,Deventer
7411RW,2,1,Graaf van Burenstraat,Deventer
7411RW,22,,Graaf van Burenstraat,Deventer
7411RW,2,3,Graaf van Burenstraat,Deventer
7411RW,24,,Graaf van Burenstraat,Deventer
7411RW,2,5,Graaf van Burenstraat,Deventer
7411RW,26,,Graaf van Burenstraat,Deventer
7411RW,2,7,Graaf van Burenstraat,Deventer
7411RW,28,,Graaf van Burenstraat,Deventer
7411RW,2,9,Graaf van Burenstraat,Deventer
7411RW,2,10,Graaf van Burenstraat,Deventer
7411RW,2,11,Graaf van Burenstraat,Deventer
7411RW,2,12,Graaf van Burenstraat,Deventer
7411RW,2,13,Graaf van Burenstraat,Deventer
7411RW,2,14,Graaf van Burenstraat,Deventer
7411RW,2,15,Graaf van Burenstraat,Deventer
7411RW,2,16,Graaf van Burenstraat,Deventer
7411RW,2,17,Graaf van Burenstraat,Deventer
7411RW,2,18,Graaf van Burenstraat,Deventer
7411RW,2,19,Graaf van Burenstraat,Deventer
7411RW,2,20,Graaf van Burenstraat,Deventer
7411RW,2,21,Graaf van Burenstraat,Deventer
7411RW,2,22,Graaf van Burenstraat,Deventer
7411RW,2,23,Graaf van Burenstraat,Deventer
7411RW,2,24,Graaf van Burenstraat,Deventer
7411RW,2,25,Graaf van Burenstraat,Deventer
7411RW,2,26,Graaf van Burenstraat,Deventer
7411RW,2,27,Graaf van Burenstraat,Deventer
7411RW,2,28,Graaf van Burenstraat,Deventer
7411RW,2,29,Graaf van Burenstraat,Deventer
