7442AD,10,,Weverstraat,Nijverdal
7448AK,1,,Wiegersstraat,Haarle
7448AK,3,,Wiegersstraat,Haarle
7448AK,4,,Wiegersstraat,Haarle
7448AK,6,,Wiegersstraat,Haarle
7448AK,7,,Wiegersstraat,Haarle
7448AK,8,,Wiegersstraat,Haarle
7448AK,10,,Wiegersstraat,Haarle
7448AK,11,,Wiegersstraat,Haarle
7448AK,12,,Wiegersstraat,Haarle
7448AK,13,,Wiegersstraat,Haarle
7448AK,15,,Wiegersstraat,Haarle
7448AK,16,,Wiegersstraat,Haarle
7448AK,19,,Wiegersstraat,Haarle
7448AK,20,,Wiegersstraat,Haarle
7448AK,21,,Wiegersstraat,Haarle
7448AK,23,,Wiegersstraat,Haarle
7448AK,25,,Wiegersstraat,Haarle
7448AK,29,,Wiegersstraat,Haarle
7447EC,8,,Verzetstraat,Hellendoorn
7443LN,23,,Waterkers,Nijverdal
7687AD,4,,Wulpenweg,Daarlerveen
7687AD,5,,Wulpenweg,Daarlerveen
7688PM,1,,Zandkuilenweg,Daarle
7688PM,2,,Zandkuilenweg,Daarle
7688PM,2,BEDR,Zandkuilenweg,Daarle
7688PM,3,,Zandkuilenweg,Daarle
7688PM,4,,Zandkuilenweg,Daarle
7688PM,5,,Zandkuilenweg,Daarle
7688PM,7,,Zandkuilenweg,Daarle
7688PM,8,,Zandkuilenweg,Daarle
7688PM,9,,Zandkuilenweg,Daarle
7688PM,11,,Zandkuilenweg,Daarle
7688PM,13,,Zandkuilenweg,Daarle
7688PM,15,,Zandkuilenweg,Daarle
7688PM,17,,Zandkuilenweg,Daarle
7688PM,19,,Zandkuilenweg,Daarle
7688PM,29,,Zandkuilenweg,Daarle
7688PM,31,,Zandkuilenweg,Daarle
7447XX,1,,Zandsteeg,Hellendoorn
7447XW,2,,Zandsteeg,Hellendoorn
7447XX,3,,Zandsteeg,Hellendoorn
7447XW,4,,Zandsteeg,Hellendoorn
7447XX,5,,Zandsteeg,Hellendoorn
7447XW,6,,Zandsteeg,Hellendoorn
7447XX,7,,Zandsteeg,Hellendoorn
7447XW,8,,Zandsteeg,Hellendoorn
7447XX,9,,Zandsteeg,Hellendoorn
7447XW,10,,Zandsteeg,Hellendoorn
7447XX,11,,Zandsteeg,Hellendoorn
7447XX,13,,Zandsteeg,Hellendoorn
