8271TN,1,,Holtzendestraat,IJsselmuiden
8261BW,53,II,Hofstraat,Kampen
8278BC,10,,Hogeweg,Kamperveen
8267AH,1,,Heultjesweg,Kampen
8271PE,30,,Hartogsweg,IJsselmuiden
8271PE,13,1,Hartogsweg,IJsselmuiden
8263BE,11,1,Handelsstraat,Kampen
8263BE,3,,Handelsstraat,Kampen
8263AS,4,,Haatlandhaven,Kampen
8263AS,1,,Haatlandhaven,Kampen
8263AS,1,by,Haatlandhaven,Kampen
8263AP,57,,Haatlanderdijk,Kampen
8263AP,57,1,Haatlanderdijk,Kampen
8263AP,39,,Haatlanderdijk,Kampen
8263AR,24,1,Haatlanderdijk,Kampen
8277AB,117,2,Grafhorsterweg,Grafhorst
8277AB,81,1,Grafhorsterweg,Grafhorst
8271CB,51,1,Grafhorsterweg,IJsselmuiden
8277AA,26,1,Grafhorsterweg,Grafhorst
8277AA,24,3,Grafhorsterweg,Grafhorst
8261HM,32,I,Geerstraat,Kampen
8261HL,19,2,Geerstraat,Kampen
8267AD,4,,Frieseweg,Kampen
8267AD,4,by,Frieseweg,Kampen
8267AD,2,,Frieseweg,IJsselmuiden
8265CZ,15,,Fluitekruid,Kampen
8265VB,8,,Europa-allee,Kampen
8266GM,120,1,Esdoornhof,Kampen
8263AG,31,,Energiestraat,Kampen
8263AG,27,,Energiestraat,Kampen
8271TC,1,,Drostenstraat,IJsselmuiden
8271BN,56,1,Dorpsweg,IJsselmuiden
8271BN,50,1,Dorpsweg,IJsselmuiden
8263AE,20,,Dieselstraat,Kampen
8263AE,8,1,Dieselstraat,Kampen
8278AK,34,1,de Zande,Kamperveen
8271CD,135,,de Noord,IJsselmuiden
8271CD,123,,de Noord,IJsselmuiden
8271CD,113,,de Noord,IJsselmuiden
8271CD,101,,de Noord,IJsselmuiden
8271CD,19,,de Noord,IJsselmuiden
8271CC,18,,de Noord,IJsselmuiden
8271CC,14,,de Noord,IJsselmuiden
8261JR,18,,de la Sablonièrekade,Kampen
8271AZ,2,,de Blexterstraat,IJsselmuiden
8261HK,16,I,Burgwalstraat,Kampen
8271AP,171,1,Burgemeester van Engelenweg,IJsselmuiden
8261AZ,122,I,Buiten Nieuwstraat,Kampen
8261AR,35,1,Buiten Nieuwstraat,Kampen
8261GS,7,,Broederweg,Kampen
8261HH,110,,Boven Nieuwstraat,Kampen
8261HG,78,1,Boven Nieuwstraat,Kampen
8261HA,35,1,Boven Nieuwstraat,Kampen
8261HD,32,1,Boven Nieuwstraat,Kampen
8271BA,5,1,Blekersdam,IJsselmuiden
8271BH,4,1,Blekerijweg,IJsselmuiden
8271BH,1,,Blekerijweg,IJsselmuiden
8263BL,27,3,Betonstraat,Kampen
8271BE,2,,Baan,IJsselmuiden
8261LA,18,,Anjerstraat,Kampen
8263AK,30,,Ambachtsstraat,Kampen
8263AJ,29,,Ambachtsstraat,Kampen
8263AK,40,1,Ambachtsstraat,Kampen
8263AK,38,,Ambachtsstraat,Kampen
8263AK,2,1,Ambachtsstraat,Kampen
8271CG,31,1,Plasweg,IJsselmuiden
8263BG,20,1,Neringstraat,Kampen
8263BG,2,,Neringstraat,Kampen
8261JW,32,,Molenstraat,Kampen
8261JW,28,,Molenstraat,Kampen
8261VZ,1,11,Meeuwenweg,Kampen
8261VZ,8,3,Meeuwenweg,Kampen
8263BH,4,,Loswal,Kampen
8271AG,30,1,Lijnbaanstraat,IJsselmuiden
8261JT,14,12,Prinsenstraat,Kampen
8261JT,14,11,Prinsenstraat,Kampen
8261JT,14,10,Prinsenstraat,Kampen
8264PC,5,1,Hilbert van Dijkstraat,Kampen
8261VL,158,,Groenestraat,Kampen
8261VC,41,,Groenestraat,Kampen
8261VC,5,I,Groenestraat,Kampen
8271PA,2,,Frieseweg,IJsselmuiden
8263BN,8,,Ertsstraat,Kampen
8278AC,4,,de Chalmotweg,Kampen
8261ET,94,I,Burgwal,Kampen
8261ET,95,I,Burgwal,Kampen
8271PJ,17,1,Tuindersweg,IJsselmuiden
