8265RG,3,TR,Triangel,Kampen
8262RP,22,TR,Schokkersstraat,Kampen
8265RE,2,TR,Orkestlaan,Kampen
8263BP,2,TR,Montagestraat,Kampen
8271PE,6,TR,Hartogsweg,IJsselmuiden
8271RH,56,TR01,Spoorstraat,IJsselmuiden
8271RH,56,TR02,Spoorstraat,IJsselmuiden
8276AB,47,TR,Zalkerdijk,Zalk
8271KG,31,TR,Zeegravensingel,IJsselmuiden
8271RP,10,TR,Middenweg,IJsselmuiden
8277AB,83,TR,Grafhorsterweg,Grafhorst
8271PE,22,TR,Hartogsweg,IJsselmuiden
8263BB,11,TR,Reigerweg,Kampen
8276AD,4,TR01,Lagelandweg,Zalk
8276AD,4,TR02,Lagelandweg,Zalk
8271JE,2,TR,de Bogaard,IJsselmuiden
8271PK,24,TR,Tuindersweg,IJsselmuiden
8271RH,26,TR,Spoorstraat,IJsselmuiden
8271RS,8,TR,Ondernemersstraat,IJsselmuiden
8265BP,13,TR,Bumastraat,Kampen
8263CB,1,TR,Eckertstraat,Kampen
8263AD,20,TR,Industrieweg,Kampen
8271PT,18,TR,Oosterholtseweg,IJsselmuiden
8271PL,3,TR,Woldweg,IJsselmuiden
8266JD,16,TR,Rivierduinen,Kampen
8271RW,9,TR,Tasveld,IJsselmuiden
8271RT,1,TR,Veldoven,IJsselmuiden
8263AW,3,TR,Kardoezenweg,Kampen
8262WJ,2,TR,Thorbeckelaan,Kampen
8271PS,1,TR,Oosterholtseweg,IJsselmuiden
8261KH,16,,Bregittenstraat,Kampen
8261KH,18,,Bregittenstraat,Kampen
8261KH,20,,Bregittenstraat,Kampen
8261KH,22,,Bregittenstraat,Kampen
8261KH,24,,Bregittenstraat,Kampen
8261KH,26,,Bregittenstraat,Kampen
8261KH,28,,Bregittenstraat,Kampen
8261KH,30,,Bregittenstraat,Kampen
8261KH,32,,Bregittenstraat,Kampen
8261KH,34,,Bregittenstraat,Kampen
8261KH,36,,Bregittenstraat,Kampen
8261KH,38,,Bregittenstraat,Kampen
8261KH,40,,Bregittenstraat,Kampen
8261AL,1,01,Marktgang,Kampen
8261EP,62,01,Burgwal,Kampen
8261CB,254,01,Oudestraat,Kampen
8261CB,254,02,Oudestraat,Kampen
8266KL,2,,Bouwkamp,Kampen
8261KE,20,,Venestraat,Kampen
8261KE,20,01,Venestraat,Kampen
8261KE,22,,Venestraat,Kampen
8261KE,24,01,Venestraat,Kampen
8261KE,18,01,Venestraat,Kampen
8293PA,92,,Bisschopswetering,Mastenbroek
8261GA,3,I,Vloeddijk,Kampen
8264BJ,66,GR01,Burgemeester Oldenhoflaan,Kampen
8264BJ,66,GR02,Burgemeester Oldenhoflaan,Kampen
8264BJ,66,GR03,Burgemeester Oldenhoflaan,Kampen
8264BJ,66,GR04,Burgemeester Oldenhoflaan,Kampen
8264BJ,66,GR05,Burgemeester Oldenhoflaan,Kampen
8264BJ,66,GR06,Burgemeester Oldenhoflaan,Kampen
8264BJ,66,GR07,Burgemeester Oldenhoflaan,Kampen
8271AL,71,GR03,Burgemeester van Engelenweg,IJsselmuiden
8271AL,71,GR04,Burgemeester van Engelenweg,IJsselmuiden
8271AL,71,GR05,Burgemeester van Engelenweg,IJsselmuiden
8271AL,71,GR06,Burgemeester van Engelenweg,IJsselmuiden
8271AL,71,GR07,Burgemeester van Engelenweg,IJsselmuiden
8271AL,71,GR08,Burgemeester van Engelenweg,IJsselmuiden
8271AL,71,GR09,Burgemeester van Engelenweg,IJsselmuiden
8271AL,71,GR10,Burgemeester van Engelenweg,IJsselmuiden
8271CM,11,GR01,Burgemeester Visserweg,IJsselmuiden
8271CM,11,GR02,Burgemeester Visserweg,IJsselmuiden
8271CM,11,GR03,Burgemeester Visserweg,IJsselmuiden
8271CM,11,GR04,Burgemeester Visserweg,IJsselmuiden
8271CM,11,GR05,Burgemeester Visserweg,IJsselmuiden
8271CM,11,GR06,Burgemeester Visserweg,IJsselmuiden
8271CM,11,GR07,Burgemeester Visserweg,IJsselmuiden
8271CM,11,GR08,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR01,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR02,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR03,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR04,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR05,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR06,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR07,Burgemeester Visserweg,IJsselmuiden
8271CM,21,GR08,Burgemeester Visserweg,IJsselmuiden
8271CP,26,GR01,Burgemeester Visserweg,IJsselmuiden
8271CP,26,GR02,Burgemeester Visserweg,IJsselmuiden
8271CP,26,GR03,Burgemeester Visserweg,IJsselmuiden
8271CP,26,GR04,Burgemeester Visserweg,IJsselmuiden
8271CP,26,GR05,Burgemeester Visserweg,IJsselmuiden
8271CM,33,GR01,Burgemeester Visserweg,IJsselmuiden
8271CM,33,GR02,Burgemeester Visserweg,IJsselmuiden
8271CM,33,GR03,Burgemeester Visserweg,IJsselmuiden
8271CM,33,GR04,Burgemeester Visserweg,IJsselmuiden
8271CM,35,GR01,Burgemeester Visserweg,IJsselmuiden
8271CM,35,GR02,Burgemeester Visserweg,IJsselmuiden
8271CM,35,GR03,Burgemeester Visserweg,IJsselmuiden
8271CM,35,GR04,Burgemeester Visserweg,IJsselmuiden
8265XE,13,GR01,de Leeuwstraat,Kampen
8265XE,13,GR02,de Leeuwstraat,Kampen
8265XE,13,GR03,de Leeuwstraat,Kampen
8265XE,13,GR04,de Leeuwstraat,Kampen
8265XE,13,GR05,de Leeuwstraat,Kampen
8265XE,13,GR06,de Leeuwstraat,Kampen
8265XE,13,GR07,de Leeuwstraat,Kampen
8265XE,13,GR08,de Leeuwstraat,Kampen
8265XE,13,GR09,de Leeuwstraat,Kampen
8265XE,13,GR10,de Leeuwstraat,Kampen
8265HG,16,GR01,Dotterbloem,Kampen
8265HG,16,GR03,Dotterbloem,Kampen
8265HG,16,GR08,Dotterbloem,Kampen
8265HG,16,GR09,Dotterbloem,Kampen
8265HG,16,GR10,Dotterbloem,Kampen
8265HG,16,GR11,Dotterbloem,Kampen
8265HG,16,GR05,Dotterbloem,Kampen
8265HG,16,GR13,Dotterbloem,Kampen
8265HG,16,GR15,Dotterbloem,Kampen
8265HG,38,GR01,Dotterbloem,Kampen
8265HG,38,GR02,Dotterbloem,Kampen
8265HG,38,GR03,Dotterbloem,Kampen
8265HG,38,GR04,Dotterbloem,Kampen
8265HG,38,GR05,Dotterbloem,Kampen
8265WV,19,GR01,Floris V straat,Kampen
8265WV,19,GR02,Floris V straat,Kampen
8271TK,1,GR01,Ittervegtlaan,IJsselmuiden
8271TK,1,GR02,Ittervegtlaan,IJsselmuiden
8271TK,1,GR03,Ittervegtlaan,IJsselmuiden
8271TK,1,GR04,Ittervegtlaan,IJsselmuiden
8271TK,1,GR05,Ittervegtlaan,IJsselmuiden
8271TK,1,GR06,Ittervegtlaan,IJsselmuiden
8271TK,1,GR07,Ittervegtlaan,IJsselmuiden
8271TK,1,GR08,Ittervegtlaan,IJsselmuiden
8271TK,1,GR09,Ittervegtlaan,IJsselmuiden
8271TK,1,GR10,Ittervegtlaan,IJsselmuiden
8271TK,1,GR11,Ittervegtlaan,IJsselmuiden
8271TK,1,GR13,Ittervegtlaan,IJsselmuiden
8271TK,1,GR14,Ittervegtlaan,IJsselmuiden
8271TK,1,GR15,Ittervegtlaan,IJsselmuiden
8271TK,1,GR16,Ittervegtlaan,IJsselmuiden
8271TK,1,GR17,Ittervegtlaan,IJsselmuiden
8271TK,1,GR18,Ittervegtlaan,IJsselmuiden
8271TK,1,GR19,Ittervegtlaan,IJsselmuiden
8271TK,1,GR20,Ittervegtlaan,IJsselmuiden
8271TK,1,GR21,Ittervegtlaan,IJsselmuiden
8271TK,1,GR22,Ittervegtlaan,IJsselmuiden
8271TK,1,GR25,Ittervegtlaan,IJsselmuiden
8271TK,1,GR26,Ittervegtlaan,IJsselmuiden
8271TK,1,GR27,Ittervegtlaan,IJsselmuiden
8271TK,1,GR28,Ittervegtlaan,IJsselmuiden
8271TK,1,GR29,Ittervegtlaan,IJsselmuiden
8271TK,1,GR30,Ittervegtlaan,IJsselmuiden
8271TK,1,GR35,Ittervegtlaan,IJsselmuiden
8271TK,1,GR36,Ittervegtlaan,IJsselmuiden
