7951RA,3,,Vaartweg,Staphorst
7715PZ,4,,van Dedemsweg,Punthorst
7715PZ,9,,van Dedemsweg,Punthorst
7715PZ,13,,van Dedemsweg,Punthorst
7715PZ,15,,van Dedemsweg,Punthorst
7715PZ,2,,van Dedemsweg,Punthorst
7715PZ,3,,van Dedemsweg,Punthorst
7715PZ,11,,van Dedemsweg,Punthorst
7715PZ,7,,van Dedemsweg,Punthorst
7715PZ,1,,van Dedemsweg,Punthorst
7955PJ,2,,van der Lindelaan,IJhorst
7951NL,1,,van Veensveldweg,Staphorst
7951NL,2,,van Veensveldweg,Staphorst
7951NL,2,SLP,van Veensveldweg,Staphorst
7951NL,3,,van Veensveldweg,Staphorst
7955PP,5,,Veldhuisweg,IJhorst
7955PP,1,10,Veldhuisweg,IJhorst
7955PP,11,,Veldhuisweg,IJhorst
7955PP,1,14,Veldhuisweg,IJhorst
7955PP,1,16,Veldhuisweg,IJhorst
7955PP,1,19,Veldhuisweg,IJhorst
7955PP,1,23,Veldhuisweg,IJhorst
7955PP,1,26,Veldhuisweg,IJhorst
7955PP,1,39,Veldhuisweg,IJhorst
7955PP,1,38,Veldhuisweg,IJhorst
7955PP,1,37,Veldhuisweg,IJhorst
7955PP,1,35,Veldhuisweg,IJhorst
7955PP,1,31,Veldhuisweg,IJhorst
7955PP,1,30,Veldhuisweg,IJhorst
7955PP,1,29,Veldhuisweg,IJhorst
7955PP,1,28,Veldhuisweg,IJhorst
7955PP,1,24,Veldhuisweg,IJhorst
7955PP,1,47,Veldhuisweg,IJhorst
7955PP,1,46,Veldhuisweg,IJhorst
7955PP,1,45,Veldhuisweg,IJhorst
7955PP,1,44,Veldhuisweg,IJhorst
7955PP,1,43,Veldhuisweg,IJhorst
7955PP,1,42,Veldhuisweg,IJhorst
7955PP,1,41,Veldhuisweg,IJhorst
7955PP,1,40,Veldhuisweg,IJhorst
7955PP,1,4,Veldhuisweg,IJhorst
7955PP,1,6,Veldhuisweg,IJhorst
7955PP,1,59,Veldhuisweg,IJhorst
7955PP,1,58,Veldhuisweg,IJhorst
7955PP,1,56,Veldhuisweg,IJhorst
7955PP,1,55,Veldhuisweg,IJhorst
7955PP,1,53,Veldhuisweg,IJhorst
7955PP,1,52,Veldhuisweg,IJhorst
7955PP,1,51,Veldhuisweg,IJhorst
7955PP,1,49,Veldhuisweg,IJhorst
7955PP,15,,Veldhuisweg,IJhorst
7955PP,13,,Veldhuisweg,IJhorst
7955PP,4,,Veldhuisweg,IJhorst
7955PP,6,,Veldhuisweg,IJhorst
7955PP,9,,Veldhuisweg,IJhorst
7955PP,4,9,Veldhuisweg,IJhorst
7955PP,4,8,Veldhuisweg,IJhorst
7955PP,4,7,Veldhuisweg,IJhorst
7955PP,4,6,Veldhuisweg,IJhorst
7955PP,4,5,Veldhuisweg,IJhorst
7955PP,4,42,Veldhuisweg,IJhorst
7955PP,4,41,Veldhuisweg,IJhorst
7955PP,4,40,Veldhuisweg,IJhorst
7955PP,4,4,Veldhuisweg,IJhorst
7955PP,4,39,Veldhuisweg,IJhorst
7955PP,4,38,Veldhuisweg,IJhorst
7955PP,4,37,Veldhuisweg,IJhorst
7955PP,4,36,Veldhuisweg,IJhorst
7955PP,4,35,Veldhuisweg,IJhorst
7955PP,4,II1,Veldhuisweg,IJhorst
7955PP,4,1,Veldhuisweg,IJhorst
7955PP,4,R1,Veldhuisweg,IJhorst
7955PP,4,I,Veldhuisweg,IJhorst
7955PP,4,34,Veldhuisweg,IJhorst
7955PP,4,33,Veldhuisweg,IJhorst
7955PP,4,32,Veldhuisweg,IJhorst
7955PP,4,31,Veldhuisweg,IJhorst
7955PP,4,30,Veldhuisweg,IJhorst
7955PP,4,3,Veldhuisweg,IJhorst
7955PP,4,29,Veldhuisweg,IJhorst
