61,3772MP,Anthonie Fokkerstraat,Barneveld
55,3886MR,Ouwendorperweg,Garderen
57,3886MR,Ouwendorperweg,Garderen
65,3772PP,Vellerselaan,Barneveld
53,3886MR,Ouwendorperweg,Garderen
18,3771CT,Van Houtenlaan,Barneveld
20,3771CT,Van Houtenlaan,Barneveld
22,3771CT,Van Houtenlaan,Barneveld
24,3771CT,Van Houtenlaan,Barneveld
26,3771CT,Van Houtenlaan,Barneveld
28,3771CT,Van Houtenlaan,Barneveld
1,3781LP,Bijschoterweg,Voorthuizen
22,3774SB,De Bonkelaar,Kootwijkerbroek
35,3771CC,Groen van Prinstererlaan,Barneveld
32,3781ND,Overhorsterweg,Voorthuizen
122,3771CL,Schoutenstraat,Barneveld
1,3771CP,Van Hogendorplaan,Barneveld
3,3771CP,Van Hogendorplaan,Barneveld
25,3771CP,Van Hogendorplaan,Barneveld
27,3771CP,Van Hogendorplaan,Barneveld
5,3771CP,Van Hogendorplaan,Barneveld
9,3771CP,Van Hogendorplaan,Barneveld
11,3771CP,Van Hogendorplaan,Barneveld
13,3771CP,Van Hogendorplaan,Barneveld
15,3771CP,Van Hogendorplaan,Barneveld
17,3777CP,Van Hogendorplaan,Barneveld
17,3771CP,Van Hogendorplaan,Barneveld
19,3771CP,Van Hogendorplaan,Barneveld
21,3771CP,Van Hogendorplaan,Barneveld
23,3771CP,Van Hogendorplaan,Barneveld
2,3771CT,Van Houtenlaan,Barneveld
4,3771CT,Van Houtenlaan,Barneveld
6,3771CT,Van Houtenlaan,Barneveld
8,3771CT,Van Houtenlaan,Barneveld
10,3771CT,Van Houtenlaan,Barneveld
12,3771CT,Van Houtenlaan,Barneveld
14,3771CT,Van Houtenlaan,Barneveld
16,3771CT,Van Houtenlaan,Barneveld
101,3781EV,Frans Halsstraat,Voorthuizen
146,3772PE,Lakenvelderlaan,Barneveld
148,3772PE,Lakenvelderlaan,Barneveld
150,3772PE,Lakenvelderlaan,Barneveld
152,3772PE,Lakenvelderlaan,Barneveld
154,3772PE,Lakenvelderlaan,Barneveld
156,3772PE,Lakenvelderlaan,Barneveld
158,3772PE,Lakenvelderlaan,Barneveld
160,3772PE,Lakenvelderlaan,Barneveld
162,3772PE,Lakenvelderlaan,Barneveld
164,3772PE,Lakenvelderlaan,Barneveld
166,3772PE,Lakenvelderlaan,Barneveld
168,3772PE,Lakenvelderlaan,Barneveld
170,3772PE,Lakenvelderlaan,Barneveld
172,3772PE,Lakenvelderlaan,Barneveld
174,3772PE,Lakenvelderlaan,Barneveld
176,3772PE,Lakenvelderlaan,Barneveld
178,3772PE,Lakenvelderlaan,Barneveld
180,3772PE,Lakenvelderlaan,Barneveld
182,3772PE,Lakenvelderlaan,Barneveld
184,3772PE,Lakenvelderlaan,Barneveld
186,3772PE,Lakenvelderlaan,Barneveld
188,3772PE,Lakenvelderlaan,Barneveld
190,3772PE,Lakenvelderlaan,Barneveld
192,3772PE,Lakenvelderlaan,Barneveld
17,3773BA,Barnseweg,Barneveld
19,3772CE,Amersfoortsestraat,Barneveld
94,3772TS,Lunterseweg,Barneveld
144,3774BP,Veluweweg,Kootwijkerbroek
17,3774SE,De Spil,Kootwijkerbroek
8,3774BZ,Topperbinnenweg,Kootwijkerbroek
22,3772CJ,Amersfoortsestraat,Barneveld
2,3781TB,Evertsenlaan,Voorthuizen
26,3772PX,Leghornlaan,Barneveld
28,3772PX,Leghornlaan,Barneveld
30,3772PX,Leghornlaan,Barneveld
32,3772PX,Leghornlaan,Barneveld
34,3772PX,Leghornlaan,Barneveld
36,3772PX,Leghornlaan,Barneveld
38,3772PX,Leghornlaan,Barneveld
74,3772PX,Leghornlaan,Barneveld
