7324CL,55,,Oesterzwam,Apeldoorn
7324CC,75,,Honingzwam,Apeldoorn
7324CC,77,,Honingzwam,Apeldoorn
7324CJ,2,,Bovist,Apeldoorn
7324CJ,4,,Bovist,Apeldoorn
7324CJ,6,,Bovist,Apeldoorn
7324CJ,8,,Bovist,Apeldoorn
7324CJ,10,,Bovist,Apeldoorn
7324CJ,12,,Bovist,Apeldoorn
7324CJ,14,,Bovist,Apeldoorn
7324CJ,16,,Bovist,Apeldoorn
7324CJ,18,,Bovist,Apeldoorn
7324CJ,20,,Bovist,Apeldoorn
7324CH,108,,Ridderzwam,Apeldoorn
7324CH,110,,Ridderzwam,Apeldoorn
7324CH,112,,Ridderzwam,Apeldoorn
7324CH,114,,Ridderzwam,Apeldoorn
7324CH,116,,Ridderzwam,Apeldoorn
7324CH,118,,Ridderzwam,Apeldoorn
7324CG,145,,Ridderzwam,Apeldoorn
7324CG,147,,Ridderzwam,Apeldoorn
7324CG,149,,Ridderzwam,Apeldoorn
7324CG,151,,Ridderzwam,Apeldoorn
7324CN,5,,Koraalzwam,Apeldoorn
7324CN,7,,Koraalzwam,Apeldoorn
7324CN,9,,Koraalzwam,Apeldoorn
7324CB,126,,Vliegenzwam,Apeldoorn
7324CB,128,,Vliegenzwam,Apeldoorn
7324CB,130,,Vliegenzwam,Apeldoorn
7324CB,132,,Vliegenzwam,Apeldoorn
7324CB,134,,Vliegenzwam,Apeldoorn
7324CB,136,,Vliegenzwam,Apeldoorn
7324CB,138,,Vliegenzwam,Apeldoorn
7371AH,8,,Hoofdweg,Loenen
7371AH,10,,Hoofdweg,Loenen
7317BD,21,,Lage Brink,Apeldoorn
7361TB,60,,Schalterbergweg,Beekbergen
7371CP,100,,Droefakkers,Loenen
3888MR,25,,Staverhul,Uddel
7317AG,110,,Vlijtseweg,Apeldoorn
7317AG,108,,Vlijtseweg,Apeldoorn
7317AK,120,,Vlijtseweg,Apeldoorn
7317AK,122,,Vlijtseweg,Apeldoorn
7317AK,124,,Vlijtseweg,Apeldoorn
7317AK,126,,Vlijtseweg,Apeldoorn
7317AK,134,,Vlijtseweg,Apeldoorn
7317AK,136,,Vlijtseweg,Apeldoorn
7317AK,144,,Vlijtseweg,Apeldoorn
7317AK,148,,Vlijtseweg,Apeldoorn
7345CM,33,,Wieselse Enkweg,Wenum Wiesel
7323KG,35,,Operettestraat,Apeldoorn
7312TS,397,,Asselsestraat,Apeldoorn
7323TL,5,,Saloméstraat,Apeldoorn
7323TL,7,,Saloméstraat,Apeldoorn
7323TL,9,,Saloméstraat,Apeldoorn
7323TL,13,,Saloméstraat,Apeldoorn
7323TL,15,,Saloméstraat,Apeldoorn
7323TL,17,,Saloméstraat,Apeldoorn
7323TL,19,,Saloméstraat,Apeldoorn
7323TL,21,,Saloméstraat,Apeldoorn
7323TL,23,,Saloméstraat,Apeldoorn
7323TL,27,,Saloméstraat,Apeldoorn
7323TL,35,,Saloméstraat,Apeldoorn
7323TL,39,,Saloméstraat,Apeldoorn
7323TL,37,,Saloméstraat,Apeldoorn
