6982DA,14,,Chrysantenstraat,Doesburg
6981BW,68,,Contre Escarpe,Doesburg
6981BW,80,,Contre Escarpe,Doesburg
6982DB,1,,Dahliastraat,Doesburg
6982DB,7,,Dahliastraat,Doesburg
6983HE,1,,De Bogaert,Doesburg
6983HE,7,,De Bogaert,Doesburg
6983HW,33,,Blomenbrinck,Doesburg
6983HW,39,,Blomenbrinck,Doesburg
6981CV,5,,Boekholtstraat,Doesburg
6981CW,10,,Boekholtstraat,Doesburg
6981CW,18,,Boekholtstraat,Doesburg
6981CV,23,,Boekholtstraat,Doesburg
6983BZ,123,,Breedestraat,Doesburg
6983BW,132,,Breedestraat,Doesburg
6981CB,2,,Bresstraat,Doesburg
6981CB,8,,Bresstraat,Doesburg
6981CA,13,,Bresstraat,Doesburg
6981CB,18,,Bresstraat,Doesburg
6983BM,1,,Broekhuizerweg,Doesburg
6981GG,11,,Monseigneur Bekkerslaan,Doesburg
6981GG,21,,Monseigneur Bekkerslaan,Doesburg
6981GG,31,,Monseigneur Bekkerslaan,Doesburg
6981GG,43,,Monseigneur Bekkerslaan,Doesburg
6981GG,53,,Monseigneur Bekkerslaan,Doesburg
6981GG,63,,Monseigneur Bekkerslaan,Doesburg
6983ES,8,,Berkumshof,Doesburg
6983ES,18,,Berkumshof,Doesburg
6983ES,30,,Berkumshof,Doesburg
6982AS,5,,Betulastraat,Doesburg
6982AT,10,,Betulastraat,Doesburg
6982AT,16,,Betulastraat,Doesburg
6982AS,21,,Betulastraat,Doesburg
6983BB,2,,Didamseweg,Doesburg
6983BB,8,,Didamseweg,Doesburg
6981EB,8,,Schout bij Nacht Doormansingel,Doesburg
6981EB,16,,Schout bij Nacht Doormansingel,Doesburg
6982AX,6,,Duindoornstraat,Doesburg
6983HG,3,,De Breide,Doesburg
6983HG,8,,De Breide,Doesburg
6983HG,14,,De Breide,Doesburg
6983HG,19,,De Breide,Doesburg
6983HK,3,,De Kilder,Doesburg
6983HK,13,,De Kilder,Doesburg
6983HK,25,,De Kilder,Doesburg
6983ED,28,,De Pol,Doesburg
6983EA,33,,De Pol,Doesburg
6983EA,39,,De Pol,Doesburg
6983EE,44,,De Pol,Doesburg
6983EE,50,,De Pol,Doesburg
6983EB,55,,De Pol,Doesburg
6983EE,60,,De Pol,Doesburg
6983EE,66,,De Pol,Doesburg
6981EE,9,,F D Rooseveltsingel,Doesburg
6981EH,14,,F D Rooseveltsingel,Doesburg
6981EH,22,,F D Rooseveltsingel,Doesburg
6981EG,27,,F D Rooseveltsingel,Doesburg
6981EG,33,,F D Rooseveltsingel,Doesburg
6981EH,40,,F D Rooseveltsingel,Doesburg
6982BB,26,,Forsythiastraat,Doesburg
6982DE,3,,Fuchsiastraat,Doesburg
6982DE,8,,Fuchsiastraat,Doesburg
6982DE,14,,Fuchsiastraat,Doesburg
6982DE,19,,Fuchsiastraat,Doesburg
6981CP,1,,Gasthuisstraat,Doesburg
6981CS,6,,Gasthuisstraat,Doesburg
6983HD,24,,Geerhuizen,Doesburg
6982DG,2,,Geraniumstraat,Doesburg
6982DG,7,,Geraniumstraat,Doesburg
6982DG,12,,Geraniumstraat,Doesburg
6982DG,18,,Geraniumstraat,Doesburg
6982DG,23,,Geraniumstraat,Doesburg
6982BN,9,,Goudenregenstraat,Doesburg
6982BT,88,,Goudenregenstraat,Doesburg
6982BT,98,,Goudenregenstraat,Doesburg
6982BT,110,,Goudenregenstraat,Doesburg
6982BV,120,,Goudenregenstraat,Doesburg
6982BV,132,,Goudenregenstraat,Doesburg
6982BV,142,,Goudenregenstraat,Doesburg
6982BV,152,,Goudenregenstraat,Doesburg
6983AM,66,,Hermaat,Doesburg
6983AG,71,,Hermaat,Doesburg
6983AG,77,,Hermaat,Doesburg
6983AN,82,,Hermaat,Doesburg
6983AN,88,,Hermaat,Doesburg
6983AH,93,,Hermaat,Doesburg
6983AH,99,,Hermaat,Doesburg
6983AJ,151,,Hermaat,Doesburg
6983AN,156,,Hermaat,Doesburg
6983AJ,163,,Hermaat,Doesburg
6983AJ,173,,Hermaat,Doesburg
6983AJ,185,,Hermaat,Doesburg
6983HM,2,,Het Kerkepad,Doesburg
6982EB,2,,Het Mauritsveld,Doesburg
6982EA,7,,Het Mauritsveld,Doesburg
6984AH,4,,Hettenstraat,Doesburg
6981AM,5,,Hoogestraat,Doesburg
6981CE,2,,Kloostersteeg,Doesburg
6981AS,20,,Koepoortstraat,Doesburg
6981AR,25,,Koepoortstraat,Doesburg
6981AR,31,,Koepoortstraat,Doesburg
6981AR,37,,Koepoortstraat,Doesburg
6981AT,46,,Koepoortstraat,Doesburg
6981BA,5,,Koepoortwal,Doesburg
6981BA,15,,Koepoortwal,Doesburg
6981EW,3,,Emmastraat,Doesburg
6981EZ,10,,Emmastraat,Doesburg
6981EW,15,,Emmastraat,Doesburg
6981EW,21,,Emmastraat,Doesburg
6981EZ,26,,Emmastraat,Doesburg
6981EW,31,,Emmastraat,Doesburg
6981EX,63,,Emmastraat,Doesburg
6981JC,5,,Huygenlaan,Doesburg
6981JC,11,,Huygenlaan,Doesburg
6981JC,17,,Huygenlaan,Doesburg
6981JD,24,,Huygenlaan,Doesburg
6981JD,34,,Huygenlaan,Doesburg
6982AM,47,,Halve Maanweg,Doesburg
6981LD,6,,Hanzeplein,Doesburg
6981LD,11,,Hanzeplein,Doesburg
6981LD,19,,Hanzeplein,Doesburg
6981LD,29,,Hanzeplein,Doesburg
6981LD,41,,Hanzeplein,Doesburg
6981LD,51,,Hanzeplein,Doesburg
6981CT,11,,Heerenstraat,Doesburg
6981CT,15,,Heerenstraat,Doesburg
6981CT,22,,Heerenstraat,Doesburg
6983AE,3,,Hermaat,Doesburg
6983AE,9,,Hermaat,Doesburg
6981LE,14,,IJsselkade,Doesburg
6981LE,16,,IJsselkade,Doesburg
6981LE,18,,IJsselkade,Doesburg
6981LE,22,,IJsselkade,Doesburg
6981LE,24,,IJsselkade,Doesburg
6981LE,26,,IJsselkade,Doesburg
6981LE,28,,IJsselkade,Doesburg
6981LE,30,,IJsselkade,Doesburg
6981LE,32,,IJsselkade,Doesburg
6981LE,34,,IJsselkade,Doesburg
6981LE,36,,IJsselkade,Doesburg
6981LE,38,,IJsselkade,Doesburg
6981LG,40,,IJsselkade,Doesburg
6981LG,42,,IJsselkade,Doesburg
6981LG,44,,IJsselkade,Doesburg
6981LG,46,,IJsselkade,Doesburg
6981LG,48,,IJsselkade,Doesburg
6981LG,50,,IJsselkade,Doesburg
6981LG,52,,IJsselkade,Doesburg
6981LG,54,,IJsselkade,Doesburg
6981LG,56,,IJsselkade,Doesburg
6981LG,58,,IJsselkade,Doesburg
6981LG,60,,IJsselkade,Doesburg
6981LG,62,,IJsselkade,Doesburg
6981LG,64,,IJsselkade,Doesburg
6981LG,66,,IJsselkade,Doesburg
6981LG,68,,IJsselkade,Doesburg
6981LG,70,,IJsselkade,Doesburg
6981LG,72,,IJsselkade,Doesburg
6981LG,74,,IJsselkade,Doesburg
6981LG,76,,IJsselkade,Doesburg
6981LG,78,,IJsselkade,Doesburg
6981LG,80,,IJsselkade,Doesburg
6981LG,82,,IJsselkade,Doesburg
6981LG,84,,IJsselkade,Doesburg
6981LG,86,,IJsselkade,Doesburg
6981LG,88,,IJsselkade,Doesburg
6981LG,90,,IJsselkade,Doesburg
6981LG,92,,IJsselkade,Doesburg
6981LH,94,,IJsselkade,Doesburg
6981LH,96,,IJsselkade,Doesburg
6981LH,98,,IJsselkade,Doesburg
6981LH,100,,IJsselkade,Doesburg
6981LH,102,,IJsselkade,Doesburg
6981LH,104,,IJsselkade,Doesburg
6981LH,106,,IJsselkade,Doesburg
6981LH,108,,IJsselkade,Doesburg
6981LH,110,,IJsselkade,Doesburg
6981LH,112,,IJsselkade,Doesburg
6981LH,114,,IJsselkade,Doesburg
6981LH,116,,IJsselkade,Doesburg
6981LH,118,,IJsselkade,Doesburg
6981LH,120,,IJsselkade,Doesburg
6981LH,122,,IJsselkade,Doesburg
6981LH,124,,IJsselkade,Doesburg
6981LH,126,,IJsselkade,Doesburg
6981LH,128,,IJsselkade,Doesburg
6981LH,130,,IJsselkade,Doesburg
6981LH,132,,IJsselkade,Doesburg
6981DN,1,,Zandbergstraat,Doesburg
6981DN,3,,Zandbergstraat,Doesburg
6981DN,5,,Zandbergstraat,Doesburg
6981DN,7,,Zandbergstraat,Doesburg
6981DR,10,,Zandbergstraat,Doesburg
6981DN,11,,Zandbergstraat,Doesburg
6981DN,15,,Zandbergstraat,Doesburg
6981DN,17,,Zandbergstraat,Doesburg
6981DN,21,,Zandbergstraat,Doesburg
6981DN,23,,Zandbergstraat,Doesburg
6981DR,24,,Zandbergstraat,Doesburg
6981DN,25,,Zandbergstraat,Doesburg
