7009GE,20,,Arubastraat,Doetinchem
7009AG,11,,Prins Alexanderstraat,Doetinchem
7009AJ,124,,Prins Alexanderstraat,Doetinchem
7009AJ,134,,Prins Alexanderstraat,Doetinchem
7004EL,6,,Zonneplein,Doetinchem
7004EL,8,,Zonneplein,Doetinchem
7004EL,14,,Zonneplein,Doetinchem
7004EL,16,,Zonneplein,Doetinchem
7004EL,18,,Zonneplein,Doetinchem
7004EL,22,,Zonneplein,Doetinchem
7004EL,24,,Zonneplein,Doetinchem
7004EL,26,,Zonneplein,Doetinchem
7004EL,28,,Zonneplein,Doetinchem
7004EL,30,,Zonneplein,Doetinchem
7004EL,32,,Zonneplein,Doetinchem
7004EL,34,,Zonneplein,Doetinchem
7004EL,38,,Zonneplein,Doetinchem
7009KJ,10,,Coopsstraat,Doetinchem
7009KG,11,,Coopsstraat,Doetinchem
7009KG,13,,Coopsstraat,Doetinchem
7009KH,33,,Coopsstraat,Doetinchem
7007BA,1,,Generaal Crerarstraat,Doetinchem
7009HN,31,,van Zadelhoffplein,Doetinchem
7009HN,33,,van Zadelhoffplein,Doetinchem
7009HN,35,,van Zadelhoffplein,Doetinchem
7009HN,37,,van Zadelhoffplein,Doetinchem
7009HN,39,,van Zadelhoffplein,Doetinchem
7009CB,6,,Zandstraat,Doetinchem
7009CA,7,,Zandstraat,Doetinchem
7009CB,10,,Zandstraat,Doetinchem
7009CA,11,,Zandstraat,Doetinchem
7009CA,13,,Zandstraat,Doetinchem
7009CA,15,,Zandstraat,Doetinchem
7009CB,16,,Zandstraat,Doetinchem
7009CA,17,,Zandstraat,Doetinchem
7009CB,18,,Zandstraat,Doetinchem
7009CA,19,,Zandstraat,Doetinchem
7009CA,21,,Zandstraat,Doetinchem
7009CB,22,,Zandstraat,Doetinchem
7009CB,24,,Zandstraat,Doetinchem
7009CA,25,,Zandstraat,Doetinchem
7006HZ,68,,Wiersse,Doetinchem
7006HZ,70,,Wiersse,Doetinchem
7006HZ,72,,Wiersse,Doetinchem
7006HZ,76,,Wiersse,Doetinchem
7006HZ,80,,Wiersse,Doetinchem
7006HN,2,,Wildenborch,Doetinchem
7006HK,3,,Wildenborch,Doetinchem
7006HN,4,,Wildenborch,Doetinchem
7031ZD,10,,Prins Willem-Alexanderstraat,Wehl
7031ZD,11,,Prins Willem-Alexanderstraat,Wehl
7031ZD,12,,Prins Willem-Alexanderstraat,Wehl
7031ZD,13,,Prins Willem-Alexanderstraat,Wehl
7031ZD,15,,Prins Willem-Alexanderstraat,Wehl
9999XX,15,02,Prins Willem-Alexanderstraat,Wehl
9999XX,15,03,Prins Willem-Alexanderstraat,Wehl
7031ZD,16,,Prins Willem-Alexanderstraat,Wehl
7031ZD,20,,Prins Willem-Alexanderstraat,Wehl
7006NA,2,,Jan Willinkstraat,Doetinchem
7007AT,1,,Kolonel Wilsonstraat,Doetinchem
7007AW,4,,Kolonel Wilsonstraat,Doetinchem
7007AT,5,,Kolonel Wilsonstraat,Doetinchem
7007AW,6,,Kolonel Wilsonstraat,Doetinchem
7007AT,7,,Kolonel Wilsonstraat,Doetinchem
7007AW,8,,Kolonel Wilsonstraat,Doetinchem
7007AT,9,,Kolonel Wilsonstraat,Doetinchem
7007AW,10,,Kolonel Wilsonstraat,Doetinchem
7007AT,11,,Kolonel Wilsonstraat,Doetinchem
7007AW,12,,Kolonel Wilsonstraat,Doetinchem
7007AT,13,,Kolonel Wilsonstraat,Doetinchem
7007AW,14,,Kolonel Wilsonstraat,Doetinchem
7006HR,100,,Wildenborch,Doetinchem
7006HR,102,,Wildenborch,Doetinchem
7006HL,103,,Wildenborch,Doetinchem
7006HR,104,,Wildenborch,Doetinchem
7006MK,39,,Perebloesem,Doetinchem
7006MK,43,,Perebloesem,Doetinchem
7031CP,39,,Weversveld,Wehl
7031CT,40,,Weversveld,Wehl
7031CP,41,,Weversveld,Wehl
7031CP,43,,Weversveld,Wehl
7031CT,44,,Weversveld,Wehl
7031CP,45,,Weversveld,Wehl
7031CT,46,,Weversveld,Wehl
7031CP,47,,Weversveld,Wehl
7031CR,49,,Weversveld,Wehl
7031CT,50,,Weversveld,Wehl
7031CR,51,,Weversveld,Wehl
7031CT,52,,Weversveld,Wehl
7031CT,54,,Weversveld,Wehl
7001BV,120,21,Walstraat,Doetinchem
7001BV,194,,Walstraat,Doetinchem
7001BV,196,,Walstraat,Doetinchem
7001BV,198,,Walstraat,Doetinchem
7001BV,200,,Walstraat,Doetinchem
7031HD,1,,Wardsestraat,Wehl
7031HD,3,,Wardsestraat,Wehl
7031HD,4,,Wardsestraat,Wehl
7031HD,5,,Wardsestraat,Wehl
7031HD,7,,Wardsestraat,Wehl
7031HD,8,,Wardsestraat,Wehl
7031HD,9,,Wardsestraat,Wehl
7031HD,10,,Wardsestraat,Wehl
7031HD,12,,Wardsestraat,Wehl
7031HD,15,,Wardsestraat,Wehl
7006LR,3,,Wannedreef,Doetinchem
7006LR,5,,Wannedreef,Doetinchem
7006LR,7,,Wannedreef,Doetinchem
7006LR,9,,Wannedreef,Doetinchem
7001GX,64,,Wilhelminastraat,Doetinchem
7001GX,68,,Wilhelminastraat,Doetinchem
7001GV,73,,Wilhelminastraat,Doetinchem
7001GX,74,,Wilhelminastraat,Doetinchem
7001GV,75,,Wilhelminastraat,Doetinchem
7001GV,77,,Wilhelminastraat,Doetinchem
7001GV,79,,Wilhelminastraat,Doetinchem
7001GV,81,,Wilhelminastraat,Doetinchem
7001GV,83,,Wilhelminastraat,Doetinchem
7001GX,84,,Wilhelminastraat,Doetinchem
7001GV,85,,Wilhelminastraat,Doetinchem
7001GX,86,,Wilhelminastraat,Doetinchem
7001GX,88,,Wilhelminastraat,Doetinchem
7003DG,3,,Troelstralaan,Doetinchem
7003DG,7,,Troelstralaan,Doetinchem
7003DG,9,,Troelstralaan,Doetinchem
7006SE,179,,de Vlierbes,Doetinchem
7006SE,183,,de Vlierbes,Doetinchem
7006SE,185,,de Vlierbes,Doetinchem
7006SE,187,,de Vlierbes,Doetinchem
7006SE,189,,de Vlierbes,Doetinchem
7006SE,193,,de Vlierbes,Doetinchem
7006SE,197,,de Vlierbes,Doetinchem
7006SE,199,,de Vlierbes,Doetinchem
7011BW,1,,Vlietstraat,Gaanderen
7011BW,2,,Vlietstraat,Gaanderen
7011BW,3,,Vlietstraat,Gaanderen
7011BW,4,,Vlietstraat,Gaanderen
7011BW,5,,Vlietstraat,Gaanderen
7003CW,94,,van Hogendorplaan,Doetinchem
7003CM,95,,van Hogendorplaan,Doetinchem
7003CW,96,,van Hogendorplaan,Doetinchem
