39,6511XE,Oude Haven,Nijmegen
42,6541VV,Niersstraat,Nijmegen
43,6541VR,Niersstraat,Nijmegen
44,6541VV,Niersstraat,Nijmegen
45,6541VR,Niersstraat,Nijmegen
46,6541VV,Niersstraat,Nijmegen
47,6541VR,Niersstraat,Nijmegen
48,6541VV,Niersstraat,Nijmegen
49,6541VS,Niersstraat,Nijmegen
50,6541VV,Niersstraat,Nijmegen
51,6541VS,Niersstraat,Nijmegen
52,6541VV,Niersstraat,Nijmegen
53,6541VS,Niersstraat,Nijmegen
54,6541VV,Niersstraat,Nijmegen
55,6541VS,Niersstraat,Nijmegen
56,6541VV,Niersstraat,Nijmegen
57,6541VS,Niersstraat,Nijmegen
58,6541VV,Niersstraat,Nijmegen
59,6541VS,Niersstraat,Nijmegen
60,6541VV,Niersstraat,Nijmegen
61,6541VS,Niersstraat,Nijmegen
62,6541VW,Niersstraat,Nijmegen
63,6541VS,Niersstraat,Nijmegen
64,6541VW,Niersstraat,Nijmegen
65,6541VS,Niersstraat,Nijmegen
66,6541VW,Niersstraat,Nijmegen
55,6543VW,Planetenstraat,Nijmegen
57,6543VW,Planetenstraat,Nijmegen
59,6543VW,Planetenstraat,Nijmegen
62,6543VZ,Planetenstraat,Nijmegen
63,6543VW,Planetenstraat,Nijmegen
65,6543VW,Planetenstraat,Nijmegen
66,6543VZ,Planetenstraat,Nijmegen
68,6543VZ,Planetenstraat,Nijmegen
1,6511TZ,Platenmakersstraat,Nijmegen
2,6511TZ,Platenmakersstraat,Nijmegen
4,6511TZ,Platenmakersstraat,Nijmegen
5,6511TZ,Platenmakersstraat,Nijmegen
7,6511TZ,Platenmakersstraat,Nijmegen
8,6511TZ,Platenmakersstraat,Nijmegen
9,6511TZ,Platenmakersstraat,Nijmegen
12,6511TZ,Platenmakersstraat,Nijmegen
13,6511TZ,Platenmakersstraat,Nijmegen
15,6511TZ,Platenmakersstraat,Nijmegen
17,6511TZ,Platenmakersstraat,Nijmegen
19,6511TZ,Platenmakersstraat,Nijmegen
1,6511JB,Plein 1944,Nijmegen
17,6531EM,Potgieterplein,Nijmegen
22,6531EN,Potgieterplein,Nijmegen
24,6531EN,Potgieterplein,Nijmegen
26,6531EN,Potgieterplein,Nijmegen
1,6544PW,Preludepad,Nijmegen
3,6544PW,Preludepad,Nijmegen
7,6544PW,Preludepad,Nijmegen
9,6544PW,Preludepad,Nijmegen
11,6544PW,Preludepad,Nijmegen
15,6544PW,Preludepad,Nijmegen
17,6544PW,Preludepad,Nijmegen
21,6544PW,Preludepad,Nijmegen
25,6544PW,Preludepad,Nijmegen
29,6544PW,Preludepad,Nijmegen
31,6544PW,Preludepad,Nijmegen
33,6544PW,Preludepad,Nijmegen
37,6544PW,Preludepad,Nijmegen
39,6544PW,Preludepad,Nijmegen
43,6544PW,Preludepad,Nijmegen
45,6544PW,Preludepad,Nijmegen
47,6544PW,Preludepad,Nijmegen
51,6544PW,Preludepad,Nijmegen
53,6544PW,Preludepad,Nijmegen
59,6544PW,Preludepad,Nijmegen
61,6544PW,Preludepad,Nijmegen
63,6544PW,Preludepad,Nijmegen
14,6522HN,Praetoriumstraat,Nijmegen
16,6522HN,Praetoriumstraat,Nijmegen
23,6522HN,Praetoriumstraat,Nijmegen
25,6522HN,Praetoriumstraat,Nijmegen
1,6511WC,Priemstraat,Nijmegen
4,6511WC,Priemstraat,Nijmegen
5,6511WC,Priemstraat,Nijmegen
32,6511BG,Parkweg,Nijmegen
34,6511BG,Parkweg,Nijmegen
36,6511BH,Parkweg,Nijmegen
38,6511BH,Parkweg,Nijmegen
40,6511BH,Parkweg,Nijmegen
42,6511BH,Parkweg,Nijmegen
44,6511BH,Parkweg,Nijmegen
46,6511BH,Parkweg,Nijmegen
48,6511BH,Parkweg,Nijmegen
50,6511BH,Parkweg,Nijmegen
52,6511BH,Parkweg,Nijmegen
56,6511BH,Parkweg,Nijmegen
58,6511BJ,Parkweg,Nijmegen
60,6511BJ,Parkweg,Nijmegen
62,6511BJ,Parkweg,Nijmegen
65,6511BE,Parkweg,Nijmegen
66,6511BJ,Parkweg,Nijmegen
68,6511BJ,Parkweg,Nijmegen
70,6511BJ,Parkweg,Nijmegen
72,6511BJ,Parkweg,Nijmegen
74,6511BJ,Parkweg,Nijmegen
76,6511BJ,Parkweg,Nijmegen
80,6511BK,Parkweg,Nijmegen
82,6511BK,Parkweg,Nijmegen
84,6511BK,Parkweg,Nijmegen
86,6511BK,Parkweg,Nijmegen
88,6511BK,Parkweg,Nijmegen
90,6511BK,Parkweg,Nijmegen
92,6511BK,Parkweg,Nijmegen
94,6511BK,Parkweg,Nijmegen
96,6511BK,Parkweg,Nijmegen
100,6511BK,Parkweg,Nijmegen
102,6511BL,Parkweg,Nijmegen
104,6511BL,Parkweg,Nijmegen
106,6511BL,Parkweg,Nijmegen
108,6511BL,Parkweg,Nijmegen
110,6511BL,Parkweg,Nijmegen
112,6511BM,Parkweg,Nijmegen
114,6511BM,Parkweg,Nijmegen
120,6511BM,Parkweg,Nijmegen
122,6511BM,Parkweg,Nijmegen
124,6511BM,Parkweg,Nijmegen
128,6511BM,Parkweg,Nijmegen
51,6544TT,Paukenstraat,Nijmegen
52,6544TZ,Paukenstraat,Nijmegen
53,6544TT,Paukenstraat,Nijmegen
54,6544TZ,Paukenstraat,Nijmegen
55,6544TT,Paukenstraat,Nijmegen
56,6544TZ,Paukenstraat,Nijmegen
57,6544TT,Paukenstraat,Nijmegen
58,6544TZ,Paukenstraat,Nijmegen
59,6544TT,Paukenstraat,Nijmegen
60,6544TZ,Paukenstraat,Nijmegen
61,6544TT,Paukenstraat,Nijmegen
62,6544TZ,Paukenstraat,Nijmegen
63,6544TT,Paukenstraat,Nijmegen
65,6544TT,Paukenstraat,Nijmegen
67,6544TT,Paukenstraat,Nijmegen
69,6544TT,Paukenstraat,Nijmegen
70,6544TZ,Paukenstraat,Nijmegen
71,6544TT,Paukenstraat,Nijmegen
73,6544TV,Paukenstraat,Nijmegen
74,6544TZ,Paukenstraat,Nijmegen
76,6544TZ,Paukenstraat,Nijmegen
77,6544TV,Paukenstraat,Nijmegen
78,6544TZ,Paukenstraat,Nijmegen
80,6544TZ,Paukenstraat,Nijmegen
81,6544TV,Paukenstraat,Nijmegen
61,6525XG,Schepenenstraat,Nijmegen
65,6525XG,Schepenenstraat,Nijmegen
67,6525XG,Schepenenstraat,Nijmegen
9,6524RG,Professor van der Grintenstraat,Nijmegen
10,6524RH,Professor van der Grintenstraat,Nijmegen
11,6524RG,Professor van der Grintenstraat,Nijmegen
12,6524RH,Professor van der Grintenstraat,Nijmegen
13,6524RG,Professor van der Grintenstraat,Nijmegen
14,6524RJ,Professor van der Grintenstraat,Nijmegen
15,6524RG,Professor van der Grintenstraat,Nijmegen
16,6524RJ,Professor van der Grintenstraat,Nijmegen
17,6524RG,Professor van der Grintenstraat,Nijmegen
18,6524RJ,Professor van der Grintenstraat,Nijmegen
19,6524RG,Professor van der Grintenstraat,Nijmegen
20,6524RJ,Professor van der Grintenstraat,Nijmegen
1,6524PT,Professor van der Heijdenstraat,Nijmegen
2,6524PW,Professor van der Heijdenstraat,Nijmegen
3,6524PT,Professor van der Heijdenstraat,Nijmegen
4,6524PW,Professor van der Heijdenstraat,Nijmegen
5,6524PT,Professor van der Heijdenstraat,Nijmegen
6,6524PW,Professor van der Heijdenstraat,Nijmegen
7,6524PT,Professor van der Heijdenstraat,Nijmegen
8,6524PW,Professor van der Heijdenstraat,Nijmegen
9,6524PT,Professor van der Heijdenstraat,Nijmegen
10,6524PW,Professor van der Heijdenstraat,Nijmegen
11,6524PT,Professor van der Heijdenstraat,Nijmegen
12,6524PW,Professor van der Heijdenstraat,Nijmegen
13,6524PT,Professor van der Heijdenstraat,Nijmegen
14,6524PW,Professor van der Heijdenstraat,Nijmegen
15,6524PT,Professor van der Heijdenstraat,Nijmegen
16,6524PW,Professor van der Heijdenstraat,Nijmegen
17,6524PT,Professor van der Heijdenstraat,Nijmegen
18,6524PW,Professor van der Heijdenstraat,Nijmegen
19,6524PT,Professor van der Heijdenstraat,Nijmegen
20,6524PW,Professor van der Heijdenstraat,Nijmegen
21,6524PT,Professor van der Heijdenstraat,Nijmegen
22,6524PW,Professor van der Heijdenstraat,Nijmegen
23,6524PT,Professor van der Heijdenstraat,Nijmegen
24,6524PW,Professor van der Heijdenstraat,Nijmegen
25,6524PT,Professor van der Heijdenstraat,Nijmegen
26,6524PW,Professor van der Heijdenstraat,Nijmegen
27,6524PV,Professor van der Heijdenstraat,Nijmegen
