8161BR,15,,Hoefijzerweg,Epe
8162EN,8,,Ballastputweg,Epe
8162CT,7,,Heuvellaan,Epe
8161VL,13,,Patrijsweg,Epe
8161VL,23,,Patrijsweg,Epe
8161VL,27,,Patrijsweg,Epe
8161HK,1,,Sint Gregoriusweg,Epe
8161HK,3,,Sint Gregoriusweg,Epe
8161HD,18,,Sint Marienweg,Epe
8161HD,20,,Sint Marienweg,Epe
8161HD,22,,Sint Marienweg,Epe
8161HD,24,,Sint Marienweg,Epe
8161HD,15,,Sint Marienweg,Epe
8161HD,17,,Sint Marienweg,Epe
8161HD,19,,Sint Marienweg,Epe
8161HD,21,,Sint Marienweg,Epe
8161HD,23,,Sint Marienweg,Epe
8161HD,25,,Sint Marienweg,Epe
8161HD,27,,Sint Marienweg,Epe
8161HD,29,,Sint Marienweg,Epe
8161HH,5,,Sint Annaweg,Epe
8161HH,7,,Sint Annaweg,Epe
8162VH,13,,Meidoornstraat,Epe
8161HG,12,,Sint Crusiusweg,Epe
8162RN,44,,Wisselseweg,Epe
8162RN,46,,Wisselseweg,Epe
8162RN,48,,Wisselseweg,Epe
8162RN,50,,Wisselseweg,Epe
8162RN,52,,Wisselseweg,Epe
8162ZH,2,,Molenpad,Epe
8162NW,15,,Vennenweg,Epe
8161ZM,25,,Leenhofweg,Epe
8161PA,25,,Lange Veenteweg,Epe
8162VH,27,,Meidoornstraat,Epe
8162VH,25,,Meidoornstraat,Epe
8162CT,5,,Heuvellaan,Epe
8161PH,10,,Hammerstraat,Epe
8162RZ,32,,Eperweg,Epe
8162RZ,34,,Eperweg,Epe
8162NP,72,,Schotweg,Epe
8162NP,53,,Schotweg,Epe
8162NP,55,,Schotweg,Epe
8162NP,57,,Schotweg,Epe
8162NP,59,,Schotweg,Epe
8162NP,61,,Schotweg,Epe
8162NP,63,,Schotweg,Epe
8161SC,9,,Esschertsweg,Epe
8162XC,15,,Wachtelenbergweg,Epe
8161TB,2,,Rutgershof,Epe
8162AD,109,,Hoofdstraat,Epe
8161NP,21,,Dophoeveweg,Epe
8161VN,30,,Haverkampsweg,Epe
8162AN,102,,Hoofdstraat,Epe
8162BA,1,,Emmastraat,Epe
8162GS,12,,Bremweg,Epe
8162GS,14,,Bremweg,Epe
