4156AN,12,,Raadsteeg,Rumpt
4156AP,1,,Roodseweg,Rumpt
4156AP,3,,Roodseweg,Rumpt
4156AP,4,,Roodseweg,Rumpt
4156AP,11,,Roodseweg,Rumpt
4156AR,2,,Molendijk,Rumpt
4156AR,3,,Molendijk,Rumpt
4156AR,4,,Molendijk,Rumpt
4156AR,5,,Molendijk,Rumpt
4156AR,6,,Molendijk,Rumpt
4156AR,9,,Molendijk,Rumpt
4156AR,11,,Molendijk,Rumpt
4156AS,2,,Rijsakkerweg,Rumpt
4156AS,3,,Rijsakkerweg,Rumpt
4156AT,3,,Hardekampweg,Rumpt
4156JG,6,,Polderdijk,Rumpt
4156JG,5,,Polderdijk,Rumpt
4156JG,7,,Polderdijk,Rumpt
4156JG,9,,Polderdijk,Rumpt
4156JG,10,,Polderdijk,Rumpt
4156JG,14,,Polderdijk,Rumpt
4156JG,15,,Polderdijk,Rumpt
4156JG,19,,Polderdijk,Rumpt
4156JG,20,,Polderdijk,Rumpt
4156JG,26,,Polderdijk,Rumpt
4156JG,27,,Polderdijk,Rumpt
4156JG,30,,Polderdijk,Rumpt
4156JG,32,,Polderdijk,Rumpt
4156JK,1,,Lageveldweg,Rumpt
4156JK,3,,Lageveldweg,Rumpt
4156JK,4,,Lageveldweg,Rumpt
4156JK,5,,Lageveldweg,Rumpt
4156JK,6,,Lageveldweg,Rumpt
4156JL,1,,Eigen Blokweg,Rumpt
4156JP,4,,Nieuwendijk,Rumpt
4156JP,5,,Nieuwendijk,Rumpt
4156JP,6,,Nieuwendijk,Rumpt
4156JP,7,,Nieuwendijk,Rumpt
4156JP,8,,Nieuwendijk,Rumpt
4156JR,14,,Haaftenseweg,Rumpt
4156JR,3,,Haaftenseweg,Rumpt
4156JR,6,,Haaftenseweg,Rumpt
4156JR,8,,Haaftenseweg,Rumpt
4156JR,10,,Haaftenseweg,Rumpt
4156JR,16,,Haaftenseweg,Rumpt
4156JS,11,,Provincialeweg West,Rumpt
4156JS,13,,Provincialeweg West,Rumpt
4156JS,15,,Provincialeweg West,Rumpt
4156JT,4,,Zijlsteeg,Rumpt
4156JZ,2,,Boutensteinseweg,Rumpt
4156JZ,4,,Boutensteinseweg,Rumpt
4156JZ,8,,Boutensteinseweg,Rumpt
4157GA,6,,Beemd,Enspijk
4157GA,16,,Beemd,Enspijk
4157GA,1,,Beemd,Enspijk
4157GA,3,,Beemd,Enspijk
4157GA,4,,Beemd,Enspijk
4157GA,5,,Beemd,Enspijk
4157GA,12,,Beemd,Enspijk
4157GA,14,,Beemd,Enspijk
4157GB,1,,Waalstraat,Enspijk
4157GB,2,,Waalstraat,Enspijk
4157GB,3,,Waalstraat,Enspijk
4157GB,4,,Waalstraat,Enspijk
4157GB,5,,Waalstraat,Enspijk
4157GB,6,,Waalstraat,Enspijk
4157GB,7,,Waalstraat,Enspijk
4157GB,9,,Waalstraat,Enspijk
4157GB,10,,Waalstraat,Enspijk
4157GB,11,,Waalstraat,Enspijk
4157GB,12,,Waalstraat,Enspijk
4157GB,13,,Waalstraat,Enspijk
4157GB,14,,Waalstraat,Enspijk
4157GB,15,,Waalstraat,Enspijk
4157GB,16,,Waalstraat,Enspijk
4157GB,17,,Waalstraat,Enspijk
4157GB,18,,Waalstraat,Enspijk
4157GB,19,,Waalstraat,Enspijk
4157GB,20,,Waalstraat,Enspijk
4157GC,1,,Maasstraat,Enspijk
4157GC,2,,Maasstraat,Enspijk
4157GC,3,,Maasstraat,Enspijk
4157GC,4,,Maasstraat,Enspijk
4157GC,5,,Maasstraat,Enspijk
4157GC,6,,Maasstraat,Enspijk
4157GC,8,,Maasstraat,Enspijk
4157GC,10,,Maasstraat,Enspijk
4157GC,11,,Maasstraat,Enspijk
4157GC,13,,Maasstraat,Enspijk
4157GC,15,,Maasstraat,Enspijk
4157GC,17,,Maasstraat,Enspijk
4157GC,19,,Maasstraat,Enspijk
4157GC,21,,Maasstraat,Enspijk
4157GC,25,,Maasstraat,Enspijk
4157GC,26,,Maasstraat,Enspijk
4157GC,27,,Maasstraat,Enspijk
4157GC,28,,Maasstraat,Enspijk
