18,3413MP,Kerkstraat,Jaarsveld
10,3413MS,Lekdijk oost,Jaarsveld
26,3411XD,Juliana van Stolberglaan,Lopik
27,3411XA,Juliana van Stolberglaan,Lopik
31,3411XA,Juliana van Stolberglaan,Lopik
39,3411XA,Juliana van Stolberglaan,Lopik
42,3411XD,Juliana van Stolberglaan,Lopik
57,3411XB,Juliana van Stolberglaan,Lopik
69,3411XC,Juliana van Stolberglaan,Lopik
79,3411XC,Juliana van Stolberglaan,Lopik
85,3411XC,Juliana van Stolberglaan,Lopik
4,3411WR,Burggraaf,Lopik
11,3411EA,Cabauwsekade,Lopik
97,3411XC,Juliana van Stolberglaan,Lopik
5,3411EM,Kerklaan,Lopik
20,3411EN,Kerklaan,Lopik
28,3411EN,Kerklaan,Lopik
14,3411JE,Lopikerweg oost,Lopik
1,3411JA,Lopikerweg oost,Lopik
3,3411JA,Lopikerweg oost,Lopik
7,3411JA,Lopikerweg oost,Lopik
21,3411JA,Lopikerweg oost,Lopik
22,3411JE,Lopikerweg oost,Lopik
25,3411JA,Lopikerweg oost,Lopik
3,3411VM,Jan de Braylaan,Lopik
6,3411VM,Jan de Braylaan,Lopik
8,3411VM,Jan de Braylaan,Lopik
13,3411VM,Jan de Braylaan,Lopik
2,3411ER,Jan Kooiweg,Lopik
2,3411XH,Emmalaan,Lopik
5,3411XG,Emmalaan,Lopik
8,3411XH,Emmalaan,Lopik
10,3411XH,Emmalaan,Lopik
15,3411XG,Emmalaan,Lopik
18,3411XH,Emmalaan,Lopik
24,3411XH,Emmalaan,Lopik
28,3411XH,Emmalaan,Lopik
32,3411XH,Emmalaan,Lopik
36,3411XH,Emmalaan,Lopik
50,3411XJ,Emmalaan,Lopik
3,3411BL,Europasingel,Lopik
6,3411BL,Europasingel,Lopik
11,3411BL,Europasingel,Lopik
14,3411BL,Europasingel,Lopik
21,3411BM,Europasingel,Lopik
25,3411BM,Europasingel,Lopik
7,3411VB,Ferdinand Bollaan,Lopik
8,3411VB,Ferdinand Bollaan,Lopik
6,3411XP,Floris van Egmondstraat,Lopik
8,3411XP,Floris van Egmondstraat,Lopik
10,3411XP,Floris van Egmondstraat,Lopik
14,3411XP,Floris van Egmondstraat,Lopik
18,3411XP,Floris van Egmondstraat,Lopik
20,3411XP,Floris van Egmondstraat,Lopik
23,3411XN,Floris van Egmondstraat,Lopik
25,3411XN,Floris van Egmondstraat,Lopik
30,3411XR,Floris van Egmondstraat,Lopik
46,3411XR,Floris van Egmondstraat,Lopik
52,3411XR,Floris van Egmondstraat,Lopik
1,3411GR,Frans Halslaan,Lopik
5,3411GR,Frans Halslaan,Lopik
8,3411GR,Frans Halslaan,Lopik
2,3411JW,Graafdijk,Lopik
4,3411JW,Graafdijk,Lopik
7,3411JT,Graafdijk,Lopik
8,3411JW,Graafdijk,Lopik
12,3411JW,Graafdijk,Lopik
23,3411JT,Graafdijk,Lopik
26,3411JW,Graafdijk,Lopik
27,3411JT,Graafdijk,Lopik
35,3411JV,Graafdijk,Lopik
37,3411JV,Graafdijk,Lopik
45,3411JV,Graafdijk,Lopik
44,3405XB,Koningin Julianasingel,Benschop
27,3405XP,Koningin Wilhelminastraat,Benschop
4,3405WG,Lijsterstraat,Benschop
5,3405WG,Lijsterstraat,Benschop
8,3405WG,Lijsterstraat,Benschop
10,3405WG,Lijsterstraat,Benschop
13,3405WG,Lijsterstraat,Benschop
2,3405WC,Merelstraat,Benschop
4,3405WC,Merelstraat,Benschop
22,3405DE,Oeverzegge,Benschop
32,3405DE,Oeverzegge,Benschop
38,3405DE,Oeverzegge,Benschop
46,3405DE,Oeverzegge,Benschop
8,3405XK,Oranje-Nassaustraat,Benschop
10,3405XK,Oranje-Nassaustraat,Benschop
15,3405XH,Oranje-Nassaustraat,Benschop
20,3405XK,Oranje-Nassaustraat,Benschop
23,3405XH,Oranje-Nassaustraat,Benschop
27,3405XH,Oranje-Nassaustraat,Benschop
31,3405XJ,Oranje-Nassaustraat,Benschop
40,3405XK,Oranje-Nassaustraat,Benschop
47,3405XJ,Oranje-Nassaustraat,Benschop
12,3405AR,Duizendblad,Benschop
158,3412KD,Lopikerweg oost,Lopikerkapel
158,3412KG,Lopikerweg oost,Lopikerkapel
3,3405XV,Prins Bernhardstraat,Benschop
5,3405XV,Prins Bernhardstraat,Benschop
16,3405DH,Groot Hoefblad,Benschop
21,3405DH,Groot Hoefblad,Benschop
4,3405WB,Gruttostraat,Benschop
3,3405DM,Herderstasje,Benschop
1,3405XC,Herman de Manstraat,Benschop
6,3405XD,Herman de Manstraat,Benschop
7,3405XC,Herman de Manstraat,Benschop
15,3405XC,Herman de Manstraat,Benschop
17,3405XC,Herman de Manstraat,Benschop
25,3405XC,Herman de Manstraat,Benschop
26,3405XD,Herman de Manstraat,Benschop
29,3405XC,Herman de Manstraat,Benschop
3,3405XM,Jan van Ieperenstraat,Benschop
17,3405XM,Jan van Ieperenstraat,Benschop
20,3405XN,Jan van Ieperenstraat,Benschop
21,3405XM,Jan van Ieperenstraat,Benschop
23,3405XM,Jan van Ieperenstraat,Benschop
25,3405XM,Jan van Ieperenstraat,Benschop
29,3405XM,Jan van Ieperenstraat,Benschop
32,3405XN,Jan van Ieperenstraat,Benschop
34,3405XN,Jan van Ieperenstraat,Benschop
36,3405XN,Jan van Ieperenstraat,Benschop
50,3405XN,Jan van Ieperenstraat,Benschop
