8256EC,19,,De Sjees,Biddinghuizen
8251DV,9,,De Stag,Dronten
8255GB,12,,De Standaard,Swifterbant
8252KN,33,,De Schagense Snees,Dronten
8255HH,10,,De Slegge,Swifterbant
8255AM,1,,De Smaragd,Swifterbant
8253CS,15,,De Sikkel,Dronten
8251ND,3,,De Taling,Dronten
8256HL,47,,De Tas,Biddinghuizen
8256DA,4,,De Teugel,Biddinghuizen
8252KT,20,,De Veluwse Snees,Dronten
8255GD,3,,De Voetboog,Swifterbant
8255AG,27,,De Toermalijn,Swifterbant
8256BA,15,,De Voor,Biddinghuizen
8252HB,17,,De Steilsprong,Dronten
8252GB,9,,De Volte,Dronten
8251WC,43,,De Zaan,Dronten
8251WC,57,,De Zaan,Dronten
8251WG,100,,De Zaan,Dronten
8255CH,37,,Zuidsingel,Swifterbant
8256AW,84,,Dreef,Biddinghuizen
8255KK,1,,Duifkruid,Swifterbant
8253EW,7,,Drachme,Dronten
8256ER,26,,De Zaaiviool,Biddinghuizen
8253ED,152,,Eurosingel,Dronten
8255KK,43,,Duifkruid,Swifterbant
8251ME,7,,De Wildkansel,Dronten
8256EP,4,,De Zaaiviool,Biddinghuizen
8256AW,46,,Dreef,Biddinghuizen
8253BN,109,,Dukaat,Dronten
8255RG,27,,Elandweg,Swifterbant
8255PT,63,,Elandweg,Swifterbant
8253ET,15,,Escudo,Dronten
8253EB,26,,Eurosingel,Dronten
8253HV,30,,Smedengilde,Dronten
8253EV,96,,Escudo,Dronten
8253BL,23,,Dukaat,Dronten
8251PN,40,74,Vossemeerdijk,Dronten
8253HL,12,,Mandenmakersgilde,Dronten
8256GC,78,,Parksingel,Biddinghuizen
8251TB,1,,Sparlinghof,Dronten
8251AE,2,,Lunaweg,Dronten
8251TB,59,,Sparlinghof,Dronten
8255PN,29,,Vuursteenweg,Swifterbant
8251VC,35,,Peel,Dronten
8255BM,9,,Penhoren,Swifterbant
8255HG,2,,Het Plankenpad,Swifterbant
8255CB,10,,Irisstraat,Swifterbant
8251TG,70,,Lancasterdreef,Dronten
8251TD,132,,Lancasterdreef,Dronten
8253EP,2,,Lire,Dronten
8256SB,17,,Oogstweg,Biddinghuizen
8256PX,2,139,Cerespark,Biddinghuizen
8256PX,2,140,Cerespark,Biddinghuizen
8256PX,2,141,Cerespark,Biddinghuizen
8256PX,2,142,Cerespark,Biddinghuizen
8256PX,2,143,Cerespark,Biddinghuizen
8256PX,2,144,Cerespark,Biddinghuizen
8256PX,2,145,Cerespark,Biddinghuizen
8256PX,2,146,Cerespark,Biddinghuizen
8256RJ,15,180,Spijkweg,Biddinghuizen
8256RJ,15,181,Spijkweg,Biddinghuizen
8256RJ,15,182,Spijkweg,Biddinghuizen
8256RJ,15,183,Spijkweg,Biddinghuizen
8256RJ,15,184,Spijkweg,Biddinghuizen
8256RJ,15,185,Spijkweg,Biddinghuizen
8256RJ,15,186,Spijkweg,Biddinghuizen
8256RJ,15,187,Spijkweg,Biddinghuizen
8256RJ,15,189,Spijkweg,Biddinghuizen
8256RJ,15,B2,Spijkweg,Biddinghuizen
8256RJ,15,190,Spijkweg,Biddinghuizen
8256RJ,15,A8,Spijkweg,Biddinghuizen
8256RJ,15,191,Spijkweg,Biddinghuizen
8256RJ,15,A7,Spijkweg,Biddinghuizen
8256RJ,15,192,Spijkweg,Biddinghuizen
8256RJ,15,193,Spijkweg,Biddinghuizen
8256RJ,15,194,Spijkweg,Biddinghuizen
8256RJ,15,A3,Spijkweg,Biddinghuizen
8256RJ,15,195,Spijkweg,Biddinghuizen
8256RJ,15,A19,Spijkweg,Biddinghuizen
8256RJ,15,197,Spijkweg,Biddinghuizen
8256RJ,15,198,Spijkweg,Biddinghuizen
8256RJ,15,A12,Spijkweg,Biddinghuizen
8256RJ,15,199,Spijkweg,Biddinghuizen
8256RJ,15,200,Spijkweg,Biddinghuizen
8256RJ,15,201,Spijkweg,Biddinghuizen
8256RJ,15,A9,Spijkweg,Biddinghuizen
8256RJ,15,203,Spijkweg,Biddinghuizen
8256RJ,15,B18,Spijkweg,Biddinghuizen
8256RJ,15,204,Spijkweg,Biddinghuizen
8256RJ,15,206,Spijkweg,Biddinghuizen
8256RJ,15,207,Spijkweg,Biddinghuizen
8256RJ,15,208,Spijkweg,Biddinghuizen
8256PX,2,1,Cerespark,Biddinghuizen
8256PX,2,2,Cerespark,Biddinghuizen
8256GP,22,,Kampeerveld,Biddinghuizen
8256GP,24,,Kampeerveld,Biddinghuizen
8256GP,26,,Kampeerveld,Biddinghuizen
8255JK,2,,Kamperfoelielaan,Swifterbant
8255JK,3,,Kamperfoelielaan,Swifterbant
8255JK,4,,Kamperfoelielaan,Swifterbant
8255JK,5,,Kamperfoelielaan,Swifterbant
8255JK,7,,Kamperfoelielaan,Swifterbant
8255JK,9,,Kamperfoelielaan,Swifterbant
8255JK,11,,Kamperfoelielaan,Swifterbant
8255JK,15,,Kamperfoelielaan,Swifterbant
8255JK,17,,Kamperfoelielaan,Swifterbant
8255JK,19,,Kamperfoelielaan,Swifterbant
8255JK,21,,Kamperfoelielaan,Swifterbant
8255JK,22,,Kamperfoelielaan,Swifterbant
8255JK,23,,Kamperfoelielaan,Swifterbant
8255JK,24,,Kamperfoelielaan,Swifterbant
8255JK,25,,Kamperfoelielaan,Swifterbant
8252BJ,152,,Kruidendreef,Dronten
8252BZ,153,,Kruidendreef,Dronten
8252BJ,154,,Kruidendreef,Dronten
8252BJ,156,,Kruidendreef,Dronten
8252BZ,157,,Kruidendreef,Dronten
8252BJ,158,,Kruidendreef,Dronten
8252BZ,159,,Kruidendreef,Dronten
8252BZ,161,,Kruidendreef,Dronten
8252BZ,163,,Kruidendreef,Dronten
8252BZ,165,,Kruidendreef,Dronten
8252BS,1,,Kruizemunt,Dronten
8252BM,2,,Kruizemunt,Dronten
8252BS,3,,Kruizemunt,Dronten
8252BM,4,,Kruizemunt,Dronten
8252BS,5,,Kruizemunt,Dronten
8252BM,6,,Kruizemunt,Dronten
8253GL,8,,Korendragersgilde,Dronten
8252CL,1,,Koriander,Dronten
8255CK,10,,Morenestraat,Swifterbant
8251AJ,4,,Neptunusweg,Dronten
8251BB,8,,Saturnusweg,Dronten
8251BL,16,,Giekstraat,Dronten
8255CN,6,,Gletsjerstraat,Swifterbant
8256AV,6,,Weidehof,Biddinghuizen
8253EJ,28,,Mark,Dronten
8253CP,11,,Rijdergulden,Dronten
8255HG,10,,Het Plankenpad,Swifterbant
8252EV,16,,Het Rijpaard,Dronten
8251KN,36,,Pioniersweg,Dronten
8253HP,7,,Timmerliedengilde,Dronten
8256GM,14,,Joggerspad,Biddinghuizen
8256GK,5,,Tarwehof,Biddinghuizen
8251GN,7,,Werfstraat,Dronten
8251RC,7,,Oudebosweg,Dronten
8256PA,15,,Palingweg,Biddinghuizen
