27,3581VC,Van Limburg Stirumstraat,Utrecht
1,3581LR,Lindestraat,Utrecht
2,3581LS,Lindestraat,Utrecht
3,3581LR,Lindestraat,Utrecht
4,3581LS,Lindestraat,Utrecht
5,3581LR,Lindestraat,Utrecht
6,3581LS,Lindestraat,Utrecht
7,3581LR,Lindestraat,Utrecht
8,3581LS,Lindestraat,Utrecht
9,3581LR,Lindestraat,Utrecht
10,3581LS,Lindestraat,Utrecht
11,3581LR,Lindestraat,Utrecht
12,3581LS,Lindestraat,Utrecht
13,3581LR,Lindestraat,Utrecht
14,3581LS,Lindestraat,Utrecht
15,3581LR,Lindestraat,Utrecht
16,3581LS,Lindestraat,Utrecht
17,3581LR,Lindestraat,Utrecht
19,3581LR,Lindestraat,Utrecht
21,3581LR,Lindestraat,Utrecht
23,3581LR,Lindestraat,Utrecht
24,3581LS,Lindestraat,Utrecht
26,3581LS,Lindestraat,Utrecht
27,3581LR,Lindestraat,Utrecht
29,3581LR,Lindestraat,Utrecht
30,3581LS,Lindestraat,Utrecht
32,3581LS,Lindestraat,Utrecht
33,3581LR,Lindestraat,Utrecht
35,3581LR,Lindestraat,Utrecht
36,3581LS,Lindestraat,Utrecht
37,3581LR,Lindestraat,Utrecht
1,3532XE,M.P. Lindostraat,Utrecht
4,3532XE,M.P. Lindostraat,Utrecht
5,3532XE,M.P. Lindostraat,Utrecht
9,3532XE,M.P. Lindostraat,Utrecht
13,3532XE,M.P. Lindostraat,Utrecht
15,3532XE,M.P. Lindostraat,Utrecht
16,3532EZ,Kneppelhoutstraat,Utrecht
17,3532EW,Kneppelhoutstraat,Utrecht
18,3532EZ,Kneppelhoutstraat,Utrecht
19,3532EW,Kneppelhoutstraat,Utrecht
21,3532EW,Kneppelhoutstraat,Utrecht
22,3532EZ,Kneppelhoutstraat,Utrecht
23,3532EW,Kneppelhoutstraat,Utrecht
24,3532EZ,Kneppelhoutstraat,Utrecht
25,3532EW,Kneppelhoutstraat,Utrecht
27,3532EW,Kneppelhoutstraat,Utrecht
31,3532EW,Kneppelhoutstraat,Utrecht
33,3532EW,Kneppelhoutstraat,Utrecht
35,3532EW,Kneppelhoutstraat,Utrecht
2,3551ET,Knopstraat,Utrecht
3,3551ES,Knopstraat,Utrecht
4,3551ET,Knopstraat,Utrecht
2,3511JC,Lange Elisabethstraat,Utrecht
4,3511JC,Lange Elisabethstraat,Utrecht
5,3511JA,Lange Elisabethstraat,Utrecht
20,3514BE,Kraanstraat,Utrecht
22,3514BE,Kraanstraat,Utrecht
23,3514BD,Kraanstraat,Utrecht
24,3514BE,Kraanstraat,Utrecht
25,3514BD,Kraanstraat,Utrecht
26,3514BE,Kraanstraat,Utrecht
27,3514BD,Kraanstraat,Utrecht
29,3514BD,Kraanstraat,Utrecht
