24,3582DC,Ooievaarhof,Utrecht
10,3572ZM,Oortlaan,Utrecht
16,3572ZM,Oortlaan,Utrecht
21,3572ZM,Oortlaan,Utrecht
25,3572ZM,Oortlaan,Utrecht
379,3582JZ,Burgemeester ter Pelkwijklaan,Utrecht
7,3527EA,Peltlaan,Utrecht
17,3527EA,Peltlaan,Utrecht
25,3527EA,Peltlaan,Utrecht
35,3527EA,Peltlaan,Utrecht
45,3527EB,Peltlaan,Utrecht
51,3527EB,Peltlaan,Utrecht
59,3527EB,Peltlaan,Utrecht
65,3527EB,Peltlaan,Utrecht
71,3527EB,Peltlaan,Utrecht
77,3527EB,Peltlaan,Utrecht
83,3527EB,Peltlaan,Utrecht
89,3527EB,Peltlaan,Utrecht
95,3527EB,Peltlaan,Utrecht
101,3527EB,Peltlaan,Utrecht
4,3542AL,Mesonweg,Utrecht
12,3542AL,Mesonweg,Utrecht
1,3583ER,Gabriël Metsustraat,Utrecht
11,3583ER,Gabriël Metsustraat,Utrecht
19,3583ER,Gabriël Metsustraat,Utrecht
31,3583ER,Gabriël Metsustraat,Utrecht
39,3583ER,Gabriël Metsustraat,Utrecht
45,3583ES,Gabriël Metsustraat,Utrecht
51,3583ES,Gabriël Metsustraat,Utrecht
57,3583ES,Gabriël Metsustraat,Utrecht
261,3564EE,Nigerdreef,Utrecht
269,3564EE,Nigerdreef,Utrecht
279,3564EE,Nigerdreef,Utrecht
289,3564EE,Nigerdreef,Utrecht
299,3564EG,Nigerdreef,Utrecht
307,3564EG,Nigerdreef,Utrecht
315,3564EG,Nigerdreef,Utrecht
321,3564EG,Nigerdreef,Utrecht
329,3564EG,Nigerdreef,Utrecht
339,3564EG,Nigerdreef,Utrecht
349,3564EG,Nigerdreef,Utrecht
8,3527WG,Florence Nightingalelaan,Utrecht
16,3527WG,Florence Nightingalelaan,Utrecht
20,3527WG,Florence Nightingalelaan,Utrecht
2,3511SG,Nieuwe Daalstraat,Utrecht
27,3524SE,Nieuwe Houtenseweg,Utrecht
61,3511RW,Nieuwekade,Utrecht
67,3511RW,Nieuwekade,Utrecht
8,3525XK,Oudegeinlaan,Utrecht
30,3525GK,Herautsingel,Utrecht
251,3584GH,Louis Bouwmeesterlaan,Utrecht
8,3511CV,Boven Clarenburg,Utrecht
14,3511CV,Boven Clarenburg,Utrecht
35,3511CR,Boven Clarenburg,Utrecht
61,3511CS,Boven Clarenburg,Utrecht
79,3511CS,Boven Clarenburg,Utrecht
97,3511CS,Boven Clarenburg,Utrecht
111,3511CT,Boven Clarenburg,Utrecht
127,3511CT,Boven Clarenburg,Utrecht
2,3511CW,Boven Vredenburg,Utrecht
8,3511CW,Boven Vredenburg,Utrecht
16,3511CW,Boven Vredenburg,Utrecht
1,3524CK,Boven Zevenwouden,Utrecht
10,3524CK,Boven Zevenwouden,Utrecht
15,3524CK,Boven Zevenwouden,Utrecht
19,3524CK,Boven Zevenwouden,Utrecht
22,3524CK,Boven Zevenwouden,Utrecht
26,3524CK,Boven Zevenwouden,Utrecht
32,3524CK,Boven Zevenwouden,Utrecht
37,3524CK,Boven Zevenwouden,Utrecht
42,3524CK,Boven Zevenwouden,Utrecht
48,3524CK,Boven Zevenwouden,Utrecht
53,3524CK,Boven Zevenwouden,Utrecht
380,3564RP,Ibisdreef,Utrecht
386,3564RP,Ibisdreef,Utrecht
394,3564RR,Ibisdreef,Utrecht
404,3564RR,Ibisdreef,Utrecht
414,3564RR,Ibisdreef,Utrecht
422,3564RR,Ibisdreef,Utrecht
432,3564RR,Ibisdreef,Utrecht
442,3564RS,Ibisdreef,Utrecht
450,3564RS,Ibisdreef,Utrecht
456,3564RS,Ibisdreef,Utrecht
464,3564RS,Ibisdreef,Utrecht
472,3564RS,Ibisdreef,Utrecht
9,3515EX,Idenburgstraat,Utrecht
2,3561EH,Ikarosdreef,Utrecht
12,3561EH,Ikarosdreef,Utrecht
2,3531HW,Van Imhoffstraat,Utrecht
7,3563XA,Incadreef,Utrecht
91,3555EC,Van Heukelomlaan,Utrecht
97,3555EC,Van Heukelomlaan,Utrecht
109,3555EC,Van Heukelomlaan,Utrecht
119,3555EC,Van Heukelomlaan,Utrecht
44,3527CL,Van Heuven Goedhartlaan,Utrecht
123,3524TN,Graafschap,Utrecht
133,3524TP,Graafschap,Utrecht
141,3524TP,Graafschap,Utrecht
149,3524TP,Graafschap,Utrecht
60,3527VX,Grebbeberglaan,Utrecht
5,3563HE,Grenadadreef,Utrecht
9,3552XX,Gresnigtstraat,Utrecht
15,3552XX,Gresnigtstraat,Utrecht
23,3552XX,Gresnigtstraat,Utrecht
201,3512PW,Groenestraat,Utrecht
209,3512PW,Groenestraat,Utrecht
221,3512PW,Groenestraat,Utrecht
229,3512PW,Groenestraat,Utrecht
239,3512PW,Groenestraat,Utrecht
249,3512PW,Groenestraat,Utrecht
127,3561TG,Maria van Hongarijedreef,Utrecht
132,3561TL,Maria van Hongarijedreef,Utrecht
137,3561TG,Maria van Hongarijedreef,Utrecht
143,3561TG,Maria van Hongarijedreef,Utrecht
155,3562GV,Stroyenborchdreef,Utrecht
163,3562GV,Stroyenborchdreef,Utrecht
175,3562GW,Stroyenborchdreef,Utrecht
187,3562GW,Stroyenborchdreef,Utrecht
197,3562GW,Stroyenborchdreef,Utrecht
209,3562GX,Stroyenborchdreef,Utrecht
118,3554CN,Jacob Simonsz. de Rijkstraat,Utrecht
124,3554CN,Jacob Simonsz. de Rijkstraat,Utrecht
130,3554CN,Jacob Simonsz. de Rijkstraat,Utrecht
134,3554CN,Jacob Simonsz. de Rijkstraat,Utrecht
139,3554CJ,Jacob Simonsz. de Rijkstraat,Utrecht
145,3554CJ,Jacob Simonsz. de Rijkstraat,Utrecht
152,3554CN,Jacob Simonsz. de Rijkstraat,Utrecht
169,3554CJ,Jacob Simonsz. de Rijkstraat,Utrecht
175,3554CJ,Jacob Simonsz. de Rijkstraat,Utrecht
194,3554CN,Jacob Simonsz. de Rijkstraat,Utrecht
114,3582CN,Notebomenlaan,Utrecht
119,3582CJ,Notebomenlaan,Utrecht
125,3582CJ,Notebomenlaan,Utrecht
