3998LX,1,,Schalkwijksewetering,Schalkwijk
3998JZ,1,,Spoordijk,Schalkwijk
3998JZ,3,,Spoordijk,Schalkwijk
3998JN,1,,Spoorlaan,Schalkwijk
3998JN,5,,Spoorlaan,Schalkwijk
3998JN,6,,Spoorlaan,Schalkwijk
3998JN,8,,Spoorlaan,Schalkwijk
3998JP,12,,Jonkheer Ramweg,Schalkwijk
3998JP,13,,Jonkheer Ramweg,Schalkwijk
3998JP,14,,Jonkheer Ramweg,Schalkwijk
3998JP,15,,Jonkheer Ramweg,Schalkwijk
3998JP,16,,Jonkheer Ramweg,Schalkwijk
3998JP,16,0001,Jonkheer Ramweg,Schalkwijk
3998JP,18,,Jonkheer Ramweg,Schalkwijk
3998JP,19,,Jonkheer Ramweg,Schalkwijk
3998JR,20,,Jonkheer Ramweg,Schalkwijk
3998JR,21,,Jonkheer Ramweg,Schalkwijk
3998JR,22,,Jonkheer Ramweg,Schalkwijk
3998JR,23,,Jonkheer Ramweg,Schalkwijk
3998JR,24,,Jonkheer Ramweg,Schalkwijk
3998JR,25,,Jonkheer Ramweg,Schalkwijk
3998JR,26,,Jonkheer Ramweg,Schalkwijk
3998JR,28,,Jonkheer Ramweg,Schalkwijk
3998JR,29,,Jonkheer Ramweg,Schalkwijk
3998JR,30,,Jonkheer Ramweg,Schalkwijk
3998JN,10,,Spoorlaan,Schalkwijk
3999NW,1,,Strijpweg,Tull en 't Waal
3999NW,2,,Strijpweg,Tull en 't Waal
3999NW,3,,Strijpweg,Tull en 't Waal
3999NW,4,,Strijpweg,Tull en 't Waal
3999NW,5,,Strijpweg,Tull en 't Waal
3999NW,6,,Strijpweg,Tull en 't Waal
3999NW,7,,Strijpweg,Tull en 't Waal
3999NW,8,,Strijpweg,Tull en 't Waal
3999NW,9,,Strijpweg,Tull en 't Waal
3999NW,10,,Strijpweg,Tull en 't Waal
3999NW,11,,Strijpweg,Tull en 't Waal
3999NW,13,,Strijpweg,Tull en 't Waal
3999NW,15,,Strijpweg,Tull en 't Waal
3999NW,16,,Strijpweg,Tull en 't Waal
3999NW,17,,Strijpweg,Tull en 't Waal
3999NW,19,,Strijpweg,Tull en 't Waal
3999NW,20,,Strijpweg,Tull en 't Waal
3999NW,21,,Strijpweg,Tull en 't Waal
3998JR,31,,Jonkheer Ramweg,Schalkwijk
3998JR,32,,Jonkheer Ramweg,Schalkwijk
3998JR,33,,Jonkheer Ramweg,Schalkwijk
3998JR,34,,Jonkheer Ramweg,Schalkwijk
3998JR,35,,Jonkheer Ramweg,Schalkwijk
3998JR,36,,Jonkheer Ramweg,Schalkwijk
3998JR,37,,Jonkheer Ramweg,Schalkwijk
3998JR,38,,Jonkheer Ramweg,Schalkwijk
3998JR,39,,Jonkheer Ramweg,Schalkwijk
3998JS,40,,Jonkheer Ramweg,Schalkwijk
3998JS,40,0001,Jonkheer Ramweg,Schalkwijk
3998JS,40,0002,Jonkheer Ramweg,Schalkwijk
3998JS,41,,Jonkheer Ramweg,Schalkwijk
3998JS,42,,Jonkheer Ramweg,Schalkwijk
3998JS,43,,Jonkheer Ramweg,Schalkwijk
3998JS,44,,Jonkheer Ramweg,Schalkwijk
3998JS,45,,Jonkheer Ramweg,Schalkwijk
3998JS,46,,Jonkheer Ramweg,Schalkwijk
3998JS,47,,Jonkheer Ramweg,Schalkwijk
3999NW,22,,Strijpweg,Tull en 't Waal
3999NW,23,,Strijpweg,Tull en 't Waal
3999NW,24,,Strijpweg,Tull en 't Waal
3999NW,25,,Strijpweg,Tull en 't Waal
3999NW,26,,Strijpweg,Tull en 't Waal
3999NW,27,,Strijpweg,Tull en 't Waal
3998NN,2,,Tetwijkseweg,Schalkwijk
3998NN,2,0001,Tetwijkseweg,Schalkwijk
3998NN,4,,Tetwijkseweg,Schalkwijk
3998NN,4,0001,Tetwijkseweg,Schalkwijk
3998WC,1,,Trip,Schalkwijk
3998WC,2,,Trip,Schalkwijk
3998WC,3,,Trip,Schalkwijk
3998WC,3,0001,Trip,Schalkwijk
3998WC,4,,Trip,Schalkwijk
3998WC,5,,Trip,Schalkwijk
3998WC,6,,Trip,Schalkwijk
3998WC,11,,Trip,Schalkwijk
3999NN,1,0001,Waalseweg,Tull en 't Waal
3999NN,1,,Waalseweg,Tull en 't Waal
3999NN,3,,Waalseweg,Tull en 't Waal
3998WH,1,,Kaaidijk,Schalkwijk
3998WH,3,,Kaaidijk,Schalkwijk
3998WH,7,,Kaaidijk,Schalkwijk
3998WH,9,,Kaaidijk,Schalkwijk
3998WH,11,,Kaaidijk,Schalkwijk
3998WH,13,,Kaaidijk,Schalkwijk
3998WH,15,0001,Kaaidijk,Schalkwijk
3998WH,15,,Kaaidijk,Schalkwijk
3998WK,1,,Kanaaldijk Zuid,Schalkwijk
3998WK,16,,Kanaaldijk Zuid,Schalkwijk
3998WK,18,,Kanaaldijk Zuid,Schalkwijk
3998WK,20,0001,Kanaaldijk Zuid,Schalkwijk
3998WK,20,,Kanaaldijk Zuid,Schalkwijk
3998WK,24,,Kanaaldijk Zuid,Schalkwijk
3998WK,24,0001,Kanaaldijk Zuid,Schalkwijk
3999NL,22,,Kerkebogerd,Tull en 't Waal
3999NL,24,,Kerkebogerd,Tull en 't Waal
3999NL,26,,Kerkebogerd,Tull en 't Waal
3999NL,28,,Kerkebogerd,Tull en 't Waal
3999NL,30,,Kerkebogerd,Tull en 't Waal
3999NL,32,,Kerkebogerd,Tull en 't Waal
3999NS,4,,Waalseweg,Tull en 't Waal
3999NN,5,,Waalseweg,Tull en 't Waal
3999NN,7,,Waalseweg,Tull en 't Waal
3999NS,8,,Waalseweg,Tull en 't Waal
3999NN,9,,Waalseweg,Tull en 't Waal
3999NS,10,,Waalseweg,Tull en 't Waal
3999NS,10,0001,Waalseweg,Tull en 't Waal
3999NN,11,,Waalseweg,Tull en 't Waal
3999NS,12,,Waalseweg,Tull en 't Waal
3999NN,13,,Waalseweg,Tull en 't Waal
3999NS,14,,Waalseweg,Tull en 't Waal
3999NN,15,,Waalseweg,Tull en 't Waal
3999NS,16,,Waalseweg,Tull en 't Waal
3999NN,17,,Waalseweg,Tull en 't Waal
3991BB,83,,Vlierweg,Houten
3994KJ,8,,Kantmos,Houten
3998JG,20,,Provincialeweg,Schalkwijk
3991CM,51,,Vleugelboot,Houten
3994AD,8,,Handboog,Houten
3991CP,14,,Lichtschip,Houten
3998NJ,34,,Lekdijk,Schalkwijk
3995DX,4,,Onderdoor,Houten
3994MB,101,,Raaigras,Houten
3999NS,36,,Waalseweg,Tull en 't Waal
3999NZ,1,,Ossenwaard,Tull en 't Waal
3992RW,31,,Bovencamp,Houten
3992RW,33,,Bovencamp,Houten
3992RW,35,,Bovencamp,Houten
3991LN,3,,De Brug,Houten
3991LN,5,,De Brug,Houten
3991LN,7,,De Brug,Houten
3999NS,12,by,Waalseweg,Tull en 't Waal
3991DJ,14,,Koningin Julianastraat,Houten
3995DZ,2,,Het Kant,Houten
3994AE,1,,Kruisboog,Houten
3992XV,29,0001,Dijkhoeve,Houten
3991KX,149,,Stationserf,Houten
3994AE,36,,Kruisboog,Houten
3991CP,7,,Lichtschip,Houten
3991ZE,2,,Plantagepolder,Houten
3991ZE,4,,Plantagepolder,Houten
3991ZE,6,,Plantagepolder,Houten
3991ZE,8,,Plantagepolder,Houten
3991KE,12,,Richterserf,Houten
3995ZR,50,,Via Horta,Houten
3995ZK,27,,Forum,Houten
3995ZK,25,,Forum,Houten
3995ZK,23,,Forum,Houten
3995ZK,21,,Forum,Houten
3995ZK,19,,Forum,Houten
3995ZK,17,,Forum,Houten
3991LC,6,,Tuibrug,Houten
3992AE,26,,Meidoornkade,Houten
3998MD,2,,De Wiese,Schalkwijk
3991CP,19,,Lichtschip,Houten
3995ZC,88,,Porta Basilica,Houten
3995ZC,102,,Porta Basilica,Houten
3995ZC,100,,Porta Basilica,Houten
3995ZC,98,,Porta Basilica,Houten
3995ZC,96,,Porta Basilica,Houten
3995ZC,94,,Porta Basilica,Houten
3995ZC,92,,Porta Basilica,Houten
3995ZC,90,,Porta Basilica,Houten
3991MC,12,,Schonauwenseweg,Houten
3991LB,4,,Hefbrug,Houten
3995ZB,2,,Porta Basilica,Houten
3995ZB,4,,Porta Basilica,Houten
3995ZB,6,,Porta Basilica,Houten
3995ZB,8,,Porta Basilica,Houten
3995ZB,10,,Porta Basilica,Houten
3995ZB,12,,Porta Basilica,Houten
3995ZB,14,,Porta Basilica,Houten
3995ZB,16,,Porta Basilica,Houten
3995ZB,18,,Porta Basilica,Houten
3995ZB,20,,Porta Basilica,Houten
3995ZB,22,,Porta Basilica,Houten
3995ZB,24,,Porta Basilica,Houten
3995ZB,26,,Porta Basilica,Houten
3995ZB,28,,Porta Basilica,Houten
3995ZB,30,,Porta Basilica,Houten
3995ZB,32,,Porta Basilica,Houten
3995ZB,34,,Porta Basilica,Houten
3995ZB,36,,Porta Basilica,Houten
3995ZB,38,,Porta Basilica,Houten
3995ZB,40,,Porta Basilica,Houten
3995ZB,42,,Porta Basilica,Houten
3995ZB,44,,Porta Basilica,Houten
3995ZB,46,,Porta Basilica,Houten
3995ZB,48,,Porta Basilica,Houten
3991AT,8,,Korte Schaft,Houten
3995ZC,104,,Porta Basilica,Houten
3995ZC,108,,Porta Basilica,Houten
3995ZC,110,,Porta Basilica,Houten
3995ZC,112,,Porta Basilica,Houten
3995ZC,114,,Porta Basilica,Houten
3995ZC,116,,Porta Basilica,Houten
3995ZC,118,,Porta Basilica,Houten
3995ZC,120,,Porta Basilica,Houten
3995ZC,106,,Porta Basilica,Houten
3995ZD,29,,Porta Basilica,Houten
3995ZR,30,,Via Horta,Houten
3995ZD,51,,Porta Basilica,Houten
3995ZE,2,,Porta Toga,Houten
3995ZE,4,,Porta Toga,Houten
3995ZE,6,,Porta Toga,Houten
3995ZE,14,,Porta Toga,Houten
3995ZH,26,,Forum,Houten
3995ZE,8,,Porta Toga,Houten
