3833BW,20,,Kapelhoek,Leusden
3833GN,129,,Hamersveldseweg,Leusden
3833GN,135,,Hamersveldseweg,Leusden
3833GV,142,,Hamersveldseweg,Leusden
3833CT,2,,Haverland,Leusden
3833CT,6,,Haverland,Leusden
3833CT,16,,Haverland,Leusden
3833CV,21,,Haverland,Leusden
3833LC,16,,Philipsstraat,Leusden
3833AX,5,,Platanenlaan,Leusden
3833AX,8,,Platanenlaan,Leusden
3833AX,9,,Platanenlaan,Leusden
3833AX,12,,Platanenlaan,Leusden
3833AX,26,,Platanenlaan,Leusden
3833LA,2,,Plesmanstraat,Leusden
3833LA,5,,Plesmanstraat,Leusden
3833LA,6,,Plesmanstraat,Leusden
3833LA,12,,Plesmanstraat,Leusden
3833EB,1,,Ploegschaar,Leusden
3833EB,7,,Ploegschaar,Leusden
3833EB,9,,Ploegschaar,Leusden
3833EC,14,,Ploegschaar,Leusden
3833EC,16,,Ploegschaar,Leusden
3833EB,23,,Ploegschaar,Leusden
3833EC,26,,Ploegschaar,Leusden
3833EB,31,,Ploegschaar,Leusden
3833EB,35,,Ploegschaar,Leusden
3831JB,10,,Populierenlaan,Leusden
3831JB,13,,Populierenlaan,Leusden
3831JB,19,,Populierenlaan,Leusden
3831VL,1,,Porfier,Leusden
3831VL,7,,Porfier,Leusden
3831VL,8,,Porfier,Leusden
3831VL,9,,Porfier,Leusden
3831VL,16,,Porfier,Leusden
3831SE,1,,Postweg,Leusden
3831SE,9,,Postweg,Leusden
3831SE,11,,Postweg,Leusden
3831SE,19,,Postweg,Leusden
3834XP,6,,Prelatenhove,Leusden
3834XP,8,,Prelatenhove,Leusden
3834XP,18,,Prelatenhove,Leusden
3834XP,22,,Prelatenhove,Leusden
3833BA,4,,Princenhoflaan,Leusden
3833BA,9,,Princenhoflaan,Leusden
3833BA,14,,Princenhoflaan,Leusden
3833BA,29,,Princenhoflaan,Leusden
3832AT,5,,Prins Bernhardlaan,Leusden
3832AT,16,,Prins Bernhardlaan,Leusden
3832GD,2,,Prins Frederiklaan,Leusden
3832GD,4,,Prins Frederiklaan,Leusden
3832GD,6,,Prins Frederiklaan,Leusden
3832GD,8,,Prins Frederiklaan,Leusden
3832GD,9,,Prins Frederiklaan,Leusden
3832GD,21,,Prins Frederiklaan,Leusden
3832CN,4,,Prins Hendriklaan,Leusden
3832CG,1,,Prins Mauritslaan,Leusden
3832CG,5,,Prins Mauritslaan,Leusden
3832CG,6,,Prins Mauritslaan,Leusden
3832CG,20,,Prins Mauritslaan,Leusden
3832CM,7,,Prinses Christinalaan,Leusden
3832CC,2,,Prinses Irenelaan,Leusden
3832CC,18,,Prinses Irenelaan,Leusden
3832CA,19,,Prinses Irenelaan,Leusden
3832CC,22,,Prinses Irenelaan,Leusden
3832CA,23,,Prinses Irenelaan,Leusden
3832CA,31,,Prinses Irenelaan,Leusden
3832CA,35,,Prinses Irenelaan,Leusden
3832CC,36,,Prinses Irenelaan,Leusden
3832CC,42,,Prinses Irenelaan,Leusden
3832CA,45,,Prinses Irenelaan,Leusden
3832CB,51,,Prinses Irenelaan,Leusden
3832CB,57,,Prinses Irenelaan,Leusden
3832CB,65,,Prinses Irenelaan,Leusden
3832CB,71,,Prinses Irenelaan,Leusden
3832CJ,5,,Prinses Margrietlaan,Leusden
3832CJ,10,,Prinses Margrietlaan,Leusden
3833AS,1,,Prunuslaan,Leusden
3833AT,2,,Prunuslaan,Leusden
3833AS,9,,Prunuslaan,Leusden
3833AT,14,,Prunuslaan,Leusden
3833AT,16,,Prunuslaan,Leusden
3833AS,21,,Prunuslaan,Leusden
3833AS,23,,Prunuslaan,Leusden
3833AT,24,,Prunuslaan,Leusden
3833AT,28,,Prunuslaan,Leusden
3833AS,33,,Prunuslaan,Leusden
3833AT,34,,Prunuslaan,Leusden
3833WC,7,,Ravenhorst,Leusden
3833WC,13,,Ravenhorst,Leusden
3833WC,19,,Ravenhorst,Leusden
3833WD,20,,Ravenhorst,Leusden
3833WD,23,,Ravenhorst,Leusden
3831TH,5,,Reehoeve,Leusden
3831TH,9,,Reehoeve,Leusden
3831TH,12,,Reehoeve,Leusden
3831MJ,3,,Reggewijk,Leusden
3831MJ,28,,Reggewijk,Leusden
3831MJ,40,,Reggewijk,Leusden
3834ZJ,1,,Regulierenhove,Leusden
3832LD,19,,Reinier Roeststraat,Leusden
3832JE,10,,Remmerstein,Leusden
3791VN,6,,Rentinckstraat,Achterveld
3791VN,18,,Rentinckstraat,Achterveld
3791VN,21,,Rentinckstraat,Achterveld
3831HK,1,,Rietgors,Leusden
3831HK,9,,Rietgors,Leusden
3831HK,13,,Rietgors,Leusden
3831HK,19,,Rietgors,Leusden
3831DP,7,,Rietspinner,Leusden
3831DP,11,,Rietspinner,Leusden
3831DP,15,,Rietspinner,Leusden
3831DP,37,,Rietspinner,Leusden
3832LR,1,,Rita de Voogdstraat,Leusden
3832LR,27,,Rita de Voogdstraat,Leusden
3832LR,35,,Rita de Voogdstraat,Leusden
3831RJ,4,,Roffelaarskom,Leusden
3831RJ,13,,Roffelaarskom,Leusden
3831NT,9,,De Smidse,Leusden
3831NT,15,,De Smidse,Leusden
3831NT,17,,De Smidse,Leusden
3831NT,25,,De Smidse,Leusden
3831NT,37,,De Smidse,Leusden
3831NT,39,,De Smidse,Leusden
3831NT,53,,De Smidse,Leusden
3831NT,71,,De Smidse,Leusden
3831NT,79,,De Smidse,Leusden
3832JA,4,,De Spijlen,Leusden
3832JA,8,,De Spijlen,Leusden
3831PV,1,,De Start,Leusden
3831PV,13,,De Start,Leusden
3831PV,14,,De Start,Leusden
3831PV,15,,De Start,Leusden
3831PV,20,,De Start,Leusden
3831PV,27,,De Start,Leusden
3831PV,32,,De Start,Leusden
3831PV,34,,De Start,Leusden
3831PV,35,,De Start,Leusden
3831PV,43,,De Start,Leusden
3831PV,46,,De Start,Leusden
3831PV,51,,De Start,Leusden
3831CS,1,,De Twijnderij,Leusden
3831CS,3,,De Twijnderij,Leusden
3831CS,13,,De Twijnderij,Leusden
3831CS,14,,De Twijnderij,Leusden
3831CS,21,,De Twijnderij,Leusden
3831CS,25,,De Twijnderij,Leusden
3831CS,32,,De Twijnderij,Leusden
3831NN,5,,De Wevershilt,Leusden
3831NP,10,,De Wevershilt,Leusden
3831NN,11,,De Wevershilt,Leusden
3831NP,16,,De Wevershilt,Leusden
3831NP,26,,De Wevershilt,Leusden
3831NP,28,,De Wevershilt,Leusden
3831CV,1,,De Zeilmakerij,Leusden
3833XA,39,,Hoefijzer,Leusden
3833XA,51,,Hoefijzer,Leusden
3832KL,4,,Hoefslag,Leusden
3833BC,4,,Hohorstlaan,Leusden
3833BC,6,,Hohorstlaan,Leusden
3833BB,11,,Hohorstlaan,Leusden
3833BB,15,,Hohorstlaan,Leusden
3833BB,17,,Hohorstlaan,Leusden
3833BC,32,,Hohorstlaan,Leusden
3833BB,33,,Hohorstlaan,Leusden
3833BB,37,,Hohorstlaan,Leusden
3833BC,44,,Hohorstlaan,Leusden
3831AS,2,,Hondsdraf,Leusden
3831AS,4,,Hondsdraf,Leusden
3831AP,15,,Hondsdraf,Leusden
3831AP,17,,Hondsdraf,Leusden
3831AP,21,,Hondsdraf,Leusden
3831AS,28,,Hondsdraf,Leusden
3831AR,31,,Hondsdraf,Leusden
3831AR,35,,Hondsdraf,Leusden
3831AR,45,,Hondsdraf,Leusden
3831AR,51,,Hondsdraf,Leusden
3831AR,59,,Hondsdraf,Leusden
3831AR,63,,Hondsdraf,Leusden
3831CG,5,,Hondsroos,Leusden
3831CG,7,,Hondsroos,Leusden
3831CG,8,,Hondsroos,Leusden
3831CG,12,,Hondsroos,Leusden
3831CG,14,,Hondsroos,Leusden
3833CE,4,,Hooiland,Leusden
3833CE,8,,Hooiland,Leusden
3833CE,11,,Hooiland,Leusden
3833CE,13,,Hooiland,Leusden
3833WB,16,,Hakhorst,Leusden
3833GP,2,,Hamersveldseweg,Leusden
3833GP,4,,Hamersveldseweg,Leusden
3833GK,5,,Hamersveldseweg,Leusden
3833GP,6,,Hamersveldseweg,Leusden
3833GP,20,,Hamersveldseweg,Leusden
3833CW,8,,Lamoen,Leusden
3833CW,10,,Lamoen,Leusden
3833CW,13,,Lamoen,Leusden
3831TN,1,,Lamshoeve,Leusden
3831TN,2,,Lamshoeve,Leusden
3831TN,8,,Lamshoeve,Leusden
3831TN,11,,Lamshoeve,Leusden
3834CN,2,,Landjonker,Leusden
3834CN,4,,Landjonker,Leusden
3834CN,14,,Landjonker,Leusden
3834CN,16,,Landjonker,Leusden
3834CL,19,,Landjonker,Leusden
3834CP,24,,Landjonker,Leusden
3834CL,25,,Landjonker,Leusden
3834CM,37,,Landjonker,Leusden
3834CM,47,,Landjonker,Leusden
3834CR,48,,Landjonker,Leusden
3834CR,52,,Landjonker,Leusden
3834CR,64,,Landjonker,Leusden
3834CR,70,,Landjonker,Leusden
3833VL,4,,Landweg,Leusden
3831PJ,105,,Maten,Leusden
3831PJ,115,,Maten,Leusden
3831PJ,129,,Maten,Leusden
3833HM,18,,Kuperssingel,Leusden
3833HM,20,,Kuperssingel,Leusden
3833HN,26,,Kuperssingel,Leusden
3833JM,31,,Kuperssingel,Leusden
3833HN,36,,Kuperssingel,Leusden
3833HN,40,,Kuperssingel,Leusden
3833JN,47,,Kuperssingel,Leusden
3833HP,50,,Kuperssingel,Leusden
3833HP,52,,Kuperssingel,Leusden
3833JP,61,,Kuperssingel,Leusden
3833JP,67,,Kuperssingel,Leusden
3833HR,72,,Kuperssingel,Leusden
3833JP,77,,Kuperssingel,Leusden
3833JP,79,,Kuperssingel,Leusden
3833HS,90,,Kuperssingel,Leusden
3833JP,91,,Kuperssingel,Leusden
3833HS,110,,Kuperssingel,Leusden
3833HS,112,,Kuperssingel,Leusden
3833JP,115,,Kuperssingel,Leusden
3833HS,128,,Kuperssingel,Leusden
3833HS,130,,Kuperssingel,Leusden
3833JP,133,,Kuperssingel,Leusden
3833JP,139,,Kuperssingel,Leusden
3833HS,144,,Kuperssingel,Leusden
3833JP,149,,Kuperssingel,Leusden
3833HS,150,,Kuperssingel,Leusden
3833HS,152,,Kuperssingel,Leusden
3833HS,156,,Kuperssingel,Leusden
3833JP,157,,Kuperssingel,Leusden
3833JP,165,,Kuperssingel,Leusden
3833HS,168,,Kuperssingel,Leusden
3833JP,169,,Kuperssingel,Leusden
3833HS,174,,Kuperssingel,Leusden
3833JP,177,,Kuperssingel,Leusden
3833HS,180,,Kuperssingel,Leusden
3833JP,185,,Kuperssingel,Leusden
3833JP,189,,Kuperssingel,Leusden
3833JP,191,,Kuperssingel,Leusden
3833HS,192,,Kuperssingel,Leusden
3833HS,202,,Kuperssingel,Leusden
3833HS,206,,Kuperssingel,Leusden
3831TM,6,,Kwartelhoeve,Leusden
3831TL,9,,Kwartelhoeve,Leusden
3831PJ,79,,Maten,Leusden
3831PJ,85,,Maten,Leusden
3831PJ,97,,Maten,Leusden
3833VP,30,,Roggeland,Leusden
3831SZ,4,,Rondeel,Leusden
3831SX,5,,Rondeel,Leusden
3831SX,7,,Rondeel,Leusden
3831SX,13,,Rondeel,Leusden
3831SZ,16,,Rondeel,Leusden
3831SX,27,,Rondeel,Leusden
3831SZ,30,,Rondeel,Leusden
3831SX,31,,Rondeel,Leusden
3831SZ,36,,Rondeel,Leusden
3831SX,49,,Rondeel,Leusden
3831SZ,54,,Rondeel,Leusden
3831SZ,58,,Rondeel,Leusden
3831SZ,72,,Rondeel,Leusden
3831SX,75,,Rondeel,Leusden
3831SZ,78,,Rondeel,Leusden
3831SZ,104,,Rondeel,Leusden
3831SZ,110,,Rondeel,Leusden
3831SZ,112,,Rondeel,Leusden
3833KA,7,,Rosmolenstraat,Leusden
3833KA,9,,Rosmolenstraat,Leusden
3833KE,10,,Rosmolenstraat,Leusden
3833KA,31,,Rosmolenstraat,Leusden
3833KA,35,,Rosmolenstraat,Leusden
3833KG,38,,Rosmolenstraat,Leusden
3833KG,42,,Rosmolenstraat,Leusden
