3833AN,3,,Kastanjelaan,Leusden
3833VL,30,,Landweg,Leusden
3833VG,207,,Landweg,Leusden
3833VK,303,,Landweg,Leusden
3831RZ,13,,Langesteeg,Leusden
3831SJ,5,,Slaperdijk,Leusden
3834ZK,2,,Trappistenhove,Leusden
3831VN,14,,Travertijn,Leusden
3831VM,43,,Travertijn,Leusden
3832RS,17,,Treekerweg,Leusden
3834ZR,37,,Augustijnenhove,Leusden
3831VV,25,,Azuriet,Leusden
3831ZE,8,,Barbeel,Leusden
3831ZE,32,,Barbeel,Leusden
3831KE,14,,Bedrijfsweg,Leusden
3831JD,26,,Galicië,Leusden
3831PG,47,,Ruige Velddreef,Leusden
3831PG,65,,Ruige Velddreef,Leusden
3831PG,92,,Ruige Velddreef,Leusden
3831PG,126,,Ruige Velddreef,Leusden
3833WE,3,,Ruiterhorst,Leusden
3832GN,62,,Arnhemseweg,Leusden
3832GN,86,,Arnhemseweg,Leusden
3832GK,105,,Arnhemseweg,Leusden
3833BT,6,,Geertrudishof,Leusden
3791AH,39,,Van Oldenbarneveltstraat,Achterveld
3834CC,63,,Pachter,Leusden
3832AM,2,,Van Boetzelaerlaan,Leusden
3831SH,7,,Palissade,Leusden
3831TX,21,,Uilenhoeve,Leusden
3834ZA,5,,Benedictijnenhove,Leusden
3833GP,12,,Hamersveldseweg,Leusden
3832GA,11,,Maanweg,Leusden
3834ZG,34,,Benedictijnenhove,Leusden
3831GJ,40,,Parelduiker,Leusden
3832BG,5,,Leusbroekerweg,Leusden
3831TR,6,,Pauwenhoeve,Leusden
3831WV,67,,Walstro,Leusden
3833GG,29,,Dashorst,Leusden
3834AT,4,,Gildenburg,Leusden
3831GS,10,,Goudplevier,Leusden
3831HS,42,,Grienden,Leusden
3831BB,32,,Ereprijshof,Leusden
3831TJ,1,,Fazantenhoeve,Leusden
3831XK,26,,Lijsterbeslaan,Leusden
3833VJ,261,,Landweg,Leusden
3834ZT,23,,Mariënhove,Leusden
3831JZ,20,,Leusbroekerweg,Leusden
3833AX,20,,Platanenlaan,Leusden
3831GV,23,,Meerkoet,Leusden
3831XS,24,,Meidoornhof,Leusden
3831XS,25,,Meidoornhof,Leusden
3832GG,6,,Molenhoekje,Leusden
3831PK,53,,Nabbert,Leusden
3832ED,5,,Oranjelaan,Leusden
3831EZ,78,,Ardennen,Leusden
3831AR,65,,Hondsdraf,Leusden
3831AD,19,,Henegouwen,Leusden
3833CA,3,,Klaverland,Leusden
3831EH,76,,Dalmatië,Leusden
3832JB,2,,Berg Enk,Leusden
3831NV,1,,De Mulderij,Leusden
3832LC,29,,Gradus van den Hengelstraat,Leusden
3832LE,48,,Wim Vrijhoefstraat,Leusden
3832LD,7,,Reinier Roeststraat,Leusden
3832LC,5,,Gradus van den Hengelstraat,Leusden
3832LR,49,,Rita de Voogdstraat,Leusden
3832CA,3,,Prinses Irenelaan,Leusden
3822KV,34,,Dokter Lantinkstraat,Leusden
3832KV,34,,Dokter Lantinkstraat,Leusden
3832LC,17,,Gradus van den Hengelstraat,Leusden
3833BM,7,,Bavoortseweg,Leusden
3833BZ,1,,Grasdrogerijweg,Leusden
3833BZ,3,,Grasdrogerijweg,Leusden
3833BZ,5,,Grasdrogerijweg,Leusden
3832LE,46,,Wim Vrijhoefstraat,Leusden
3832LE,44,,Wim Vrijhoefstraat,Leusden
