3411VR,6,,Pottenbakker,Lopik
3411BR,9,,President Kennedylaan,Lopik
3411GG,22,,Vrijheidslaan,Lopik
3411GE,35,,Vrijheidslaan,Lopik
3411GE,47,,Vrijheidslaan,Lopik
3411GE,57,,Vrijheidslaan,Lopik
3411WN,9,,Wagenmaker,Lopik
3411WN,14,,Wagenmaker,Lopik
3411ZA,27,,de Weide,Lopik
3411XM,52,,Burgemeester Schumanlaan,Lopik
3411EA,6,,Cabauwsekade,Lopik
3411VJ,2,,Cornelis van Haarlemlaan,Lopik
3411EJ,3,,de Nobelaerweg,Lopik
3411WC,17,,Hooiland,Lopik
3413ML,13,,Engelse Hoek,Jaarsveld
3411EM,17,,Kerklaan,Lopik
3411XG,13,,Emmalaan,Lopik
3411XN,3,,Floris van Egmondstraat,Lopik
3411XN,15,,Floris van Egmondstraat,Lopik
3411NZ,8,,Handelsweg,Lopik
3411ZN,23,,Herman de Manpark,Lopik
3412LB,3,,De Waard,Lopikerkapel
3412LB,4,,De Waard,Lopikerkapel
3412LB,14,,De Waard,Lopikerkapel
3412LB,16,,De Waard,Lopikerkapel
3411ZA,3,,de Weide,Lopik
3411ZA,7,,de Weide,Lopik
3411ZC,10,,de Weide,Lopik
3411ZC,14,,de Weide,Lopik
3411ZC,18,,de Weide,Lopik
3411ZC,20,,de Weide,Lopik
3411ZC,22,,de Weide,Lopik
3411ZA,23,,de Weide,Lopik
3411ZA,25,,de Weide,Lopik
3411ZC,28,,de Weide,Lopik
3411ZA,29,,de Weide,Lopik
3411ZC,30,,de Weide,Lopik
3411ZA,31,,de Weide,Lopik
3411ZB,33,,de Weide,Lopik
3411ZB,35,,de Weide,Lopik
3411ZB,37,,de Weide,Lopik
3411ZC,38,,de Weide,Lopik
3411ZC,40,,de Weide,Lopik
3411ZD,42,,de Weide,Lopik
3411CG,4,,Anjerhof,Lopik
3411JB,47,,Lopikerweg oost,Lopik
3411JH,58,,Lopikerweg oost,Lopik
3411JH,82,,Lopikerweg oost,Lopik
3411JH,88,,Lopikerweg oost,Lopik
3411JD,91,,Lopikerweg oost,Lopik
3412KL,7,,Kapelsepad,Lopikerkapel
3412KL,14,,Kapelsepad,Lopikerkapel
3412KM,27,,Kapelsepad,Lopikerkapel
3412KM,35,,Kapelsepad,Lopikerkapel
3412KM,41,,Kapelsepad,Lopikerkapel
3412KV,19,,Korte Zandpad,Lopikerkapel
3411BV,7,,Reigerhof,Lopik
3411GN,3,,Rietkraag,Lopik
3411GN,12,,Rietkraag,Lopik
3411WH,27,,Rietkraag,Lopik
3411WH,34,,Rietkraag,Lopik
3411WH,50,,Rietkraag,Lopik
3411WH,57,,Rietkraag,Lopik
3411BH,11,,Rolafweg Noord,Lopik
3415PL,30,,Baronieweg,Polsbroek
3415PK,35,,Baronieweg,Polsbroek
3415PK,37,,Baronieweg,Polsbroek
3415PM,42,,Baronieweg,Polsbroek
3415PM,52,,Baronieweg,Polsbroek
3415PM,72,,Baronieweg,Polsbroek
3411MD,15,,3e Industrieweg,Lopik
3411MC,2,,4e Industrieweg,Lopik
3413NE,3,,Adriaan Veerhof,Jaarsveld
3413NE,6,,Adriaan Veerhof,Jaarsveld
3413NE,17,,Adriaan Veerhof,Jaarsveld
3413NE,20,,Adriaan Veerhof,Jaarsveld
3411GZ,2,,Adriaen van Ostadelaan,Lopik
3411GZ,3,,Adriaen van Ostadelaan,Lopik
3405AT,1,,Akkerwinde,Benschop
3411MJ,2,,Ambachtsweg,Lopik
3411MJ,8,,Ambachtsweg,Lopik
3411MJ,9,,Ambachtsweg,Lopik
3411MJ,11,,Ambachtsweg,Lopik
3411CG,2,,Anjerhof,Lopik
3411CE,4,,Churchill-laan,Lopik
3411CE,5,,Churchill-laan,Lopik
3411CE,8,,Churchill-laan,Lopik
3411CE,9,,Churchill-laan,Lopik
3411CE,11,,Churchill-laan,Lopik
3411CE,14,,Churchill-laan,Lopik
