3511DW,545,,Godebaldkwartier,Utrecht
3524ZZ,4,,Goeree,Utrecht
3524ZZ,106,,Goeree,Utrecht
3521TM,52,,Van der Goesstraat,Utrecht
3532XV,7,,J.J.A. Goeverneurstraat,Utrecht
3532XX,10,,J.J.A. Goeverneurstraat,Utrecht
3532XZ,22,,J.J.A. Goeverneurstraat,Utrecht
3532XZ,28,,J.J.A. Goeverneurstraat,Utrecht
3532XZ,30,,J.J.A. Goeverneurstraat,Utrecht
3532XW,33,,J.J.A. Goeverneurstraat,Utrecht
3532XW,39,,J.J.A. Goeverneurstraat,Utrecht
3532XZ,42,,J.J.A. Goeverneurstraat,Utrecht
3532XW,47,,J.J.A. Goeverneurstraat,Utrecht
3524VR,9,,St.-Gotthard,Utrecht
3524VR,31,,St.-Gotthard,Utrecht
3524VT,105,,St.-Gotthard,Utrecht
3555XT,3,1,Goudesteinlaan,Utrecht
3555XW,4,2,Goudesteinlaan,Utrecht
3555XW,6,2,Goudesteinlaan,Utrecht
3555XZ,12,2,Goudesteinlaan,Utrecht
3555XZ,14,2,Goudesteinlaan,Utrecht
3555XT,15,1,Goudesteinlaan,Utrecht
3555XT,17,,Goudesteinlaan,Utrecht
3555XV,19,,Goudesteinlaan,Utrecht
3555XV,23,,Goudesteinlaan,Utrecht
3525AA,3,,'t Goylaan,Utrecht
3525AA,11,,'t Goylaan,Utrecht
3553CP,29,,St.-Ludgerusstraat,Utrecht
3553CT,71,,St.-Ludgerusstraat,Utrecht
3553CT,79,,St.-Ludgerusstraat,Utrecht
3553CT,91,,St.-Ludgerusstraat,Utrecht
3553CV,97,,St.-Ludgerusstraat,Utrecht
3553CV,103,,St.-Ludgerusstraat,Utrecht
3553CV,119,,St.-Ludgerusstraat,Utrecht
3553CV,125,,St.-Ludgerusstraat,Utrecht
3553CW,159,,St.-Ludgerusstraat,Utrecht
3533JW,15,,Rachmaninoffplantsoen,Utrecht
3533JW,18,,Rachmaninoffplantsoen,Utrecht
3533JW,21,,Rachmaninoffplantsoen,Utrecht
3533JW,23,,Rachmaninoffplantsoen,Utrecht
3533JW,26,,Rachmaninoffplantsoen,Utrecht
3533JW,29,,Rachmaninoffplantsoen,Utrecht
3533JX,32,,Rachmaninoffplantsoen,Utrecht
3533JX,34,,Rachmaninoffplantsoen,Utrecht
3533JX,37,,Rachmaninoffplantsoen,Utrecht
3533JX,40,,Rachmaninoffplantsoen,Utrecht
3533JX,43,,Rachmaninoffplantsoen,Utrecht
3533JX,45,,Rachmaninoffplantsoen,Utrecht
3533JX,60,,Rachmaninoffplantsoen,Utrecht
3533VL,15,,Racinelaan,Utrecht
3511CC,3,,Radboudkwartier,Utrecht
3511CM,6,,Radboudkwartier,Utrecht
3511CC,9,,Radboudkwartier,Utrecht
3511CC,13,,Radboudkwartier,Utrecht
3511CC,17,,Radboudkwartier,Utrecht
3511CM,20,,Radboudkwartier,Utrecht
3511CC,23,,Radboudkwartier,Utrecht
3511CJ,205,,Radboudkwartier,Utrecht
3511CK,231,,Radboudkwartier,Utrecht
3511CK,243,,Radboudkwartier,Utrecht
3511CK,279,,Radboudkwartier,Utrecht
3511CK,287,,Radboudkwartier,Utrecht
3511CP,8,,Radboudtraverse,Utrecht
3511CP,14,,Radboudtraverse,Utrecht
3511CP,20,,Radboudtraverse,Utrecht
3564CK,167,,Ramsesdreef,Utrecht
3564CK,175,,Ramsesdreef,Utrecht
3564CK,181,,Ramsesdreef,Utrecht
3564CK,189,,Ramsesdreef,Utrecht
3564CK,195,,Ramsesdreef,Utrecht
3554VZ,11,,Jan van Ransdorpstraat,Utrecht
3554VZ,17,,Jan van Ransdorpstraat,Utrecht
3562HA,3,,Rapenburchdreef,Utrecht
3562HB,6,,Rapenburchdreef,Utrecht
3562HA,9,,Rapenburchdreef,Utrecht
3562HB,12,,Rapenburchdreef,Utrecht
3562HA,15,,Rapenburchdreef,Utrecht
3562HB,18,,Rapenburchdreef,Utrecht
3562HA,21,,Rapenburchdreef,Utrecht
3562HB,56,,Rapenburchdreef,Utrecht
3562HB,68,,Rapenburchdreef,Utrecht
3562HB,74,,Rapenburchdreef,Utrecht
3571HG,2,,Rauwenhofflaan,Utrecht
3571HG,14,,Rauwenhofflaan,Utrecht
3571HG,20,,Rauwenhofflaan,Utrecht
3571HG,26,,Rauwenhofflaan,Utrecht
3571HJ,70,,Rauwenhofflaan,Utrecht
3526RJ,2,,Alexander de Grotelaan,Utrecht
3526RJ,8,,Alexander de Grotelaan,Utrecht
3526RJ,10,,Alexander de Grotelaan,Utrecht
3526RB,17,,Alexander de Grotelaan,Utrecht
3526RJ,20,,Alexander de Grotelaan,Utrecht
3526RJ,22,,Alexander de Grotelaan,Utrecht
3526RJ,28,,Alexander de Grotelaan,Utrecht
3526RJ,30,,Alexander de Grotelaan,Utrecht
3526RJ,46,,Alexander de Grotelaan,Utrecht
3526RB,49,,Alexander de Grotelaan,Utrecht
3526RK,52,,Alexander de Grotelaan,Utrecht
3526RC,57,,Alexander de Grotelaan,Utrecht
3526RK,60,,Alexander de Grotelaan,Utrecht
3526RK,66,,Alexander de Grotelaan,Utrecht
3526RK,68,,Alexander de Grotelaan,Utrecht
3526RK,74,,Alexander de Grotelaan,Utrecht
3526RK,76,,Alexander de Grotelaan,Utrecht
3526RL,88,,Alexander de Grotelaan,Utrecht
3526RL,94,,Alexander de Grotelaan,Utrecht
3526RL,96,,Alexander de Grotelaan,Utrecht
3526RC,99,,Alexander de Grotelaan,Utrecht
3526RD,105,,Alexander de Grotelaan,Utrecht
3526RD,107,,Alexander de Grotelaan,Utrecht
3526RD,113,,Alexander de Grotelaan,Utrecht
3526RL,116,,Alexander de Grotelaan,Utrecht
3526RM,132,,Alexander de Grotelaan,Utrecht
3526RD,135,,Alexander de Grotelaan,Utrecht
3526RM,138,,Alexander de Grotelaan,Utrecht
3526RM,146,,Alexander de Grotelaan,Utrecht
3526RE,149,,Alexander de Grotelaan,Utrecht
3526RM,158,,Alexander de Grotelaan,Utrecht
3526RE,161,,Alexander de Grotelaan,Utrecht
3526RN,164,,Alexander de Grotelaan,Utrecht
3526RN,178,,Alexander de Grotelaan,Utrecht
3526RE,181,,Alexander de Grotelaan,Utrecht
3526RG,189,,Alexander de Grotelaan,Utrecht
3526RN,192,,Alexander de Grotelaan,Utrecht
3526RG,197,,Alexander de Grotelaan,Utrecht
3526RP,202,,Alexander de Grotelaan,Utrecht
3526RP,218,,Alexander de Grotelaan,Utrecht
3526RP,224,,Alexander de Grotelaan,Utrecht
3526RG,227,,Alexander de Grotelaan,Utrecht
3526RG,233,,Alexander de Grotelaan,Utrecht
3526RP,236,,Alexander de Grotelaan,Utrecht
3526JG,672,,Livingstonelaan,Utrecht
3526JG,678,,Livingstonelaan,Utrecht
3526JG,684,,Livingstonelaan,Utrecht
3526JG,690,,Livingstonelaan,Utrecht
3526JG,696,,Livingstonelaan,Utrecht
3526JH,724,,Livingstonelaan,Utrecht
3526JH,730,,Livingstonelaan,Utrecht
3526JJ,736,,Livingstonelaan,Utrecht
3526JJ,742,,Livingstonelaan,Utrecht
3526JJ,748,,Livingstonelaan,Utrecht
3526JJ,754,,Livingstonelaan,Utrecht
3526JJ,760,,Livingstonelaan,Utrecht
3526JJ,766,,Livingstonelaan,Utrecht
3526JJ,772,,Livingstonelaan,Utrecht
3526JJ,778,,Livingstonelaan,Utrecht
3526JK,812,,Livingstonelaan,Utrecht
3562TK,166,,Rhodosdreef,Utrecht
3562TL,172,,Rhodosdreef,Utrecht
3562TL,180,,Rhodosdreef,Utrecht
3562TM,218,,Rhodosdreef,Utrecht
3562TN,226,,Rhodosdreef,Utrecht
3562TN,234,,Rhodosdreef,Utrecht
3562TN,240,,Rhodosdreef,Utrecht
3562TN,248,,Rhodosdreef,Utrecht
3561VA,7,,Rhônedreef,Utrecht
3561VA,15,,Rhônedreef,Utrecht
3512KL,25,,Ridderhofstad,Utrecht
3512KL,31,,Ridderhofstad,Utrecht
3512KL,39,,Ridderhofstad,Utrecht
3523HR,25,1,Ridderlaan,Utrecht
3523HR,27,1,Ridderlaan,Utrecht
3523HR,29,1,Ridderlaan,Utrecht
3523HS,39,1,Ridderlaan,Utrecht
3523HS,41,1,Ridderlaan,Utrecht
3523HS,43,1,Ridderlaan,Utrecht
3523HV,7,1,Ridderplantsoen,Utrecht
3523HV,8,1,Ridderplantsoen,Utrecht
3523HV,9,1,Ridderplantsoen,Utrecht
3523HV,10,1,Ridderplantsoen,Utrecht
3523HW,15,,Ridderplantsoen,Utrecht
3523HW,16,,Ridderplantsoen,Utrecht
3523HW,17,,Ridderplantsoen,Utrecht
3523HW,19,,Ridderplantsoen,Utrecht
3523HX,20,,Ridderplantsoen,Utrecht
3523HX,21,,Ridderplantsoen,Utrecht
3523HX,23,,Ridderplantsoen,Utrecht
3523HX,24,,Ridderplantsoen,Utrecht
3531EJ,40,,Van Riebeeckstraat,Utrecht
3571WB,20,,H.F. van Riellaan,Utrecht
3571WB,23,,H.F. van Riellaan,Utrecht
3571WB,29,,H.F. van Riellaan,Utrecht
3571WB,31,,H.F. van Riellaan,Utrecht
3571WB,37,,H.F. van Riellaan,Utrecht
3571WB,40,,H.F. van Riellaan,Utrecht
3561JZ,4,,Rietheuveldreef,Utrecht
3561JZ,10,,Rietheuveldreef,Utrecht
3561JZ,13,,Rietheuveldreef,Utrecht
3561JZ,19,,Rietheuveldreef,Utrecht
3583ET,5,,Gerrit Rietveldhof,Utrecht
3583ET,15,,Gerrit Rietveldhof,Utrecht
3583ET,21,,Gerrit Rietveldhof,Utrecht
3583ET,57,,Gerrit Rietveldhof,Utrecht
3583EV,63,,Gerrit Rietveldhof,Utrecht
3583EV,75,,Gerrit Rietveldhof,Utrecht
3583EV,79,,Gerrit Rietveldhof,Utrecht
3583EV,85,,Gerrit Rietveldhof,Utrecht
3564VC,88,,Haifadreef,Utrecht
3564VD,96,,Haifadreef,Utrecht
3564VG,144,,Haifadreef,Utrecht
