3514VA,7,,Kievitstraat,Utrecht
3514EC,71,,Nieuwe Koekoekstraat,Utrecht
3531CG,191,,Kanaalstraat,Utrecht
3532BZ,50,,Cremerplein,Utrecht
3532BZ,54,,Cremerplein,Utrecht
3532BZ,57,,Cremerplein,Utrecht
3531KR,95,,Paramaribostraat,Utrecht
3531KR,107,,Paramaribostraat,Utrecht
3531KR,115,,Paramaribostraat,Utrecht
3531KT,66,,Paramaribostraat,Utrecht
3531KT,72,,Paramaribostraat,Utrecht
3532CC,62,,Thomas à Kempisweg,Utrecht
3532CC,70,,Thomas à Kempisweg,Utrecht
3532CD,80,,Thomas à Kempisweg,Utrecht
3532CD,90,,Thomas à Kempisweg,Utrecht
3532CD,104,,Thomas à Kempisweg,Utrecht
3532CD,108,,Thomas à Kempisweg,Utrecht
3532CD,116,,Thomas à Kempisweg,Utrecht
3583EG,71,,Prins Hendriklaan,Utrecht
3583EH,87,,Prins Hendriklaan,Utrecht
3563CK,7,,Braziliëdreef,Utrecht
3563CK,27,,Braziliëdreef,Utrecht
3563CL,61,,Braziliëdreef,Utrecht
3563CL,71,,Braziliëdreef,Utrecht
3563CL,81,,Braziliëdreef,Utrecht
3512TX,134,,Breedstraat,Utrecht
3524BN,106,,Brennerbaan,Utrecht
3524RN,51,,Bretagne,Utrecht
3523CG,40,,Briljantlaan,Utrecht
3523CG,60,,Briljantlaan,Utrecht
3522EV,2,,Geinplantsoen,Utrecht
3526KZ,4,,Gelderlantlaan,Utrecht
3532XR,10,,P.A. de Genestetstraat,Utrecht
3532XS,30,,P.A. de Genestetstraat,Utrecht
3532XS,40,,P.A. de Genestetstraat,Utrecht
3532XL,53,,P.A. de Genestetstraat,Utrecht
3522KB,11,,Giessenplein,Utrecht
3522KC,22,,Giessenplein,Utrecht
3526JK,818,,Livingstonelaan,Utrecht
3526JL,844,,Livingstonelaan,Utrecht
3526JL,862,,Livingstonelaan,Utrecht
3526JM,908,,Livingstonelaan,Utrecht
3526JM,932,,Livingstonelaan,Utrecht
3526JN,990,,Livingstonelaan,Utrecht
3526JP,1016,,Livingstonelaan,Utrecht
3526JP,1040,,Livingstonelaan,Utrecht
3526JR,1084,,Livingstonelaan,Utrecht
3526JR,1108,,Livingstonelaan,Utrecht
3526JS,1126,,Livingstonelaan,Utrecht
3526JT,1176,,Livingstonelaan,Utrecht
3526JT,1200,,Livingstonelaan,Utrecht
3526JV,1218,,Livingstonelaan,Utrecht
3584AE,6,,Liviuslaan,Utrecht
3527KA,11,,Loderlaan,Utrecht
3512JP,20,,Achter de Dom,Utrecht
3512JP,26,,Achter de Dom,Utrecht
3512KT,2,,Achterom,Utrecht
3512KT,20,,Achterom,Utrecht
3512HP,5,,Achter St.-Pieter,Utrecht
3512HP,13,,Achter St.-Pieter,Utrecht
3512HR,19,,Achter St.-Pieter,Utrecht
3512HR,23,,Achter St.-Pieter,Utrecht
3512VL,6,BS,1e Achterstraat,Utrecht
3555GH,102,1,Minister Talmastraat,Utrecht
3555GG,107,,Minister Talmastraat,Utrecht
3555GJ,124,1,Minister Talmastraat,Utrecht
3555GJ,132,,Minister Talmastraat,Utrecht
3555GG,175,,Minister Talmastraat,Utrecht
3563HZ,5,,Tampicodreef,Utrecht
3561HE,8,,Tannhäuserdreef,Utrecht
3564GG,360,,St.-Eustatiusdreef,Utrecht
3564GG,378,,St.-Eustatiusdreef,Utrecht
3561CW,48,,Euterpedreef,Utrecht
3561CW,58,,Euterpedreef,Utrecht
3561CZ,83,,Euterpedreef,Utrecht
3561CZ,93,,Euterpedreef,Utrecht
3571NR,40,,Van Everdingenlaan,Utrecht
3524TP,145,,Graafschap,Utrecht
3572TZ,15,1,Griftkade,Utrecht
