67,1017LL,Reguliersgracht,Amsterdam
128,1017GP,Kerkstraat,Amsterdam
4,1012TA,Koggestraat,Amsterdam
6,1012TA,Koggestraat,Amsterdam
87,1012VG,Singel,Amsterdam
9,1012TE,Lijnbaanssteeg,Amsterdam
12,1012AX,Zeedijk,Amsterdam
3,1012AK,Sint Olofssteeg,Amsterdam
5,1012AK,Sint Olofssteeg,Amsterdam
7,1012AK,Sint Olofssteeg,Amsterdam
9,1012AK,Sint Olofssteeg,Amsterdam
11,1012AK,Sint Olofssteeg,Amsterdam
13,1012AK,Sint Olofssteeg,Amsterdam
15,1012AK,Sint Olofssteeg,Amsterdam
17,1012AK,Sint Olofssteeg,Amsterdam
19,1012AK,Sint Olofssteeg,Amsterdam
21,1012AK,Sint Olofssteeg,Amsterdam
23,1012AK,Sint Olofssteeg,Amsterdam
48,1012BA,Zeedijk,Amsterdam
50,1012BA,Zeedijk,Amsterdam
52,1012BA,Zeedijk,Amsterdam
53,1012AR,Zeedijk,Amsterdam
5,1012BJ,Waterpoortsteeg,Amsterdam
10,1012BH,Geldersekade,Amsterdam
4,1012GP,Oudezijds Armsteeg,Amsterdam
25,1012HV,Warmoesstraat,Amsterdam
27,1012HV,Warmoesstraat,Amsterdam
29,1012HV,Warmoesstraat,Amsterdam
35,1012HV,Warmoesstraat,Amsterdam
37,1012HV,Warmoesstraat,Amsterdam
39,1012HV,Warmoesstraat,Amsterdam
41,1012HV,Warmoesstraat,Amsterdam
43,1012HV,Warmoesstraat,Amsterdam
5,1012GR,Heintje Hoekssteeg,Amsterdam
7,1012GR,Heintje Hoekssteeg,Amsterdam
9,1012GR,Heintje Hoekssteeg,Amsterdam
11,1012GR,Heintje Hoekssteeg,Amsterdam
13,1012GR,Heintje Hoekssteeg,Amsterdam
23,1012GR,Heintje Hoekssteeg,Amsterdam
25,1012GR,Heintje Hoekssteeg,Amsterdam
27,1012GR,Heintje Hoekssteeg,Amsterdam
31,1012GR,Heintje Hoekssteeg,Amsterdam
171,1012DJ,Oudezijds Achterburgwal,Amsterdam
34,1011CC,Oude Waal,Amsterdam
135,1013KG,Haarlemmerdijk,Amsterdam
107,1015JK,Goudsbloemstraat,Amsterdam
10,1015MX,Noordermarkt,Amsterdam
55,1015GS,Lijnbaansgracht,Amsterdam
10,1015TA,Eerste Leliedwarsstraat,Amsterdam
12,1015TA,Eerste Leliedwarsstraat,Amsterdam
90,1015TM,Bloemgracht,Amsterdam
140,1016LJ,Bloemstraat,Amsterdam
3,1018MS,Louise Wentstraat,Amsterdam
15,1018AC,Kadijksplein,Amsterdam
16,1018AC,Kadijksplein,Amsterdam
266,1035RN,Meteorenweg,Amsterdam
283,1054HW,Overtoom,Amsterdam
7,1094RD,Halmaheirastraat,Amsterdam
9,1094RD,Halmaheirastraat,Amsterdam
11,1094RD,Halmaheirastraat,Amsterdam
13,1094RD,Halmaheirastraat,Amsterdam
15,1094RE,Halmaheirastraat,Amsterdam
17,1094RE,Halmaheirastraat,Amsterdam
19,1094RE,Halmaheirastraat,Amsterdam
122,1094BV,Molukkenstraat,Amsterdam
55,1019JC,Entrepotbrug,Amsterdam
57,1019JC,Entrepotbrug,Amsterdam
59,1019JC,Entrepotbrug,Amsterdam
61,1019JC,Entrepotbrug,Amsterdam
63,1019JC,Entrepotbrug,Amsterdam
65,1019JD,Entrepotbrug,Amsterdam
67,1019JD,Entrepotbrug,Amsterdam
69,1019JD,Entrepotbrug,Amsterdam
71,1019JD,Entrepotbrug,Amsterdam
73,1019JD,Entrepotbrug,Amsterdam
75,1019JD,Entrepotbrug,Amsterdam
77,1019JD,Entrepotbrug,Amsterdam
79,1019JE,Entrepotbrug,Amsterdam
81,1019JE,Entrepotbrug,Amsterdam
83,1019JE,Entrepotbrug,Amsterdam
85,1019JE,Entrepotbrug,Amsterdam
87,1019JE,Entrepotbrug,Amsterdam
89,1019JE,Entrepotbrug,Amsterdam
91,1019JE,Entrepotbrug,Amsterdam
93,1019JE,Entrepotbrug,Amsterdam
95,1019JE,Entrepotbrug,Amsterdam
97,1019JE,Entrepotbrug,Amsterdam
99,1019JG,Entrepotbrug,Amsterdam
101,1019JG,Entrepotbrug,Amsterdam
103,1019JG,Entrepotbrug,Amsterdam
105,1019JG,Entrepotbrug,Amsterdam
