1018DJ,84,1,Plantage Middenlaan,Amsterdam
1017JN,858,,Prinsengracht,Amsterdam
1015AJ,180,H,Singel,Amsterdam
1017JG,1077,,Prinsengracht,Amsterdam
1017DX,727,,Keizersgracht,Amsterdam
1017XT,118,2,Weteringschans,Amsterdam
1015NH,42,,Anjeliersstraat,Amsterdam
1015NH,44,,Anjeliersstraat,Amsterdam
1011HS,45,,Groenburgwal,Amsterdam
1015KT,42,1,Tichelstraat,Amsterdam
1017SG,28,,Weteringschans,Amsterdam
1073VN,8,,Tweede Jan Steenstraat,Amsterdam
1017CJ,596,H,Herengracht,Amsterdam
1062JB,252,,Voorburgstraat,Amsterdam
1062HP,11,,Delflandplein,Amsterdam
1066WZ,11,,Dilbeekpad,Amsterdam
1018XX,2,,Nieuwe Achtergracht,Amsterdam
1018XX,4,,Nieuwe Achtergracht,Amsterdam
1018XX,6,,Nieuwe Achtergracht,Amsterdam
1092CE,4,1,Kastanjeweg,Amsterdam
1082LW,155,,Gelderlandplein,Amsterdam
1081JX,50,,Doornburg,Amsterdam
1081JX,52,,Doornburg,Amsterdam
1081JX,54,,Doornburg,Amsterdam
1081JX,56,,Doornburg,Amsterdam
1081JX,58,,Doornburg,Amsterdam
1081JX,60,,Doornburg,Amsterdam
1081JX,62,,Doornburg,Amsterdam
1081JX,64,,Doornburg,Amsterdam
1081JX,66,,Doornburg,Amsterdam
1081JX,68,,Doornburg,Amsterdam
1081JX,70,,Doornburg,Amsterdam
1081JX,72,,Doornburg,Amsterdam
1081JX,74,,Doornburg,Amsterdam
1015RK,221,,Egelantiersgracht,Amsterdam
1072CR,115,,Albert Cuypstraat,Amsterdam
1081JX,69,,Doornburg,Amsterdam
1081JX,71,,Doornburg,Amsterdam
1081JX,73,,Doornburg,Amsterdam
1081JX,75,,Doornburg,Amsterdam
1081JX,77,,Doornburg,Amsterdam
1015DS,183,4,Prinsengracht,Amsterdam
1052HR,137,,Frederik Hendrikstraat,Amsterdam
1052HR,139,,Frederik Hendrikstraat,Amsterdam
1052HR,141,,Frederik Hendrikstraat,Amsterdam
1052HS,143,,Frederik Hendrikstraat,Amsterdam
1052HS,145,,Frederik Hendrikstraat,Amsterdam
1062HP,31,,Delflandplein,Amsterdam
1052HS,155,,Frederik Hendrikstraat,Amsterdam
1052KR,22,,Eerste Hugo de Grootstraat,Amsterdam
1052KR,24,,Eerste Hugo de Grootstraat,Amsterdam
1052KR,26,,Eerste Hugo de Grootstraat,Amsterdam
1052KR,28,,Eerste Hugo de Grootstraat,Amsterdam
1052KR,30,,Eerste Hugo de Grootstraat,Amsterdam
1052HS,147,,Frederik Hendrikstraat,Amsterdam
1052HS,149,,Frederik Hendrikstraat,Amsterdam
1052HS,151,,Frederik Hendrikstraat,Amsterdam
1052HS,153,,Frederik Hendrikstraat,Amsterdam
1052KR,36,,Eerste Hugo de Grootstraat,Amsterdam
1052HK,47,,Frederik Hendrikstraat,Amsterdam
1052HK,49,,Frederik Hendrikstraat,Amsterdam
1052HK,51,,Frederik Hendrikstraat,Amsterdam
1052HK,53,,Frederik Hendrikstraat,Amsterdam
1052HK,55,,Frederik Hendrikstraat,Amsterdam
1052HK,57,,Frederik Hendrikstraat,Amsterdam
