1073CG,274,1,Govert Flinckstraat,Amsterdam
1016GH,4,H,Berenstraat,Amsterdam
1016GH,4,1,Berenstraat,Amsterdam
1016GH,4,2,Berenstraat,Amsterdam
1016GH,4,3,Berenstraat,Amsterdam
1073VG,33,4,Tweede Jan van der Heijdenstraat,Amsterdam
1079DP,65,4,Waalstraat,Amsterdam
1057CZ,307,H,Hoofdweg,Amsterdam
1057CZ,307,1,Hoofdweg,Amsterdam
1012WN,393,2,Singel,Amsterdam
1012VJ,135,1,Singel,Amsterdam
1012VJ,135,3,Singel,Amsterdam
1016RX,55,,Elandsstraat,Amsterdam
1051AP,192,1,De Wittenkade,Amsterdam
1054DJ,46,2,Eerste Helmersstraat,Amsterdam
1054DJ,46,3,Eerste Helmersstraat,Amsterdam
1018GB,115,3A,Sarphatistraat,Amsterdam
1018GB,115,3V,Sarphatistraat,Amsterdam
1076BP,118,3,Stadionkade,Amsterdam
1076BP,118,4,Stadionkade,Amsterdam
1016AB,214,1,Singel,Amsterdam
1016PZ,24,H,Eerste Laurierdwarsstraat,Amsterdam
1016PZ,24,1,Eerste Laurierdwarsstraat,Amsterdam
1016PZ,24,2,Eerste Laurierdwarsstraat,Amsterdam
1016PZ,24,3,Eerste Laurierdwarsstraat,Amsterdam
1012EH,19,1,Oudezijds Voorburgwal,Amsterdam
1013LD,8,H,Zoutkeetsplein,Amsterdam
1013LD,8,2,Zoutkeetsplein,Amsterdam
1013LD,8,3,Zoutkeetsplein,Amsterdam
1017WJ,124,3,Utrechtsedwarsstraat,Amsterdam
1011BK,31,2,Binnenkant,Amsterdam
1011BK,31,3,Binnenkant,Amsterdam
1018EJ,55,H,Amstel,Amsterdam
1018EJ,55,1,Amstel,Amsterdam
1018EJ,55,2,Amstel,Amsterdam
1017SM,41,2,Weteringstraat,Amsterdam
1017AX,520,1,Singel,Amsterdam
1016AK,416,H,Singel,Amsterdam
1012EX,223,HA,Oudezijds Voorburgwal,Amsterdam
