1103DL,17,,Catharina van Tussenbroekstraat,Amsterdam
1103DP,1,,M. Berdenis van Berlekomstraat,Amsterdam
1103DP,3,,M. Berdenis van Berlekomstraat,Amsterdam
1103DP,5,,M. Berdenis van Berlekomstraat,Amsterdam
1103DP,7,,M. Berdenis van Berlekomstraat,Amsterdam
1103DP,9,,M. Berdenis van Berlekomstraat,Amsterdam
1103DP,11,,M. Berdenis van Berlekomstraat,Amsterdam
1103DP,13,,M. Berdenis van Berlekomstraat,Amsterdam
1103DP,15,,M. Berdenis van Berlekomstraat,Amsterdam
1053AP,6,4,Agatha Dekenstraat,Amsterdam
1103DS,758,,Bijlmerdreef,Amsterdam
1103DS,760,,Bijlmerdreef,Amsterdam
1103DS,762,,Bijlmerdreef,Amsterdam
1103DS,764,,Bijlmerdreef,Amsterdam
1103DS,766,,Bijlmerdreef,Amsterdam
1103DS,768,,Bijlmerdreef,Amsterdam
1103DS,770,,Bijlmerdreef,Amsterdam
1103DS,772,,Bijlmerdreef,Amsterdam
1103DS,774,,Bijlmerdreef,Amsterdam
1103DS,776,,Bijlmerdreef,Amsterdam
1103DS,778,,Bijlmerdreef,Amsterdam
1103DS,780,,Bijlmerdreef,Amsterdam
1103DS,782,,Bijlmerdreef,Amsterdam
1103DS,784,,Bijlmerdreef,Amsterdam
1103DS,786,,Bijlmerdreef,Amsterdam
1093JV,36,H,Oetewalerstraat,Amsterdam
1015SZ,25,,Eerste Leliedwarsstraat,Amsterdam
1015SZ,27,,Eerste Leliedwarsstraat,Amsterdam
1019AD,87,,Zeeburgerpad,Amsterdam
1019AD,88,,Zeeburgerpad,Amsterdam
1019AD,89,,Zeeburgerpad,Amsterdam
1015TH,10,,Bloemgracht,Amsterdam
1078EE,4,4,Churchill-laan,Amsterdam
1071SW,53,,Reijnier Vinkeleskade,Amsterdam
1071WH,32,,Joh.M. Coenenstraat,Amsterdam
1071WH,34,,Joh.M. Coenenstraat,Amsterdam
1071WH,36,,Joh.M. Coenenstraat,Amsterdam
1071WH,38,,Joh.M. Coenenstraat,Amsterdam
1071WH,40,,Joh.M. Coenenstraat,Amsterdam
1071WH,42,,Joh.M. Coenenstraat,Amsterdam
1071WH,44,,Joh.M. Coenenstraat,Amsterdam
1071WH,46,,Joh.M. Coenenstraat,Amsterdam
1071WH,48,,Joh.M. Coenenstraat,Amsterdam
1071WH,50,,Joh.M. Coenenstraat,Amsterdam
1071WH,52,,Joh.M. Coenenstraat,Amsterdam
1071WH,54,,Joh.M. Coenenstraat,Amsterdam
1071WH,56,,Joh.M. Coenenstraat,Amsterdam
1071WH,58,,Joh.M. Coenenstraat,Amsterdam
1071WH,60,,Joh.M. Coenenstraat,Amsterdam
1071WH,62,,Joh.M. Coenenstraat,Amsterdam
1071WH,64,,Joh.M. Coenenstraat,Amsterdam
1071WH,66,,Joh.M. Coenenstraat,Amsterdam
1074VR,117,4,Pieter Aertszstraat,Amsterdam
1011ES,3,H,Koningsstraat,Amsterdam
1011ES,3,1,Koningsstraat,Amsterdam
1075TE,6,4,Sluisstraat,Amsterdam
1103BK,15,,Gulden Kruis,Amsterdam
1103BK,16,,Gulden Kruis,Amsterdam
