1076DE,44,,Olympisch Stadion,Amsterdam
1058JA,76,H,Jacob Marisstraat,Amsterdam
1058JA,76,1,Jacob Marisstraat,Amsterdam
1074VD,266,1,Lutmastraat,Amsterdam
1074BM,35,4,Hemonystraat,Amsterdam
1074CA,297,H,Govert Flinckstraat,Amsterdam
1072GM,318,3V,Ceintuurbaan,Amsterdam
1072GM,318,3A,Ceintuurbaan,Amsterdam
1091CW,78,4,Blasiusstraat,Amsterdam
1091TN,2,4,Overamstelstraat,Amsterdam
1071GG,22,1,Van Eeghenstraat,Amsterdam
1071BR,107,3,Pieter Cornelisz. Hooftstraat,Amsterdam
1091CB,20,H,Ruyschstraat,Amsterdam
1074AZ,137,H,Stadhouderskade,Amsterdam
1074AZ,137,1,Stadhouderskade,Amsterdam
1074AZ,137,2,Stadhouderskade,Amsterdam
1073LL,12,3,Van Woustraat,Amsterdam
1093KB,35,,Van der Vijverstraat,Amsterdam
1093KB,37,,Van der Vijverstraat,Amsterdam
1093KB,41,,Van der Vijverstraat,Amsterdam
1093KB,45,,Van der Vijverstraat,Amsterdam
1093KB,33,,Van der Vijverstraat,Amsterdam
1016GX,311,,Prinsengracht,Amsterdam
1091PE,13,,Kraaipanstraat,Amsterdam
1072TM,101,H,Eerste Jan van der Heijdenstraat,Amsterdam
1074AV,126,1,Stadhouderskade,Amsterdam
1074AV,126,3,Stadhouderskade,Amsterdam
1074BH,14,H,Hemonylaan,Amsterdam
1074BH,14,1,Hemonylaan,Amsterdam
1074BH,14,2,Hemonylaan,Amsterdam
1072VC,140,4,Eerste Jan van der Heijdenstraat,Amsterdam
1072LL,48,4,Ferdinand Bolstraat,Amsterdam
1075GM,270,3,Valeriusstraat,Amsterdam
1071HA,187,1,Willemsparkweg,Amsterdam
1071HA,187,3,Willemsparkweg,Amsterdam
1076LP,27,,Agamemnonstraat,Amsterdam
1075RT,11,H,Baarsstraat,Amsterdam
1071RC,70,1,Nicolaas Maesstraat,Amsterdam
1075CM,145,3,Koninginneweg,Amsterdam
1071PJ,104,1,De Lairessestraat,Amsterdam
1071PJ,104,3,De Lairessestraat,Amsterdam
1017AL,252,,Amstel,Amsterdam
1013HA,136,,Brouwersgracht,Amsterdam
1015GG,159,,Brouwersgracht,Amsterdam
1013JJ,130,,Haarlemmerdijk,Amsterdam
1013JJ,132,,Haarlemmerdijk,Amsterdam
1013JJ,134,,Haarlemmerdijk,Amsterdam
1013ER,18,,Haarlemmerstraat,Amsterdam
1017BR,441,,Herengracht,Amsterdam
1017BB,15,,Koningsplein,Amsterdam
1017PV,29,,Korte Leidsedwarsstraat,Amsterdam
1017PV,3,1,Korte Leidsedwarsstraat,Amsterdam
1017PW,33,,Korte Leidsedwarsstraat,Amsterdam
1017PW,35,,Korte Leidsedwarsstraat,Amsterdam
1011MV,1,,Markenplein,Amsterdam
1015WZ,3,,Nieuwe Egelantiersstraat,Amsterdam
1018NA,23,,Oostenburgergracht,Amsterdam
1016XZ,98,,Passeerdersstraat,Amsterdam
1015NR,16,,Eerste Anjeliersdwarsstraat,Amsterdam
1015KT,30,,Tichelstraat,Amsterdam
1012CM,7,,Slijkstraat,Amsterdam
1016HE,236,,Prinsengracht,Amsterdam
1017NL,12,,Lange Leidsedwarsstraat,Amsterdam
1017NL,14,,Lange Leidsedwarsstraat,Amsterdam
1017NL,16,,Lange Leidsedwarsstraat,Amsterdam
1017NL,18,,Lange Leidsedwarsstraat,Amsterdam
1017NL,30,,Lange Leidsedwarsstraat,Amsterdam
1017NL,32,,Lange Leidsedwarsstraat,Amsterdam
1017NL,34,,Lange Leidsedwarsstraat,Amsterdam
1017NL,36,,Lange Leidsedwarsstraat,Amsterdam
1015ZL,109,,Marnixkade,Amsterdam
1015HN,74,,Palmgracht,Amsterdam
1015SC,22,,Tweede Egelantiersdwarsstraat,Amsterdam
1016VN,3,,Tweede Looiersdwarsstraat,Amsterdam
1067KK,150,H,Nolensstraat,Amsterdam
1075AD,22,,Koningslaan,Amsterdam
1075AD,24,,Koningslaan,Amsterdam
1025GB,308,,Buikslotermeerplein,Amsterdam
1033RZ,21,,Displaystraat,Amsterdam
1033RZ,23,,Displaystraat,Amsterdam
1032KK,17,,Klaprozenweg,Amsterdam
1032KX,72,,Klaprozenweg,Amsterdam
1032KX,74,,Klaprozenweg,Amsterdam
1032KX,76,,Klaprozenweg,Amsterdam
1023BV,356,,Nieuwendammerdijk,Amsterdam
1032KX,78,,Klaprozenweg,Amsterdam
1032KX,80,,Klaprozenweg,Amsterdam
1032KX,82,,Klaprozenweg,Amsterdam
1032KX,84,,Klaprozenweg,Amsterdam
1032KX,86,,Klaprozenweg,Amsterdam
1032KX,88,,Klaprozenweg,Amsterdam
1032KX,90,,Klaprozenweg,Amsterdam
1032KX,92,,Klaprozenweg,Amsterdam
1032KX,94,,Klaprozenweg,Amsterdam
1032KX,98,,Klaprozenweg,Amsterdam
1032KX,100,,Klaprozenweg,Amsterdam
1032KX,102,,Klaprozenweg,Amsterdam
1032KX,104,,Klaprozenweg,Amsterdam
1032KX,106,,Klaprozenweg,Amsterdam
1032KX,108,,Klaprozenweg,Amsterdam
1032KX,110,,Klaprozenweg,Amsterdam
1032KX,112,,Klaprozenweg,Amsterdam
1032KX,114,,Klaprozenweg,Amsterdam
1032KX,116,,Klaprozenweg,Amsterdam
1032KX,118,,Klaprozenweg,Amsterdam
1032KX,120,,Klaprozenweg,Amsterdam
1032KX,122,,Klaprozenweg,Amsterdam
1032KX,124,,Klaprozenweg,Amsterdam
1032KX,126,,Klaprozenweg,Amsterdam
1032KX,128,,Klaprozenweg,Amsterdam
1032KX,130,,Klaprozenweg,Amsterdam
1032KX,132,,Klaprozenweg,Amsterdam
1032KX,134,,Klaprozenweg,Amsterdam
1032KX,136,,Klaprozenweg,Amsterdam
1032KX,138,,Klaprozenweg,Amsterdam
1032KX,140,,Klaprozenweg,Amsterdam
1032KX,142,,Klaprozenweg,Amsterdam
1032KX,144,,Klaprozenweg,Amsterdam
1032KX,146,,Klaprozenweg,Amsterdam
1032KX,152,,Klaprozenweg,Amsterdam
1032KX,154,,Klaprozenweg,Amsterdam
