1093JS,18,1,Oetewalerstraat,Amsterdam
1096HR,299,,Omval,Amsterdam
1033KP,50,,Pruimenstraat,Amsterdam
1091ED,32,,Weesperzijde,Amsterdam
1092TJ,453,,Vrolikstraat,Amsterdam
1071JB,29,1,Emmastraat,Amsterdam
1071JB,29,3,Emmastraat,Amsterdam
1033LM,16,,Amandelstraat,Amsterdam
1033KA,12,,Abrikozenstraat,Amsterdam
1033KC,44,,Abrikozenstraat,Amsterdam
1072AC,61,1,Stadhouderskade,Amsterdam
1072AC,61,2,Stadhouderskade,Amsterdam
1072AC,61,3,Stadhouderskade,Amsterdam
1072AC,61,4,Stadhouderskade,Amsterdam
1077MJ,43,,Rubensstraat,Amsterdam
1091EW,1,,Mauritskade,Amsterdam
1091XV,17,,Danie Theronstraat,Amsterdam
1091XV,19,,Danie Theronstraat,Amsterdam
1091XV,13,,Danie Theronstraat,Amsterdam
1091XV,15,,Danie Theronstraat,Amsterdam
1091LM,90,,Schalk Burgerstraat,Amsterdam
1091LM,114,,Schalk Burgerstraat,Amsterdam
1091LM,122,,Schalk Burgerstraat,Amsterdam
1033KM,24,,Pruimenstraat,Amsterdam
1071AS,73,3,Van Baerlestraat,Amsterdam
1058JB,90,,Jacob Marisstraat,Amsterdam
1077AN,107,2,Apollolaan,Amsterdam
1077AN,107,3,Apollolaan,Amsterdam
1033KN,30,,Pruimenstraat,Amsterdam
1033KN,40,,Pruimenstraat,Amsterdam
1033KP,44,,Pruimenstraat,Amsterdam
1033LN,20,,Amandelstraat,Amsterdam
1033LN,23,,Amandelstraat,Amsterdam
1033KC,40,,Abrikozenstraat,Amsterdam
1033KE,82,,Abrikozenstraat,Amsterdam
1031VE,3,,Geraniumweg,Amsterdam
1031VE,5,,Geraniumweg,Amsterdam
1031VE,7,,Geraniumweg,Amsterdam
1031VE,9,,Geraniumweg,Amsterdam
1031VE,13,,Geraniumweg,Amsterdam
1031VE,15,,Geraniumweg,Amsterdam
1031VE,17,,Geraniumweg,Amsterdam
1031TZ,35,,Heimansweg,Amsterdam
1031TZ,37,,Heimansweg,Amsterdam
1031TZ,39,,Heimansweg,Amsterdam
1031TZ,45,,Heimansweg,Amsterdam
1031VD,1,,Magnoliastraat,Amsterdam
1031VD,3,,Magnoliastraat,Amsterdam
1031VD,5,,Magnoliastraat,Amsterdam
1031VD,7,,Magnoliastraat,Amsterdam
1031VD,9,,Magnoliastraat,Amsterdam
1031VD,11,,Magnoliastraat,Amsterdam
1031VD,13,,Magnoliastraat,Amsterdam
1031VD,15,,Magnoliastraat,Amsterdam
1031VD,17,,Magnoliastraat,Amsterdam
1033LC,2,,Mandarijnenstraat,Amsterdam
1033LC,4,,Mandarijnenstraat,Amsterdam
1033LC,6,,Mandarijnenstraat,Amsterdam
1033LC,8,,Mandarijnenstraat,Amsterdam
1033LC,10,,Mandarijnenstraat,Amsterdam
1033LC,12,,Mandarijnenstraat,Amsterdam
1033SZ,1,,Meloenenstraat,Amsterdam
1033SZ,2,,Meloenenstraat,Amsterdam
1033SZ,3,,Meloenenstraat,Amsterdam
1033SZ,4,,Meloenenstraat,Amsterdam
1033SZ,5,,Meloenenstraat,Amsterdam
1033SZ,6,,Meloenenstraat,Amsterdam
1033SZ,7,,Meloenenstraat,Amsterdam
1033SZ,8,,Meloenenstraat,Amsterdam
1077HN,43,,Beethovenstraat,Amsterdam
1033SZ,9,,Meloenenstraat,Amsterdam
1033SZ,10,,Meloenenstraat,Amsterdam
1033SZ,11,,Meloenenstraat,Amsterdam
1033SZ,12,,Meloenenstraat,Amsterdam
1033TV,1,,Tomatenstraat,Amsterdam
1033TV,2,,Tomatenstraat,Amsterdam
1033TV,3,,Tomatenstraat,Amsterdam
1033TV,4,,Tomatenstraat,Amsterdam
1033TV,5,,Tomatenstraat,Amsterdam
1033TV,6,,Tomatenstraat,Amsterdam
1033TV,7,,Tomatenstraat,Amsterdam
1033TV,8,,Tomatenstraat,Amsterdam
1033TW,9,,Tomatenstraat,Amsterdam
1033TW,10,,Tomatenstraat,Amsterdam
1033TW,11,,Tomatenstraat,Amsterdam
1033TW,12,,Tomatenstraat,Amsterdam
1033TW,13,,Tomatenstraat,Amsterdam
1033TW,14,,Tomatenstraat,Amsterdam
1033TW,15,,Tomatenstraat,Amsterdam
1033TW,16,,Tomatenstraat,Amsterdam
1031XS,19,,Ranonkelkade,Amsterdam
1031XS,21,,Ranonkelkade,Amsterdam
1031XS,20,,Ranonkelkade,Amsterdam
1031XS,22,,Ranonkelkade,Amsterdam
1031XS,23,,Ranonkelkade,Amsterdam
1031XS,24,,Ranonkelkade,Amsterdam
1031XS,25,,Ranonkelkade,Amsterdam
1031XS,26,,Ranonkelkade,Amsterdam
1031XS,27,,Ranonkelkade,Amsterdam
1031XT,28,,Ranonkelkade,Amsterdam
1093RT,113,2,Mauritskade,Amsterdam
1028BG,36,,Uitdammerdijk,Amsterdam
1093KG,9,,Hajo Brugmanshof,Amsterdam
1093KA,1,,Van der Vijverstraat,Amsterdam
1093KA,7,,Van der Vijverstraat,Amsterdam
1093KB,47,,Van der Vijverstraat,Amsterdam
1093KD,22,,Van der Vijverstraat,Amsterdam
1093KD,38,,Van der Vijverstraat,Amsterdam
