1094GM,24,1,Madurastraat,Amsterdam
1019BN,46,H,Oostelijke Handelskade,Amsterdam
1015RM,66,,Egelantiersgracht,Amsterdam
1012EL,77,,Oudezijds Voorburgwal,Amsterdam
1018VV,78,5,Nieuwe Prinsengracht,Amsterdam
1082MA,74,,Gustav Mahlerplein,Amsterdam
1015AK,21,,Langestraat,Amsterdam
1052CV,86,H,Nassaukade,Amsterdam
1017RT,18,,Zieseniskade,Amsterdam
1076LM,58,H,Amazonenstraat,Amsterdam
1075TL,12,H,Derde Schinkelstraat,Amsterdam
1075CL,137,H,Koninginneweg,Amsterdam
1075CL,137,1,Koninginneweg,Amsterdam
1015GS,58,H,Lijnbaansgracht,Amsterdam
1015GS,58,4,Lijnbaansgracht,Amsterdam
1091AC,2,H,Oosterpark,Amsterdam
1083HM,2,,Tommaso Albinonistraat,Amsterdam
1017DR,575,,Keizersgracht,Amsterdam
1017DR,569,,Keizersgracht,Amsterdam
1017RG,33,,Leidsekruisstraat,Amsterdam
1017RG,35,,Leidsekruisstraat,Amsterdam
1017RD,54,,Korte Leidsedwarsstraat,Amsterdam
1094HM,100,4,Javastraat,Amsterdam
1012HZ,85,,Warmoesstraat,Amsterdam
1016DH,1,2,Westermarkt,Amsterdam
1018VL,155,4,Nieuwe Kerkstraat,Amsterdam
1017LN,95,,Reguliersgracht,Amsterdam
1015NB,4,,Noorderkerkstraat,Amsterdam
1016DD,43,2,Raadhuisstraat,Amsterdam
1017ST,59,,Tweede Weteringdwarsstraat,Amsterdam
1017SV,61,,Tweede Weteringdwarsstraat,Amsterdam
1017WE,119,,Utrechtsedwarsstraat,Amsterdam
1056NV,287,4,Orteliusstraat,Amsterdam
1056RK,74,2,Mercatorstraat,Amsterdam
1057GD,100,H,Admiralengracht,Amsterdam
1012XS,44,H,Heiligeweg,Amsterdam
1012XS,44,1,Heiligeweg,Amsterdam
1012XS,44,2,Heiligeweg,Amsterdam
1012XS,36,,Heiligeweg,Amsterdam
1012XM,24,,Handboogstraat,Amsterdam
1012MT,176,,Nieuwendijk,Amsterdam
1081LA,3000,,Gustav Mahlerlaan,Amsterdam
1081LA,3002,,Gustav Mahlerlaan,Amsterdam
1081LA,3004,,Gustav Mahlerlaan,Amsterdam
1012RN,20,3,Wijdesteeg,Amsterdam
1018DS,46,4,Nieuwe Keizersgracht,Amsterdam
1091CT,42,,Blasiusstraat,Amsterdam
1071BE,136,2,Van Baerlestraat,Amsterdam
1071BC,118,4,Van Baerlestraat,Amsterdam
1071WR,10,4,Bronckhorststraat,Amsterdam
1054VW,55,4,Wilhelminastraat,Amsterdam
1012GH,128,,Oudezijds Voorburgwal,Amsterdam
1086ZK,78,,Cornelis Zillesenlaan,Amsterdam
1086ZK,98,,Cornelis Zillesenlaan,Amsterdam
1086ZR,143,,William Barlowlaan,Amsterdam
1086ZL,26,,Edward Masseystraat,Amsterdam
1086ZL,37,,Edward Masseystraat,Amsterdam
1047AZ,43,,Heining,Amsterdam
1012CD,1,,Oude Hoogstraat,Amsterdam
1012DG,149,,Oudezijds Achterburgwal,Amsterdam
1086ZR,123,,William Barlowlaan,Amsterdam
1086ZR,125,,William Barlowlaan,Amsterdam
1086ZP,8,,Edmund Gunterstraat,Amsterdam
1086ZJ,143,,IJburglaan,Amsterdam
1086ZJ,145,,IJburglaan,Amsterdam
1086ZJ,147,,IJburglaan,Amsterdam
1086ZJ,149,,IJburglaan,Amsterdam
1086ZJ,151,,IJburglaan,Amsterdam
1086ZJ,153,,IJburglaan,Amsterdam
1086ZJ,155,,IJburglaan,Amsterdam
1086ZJ,157,,IJburglaan,Amsterdam
1086ZJ,159,,IJburglaan,Amsterdam
1086ZJ,161,,IJburglaan,Amsterdam
1086ZJ,163,,IJburglaan,Amsterdam
1086ZJ,165,,IJburglaan,Amsterdam
1086ZJ,167,,IJburglaan,Amsterdam
1086ZJ,169,,IJburglaan,Amsterdam
1086ZJ,171,,IJburglaan,Amsterdam
1086ZJ,173,,IJburglaan,Amsterdam
1086ZJ,225,,IJburglaan,Amsterdam
1086ZJ,227,,IJburglaan,Amsterdam
1086ZJ,229,,IJburglaan,Amsterdam
1086ZJ,231,,IJburglaan,Amsterdam
1086ZJ,233,,IJburglaan,Amsterdam
1086ZJ,235,,IJburglaan,Amsterdam
1086ZJ,237,,IJburglaan,Amsterdam
1086ZJ,239,,IJburglaan,Amsterdam
1086ZJ,241,,IJburglaan,Amsterdam
1086ZJ,243,,IJburglaan,Amsterdam
1086ZJ,245,,IJburglaan,Amsterdam
1086ZJ,247,,IJburglaan,Amsterdam
1086ZJ,249,,IJburglaan,Amsterdam
1086ZJ,251,,IJburglaan,Amsterdam
1086ZJ,253,,IJburglaan,Amsterdam
1086ZJ,255,,IJburglaan,Amsterdam
1086ZJ,257,,IJburglaan,Amsterdam
1086ZJ,259,,IJburglaan,Amsterdam
1086ZJ,261,,IJburglaan,Amsterdam
1086ZJ,263,,IJburglaan,Amsterdam
1086ZJ,265,,IJburglaan,Amsterdam
1086ZJ,267,,IJburglaan,Amsterdam
1086ZJ,269,,IJburglaan,Amsterdam
1086ZJ,271,,IJburglaan,Amsterdam
1086ZJ,307,,IJburglaan,Amsterdam
1086ZJ,309,,IJburglaan,Amsterdam
1086ZJ,311,,IJburglaan,Amsterdam
1086ZJ,313,,IJburglaan,Amsterdam
1086ZJ,315,,IJburglaan,Amsterdam
1086ZJ,317,,IJburglaan,Amsterdam
1086ZJ,319,,IJburglaan,Amsterdam
1086ZJ,321,,IJburglaan,Amsterdam
1086ZJ,323,,IJburglaan,Amsterdam
1086ZJ,325,,IJburglaan,Amsterdam
1086ZJ,327,,IJburglaan,Amsterdam
1086ZJ,329,,IJburglaan,Amsterdam
1086ZJ,331,,IJburglaan,Amsterdam
1086ZJ,333,,IJburglaan,Amsterdam
1086ZJ,335,,IJburglaan,Amsterdam
1086ZJ,337,,IJburglaan,Amsterdam
1086ZJ,339,,IJburglaan,Amsterdam
1086ZJ,341,,IJburglaan,Amsterdam
1086ZJ,343,,IJburglaan,Amsterdam
1086ZJ,367,,IJburglaan,Amsterdam
1086ZJ,369,,IJburglaan,Amsterdam
1086ZJ,371,,IJburglaan,Amsterdam
1086ZJ,373,,IJburglaan,Amsterdam
1086ZJ,375,,IJburglaan,Amsterdam
1086ZJ,377,,IJburglaan,Amsterdam
1086ZJ,379,,IJburglaan,Amsterdam
1086ZJ,381,,IJburglaan,Amsterdam
1086ZJ,383,,IJburglaan,Amsterdam
1086ZJ,385,,IJburglaan,Amsterdam
1086ZJ,387,,IJburglaan,Amsterdam
1086ZJ,389,,IJburglaan,Amsterdam
1086ZJ,391,,IJburglaan,Amsterdam
1086ZJ,393,,IJburglaan,Amsterdam
1086ZJ,395,,IJburglaan,Amsterdam
1086ZJ,397,,IJburglaan,Amsterdam
1086ZJ,399,,IJburglaan,Amsterdam
1086ZJ,401,,IJburglaan,Amsterdam
1086ZJ,403,,IJburglaan,Amsterdam
1086ZJ,413,,IJburglaan,Amsterdam
1086ZJ,415,,IJburglaan,Amsterdam
1086ZJ,417,,IJburglaan,Amsterdam
1086ZJ,419,,IJburglaan,Amsterdam
1086ZJ,421,,IJburglaan,Amsterdam
1086ZJ,423,,IJburglaan,Amsterdam
1086ZJ,425,,IJburglaan,Amsterdam
1086ZJ,427,,IJburglaan,Amsterdam
1086ZJ,429,,IJburglaan,Amsterdam
1086ZJ,431,,IJburglaan,Amsterdam
1086ZJ,433,,IJburglaan,Amsterdam
1086ZJ,435,,IJburglaan,Amsterdam
1086ZJ,437,,IJburglaan,Amsterdam
1086ZJ,439,,IJburglaan,Amsterdam
1086ZJ,441,,IJburglaan,Amsterdam
1086ZJ,443,,IJburglaan,Amsterdam
1086ZJ,445,,IJburglaan,Amsterdam
1086ZJ,447,,IJburglaan,Amsterdam
1086ZJ,449,,IJburglaan,Amsterdam
1072XD,147,,Daniël Stalpertstraat,Amsterdam
1051BX,156,H,Van Hogendorpstraat,Amsterdam
1051BX,156,1,Van Hogendorpstraat,Amsterdam
1101DJ,16,,Arena boulevard,Amsterdam
1101DJ,18,,Arena boulevard,Amsterdam
