1013MA,9,H,Eerste Breeuwersstraat,Amsterdam
1012PJ,102,,Kalverstraat,Amsterdam
1012PL,4,2,Jonge Roelensteeg,Amsterdam
1017VT,128,2,Utrechtsestraat,Amsterdam
1017VT,128,3,Utrechtsestraat,Amsterdam
1012RX,346,,Nieuwezijds Voorburgwal,Amsterdam
1087MK,2,,Jaap Speyerstraat,Amsterdam
1087MK,4,,Jaap Speyerstraat,Amsterdam
1087ML,58,,Emmy Andriessestraat,Amsterdam
1087ML,60,,Emmy Andriessestraat,Amsterdam
1087ML,62,,Emmy Andriessestraat,Amsterdam
1087ML,64,,Emmy Andriessestraat,Amsterdam
1087ML,66,,Emmy Andriessestraat,Amsterdam
1087ML,68,,Emmy Andriessestraat,Amsterdam
1087ML,70,,Emmy Andriessestraat,Amsterdam
1087ML,72,,Emmy Andriessestraat,Amsterdam
1087ML,74,,Emmy Andriessestraat,Amsterdam
1087ML,76,,Emmy Andriessestraat,Amsterdam
1087ML,78,,Emmy Andriessestraat,Amsterdam
1087ML,80,,Emmy Andriessestraat,Amsterdam
1087ML,82,,Emmy Andriessestraat,Amsterdam
1087ML,84,,Emmy Andriessestraat,Amsterdam
1087ML,86,,Emmy Andriessestraat,Amsterdam
1087ML,88,,Emmy Andriessestraat,Amsterdam
1087ML,90,,Emmy Andriessestraat,Amsterdam
1087ML,92,,Emmy Andriessestraat,Amsterdam
1087ML,94,,Emmy Andriessestraat,Amsterdam
1087ML,96,,Emmy Andriessestraat,Amsterdam
1087ML,98,,Emmy Andriessestraat,Amsterdam
1087ML,100,,Emmy Andriessestraat,Amsterdam
1087ML,102,,Emmy Andriessestraat,Amsterdam
1087ML,104,,Emmy Andriessestraat,Amsterdam
1087ML,106,,Emmy Andriessestraat,Amsterdam
1087ML,108,,Emmy Andriessestraat,Amsterdam
1087ML,110,,Emmy Andriessestraat,Amsterdam
1087ML,112,,Emmy Andriessestraat,Amsterdam
1087ML,114,,Emmy Andriessestraat,Amsterdam
1087ML,116,,Emmy Andriessestraat,Amsterdam
1087ML,118,,Emmy Andriessestraat,Amsterdam
1087ML,120,,Emmy Andriessestraat,Amsterdam
1087ML,122,,Emmy Andriessestraat,Amsterdam
1087ML,124,,Emmy Andriessestraat,Amsterdam
1087ML,126,,Emmy Andriessestraat,Amsterdam
1087ML,128,,Emmy Andriessestraat,Amsterdam
1087ML,130,,Emmy Andriessestraat,Amsterdam
1087ML,132,,Emmy Andriessestraat,Amsterdam
1087ML,134,,Emmy Andriessestraat,Amsterdam
1087ML,136,,Emmy Andriessestraat,Amsterdam
1087ML,138,,Emmy Andriessestraat,Amsterdam
1087ML,140,,Emmy Andriessestraat,Amsterdam
1087ML,142,,Emmy Andriessestraat,Amsterdam
1087ML,144,,Emmy Andriessestraat,Amsterdam
1087ML,146,,Emmy Andriessestraat,Amsterdam
1087ML,148,,Emmy Andriessestraat,Amsterdam
1087ML,150,,Emmy Andriessestraat,Amsterdam
1087ML,152,,Emmy Andriessestraat,Amsterdam
1087ML,154,,Emmy Andriessestraat,Amsterdam
1087ML,156,,Emmy Andriessestraat,Amsterdam
1087ML,158,,Emmy Andriessestraat,Amsterdam
1087ML,160,,Emmy Andriessestraat,Amsterdam
1087ML,162,,Emmy Andriessestraat,Amsterdam
1087ML,164,,Emmy Andriessestraat,Amsterdam
1087ML,166,,Emmy Andriessestraat,Amsterdam
1087ML,168,,Emmy Andriessestraat,Amsterdam
1087ML,170,,Emmy Andriessestraat,Amsterdam
