45,1785RK,De Garst,Den Helder
7,1782ST,Bandaplein,Den Helder
6,1782ST,Bandaplein,Den Helder
19,1782ST,Bandaplein,Den Helder
18,1782ST,Bandaplein,Den Helder
17,1782ST,Bandaplein,Den Helder
16,1782ST,Bandaplein,Den Helder
63,1784MC,Drs. F. Bijlweg,Den Helder
65,1784MC,Drs. F. Bijlweg,Den Helder
59,1784MC,Drs. F. Bijlweg,Den Helder
53,1784MC,Drs. F. Bijlweg,Den Helder
55,1784MC,Drs. F. Bijlweg,Den Helder
75,1781RJ,Jonkerstraat,Den Helder
91,1783HW,Elzenstraat,Den Helder
25,1781GB,Kerkstraat,Den Helder
10,1787BA,meester Daarnhouwerstraat,Julianadorp
36,1781CD,Spoorgracht,Den Helder
290,1784MB,IJsselmeerstraat,Den Helder
288,1784MB,IJsselmeerstraat,Den Helder
294,1784MB,IJsselmeerstraat,Den Helder
292,1784MB,IJsselmeerstraat,Den Helder
298,1784MB,IJsselmeerstraat,Den Helder
296,1784MB,IJsselmeerstraat,Den Helder
284,1784MB,IJsselmeerstraat,Den Helder
157,1782BE,Middenweg,Den Helder
70,1781AP,Paleiskade,Den Helder
133,1781KE,Koningstraat,Den Helder
121,1781KE,Koningstraat,Den Helder
115,1781KE,Koningstraat,Den Helder
131,1781KE,Koningstraat,Den Helder
127,1781KE,Koningstraat,Den Helder
129,1781KE,Koningstraat,Den Helder
125,1781KE,Koningstraat,Den Helder
70,1781KJ,Koningstraat,Den Helder
86,1781KJ,Koningstraat,Den Helder
1,1786RD,IJzergietersweg,Den Helder
3,1786RD,IJzergietersweg,Den Helder
229,1782DR,Timorlaan,Den Helder
227,1782DR,Timorlaan,Den Helder
193,1782DR,Timorlaan,Den Helder
191,1782DR,Timorlaan,Den Helder
197,1782DR,Timorlaan,Den Helder
195,1782DR,Timorlaan,Den Helder
201,1782DR,Timorlaan,Den Helder
199,1782DR,Timorlaan,Den Helder
205,1782DR,Timorlaan,Den Helder
203,1782DR,Timorlaan,Den Helder
189,1782DR,Timorlaan,Den Helder
187,1782DR,Timorlaan,Den Helder
213,1782DR,Timorlaan,Den Helder
211,1782DR,Timorlaan,Den Helder
2,1781AH,Zwartepad,Den Helder
127,1787BJ,Langevliet,Julianadorp
5,1786PD,Scheepmakersweg,Den Helder
