1,1448JZ,Alpenpad,Purmerend
10,1448TN,Amazonelaan,Purmerend
100,1448XM,Amazonelaan,Purmerend
103,1448VC,Amazonelaan,Purmerend
104,1448XM,Amazonelaan,Purmerend
106,1448XM,Amazonelaan,Purmerend
108,1448XM,Amazonelaan,Purmerend
110,1448XM,Amazonelaan,Purmerend
111,1448VC,Amazonelaan,Purmerend
112,1448XM,Amazonelaan,Purmerend
113,1448VC,Amazonelaan,Purmerend
114,1448XM,Amazonelaan,Purmerend
115,1448VC,Amazonelaan,Purmerend
116,1448XM,Amazonelaan,Purmerend
117,1448VC,Amazonelaan,Purmerend
119,1448VC,Amazonelaan,Purmerend
120,1448XM,Amazonelaan,Purmerend
121,1448VC,Amazonelaan,Purmerend
122,1448XM,Amazonelaan,Purmerend
123,1448VC,Amazonelaan,Purmerend
124,1448XM,Amazonelaan,Purmerend
126,1448XM,Amazonelaan,Purmerend
127,1448VC,Amazonelaan,Purmerend
65,1448NL,Abel Tasmanplein,Purmerend
66,1448NL,Abel Tasmanplein,Purmerend
67,1448NL,Abel Tasmanplein,Purmerend
69,1448NL,Abel Tasmanplein,Purmerend
70,1448NL,Abel Tasmanplein,Purmerend
72,1448NL,Abel Tasmanplein,Purmerend
73,1448NL,Abel Tasmanplein,Purmerend
75,1448NL,Abel Tasmanplein,Purmerend
76,1448NL,Abel Tasmanplein,Purmerend
77,1448NL,Abel Tasmanplein,Purmerend
78,1448NL,Abel Tasmanplein,Purmerend
79,1448NL,Abel Tasmanplein,Purmerend
8,1448NL,Abel Tasmanplein,Purmerend
80,1448NL,Abel Tasmanplein,Purmerend
81,1448NL,Abel Tasmanplein,Purmerend
82,1448NL,Abel Tasmanplein,Purmerend
83,1448NL,Abel Tasmanplein,Purmerend
84,1448NL,Abel Tasmanplein,Purmerend
86,1448NL,Abel Tasmanplein,Purmerend
87,1448NL,Abel Tasmanplein,Purmerend
9,1448NL,Abel Tasmanplein,Purmerend
92,1448NL,Abel Tasmanplein,Purmerend
94,1448NL,Abel Tasmanplein,Purmerend
95,1448NL,Abel Tasmanplein,Purmerend
96,1448NL,Abel Tasmanplein,Purmerend
97,1448NL,Abel Tasmanplein,Purmerend
99,1448NL,Abel Tasmanplein,Purmerend
1,1441JZ,Abraham Kuyperstraat,Purmerend
1,1445GJ,Achelpad,Purmerend
10,1445GJ,Achelpad,Purmerend
11,1445GJ,Achelpad,Purmerend
12,1445GJ,Achelpad,Purmerend
13,1445GJ,Achelpad,Purmerend
15,1445GJ,Achelpad,Purmerend
16,1445GJ,Achelpad,Purmerend
17,1445GK,Achelpad,Purmerend
19,1445GK,Achelpad,Purmerend
2,1445GJ,Achelpad,Purmerend
20,1445GK,Achelpad,Purmerend
21,1445GK,Achelpad,Purmerend
22,1445GK,Achelpad,Purmerend
23,1445GK,Achelpad,Purmerend
24,1445GK,Achelpad,Purmerend
25,1445GK,Achelpad,Purmerend
26,1445GK,Achelpad,Purmerend
27,1445GK,Achelpad,Purmerend
28,1445GK,Achelpad,Purmerend
29,1445GK,Achelpad,Purmerend
3,1445GJ,Achelpad,Purmerend
30,1445GK,Achelpad,Purmerend
31,1445GK,Achelpad,Purmerend
32,1445GK,Achelpad,Purmerend
33,1445GK,Achelpad,Purmerend
36,1445GL,Achelpad,Purmerend
37,1445GL,Achelpad,Purmerend
38,1445GL,Achelpad,Purmerend
39,1445GL,Achelpad,Purmerend
4,1445GJ,Achelpad,Purmerend
40,1445GL,Achelpad,Purmerend
42,1445GL,Achelpad,Purmerend
6,1445GJ,Achelpad,Purmerend
7,1445GJ,Achelpad,Purmerend
8,1445GJ,Achelpad,Purmerend
9,1445GJ,Achelpad,Purmerend
1,1441BE,Achter de Kerk,Purmerend
3,1441BE,Achter de Kerk,Purmerend
4,1441BE,Achter de Kerk,Purmerend
5,1441BE,Achter de Kerk,Purmerend
6,1441BE,Achter de Kerk,Purmerend
7,1441BE,Achter de Kerk,Purmerend
8,1441BE,Achter de Kerk,Purmerend
12,1441DH,Achterdijk,Purmerend
14,1441DH,Achterdijk,Purmerend
16,1441DH,Achterdijk,Purmerend
18,1441DH,Achterdijk,Purmerend
20,1441DH,Achterdijk,Purmerend
22,1441DH,Achterdijk,Purmerend
24,1441DH,Achterdijk,Purmerend
26,1441DH,Achterdijk,Purmerend
30,1441DH,Achterdijk,Purmerend
32,1441DH,Achterdijk,Purmerend
34,1441DH,Achterdijk,Purmerend
36,1441DH,Achterdijk,Purmerend
38,1441DJ,Achterdijk,Purmerend
4,1441DH,Achterdijk,Purmerend
40,1441DJ,Achterdijk,Purmerend
42,1441DJ,Achterdijk,Purmerend
43,1441DJ,Achterdijk,Purmerend
44,1441DJ,Achterdijk,Purmerend
46,1441DJ,Achterdijk,Purmerend
54,1441DJ,Achterdijk,Purmerend
56,1441DJ,Achterdijk,Purmerend
58,1441DJ,Achterdijk,Purmerend
6,1441DH,Achterdijk,Purmerend
60,1441DJ,Achterdijk,Purmerend
64,1441DJ,Achterdijk,Purmerend
66,1441DJ,Achterdijk,Purmerend
68,1441DJ,Achterdijk,Purmerend
70,1441DJ,Achterdijk,Purmerend
74,1441DJ,Achterdijk,Purmerend
80,1441DJ,Achterdijk,Purmerend
82,1441DJ,Achterdijk,Purmerend
1,1448GA,Akropolishof,Purmerend
11,1448GA,Akropolishof,Purmerend
12,1448GA,Akropolishof,Purmerend
2,1448GA,Akropolishof,Purmerend
3,1448GA,Akropolishof,Purmerend
4,1448GA,Akropolishof,Purmerend
5,1448GA,Akropolishof,Purmerend
6,1448GA,Akropolishof,Purmerend
7,1448GA,Akropolishof,Purmerend
8,1448GA,Akropolishof,Purmerend
9,1448GA,Akropolishof,Purmerend
1,1447XD,Albert John Luthulistraat,Purmerend
10,1447XE,Albert John Luthulistraat,Purmerend
12,1447XE,Albert John Luthulistraat,Purmerend
16,1447XE,Albert John Luthulistraat,Purmerend
17,1447XD,Albert John Luthulistraat,Purmerend
18,1447XE,Albert John Luthulistraat,Purmerend
19,1447XD,Albert John Luthulistraat,Purmerend
2,1447XE,Albert John Luthulistraat,Purmerend
62,1441HZ,Anemonenstraat,Purmerend
7,1441HW,Anemonenstraat,Purmerend
8,1441HX,Anemonenstraat,Purmerend
9,1441HW,Anemonenstraat,Purmerend
1,1441HK,Anjelierenstraat,Purmerend
11,1441HK,Anjelierenstraat,Purmerend
13,1441HK,Anjelierenstraat,Purmerend
15,1441HK,Anjelierenstraat,Purmerend
17,1441HK,Anjelierenstraat,Purmerend
19,1441HK,Anjelierenstraat,Purmerend
21,1441HK,Anjelierenstraat,Purmerend
23,1441HK,Anjelierenstraat,Purmerend
25,1441HK,Anjelierenstraat,Purmerend
27,1441HK,Anjelierenstraat,Purmerend
31,1441HK,Anjelierenstraat,Purmerend
33,1441HK,Anjelierenstraat,Purmerend
37,1441HK,Anjelierenstraat,Purmerend
39,1441HK,Anjelierenstraat,Purmerend
41,1441HK,Anjelierenstraat,Purmerend
43,1441HK,Anjelierenstraat,Purmerend
47,1441HK,Anjelierenstraat,Purmerend
9,1441HK,Anjelierenstraat,Purmerend
101,1443HC,Anne Franklaan,Purmerend
103,1443HC,Anne Franklaan,Purmerend
105,1443HC,Anne Franklaan,Purmerend
107,1443HC,Anne Franklaan,Purmerend
109,1443HC,Anne Franklaan,Purmerend
11,1443HA,Anne Franklaan,Purmerend
111,1443HC,Anne Franklaan,Purmerend
113,1443HC,Anne Franklaan,Purmerend
115,1443HC,Anne Franklaan,Purmerend
117,1443HC,Anne Franklaan,Purmerend
119,1443HC,Anne Franklaan,Purmerend
121,1443HC,Anne Franklaan,Purmerend
123,1443HC,Anne Franklaan,Purmerend
125,1443HC,Anne Franklaan,Purmerend
127,1443HC,Anne Franklaan,Purmerend
129,1443HC,Anne Franklaan,Purmerend
13,1443HA,Anne Franklaan,Purmerend
131,1443HC,Anne Franklaan,Purmerend
133,1443HC,Anne Franklaan,Purmerend
135,1443HC,Anne Franklaan,Purmerend
137,1443HD,Anne Franklaan,Purmerend
139,1443HD,Anne Franklaan,Purmerend
14,1443JA,Anne Franklaan,Purmerend
141,1443HD,Anne Franklaan,Purmerend
145,1443HD,Anne Franklaan,Purmerend
147,1443HD,Anne Franklaan,Purmerend
149,1443HD,Anne Franklaan,Purmerend
151,1443HD,Anne Franklaan,Purmerend
155,1443HD,Anne Franklaan,Purmerend
