1131EE,26,,Berend Demmerstraat,Volendam
1131BD,2,,Dokter Weversstraat,Volendam
1131BD,4,,Dokter Weversstraat,Volendam
1131BD,6,,Dokter Weversstraat,Volendam
1131BC,7,,Dokter Weversstraat,Volendam
1131BD,8,,Dokter Weversstraat,Volendam
1131BC,9,,Dokter Weversstraat,Volendam
1131BD,10,,Dokter Weversstraat,Volendam
1131BC,11,,Dokter Weversstraat,Volendam
1131BD,12,,Dokter Weversstraat,Volendam
1131BC,13,,Dokter Weversstraat,Volendam
1131BD,14,,Dokter Weversstraat,Volendam
1131BC,15,,Dokter Weversstraat,Volendam
1131BD,16,,Dokter Weversstraat,Volendam
1131BC,17,,Dokter Weversstraat,Volendam
1131BD,18,,Dokter Weversstraat,Volendam
1131BC,19,,Dokter Weversstraat,Volendam
1131BD,20,,Dokter Weversstraat,Volendam
1131BC,21,,Dokter Weversstraat,Volendam
1131BD,22,,Dokter Weversstraat,Volendam
1131BC,23,,Dokter Weversstraat,Volendam
1131BD,24,,Dokter Weversstraat,Volendam
1131BC,25,,Dokter Weversstraat,Volendam
1131BD,26,,Dokter Weversstraat,Volendam
1131BC,27,,Dokter Weversstraat,Volendam
1131BC,29,,Dokter Weversstraat,Volendam
1131BC,31,,Dokter Weversstraat,Volendam
1131BC,33,,Dokter Weversstraat,Volendam
1131BC,35,,Dokter Weversstraat,Volendam
1132SK,1,,G A Brederodestraat,Volendam
1132SP,2,,G A Brederodestraat,Volendam
1132SK,3,,G A Brederodestraat,Volendam
1132SP,4,,G A Brederodestraat,Volendam
1132SK,5,,G A Brederodestraat,Volendam
1132SP,6,,G A Brederodestraat,Volendam
1132SK,7,,G A Brederodestraat,Volendam
1132SP,8,,G A Brederodestraat,Volendam
1132SK,9,,G A Brederodestraat,Volendam
1132SP,10,,G A Brederodestraat,Volendam
1132SK,11,,G A Brederodestraat,Volendam
1132SP,12,,G A Brederodestraat,Volendam
1132SK,13,,G A Brederodestraat,Volendam
1132SP,14,,G A Brederodestraat,Volendam
1132SK,15,,G A Brederodestraat,Volendam
1132SP,16,,G A Brederodestraat,Volendam
1132SK,17,,G A Brederodestraat,Volendam
1132SP,18,,G A Brederodestraat,Volendam
1132SK,19,,G A Brederodestraat,Volendam
1132SP,20,,G A Brederodestraat,Volendam
1132SL,21,,G A Brederodestraat,Volendam
1132SP,22,,G A Brederodestraat,Volendam
1132SL,23,,G A Brederodestraat,Volendam
1132SP,24,,G A Brederodestraat,Volendam
1132SL,25,,G A Brederodestraat,Volendam
1132SP,26,,G A Brederodestraat,Volendam
1132SL,27,,G A Brederodestraat,Volendam
1132SP,28,,G A Brederodestraat,Volendam
1132SL,29,,G A Brederodestraat,Volendam
1132SP,30,,G A Brederodestraat,Volendam
1132SL,31,,G A Brederodestraat,Volendam
1132SP,32,,G A Brederodestraat,Volendam
1132SL,33,,G A Brederodestraat,Volendam
1132SP,34,,G A Brederodestraat,Volendam
1132SL,35,,G A Brederodestraat,Volendam
1132SP,36,,G A Brederodestraat,Volendam
1132SL,37,,G A Brederodestraat,Volendam
1132SP,38,,G A Brederodestraat,Volendam
1132SL,39,,G A Brederodestraat,Volendam
1132SP,40,,G A Brederodestraat,Volendam
1132SL,41,,G A Brederodestraat,Volendam
1132SR,42,,G A Brederodestraat,Volendam
1132SL,43,,G A Brederodestraat,Volendam
1132SR,44,,G A Brederodestraat,Volendam
1132SL,45,,G A Brederodestraat,Volendam
1132SR,46,,G A Brederodestraat,Volendam
1132SL,47,,G A Brederodestraat,Volendam
1132SR,48,,G A Brederodestraat,Volendam
1132SL,49,,G A Brederodestraat,Volendam
1132SR,50,,G A Brederodestraat,Volendam
1132SL,51,,G A Brederodestraat,Volendam
1132SR,52,,G A Brederodestraat,Volendam
1132SL,53,,G A Brederodestraat,Volendam
1132SR,54,,G A Brederodestraat,Volendam
1132SL,55,,G A Brederodestraat,Volendam
1132SR,56,,G A Brederodestraat,Volendam
1132SL,57,,G A Brederodestraat,Volendam
1132SR,58,,G A Brederodestraat,Volendam
1132SL,59,,G A Brederodestraat,Volendam
1132SR,60,,G A Brederodestraat,Volendam
1132SL,61,,G A Brederodestraat,Volendam
1132SR,62,,G A Brederodestraat,Volendam
1132SL,63,,G A Brederodestraat,Volendam
1132SR,64,,G A Brederodestraat,Volendam
1132SL,65,,G A Brederodestraat,Volendam
1132SR,66,,G A Brederodestraat,Volendam
1132SL,67,,G A Brederodestraat,Volendam
1132SR,68,,G A Brederodestraat,Volendam
1132SL,69,,G A Brederodestraat,Volendam
1132SR,70,,G A Brederodestraat,Volendam
1132SL,71,,G A Brederodestraat,Volendam
1132SR,72,,G A Brederodestraat,Volendam
1132SL,73,,G A Brederodestraat,Volendam
1132SR,74,,G A Brederodestraat,Volendam
1132SM,75,,G A Brederodestraat,Volendam
1132SR,76,,G A Brederodestraat,Volendam
1132SM,77,,G A Brederodestraat,Volendam
1132ST,78,,G A Brederodestraat,Volendam
1132SM,79,,G A Brederodestraat,Volendam
1132ST,80,,G A Brederodestraat,Volendam
1132SM,81,,G A Brederodestraat,Volendam
1132ST,82,,G A Brederodestraat,Volendam
1132SM,83,,G A Brederodestraat,Volendam
1132ST,84,,G A Brederodestraat,Volendam
1132SM,85,,G A Brederodestraat,Volendam
1132ST,86,,G A Brederodestraat,Volendam
1132SM,87,,G A Brederodestraat,Volendam
1132ST,88,,G A Brederodestraat,Volendam
1132SM,89,,G A Brederodestraat,Volendam
1132ST,90,,G A Brederodestraat,Volendam
1132SM,91,,G A Brederodestraat,Volendam
1132ST,92,,G A Brederodestraat,Volendam
1132SM,93,,G A Brederodestraat,Volendam
1132ST,94,,G A Brederodestraat,Volendam
1132SM,95,,G A Brederodestraat,Volendam
1132ST,96,,G A Brederodestraat,Volendam
1132SM,97,,G A Brederodestraat,Volendam
1132ST,98,,G A Brederodestraat,Volendam
1132SM,99,,G A Brederodestraat,Volendam
1132ST,100,,G A Brederodestraat,Volendam
1132SM,101,,G A Brederodestraat,Volendam
