2013ED,67,,Anslijnstraat,Haarlem
2024JC,2,,Anthony Fokkerlaan,Haarlem
2024JC,2,I,Anthony Fokkerlaan,Haarlem
2024JC,2,II,Anthony Fokkerlaan,Haarlem
2024JA,3,,Anthony Fokkerlaan,Haarlem
2024JC,4,I,Anthony Fokkerlaan,Haarlem
2024JC,4,II,Anthony Fokkerlaan,Haarlem
2024JA,5,,Anthony Fokkerlaan,Haarlem
2024JC,6,,Anthony Fokkerlaan,Haarlem
2024JC,6,I,Anthony Fokkerlaan,Haarlem
2024JC,6,II,Anthony Fokkerlaan,Haarlem
2024JA,7,,Anthony Fokkerlaan,Haarlem
2024JC,8,I,Anthony Fokkerlaan,Haarlem
2024JC,8,II,Anthony Fokkerlaan,Haarlem
2024JA,9,,Anthony Fokkerlaan,Haarlem
2024JC,10,,Anthony Fokkerlaan,Haarlem
2024JC,10,I,Anthony Fokkerlaan,Haarlem
2024JC,10,II,Anthony Fokkerlaan,Haarlem
2024JA,11,,Anthony Fokkerlaan,Haarlem
2024JC,12,I,Anthony Fokkerlaan,Haarlem
2024JC,12,II,Anthony Fokkerlaan,Haarlem
2024JA,13,,Anthony Fokkerlaan,Haarlem
2024JD,14,,Anthony Fokkerlaan,Haarlem
2024JD,14,I,Anthony Fokkerlaan,Haarlem
2024JD,14,II,Anthony Fokkerlaan,Haarlem
2024JA,15,,Anthony Fokkerlaan,Haarlem
2024JD,16,I,Anthony Fokkerlaan,Haarlem
2024JD,16,II,Anthony Fokkerlaan,Haarlem
2024JA,17,,Anthony Fokkerlaan,Haarlem
2024JD,18,,Anthony Fokkerlaan,Haarlem
2024JD,18,I,Anthony Fokkerlaan,Haarlem
2024JD,18,II,Anthony Fokkerlaan,Haarlem
2024JA,19,,Anthony Fokkerlaan,Haarlem
2024JD,20,I,Anthony Fokkerlaan,Haarlem
2024JD,20,II,Anthony Fokkerlaan,Haarlem
2024JA,21,,Anthony Fokkerlaan,Haarlem
2024JD,22,,Anthony Fokkerlaan,Haarlem
2024JD,22,I,Anthony Fokkerlaan,Haarlem
2024JD,22,II,Anthony Fokkerlaan,Haarlem
2024JA,23,,Anthony Fokkerlaan,Haarlem
2024JD,24,I,Anthony Fokkerlaan,Haarlem
2024JD,24,II,Anthony Fokkerlaan,Haarlem
2024JA,25,,Anthony Fokkerlaan,Haarlem
