28,1976CH,4e Havenstraat,IJmuiden
134,1991AZ,Broekerdreef,Velserbroek
200,1951MD,Rooswijkweg,Velsen-Noord
103,1951MA,Staalstraat,Velsen-Noord
105,1951MA,Staalstraat,Velsen-Noord
107,1951MA,Staalstraat,Velsen-Noord
109,1951MA,Staalstraat,Velsen-Noord
111,1951MA,Staalstraat,Velsen-Noord
113,1951MA,Staalstraat,Velsen-Noord
115,1951MA,Staalstraat,Velsen-Noord
117,1951MA,Staalstraat,Velsen-Noord
119,1951MA,Staalstraat,Velsen-Noord
121,1951MA,Staalstraat,Velsen-Noord
123,1951MA,Staalstraat,Velsen-Noord
125,1951MA,Staalstraat,Velsen-Noord
127,1951MA,Staalstraat,Velsen-Noord
129,1951MA,Staalstraat,Velsen-Noord
131,1951MA,Staalstraat,Velsen-Noord
133,1951MA,Staalstraat,Velsen-Noord
135,1951MA,Staalstraat,Velsen-Noord
137,1951MB,Staalstraat,Velsen-Noord
139,1951MB,Staalstraat,Velsen-Noord
141,1951MB,Staalstraat,Velsen-Noord
143,1951MB,Staalstraat,Velsen-Noord
145,1951MB,Staalstraat,Velsen-Noord
147,1951MB,Staalstraat,Velsen-Noord
149,1951MB,Staalstraat,Velsen-Noord
151,1951MB,Staalstraat,Velsen-Noord
153,1951MB,Staalstraat,Velsen-Noord
155,1951MB,Staalstraat,Velsen-Noord
157,1951MB,Staalstraat,Velsen-Noord
159,1951MB,Staalstraat,Velsen-Noord
161,1951MB,Staalstraat,Velsen-Noord
163,1951MB,Staalstraat,Velsen-Noord
165,1951MB,Staalstraat,Velsen-Noord
167,1951MB,Staalstraat,Velsen-Noord
169,1951MB,Staalstraat,Velsen-Noord
171,1951MB,Staalstraat,Velsen-Noord
140,1992CB,L. Springerstraat,Velserbroek
160,1992CB,L. Springerstraat,Velserbroek
90,1951JP,Staalstraat,Velsen-Noord
120,1992CA,L. Springerstraat,Velserbroek
240,1992CD,L. Springerstraat,Velserbroek
80,1991AZ,Broekerdreef,Velserbroek
150,1951JP,Staalstraat,Velsen-Noord
50,1951MJ,Rooswijkweg,Velsen-Noord
220,1992CD,L. Springerstraat,Velserbroek
101,1951ES,Stratingplantsoen,Velsen-Noord
9,1976BC,Bronsstraat,IJmuiden
7,1972SB,Burgemeester Rambonnetlaan,IJmuiden
10,1972RG,Galvanistraat,IJmuiden
12,1972RG,Galvanistraat,IJmuiden
14,1972RG,Galvanistraat,IJmuiden
89,1951KP,Gildenlaan,Velsen-Noord
710,1976ES,Kennemerboulevard,IJmuiden
712,1976ES,Kennemerboulevard,IJmuiden
714,1976ES,Kennemerboulevard,IJmuiden
716,1976ES,Kennemerboulevard,IJmuiden
