2153GB,19,,Haverstraat,Nieuw-Vennep
2153AK,27,,Bosstraat,Nieuw-Vennep
2153AK,29,,Bosstraat,Nieuw-Vennep
2153AK,31,,Bosstraat,Nieuw-Vennep
2153AK,33,,Bosstraat,Nieuw-Vennep
2153AK,35,,Bosstraat,Nieuw-Vennep
2153AK,37,,Bosstraat,Nieuw-Vennep
2153AK,39,,Bosstraat,Nieuw-Vennep
2153AK,41,,Bosstraat,Nieuw-Vennep
2153AK,43,,Bosstraat,Nieuw-Vennep
2153AK,45,,Bosstraat,Nieuw-Vennep
2153AK,47,,Bosstraat,Nieuw-Vennep
2153AL,51,,Bosstraat,Nieuw-Vennep
2153AE,286,,Venneperweg,Nieuw-Vennep
2153AE,288,,Venneperweg,Nieuw-Vennep
2153AE,290,,Venneperweg,Nieuw-Vennep
2153AE,298,,Venneperweg,Nieuw-Vennep
2152XC,57,,Broekemastraat,Nieuw-Vennep
2152XC,59,,Broekemastraat,Nieuw-Vennep
2152XD,1,,Van Barenstraat,Nieuw-Vennep
2152XD,2,,Van Barenstraat,Nieuw-Vennep
2152XD,3,,Van Barenstraat,Nieuw-Vennep
2152XD,4,,Van Barenstraat,Nieuw-Vennep
2152XD,5,,Van Barenstraat,Nieuw-Vennep
2152XD,6,,Van Barenstraat,Nieuw-Vennep
2152RM,21,,Waterpoort,Nieuw-Vennep
2152RM,23,,Waterpoort,Nieuw-Vennep
2152RM,25,,Waterpoort,Nieuw-Vennep
2152RM,27,,Waterpoort,Nieuw-Vennep
2152RM,29,,Waterpoort,Nieuw-Vennep
2152RM,31,,Waterpoort,Nieuw-Vennep
2152RM,33,,Waterpoort,Nieuw-Vennep
2152RM,35,,Waterpoort,Nieuw-Vennep
2152RK,5,,Warwijcksepoort,Nieuw-Vennep
2152RK,7,,Warwijcksepoort,Nieuw-Vennep
2152RK,9,,Warwijcksepoort,Nieuw-Vennep
2152RK,11,,Warwijcksepoort,Nieuw-Vennep
2152RK,13,,Warwijcksepoort,Nieuw-Vennep
2152RK,15,,Warwijcksepoort,Nieuw-Vennep
2152RK,17,,Warwijcksepoort,Nieuw-Vennep
2152RK,19,,Warwijcksepoort,Nieuw-Vennep
2152RK,21,,Warwijcksepoort,Nieuw-Vennep
2152XD,20,,Van Barenstraat,Nieuw-Vennep
2152XE,1,,Von Liebigstraat,Nieuw-Vennep
2152XE,2,,Von Liebigstraat,Nieuw-Vennep
2152XE,3,,Von Liebigstraat,Nieuw-Vennep
2152XE,4,,Von Liebigstraat,Nieuw-Vennep
2152XE,5,,Von Liebigstraat,Nieuw-Vennep
2152XA,16,,Van Bemmelenstraat,Nieuw-Vennep
2152XA,18,,Van Bemmelenstraat,Nieuw-Vennep
2152XA,20,,Van Bemmelenstraat,Nieuw-Vennep
2152XB,1,,Broekemastraat,Nieuw-Vennep
2152XB,3,,Broekemastraat,Nieuw-Vennep
2152XB,5,,Broekemastraat,Nieuw-Vennep
2152XB,7,,Broekemastraat,Nieuw-Vennep
2152XB,9,,Broekemastraat,Nieuw-Vennep
2152XB,11,,Broekemastraat,Nieuw-Vennep
2152XB,13,,Broekemastraat,Nieuw-Vennep
2152XB,15,,Broekemastraat,Nieuw-Vennep
2152RL,12,,Warwijcksepoort,Nieuw-Vennep
2152RL,14,,Warwijcksepoort,Nieuw-Vennep
2152RL,16,,Warwijcksepoort,Nieuw-Vennep
2152RL,18,,Warwijcksepoort,Nieuw-Vennep
2152RL,20,,Warwijcksepoort,Nieuw-Vennep
2152RL,22,,Warwijcksepoort,Nieuw-Vennep
2153GL,24,,Boekweitstraat,Nieuw-Vennep
2153GL,26,,Boekweitstraat,Nieuw-Vennep
