1191JA,4,,Korendragerstraat,Ouderkerk aan de Amstel
1114AB,201,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,211,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,221,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,223,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,224,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,308,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,309,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AK,4,,Ellermanstraat,Amsterdam-Duivendrecht
1114AB,145,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,155,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,167,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,175,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,185,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,194,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,195,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,199,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AA,202,,Entrada,Amsterdam-Duivendrecht
1114AA,203,,Entrada,Amsterdam-Duivendrecht
1114AA,204,,Entrada,Amsterdam-Duivendrecht
1114AA,205,,Entrada,Amsterdam-Duivendrecht
1114AA,211,,Entrada,Amsterdam-Duivendrecht
1114AA,212,,Entrada,Amsterdam-Duivendrecht
1114AA,213,,Entrada,Amsterdam-Duivendrecht
1114AA,214,,Entrada,Amsterdam-Duivendrecht
1114AA,221,,Entrada,Amsterdam-Duivendrecht
1114AA,222,,Entrada,Amsterdam-Duivendrecht
1114AA,223,,Entrada,Amsterdam-Duivendrecht
1114AA,224,,Entrada,Amsterdam-Duivendrecht
1114AA,231,,Entrada,Amsterdam-Duivendrecht
1114AA,232,,Entrada,Amsterdam-Duivendrecht
1114AA,233,,Entrada,Amsterdam-Duivendrecht
1114AA,234,,Entrada,Amsterdam-Duivendrecht
1114AA,250,,Entrada,Amsterdam-Duivendrecht
1115AD,9,,Industrieweg,Duivendrecht
1191WB,1,GARA,Jan Victors,Ouderkerk aan de Amstel
1191WJ,1,GARA,Jan Victors,Ouderkerk aan de Amstel
1191KT,9,,Holendrechterweg,Ouderkerk aan de Amstel
1114AB,125,,Joop Geesinkweg,Amsterdam-Duivendrecht
1191JR,23,,Polderweg,Ouderkerk aan de Amstel
1191GT,28,VVE,Sluisplein,Ouderkerk aan de Amstel
1191LD,10,,Aan de Wind,Ouderkerk aan de Amstel
1191JS,300,,Theresiahof,Ouderkerk aan de Amstel
1191JS,302,,Theresiahof,Ouderkerk aan de Amstel
1191JS,304,,Theresiahof,Ouderkerk aan de Amstel
1191JS,306,,Theresiahof,Ouderkerk aan de Amstel
1191JS,308,,Theresiahof,Ouderkerk aan de Amstel
1191JS,310,,Theresiahof,Ouderkerk aan de Amstel
1191JS,312,,Theresiahof,Ouderkerk aan de Amstel
1191JS,314,,Theresiahof,Ouderkerk aan de Amstel
1191JS,316,,Theresiahof,Ouderkerk aan de Amstel
1191JS,318,,Theresiahof,Ouderkerk aan de Amstel
1191JS,320,,Theresiahof,Ouderkerk aan de Amstel
1191JS,322,,Theresiahof,Ouderkerk aan de Amstel
1191JS,324,,Theresiahof,Ouderkerk aan de Amstel
1191JS,326,,Theresiahof,Ouderkerk aan de Amstel
1191JS,200,,Theresiahof,Ouderkerk aan de Amstel
1191JS,202,,Theresiahof,Ouderkerk aan de Amstel
1191JS,204,,Theresiahof,Ouderkerk aan de Amstel
1191JS,206,,Theresiahof,Ouderkerk aan de Amstel
1191JS,208,,Theresiahof,Ouderkerk aan de Amstel
1191JS,210,,Theresiahof,Ouderkerk aan de Amstel
1191JS,212,,Theresiahof,Ouderkerk aan de Amstel
1191JS,214,,Theresiahof,Ouderkerk aan de Amstel
1191JS,216,,Theresiahof,Ouderkerk aan de Amstel
1191JS,218,,Theresiahof,Ouderkerk aan de Amstel
1191JS,220,,Theresiahof,Ouderkerk aan de Amstel
1191JS,222,,Theresiahof,Ouderkerk aan de Amstel
1191JS,224,,Theresiahof,Ouderkerk aan de Amstel
1191JS,226,,Theresiahof,Ouderkerk aan de Amstel
1191JS,228,,Theresiahof,Ouderkerk aan de Amstel
1191JS,230,,Theresiahof,Ouderkerk aan de Amstel
1191JS,100,,Theresiahof,Ouderkerk aan de Amstel
1191JS,102,,Theresiahof,Ouderkerk aan de Amstel
1191JS,104,,Theresiahof,Ouderkerk aan de Amstel
1191JS,106,,Theresiahof,Ouderkerk aan de Amstel
1191JS,108,,Theresiahof,Ouderkerk aan de Amstel
1191JS,110,,Theresiahof,Ouderkerk aan de Amstel
1191JS,112,,Theresiahof,Ouderkerk aan de Amstel
1191JS,114,,Theresiahof,Ouderkerk aan de Amstel
