1791ED,3,,Burgerhoutstraat,Den Burg
1791AJ,12,,Burgwal,Den Burg
1791AJ,18,,Burgwal,Den Burg
1791AH,33,,Burgwal,Den Burg
1791AH,37,,Burgwal,Den Burg
1791AA,21,,Weverstraat,Den Burg
1791AD,22,,Weverstraat,Den Burg
1791AA,23,,Weverstraat,Den Burg
1791AA,25,,Weverstraat,Den Burg
1791AD,28,,Weverstraat,Den Burg
1791AA,3,,Weverstraat,Den Burg
1791AA,31,,Weverstraat,Den Burg
1791AD,32,,Weverstraat,Den Burg
1791AA,33,,Weverstraat,Den Burg
1791AE,34,,Weverstraat,Den Burg
1791AE,36,,Weverstraat,Den Burg
1791AA,37,,Weverstraat,Den Burg
1791AE,38,,Weverstraat,Den Burg
1791AA,39,,Weverstraat,Den Burg
1791AD,4,,Weverstraat,Den Burg
1797RR,19,,Witteweg,Den Hoorn
1797RR,23,,Witteweg,Den Hoorn
1797RS,24,,Witteweg,Den Hoorn
1797RR,25,,Witteweg,Den Hoorn
1797RR,3,,Witteweg,Den Hoorn
1797RS,30,,Witteweg,Den Hoorn
1797RR,4,,Witteweg,Den Hoorn
1797RR,5,,Witteweg,Den Hoorn
1797RR,6,,Witteweg,Den Hoorn
1797RR,7,,Witteweg,Den Hoorn
1794BK,1,,Wulkpad,Oosterend
1794BK,2,,Wulkpad,Oosterend
1794BK,4,,Wulkpad,Oosterend
1794BK,5,,Wulkpad,Oosterend
1791DT,1,,Anne Frankstraat,Den Burg
1791DT,15,,Anne Frankstraat,Den Burg
1791GA,35,,Beatrixlaan,Den Burg
1791GC,4,,Beatrixlaan,Den Burg
1791GC,42,,Beatrixlaan,Den Burg
1797RJ,62,,Bakkenweg,Den Hoorn
1797RJ,68,,Bakkenweg,Den Hoorn
1797RJ,76,,Bakkenweg,Den Hoorn
1797RJ,82,,Bakkenweg,Den Hoorn
1792CX,1,,Bakschuif,Oudeschild
1792AD,15,,Barentszstraat,Oudeschild
1792AD,21,,Barentszstraat,Oudeschild
1792AD,37,,Barentszstraat,Oudeschild
1791WS,102,,Buytengors,Den Burg
1791WS,108,,Buytengors,Den Burg
1791WS,114,,Buytengors,Den Burg
1791WP,16,,Buytengors,Den Burg
1791WL,19,,Buytengors,Den Burg
1796AJ,16,,Brink,De Koog
1796AH,3,,Brink,De Koog
1796AH,5,,Brink,De Koog
1791VM,2,,Brouwerstraat,Den Burg
1791AB,41,,Weverstraat,Den Burg
1791AE,42,,Weverstraat,Den Burg
1791AB,43,,Weverstraat,Den Burg
1791AE,44,,Weverstraat,Den Burg
1791AE,46,,Weverstraat,Den Burg
1791AE,48,,Weverstraat,Den Burg
