1423NJ,28,,Zwarte mees,Uithoorn
1423NE,1,,Koolmees,Uithoorn
1423NE,3,,Koolmees,Uithoorn
1423NE,5,,Koolmees,Uithoorn
1423NE,7,,Koolmees,Uithoorn
1423NE,9,,Koolmees,Uithoorn
1423NE,11,,Koolmees,Uithoorn
1423NE,13,,Koolmees,Uithoorn
1423NE,15,,Koolmees,Uithoorn
1423NE,17,,Koolmees,Uithoorn
1423NE,19,,Koolmees,Uithoorn
1423NE,21,,Koolmees,Uithoorn
1423NE,23,,Koolmees,Uithoorn
1423NE,25,,Koolmees,Uithoorn
1423NE,27,,Koolmees,Uithoorn
1423NE,29,,Koolmees,Uithoorn
1423NG,2,,Koolmees,Uithoorn
1423NG,4,,Koolmees,Uithoorn
1423NG,6,,Koolmees,Uithoorn
1423NG,8,,Koolmees,Uithoorn
1423NG,10,,Koolmees,Uithoorn
1423NG,12,,Koolmees,Uithoorn
1423NG,14,,Koolmees,Uithoorn
1423NG,16,,Koolmees,Uithoorn
1423NG,18,,Koolmees,Uithoorn
1423NG,20,,Koolmees,Uithoorn
1423NG,22,,Koolmees,Uithoorn
1423NG,24,,Koolmees,Uithoorn
1423NG,26,,Koolmees,Uithoorn
1423NG,28,,Koolmees,Uithoorn
1423NX,1,,Pimpelmees,Uithoorn
1423NX,3,,Pimpelmees,Uithoorn
1423NX,5,,Pimpelmees,Uithoorn
1423NX,7,,Pimpelmees,Uithoorn
1423NX,9,,Pimpelmees,Uithoorn
1423NX,11,,Pimpelmees,Uithoorn
1423NX,13,,Pimpelmees,Uithoorn
1423NR,111,,Kuifmees,Uithoorn
1423NR,113,,Kuifmees,Uithoorn
1423NR,115,,Kuifmees,Uithoorn
1423NR,117,,Kuifmees,Uithoorn
1423NR,119,,Kuifmees,Uithoorn
1423NE,31,,Koolmees,Uithoorn
1423NE,33,,Koolmees,Uithoorn
1423NE,35,,Koolmees,Uithoorn
1423NG,30,,Koolmees,Uithoorn
1423NB,56,,Boterdijk,Uithoorn
1424NH,58,,Boterdijk,De Kwakel
1424NH,60,,Boterdijk,De Kwakel
